House of Representatives - 1998 Election: Tasmania																																		
First Preference Votes and TCP																																		
By Candidate by Polling Place 																																		


Bass (65933)																																		

		SMITH			# O'BYRNE			BAIRD			LOCKHART			SMITH			MUIR			FORMAL			INFORMAL			TOTAL								
		Warwick		          	Michelle		           	Stuart		         	Allan		        	Harvey		         	Brian		        			     			     			     	Two Candidate Preferred		    			    
		LP			ALP			GRN			HAN			TFP			DEM					 			 			 	 SMITH LP			# O'BYRNE ALP		
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%	
Young Town	                                  	620	42.88	  	725	50.14	  	25	1.73	  	34	2.35	  	19	1.31	  	23	1.59	  	1446	96.08	  	59	3.92	  	1505	2.38	  	659	45.57	  	787	54.43	  
Special Hospitals	                           	450	64.38	  	215	30.76	  	10	1.43	  	13	1.86	  	9	1.29	  	2	0.29	  	699	96.28	  	27	3.72	  	726	1.15	  	464	66.38	  	235	33.62	  
Total Ordinary	                              	24506	45.67	  	22933	42.74	  	2146	4	  	1791	3.34	  	997	1.86	  	1284	2.39	  	53657	96.39	  	2009	3.61	  	55666	87.95	  	26676	49.72	  	26981	50.28	  
ABSENT	                                      	1022	44.2	  	884	38.24	  	194	8.39	  	62	2.68	  	60	2.6	  	90	3.89	  	2312	97.64	  	56	2.36	  	2368	3.74	  	1154	49.91	  	1158	50.09	  
POSTAL	                                      	1158	45.86	  	1100	43.56	  	87	3.45	  	96	3.8	  	42	1.66	  	42	1.66	  	2525	98.79	  	31	1.21	  	2556	4.04	  	1262	49.98	  	1263	50.02	  
PRE_POLL	                                    	1254	49.47	  	886	34.95	  	160	6.31	  	99	3.91	  	63	2.49	  	73	2.88	  	2535	98.18	  	47	1.82	  	2582	4.08	  	1403	55.35	  	1132	44.65	  
PROVISIONAL	                                 	34	29.06	  	61	52.14	  	8	6.84	  	9	7.69	  	3	2.56	  	2	1.71	  	117	95.9	  	5	4.1	  	122	0.19	  	39	33.33	  	78	66.67	  
Division Summary	                            	27974	45.75	  	25864	42.3	  	2595	4.24	  	2057	3.36	  	1165	1.91	  	1491	2.44	  	61146	96.61	  	2148	3.39	  	63294	96	  	30534	49.94	  	30612	50.06	  



Braddon (62419)																																		

		THOMPSON			# SIDEBOTTOM			THOMPSON			THOMSON			MILES			MORGAN			FORMAL			INFORMAL			TOTAL								
		Clare		        	Peter Sid		            	Gavin		        	John Dugald		              	Chris		        	Peter		        			     			     			     	Two Candidate Preferred		    			    
		GRN			ALP			TFP			HAN			LP			DEM					 			 			 	# SIDEBOTTOM ALP			 MILES LP		
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%	
Abbotsham	                                   	8	5	  	46	28.75	  	6	3.75	  	5	3.13	  	90	56.25	  	5	3.13	  	160	98.16	  	3	1.84	  	163	0.27	  	56	35	  	104	65	  
Acton	                                       	66	3.61	  	1241	67.93	  	34	1.86	  	74	4.05	  	371	20.31	  	41	2.24	  	1827	95.65	  	83	4.35	  	1910	3.17	  	1386	75.86	  	441	24.14	  
Addison Street	                              	28	3.3	  	439	51.77	  	14	1.65	  	26	3.07	  	318	37.5	  	23	2.71	  	848	95.07	  	44	4.93	  	892	1.48	  	487	57.43	  	361	42.57	  
Ambleside	                                   	22	3.87	  	245	43.06	  	10	1.76	  	23	4.04	  	258	45.34	  	11	1.93	  	569	96.6	  	20	3.4	  	589	0.98	  	292	51.32	  	277	48.68	  
Blythe Heads	                                	12	6.03	  	114	57.29	  	3	1.51	  	10	5.03	  	55	27.64	  	5	2.51	  	199	92.99	  	15	7.01	  	214	0.36	  	132	66.33	  	67	33.67	  
Boat Harbour	                                	31	11.44	  	86	31.73	  	3	1.11	  	16	5.9	  	131	48.34	  	4	1.48	  	271	97.48	  	7	2.52	  	278	0.46	  	124	45.76	  	147	54.24	  
Brooklyn	                                    	25	4.26	  	322	54.86	  	5	0.85	  	26	4.43	  	192	32.71	  	17	2.9	  	587	95.92	  	25	4.08	  	612	1.02	  	364	62.01	  	223	37.99	  
Burnie	                                      	75	6.19	  	565	46.62	  	10	0.83	  	26	2.15	  	497	41.01	  	39	3.22	  	1212	96.04	  	50	3.96	  	1262	2.09	  	664	54.79	  	548	45.21	  
Burnie South	                                	14	3.58	  	200	51.15	  	6	1.53	  	16	4.09	  	147	37.6	  	8	2.05	  	391	97.75	  	9	2.25	  	400	0.66	  	225	57.54	  	166	42.46	  
Calder	                                      	2	2.47	  	29	35.8	  	2	2.47	  	7	8.64	  	37	45.68	  	4	4.94	  	81	100	  	0	0	  	81	0.13	  	39	48.15	  	42	51.85	  
Cooee	                                       	47	5.99	  	375	47.83	  	5	0.64	  	21	2.68	  	312	39.8	  	24	3.06	  	784	96.2	  	31	3.8	  	815	1.35	  	436	55.61	  	348	44.39	  
Cuprona	                                     	6	4.65	  	50	38.76	  	4	3.1	  	5	3.88	  	63	48.84	  	1	0.78	  	129	96.99	  	4	3.01	  	133	0.22	  	58	44.96	  	71	55.04	  
Currie	                                      	55	6.81	  	228	28.22	  	24	2.97	  	57	7.05	  	422	52.23	  	22	2.72	  	808	95.4	  	39	4.6	  	847	1.41	  	317	39.23	  	491	60.77	  
Devonport Central	                           	94	5.39	  	731	41.92	  	26	1.49	  	43	2.47	  	795	45.58	  	55	3.15	  	1744	95.82	  	76	4.18	  	1820	3.02	  	864	49.54	  	880	50.46	  
Devonport East	                              	82	3.61	  	1340	59.03	  	42	1.85	  	75	3.3	  	676	29.78	  	55	2.42	  	2270	94.98	  	120	5.02	  	2390	3.97	  	1500	66.08	  	770	33.92	  
Devonport North	                             	23	2.99	  	345	44.92	  	7	0.91	  	19	2.47	  	362	47.14	  	12	1.56	  	768	96.73	  	26	3.27	  	794	1.32	  	378	49.22	  	390	50.78	  
Devonport South	                             	76	4.28	  	906	51.04	  	47	2.65	  	56	3.15	  	644	36.28	  	46	2.59	  	1775	96.62	  	62	3.38	  	1837	3.05	  	1061	59.77	  	714	40.23	  
Don	                                         	36	6.13	  	220	37.48	  	12	2.04	  	13	2.21	  	292	49.74	  	14	2.39	  	587	96.23	  	23	3.77	  	610	1.01	  	262	44.63	  	325	55.37	  
Edith Creek	                                 	6	3.55	  	62	36.69	  	0	0	  	19	11.24	  	77	45.56	  	5	2.96	  	169	96.57	  	6	3.43	  	175	0.29	  	78	46.15	  	91	53.85	  
Elliott	                                     	15	7.18	  	79	37.8	  	7	3.35	  	6	2.87	  	89	42.58	  	13	6.22	  	209	95.43	  	10	4.57	  	219	0.36	  	101	48.33	  	108	51.67	  
Forest	                                      	13	3.32	  	123	31.38	  	5	1.28	  	27	6.89	  	213	54.34	  	11	2.81	  	392	98	  	8	2	  	400	0.66	  	156	39.8	  	236	60.2	  
Forth	                                       	43	5.81	  	240	32.43	  	11	1.49	  	25	3.38	  	400	54.05	  	21	2.84	  	740	96.73	  	25	3.27	  	765	1.27	  	304	41.08	  	436	58.92	  
Gawler	                                      	14	3.72	  	124	32.98	  	10	2.66	  	16	4.26	  	196	52.13	  	16	4.26	  	376	93.3	  	27	6.7	  	403	0.67	  	153	40.69	  	223	59.31	  
Grassy	                                      	9	7.32	  	30	24.39	  	2	1.63	  	11	8.94	  	68	55.28	  	3	2.44	  	123	97.62	  	3	2.38	  	126	0.21	  	49	39.84	  	74	60.16	  
Gunns Plains	                                	14	13.33	  	32	30.48	  	8	7.62	  	8	7.62	  	40	38.1	  	3	2.86	  	105	99.06	  	1	0.94	  	106	0.18	  	52	49.52	  	53	50.48	  
Havenview	                                   	20	3.88	  	299	57.95	  	11	2.13	  	21	4.07	  	145	28.1	  	20	3.88	  	516	96.27	  	20	3.73	  	536	0.89	  	349	67.64	  	167	32.36	  
Highclere	                                   	9	6.43	  	66	47.14	  	3	2.14	  	3	2.14	  	58	41.43	  	1	0.71	  	140	94.59	  	8	5.41	  	148	0.25	  	79	56.43	  	61	43.57	  
Irishtown	                                   	7	2.55	  	98	35.64	  	3	1.09	  	12	4.36	  	150	54.55	  	5	1.82	  	275	96.83	  	9	3.17	  	284	0.47	  	117	42.55	  	158	57.45	  
Lileah	                                      	4	5.97	  	21	31.34	  	0	0	  	4	5.97	  	35	52.24	  	3	4.48	  	67	95.71	  	3	4.29	  	70	0.12	  	29	43.28	  	38	56.72	  
Malonga Park	                                	31	3.02	  	447	43.61	  	10	0.98	  	26	2.54	  	477	46.54	  	34	3.32	  	1025	97.43	  	27	2.57	  	1052	1.75	  	508	49.56	  	517	50.44	  
Marrawah	                                    	17	7.56	  	57	25.33	  	6	2.67	  	25	11.11	  	113	50.22	  	7	3.11	  	225	94.54	  	13	5.46	  	238	0.39	  	90	40	  	135	60	  
Mawbanna	                                    	0	0	  	9	15.79	  	1	1.75	  	5	8.77	  	38	66.67	  	4	7.02	  	57	96.61	  	2	3.39	  	59	0.1	  	14	24.56	  	43	75.44	  
Melrose	                                     	16	10.46	  	51	33.33	  	4	2.61	  	8	5.23	  	67	43.79	  	7	4.58	  	153	95.03	  	8	4.97	  	161	0.27	  	72	47.06	  	81	52.94	  
Montagu	                                     	3	2.33	  	29	22.48	  	6	4.65	  	7	5.43	  	81	62.79	  	3	2.33	  	129	96.99	  	4	3.01	  	133	0.22	  	37	28.68	  	92	71.32	  
Montello	                                    	44	3.23	  	837	61.36	  	11	0.81	  	42	3.08	  	383	28.08	  	47	3.45	  	1364	95.59	  	63	4.41	  	1427	2.37	  	941	68.99	  	423	31.01	  
Moorleah	                                    	29	15.76	  	68	36.96	  	4	2.17	  	10	5.43	  	63	34.24	  	10	5.43	  	184	98.4	  	3	1.6	  	187	0.31	  	106	57.61	  	78	42.39	  
Natone	                                      	9	5.14	  	60	34.29	  	3	1.71	  	16	9.14	  	82	46.86	  	5	2.86	  	175	96.69	  	6	3.31	  	181	0.3	  	83	47.43	  	92	52.57	  
Nietta	                                      	0	0	  	40	56.34	  	8	11.27	  	3	4.23	  	19	26.76	  	1	1.41	  	71	98.61	  	1	1.39	  	72	0.12	  	48	67.61	  	23	32.39	  
Nixon Street	                                	119	4.73	  	1084	43.05	  	42	1.67	  	77	3.06	  	1118	44.4	  	78	3.1	  	2518	96.62	  	88	3.38	  	2606	4.32	  	1283	50.95	  	1235	49.05	  
North Motton	                                	21	8.33	  	79	31.35	  	24	9.52	  	17	6.75	  	103	40.87	  	8	3.17	  	252	94.03	  	16	5.97	  	268	0.44	  	116	46.03	  	136	53.97	  
Penguin	                                     	118	5.85	  	944	46.8	  	45	2.23	  	97	4.81	  	763	37.83	  	50	2.48	  	2017	96.14	  	81	3.86	  	2098	3.48	  	1141	56.57	  	876	43.43	  
Preston	                                     	7	7.29	  	29	30.21	  	6	6.25	  	8	8.33	  	45	46.88	  	1	1.04	  	96	98.97	  	1	1.03	  	97	0.16	  	40	41.67	  	56	58.33	  
Redpa	                                       	2	3.13	  	13	20.31	  	1	1.56	  	7	10.94	  	39	60.94	  	2	3.13	  	64	96.97	  	2	3.03	  	66	0.11	  	18	28.13	  	46	71.88	  
Reekara	                                     	5	4.85	  	16	15.53	  	0	0	  	13	12.62	  	68	66.02	  	1	0.97	  	103	99.04	  	1	0.96	  	104	0.17	  	24	23.3	  	79	76.7	  
Riana	                                       	14	7.57	  	63	34.05	  	5	2.7	  	11	5.95	  	88	47.57	  	4	2.16	  	185	93.91	  	12	6.09	  	197	0.33	  	79	42.7	  	106	57.3	  
Ridgley	                                     	15	2.46	  	281	46.07	  	13	2.13	  	20	3.28	  	264	43.28	  	17	2.79	  	610	96.21	  	24	3.79	  	634	1.05	  	319	52.3	  	291	47.7	  
Rocky Cape	                                  	28	6.17	  	181	39.87	  	7	1.54	  	31	6.83	  	195	42.95	  	12	2.64	  	454	96.8	  	15	3.2	  	469	0.78	  	231	50.88	  	223	49.12	  
Savage River	                                	0	0	  	32	69.57	  	1	2.17	  	1	2.17	  	9	19.57	  	3	6.52	  	46	95.83	  	2	4.17	  	48	0.08	  	35	76.09	  	11	23.91	  
Sisters Beach	                               	16	7.34	  	96	44.04	  	0	0	  	5	2.29	  	94	43.12	  	7	3.21	  	218	97.76	  	5	2.24	  	223	0.37	  	113	51.83	  	105	48.17	  
Sisters Creek	                               	18	10.4	  	55	31.79	  	3	1.73	  	3	1.73	  	92	53.18	  	2	1.16	  	173	95.58	  	8	4.42	  	181	0.3	  	75	43.35	  	98	56.65	  
Smithton	                                    	65	2.85	  	1010	44.24	  	27	1.18	  	118	5.17	  	1000	43.8	  	63	2.76	  	2283	95.68	  	103	4.32	  	2386	3.96	  	1153	50.5	  	1130	49.5	  
Somerset	                                    	94	4.25	  	1119	50.63	  	33	1.49	  	98	4.43	  	790	35.75	  	76	3.44	  	2210	95.8	  	97	4.2	  	2307	3.83	  	1313	59.41	  	897	40.59	  
South Riana	                                 	6	3.39	  	57	32.2	  	5	2.82	  	11	6.21	  	92	51.98	  	6	3.39	  	177	94.15	  	11	5.85	  	188	0.31	  	71	40.11	  	106	59.89	  
Sprent	                                      	11	5.29	  	66	31.73	  	6	2.88	  	21	10.1	  	98	47.12	  	6	2.88	  	208	98.58	  	3	1.42	  	211	0.35	  	98	47.12	  	110	52.88	  
Spreyton	                                    	54	4.88	  	488	44.08	  	36	3.25	  	28	2.53	  	471	42.55	  	30	2.71	  	1107	96.94	  	35	3.06	  	1142	1.9	  	578	52.21	  	529	47.79	  
Stanley	                                     	39	9.42	  	185	44.69	  	2	0.48	  	39	9.42	  	137	33.09	  	12	2.9	  	414	95.61	  	19	4.39	  	433	0.72	  	251	60.63	  	163	39.37	  
Stowport	                                    	12	5.29	  	106	46.7	  	4	1.76	  	8	3.52	  	93	40.97	  	4	1.76	  	227	94.98	  	12	5.02	  	239	0.4	  	120	52.86	  	107	47.14	  
Sulphur Creek	                               	25	5.3	  	187	39.62	  	12	2.54	  	24	5.08	  	215	45.55	  	9	1.91	  	472	96.52	  	17	3.48	  	489	0.81	  	228	48.31	  	244	51.69	  
Togari	                                      	4	5.06	  	23	29.11	  	2	2.53	  	6	7.59	  	43	54.43	  	1	1.27	  	79	92.94	  	6	7.06	  	85	0.14	  	30	37.97	  	49	62.03	  
Trowutta	                                    	0	0	  	18	30.51	  	5	8.47	  	7	11.86	  	28	47.46	  	1	1.69	  	59	98.33	  	1	1.67	  	60	0.1	  	25	42.37	  	34	57.63	  
Turners Beach	                               	47	6.39	  	288	39.18	  	14	1.9	  	40	5.44	  	322	43.81	  	24	3.27	  	735	97.48	  	19	2.52	  	754	1.25	  	369	50.2	  	366	49.8	  
Ulverstone	                                  	42	3.76	  	452	40.43	  	30	2.68	  	35	3.13	  	529	47.32	  	30	2.68	  	1118	95.97	  	47	4.03	  	1165	1.93	  	523	46.78	  	595	53.22	  
Ulverstone East	                             	24	2.42	  	396	39.96	  	31	3.13	  	37	3.73	  	479	48.34	  	24	2.42	  	991	96.97	  	31	3.03	  	1022	1.7	  	458	46.22	  	533	53.78	  
Ulverstone South	                            	106	4.87	  	1041	47.86	  	53	2.44	  	85	3.91	  	832	38.25	  	58	2.67	  	2175	95.65	  	99	4.35	  	2274	3.77	  	1218	56	  	957	44	  
Ulverstone West	                             	70	3.62	  	932	48.14	  	65	3.36	  	90	4.65	  	739	38.17	  	40	2.07	  	1936	97.83	  	43	2.17	  	1979	3.28	  	1080	55.79	  	856	44.21	  
Upper Burnie	                                	64	4.33	  	813	54.97	  	11	0.74	  	50	3.38	  	517	34.96	  	24	1.62	  	1479	96.04	  	61	3.96	  	1540	2.56	  	896	60.58	  	583	39.42	  
Valley Road	                                 	47	2.97	  	746	47.1	  	29	1.83	  	38	2.4	  	676	42.68	  	48	3.03	  	1584	96.35	  	60	3.65	  	1644	2.73	  	846	53.41	  	738	46.59	  
Waratah	                                     	10	6.45	  	90	58.06	  	6	3.87	  	15	9.68	  	32	20.65	  	2	1.29	  	155	96.88	  	5	3.13	  	160	0.27	  	118	76.13	  	37	23.87	  
West Wynyard	                                	58	5.64	  	524	50.92	  	16	1.55	  	43	4.18	  	360	34.99	  	28	2.72	  	1029	98	  	21	2	  	1050	1.74	  	628	61.03	  	401	38.97	  
Wivenhoe	                                    	18	3.47	  	244	47.1	  	11	2.12	  	32	6.18	  	202	39	  	11	2.12	  	518	95.93	  	22	4.07	  	540	0.9	  	281	54.25	  	237	45.75	  
Wynyard	                                     	118	5.86	  	899	44.62	  	28	1.39	  	79	3.92	  	838	41.59	  	53	2.63	  	2015	96.27	  	78	3.73	  	2093	3.47	  	1071	53.15	  	944	46.85	  
Wynyard East	                                	17	3.21	  	324	61.25	  	5	0.95	  	19	3.59	  	152	28.73	  	12	2.27	  	529	95.83	  	23	4.17	  	552	0.92	  	358	67.67	  	171	32.33	  
Yolla	                                       	35	8.2	  	160	37.47	  	14	3.28	  	24	5.62	  	178	41.69	  	16	3.75	  	427	96.83	  	14	3.17	  	441	0.73	  	217	50.82	  	210	49.18	  
Special Hospitals	                           	25	4.93	  	189	37.28	  	9	1.78	  	12	2.37	  	263	51.87	  	9	1.78	  	507	95.84	  	22	4.16	  	529	0.88	  	229	45.17	  	278	54.83	  
Total Ordinary	                              	2359	4.66	  	23484	46.34	  	974	1.92	  	2061	4.07	  	20420	40.3	  	1377	2.72	  	50675	96.23	  	1988	3.77	  	52663	87.39	  	27644	54.55	  	23031	45.45	  
ABSENT	                                      	169	7.44	  	958	42.2	  	50	2.2	  	82	3.61	  	928	40.88	  	83	3.66	  	2270	97.42	  	60	2.58	  	2330	3.87	  	1212	53.39	  	1058	46.61	  
POSTAL	                                      	99	4.42	  	903	40.31	  	57	2.54	  	137	6.12	  	986	44.02	  	58	2.59	  	2240	98.77	  	28	1.23	  	2268	3.76	  	1135	50.67	  	1105	49.33	  
PRE_POLL	                                    	158	5.65	  	1230	43.98	  	59	2.11	  	155	5.54	  	1117	39.94	  	78	2.79	  	2797	97.52	  	71	2.48	  	2868	4.76	  	1491	53.31	  	1306	46.69	  
PROVISIONAL	                                 	9	7.2	  	68	54.4	  	3	2.4	  	11	8.8	  	29	23.2	  	5	4	  	125	95.42	  	6	4.58	  	131	0.22	  	85	68	  	40	32	  
Division Summary	                            	2794	4.81	  	26643	45.85	  	1143	1.97	  	2446	4.21	  	23480	40.41	  	1601	2.76	  	58107	96.43	  	2153	3.57	  	60260	96.54	  	31567	54.33	  	26540	45.67	  



Denison (67361)																																		

		GREGSON			BROSZCZYK			HINES			BLACKBURN			# KERR			FORMAL			INFORMAL			TOTAL											
		Andrew		         	Gregory		          	Mat		      	Brent		        	Duncan		         			     			     			     	Two Candidate Preferred		    			    			
		LP			NLP			GRN			DEM			ALP					 			 			 	 GREGSON LP			# KERR ALP					
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Abbotsfield	                                 	339	20.01	  	14	0.83	  	47	2.77	  	48	2.83	  	1246	73.55	  	1694	97.41	  	45	2.59	  	1739	2.71	  	378	22.31	  	1316	77.69	  			
Albuera	                                     	195	40.88	  	2	0.42	  	65	13.63	  	24	5.03	  	191	40.04	  	477	98.96	  	5	1.04	  	482	0.75	  	221	46.33	  	256	53.67	  			
Austins Ferry	                               	447	28.4	  	6	0.38	  	48	3.05	  	51	3.24	  	1022	64.93	  	1574	97.28	  	44	2.72	  	1618	2.52	  	486	30.88	  	1088	69.12	  			
Battery Point	                               	467	41.15	  	6	0.53	  	143	12.6	  	66	5.81	  	453	39.91	  	1135	98.78	  	14	1.22	  	1149	1.79	  	521	45.9	  	614	54.1	  			
Bowen Road	                                  	438	23.5	  	21	1.13	  	76	4.08	  	71	3.81	  	1258	67.49	  	1864	95.25	  	93	4.75	  	1957	3.05	  	520	27.9	  	1344	72.1	  			
Brent Street	                                	210	24.33	  	9	1.04	  	21	2.43	  	24	2.78	  	599	69.41	  	863	96.75	  	29	3.25	  	892	1.39	  	233	27	  	630	73	  			
Cascades	                                    	195	25.26	  	8	1.04	  	140	18.13	  	40	5.18	  	389	50.39	  	772	96.62	  	27	3.38	  	799	1.24	  	225	29.15	  	547	70.85	  
Chigwell	                                    	324	19.87	  	8	0.49	  	28	1.72	  	38	2.33	  	1233	75.6	  	1631	95.72	  	73	4.28	  	1704	2.65	  	350	21.46	  	1281	78.54	  
Claremont	                                   	401	25.02	  	8	0.5	  	43	2.68	  	50	3.12	  	1101	68.68	  	1603	97.09	  	48	2.91	  	1651	2.57	  	444	27.7	  	1159	72.3	  
Collinsvale	                                 	79	22.01	  	3	0.84	  	37	10.31	  	9	2.51	  	231	64.35	  	359	98.09	  	7	1.91	  	366	0.57	  	90	25.07	  	269	74.93	  
Cornelian Bay	                               	214	33.7	  	6	0.94	  	48	7.56	  	21	3.31	  	346	54.49	  	635	97.99	  	13	2.01	  	648	1.01	  	229	36.06	  	406	63.94	  
Cosgrove	                                    	194	24.1	  	14	1.74	  	33	4.1	  	21	2.61	  	543	67.45	  	805	97.58	  	20	2.42	  	825	1.28	  	216	26.83	  	589	73.17	  
Creek Road	                                  	479	36.62	  	9	0.69	  	104	7.95	  	54	4.13	  	662	50.61	  	1308	97.54	  	33	2.46	  	1341	2.09	  	522	39.91	  	786	60.09	  
Cross Street	                                	543	31.83	  	11	0.64	  	106	6.21	  	60	3.52	  	986	57.8	  	1706	97.26	  	48	2.74	  	1754	2.73	  	585	34.29	  	1121	65.71	  
Dynnyrne	                                    	398	37.87	  	3	0.29	  	136	12.94	  	68	6.47	  	446	42.44	  	1051	98.78	  	13	1.22	  	1064	1.66	  	441	41.96	  	610	58.04	  
Elizabeth Street	                            	194	25.53	  	3	0.39	  	113	14.87	  	40	5.26	  	410	53.95	  	760	96.08	  	31	3.92	  	791	1.23	  	212	27.89	  	548	72.11	  
Elwick	                                      	75	16.41	  	5	1.09	  	11	2.41	  	16	3.5	  	350	76.59	  	457	97.03	  	14	2.97	  	471	0.73	  	88	19.26	  	369	80.74	  
Fern Tree	                                   	95	23.17	  	3	0.73	  	115	28.05	  	16	3.9	  	181	44.15	  	410	98.09	  	8	1.91	  	418	0.65	  	120	29.27	  	290	70.73	  
Glenorchy	                                   	748	26.89	  	30	1.08	  	74	2.66	  	91	3.27	  	1839	66.1	  	2782	96.1	  	113	3.9	  	2895	4.51	  	817	29.37	  	1965	70.63	  
Glenorchy East	                              	560	23.8	  	23	0.98	  	71	3.02	  	69	2.93	  	1630	69.27	  	2353	96.43	  	87	3.57	  	2440	3.8	  	619	26.31	  	1734	73.69	  
Goodwood	                                    	190	19.43	  	6	0.61	  	29	2.97	  	28	2.86	  	725	74.13	  	978	96.93	  	31	3.07	  	1009	1.57	  	212	21.68	  	766	78.32	  
Hill Street	                                 	116	30.37	  	3	0.79	  	49	12.83	  	16	4.19	  	198	51.83	  	382	97.2	  	11	2.8	  	393	0.61	  	134	35.08	  	248	64.92	  
Hobart	                                      	178	25.61	  	10	1.44	  	135	19.42	  	43	6.19	  	329	47.34	  	695	97.89	  	15	2.11	  	710	1.11	  	210	30.22	  	485	69.78	  
Hobart Central	                              	61	27.6	  	1	0.45	  	27	12.22	  	9	4.07	  	123	55.66	  	221	98.66	  	3	1.34	  	224	0.35	  	68	30.77	  	153	69.23	  
Hobart North	                                	183	27.81	  	6	0.91	  	52	7.9	  	23	3.5	  	394	59.88	  	658	98.21	  	12	1.79	  	670	1.04	  	202	30.7	  	456	69.3	  
Hobart South	                                	490	31.27	  	9	0.57	  	226	14.42	  	95	6.06	  	747	47.67	  	1567	97.69	  	37	2.31	  	1604	2.5	  	565	36.06	  	1002	63.94	  
Hobart West	                                 	245	25.26	  	7	0.72	  	147	15.15	  	48	4.95	  	523	53.92	  	970	97.78	  	22	2.22	  	992	1.54	  	273	28.14	  	697	71.86	  
Lansdowne Crescent	                          	281	27.79	  	4	0.4	  	139	13.75	  	57	5.64	  	530	52.42	  	1011	98.54	  	15	1.46	  	1026	1.6	  	315	31.16	  	696	68.84	  
Lenah Valley	                                	522	33.27	  	16	1.02	  	113	7.2	  	74	4.72	  	844	53.79	  	1569	97.39	  	42	2.61	  	1611	2.51	  	577	36.78	  	992	63.22	  
Lower Sandy Bay	                             	1206	61.44	  	10	0.51	  	143	7.28	  	74	3.77	  	530	27	  	1963	97.76	  	45	2.24	  	2008	3.13	  	1279	65.16	  	684	34.84	  
Lutana	                                      	167	21.27	  	5	0.64	  	27	3.44	  	26	3.31	  	560	71.34	  	785	96.79	  	26	3.21	  	811	1.26	  	186	23.69	  	599	76.31	  
Montrose	                                    	168	32.06	  	3	0.57	  	12	2.29	  	20	3.82	  	321	61.26	  	524	95.8	  	23	4.2	  	547	0.85	  	185	35.31	  	339	64.69	  
Moonah	                                      	702	30.83	  	32	1.41	  	84	3.69	  	59	2.59	  	1400	61.48	  	2277	96.89	  	73	3.11	  	2350	3.66	  	751	32.98	  	1526	67.02	  
Moonah North	                                	248	30.17	  	13	1.58	  	33	4.01	  	23	2.8	  	505	61.44	  	822	96.37	  	31	3.63	  	853	1.33	  	274	33.33	  	548	66.67	  
Mount Nelson	                                	502	43.24	  	6	0.52	  	104	8.96	  	62	5.34	  	487	41.95	  	1161	98.56	  	17	1.44	  	1178	1.83	  	543	46.77	  	618	53.23	  
Mount Stuart	                                	287	37.96	  	8	1.06	  	63	8.33	  	31	4.1	  	367	48.54	  	756	98.69	  	10	1.31	  	766	1.19	  	314	41.53	  	442	58.47	  
Newdegate	                                   	302	29.35	  	10	0.97	  	111	10.79	  	53	5.15	  	553	53.74	  	1029	96.98	  	32	3.02	  	1061	1.65	  	344	33.43	  	685	66.57	  
New Town	                                    	396	38.26	  	8	0.77	  	75	7.25	  	34	3.29	  	522	50.43	  	1035	98.48	  	16	1.52	  	1051	1.64	  	436	42.13	  	599	57.87	  
Queenborough	                                	209	36.47	  	4	0.7	  	62	10.82	  	25	4.36	  	273	47.64	  	573	98.12	  	11	1.88	  	584	0.91	  	233	40.66	  	340	59.34	  
Roseneath	                                   	40	13.7	  	1	0.34	  	4	1.37	  	6	2.05	  	241	82.53	  	292	97.33	  	8	2.67	  	300	0.47	  	44	15.07	  	248	84.93	  
Rosetta	                                     	393	42.62	  	4	0.43	  	18	1.95	  	30	3.25	  	477	51.74	  	922	98.09	  	18	1.91	  	940	1.46	  	409	44.36	  	513	55.64	  
St Johns Park	                               	104	33.77	  	2	0.65	  	20	6.49	  	9	2.92	  	173	56.17	  	308	96.55	  	11	3.45	  	319	0.5	  	117	37.99	  	191	62.01	  
St Peters	                                   	110	24.72	  	3	0.67	  	66	14.83	  	28	6.29	  	238	53.48	  	445	98.67	  	6	1.33	  	451	0.7	  	132	29.66	  	313	70.34	  
Sandy Bay	                                   	872	51.66	  	6	0.36	  	172	10.19	  	96	5.69	  	542	32.11	  	1688	98.25	  	30	1.75	  	1718	2.67	  	955	56.58	  	733	43.42	  
Sandy Bay Beach	                             	608	60.98	  	3	0.3	  	58	5.82	  	38	3.81	  	290	29.09	  	997	98.71	  	13	1.29	  	1010	1.57	  	642	64.39	  	355	35.61	  
Swan	                                        	167	27.79	  	13	2.16	  	74	12.31	  	32	5.32	  	315	52.41	  	601	96.78	  	20	3.22	  	621	0.97	  	197	32.78	  	404	67.22	  
Taroona	                                     	562	40.72	  	5	0.36	  	152	11.01	  	70	5.07	  	591	42.83	  	1380	97.87	  	30	2.13	  	1410	2.19	  	623	45.14	  	757	54.86	  
Tolosa	                                      	345	22.02	  	12	0.77	  	41	2.62	  	53	3.38	  	1116	71.22	  	1567	95.49	  	74	4.51	  	1641	2.55	  	390	24.89	  	1177	75.11	  
Waimea Heights	                              	423	60.95	  	2	0.29	  	49	7.06	  	25	3.6	  	195	28.1	  	694	98.86	  	8	1.14	  	702	1.09	  	453	65.27	  	241	34.73	  
