House of Representatives - 1998 Election				
National List of Candidates				
				
				
Candidate	Party		Division	State
"LAURENCE, Kylie Mary"	CTA		Blaxland	NSW
"LAVERS, John S"	DEM		Barker	SA
"LAWLER, Ann"	CEC		Hunter	NSW
"LAWLER, Tony"	NP		Parkes	NSW
"LAWN, Graham T"	CTA		Brand	WA
"LAWRENCE, Carmen"	ALP		Fremantle	WA
"LAWRENCE, Fay"	DEM		Capricornia	QLD
"LAWSON, Ian Robert"	IND		Higgins	VIC
"LAWSON, Pam"	GRN		McEwen	VIC
"LEAR, Stephen"	DEM		Lindsay	NSW
"LEE, Anthony"	DEM		Moreton	QLD
"LEE, Michael"	ALP		Dobell	NSW
"LEE, Robert David"	LP		Lowe	NSW
"LEEPER, Amanda"	DEM		La Trobe	VIC
"LEISHMAN, Anne"	NLP		Brand	WA
"LENTERN, Jo-Anne"	GRN		Hughes	NSW
"LESCHEN, Zuvele"	ALP		Indi	VIC
"LETTERS, Frances"	NLP		New England	NSW
"LEVERSEDGE, Carla"	ALP		Wakefield	SA
"LEWIS, Chris"	ALP		Leichhardt	QLD
"LIEBERMAN, Lou"	LP		Indi	VIC
"LINDOP, Maggie"	DEM		Wannon	VIC
"LINDRUM, Janne Clara"	HAN		Warringah	NSW
"LINDSAY, Eamon John"	ALP		Herbert	QLD
"LINDSAY, Peter"	LP		Herbert	QLD
"LIPMAN, David"	IND		Lindsay	NSW
"LIPPLE, Stephen"	DEM		Curtin	WA
"LIPPMANN, Michael"	NLP		Sydney	NSW
"LIVERMORE, Kirsten"	ALP		Capricornia	QLD
"LIVESAY, Robert Eric"	DEM		Calwell	VIC
"LLEWELLYN, Paul"	GWA		Forrest	WA
"LLOYD, Jim"	LP		Robertson	NSW
"LOCK, Patti"	DEM		Moore	WA
"LOCKETT, Mark"	GWA		Stirling	WA
"LOCKHART, Allan"	HAN		Bass	TAS
"LOCKWOOD, Peter"	ALP		Aston	VIC
"LORENTZEN, Nick"	ALP		Mackellar	NSW
"LORENZON, Vladimir"	NLP		Adelaide	SA
"LOWDER, Reginald Lindsay"	HAN		Hughes	NSW
"LOWE, Laurence"	HAN		Bruce	VIC
"LUDWIG, Judith Anne"	FST		Barker	SA
"LUNG, David"	IND		Bennelong	NSW
"LUNSMANN, Anna"	NAN		Sydney	NSW
"LYONS, Michael Francis"	NLP		Mitchell	NSW

"MACAULAY, Rob"	NP		Hunter	NSW
"MACDOUGALL, Scott"	LP		Parkes	NSW
"MACFARLANE, Ian"	LP		Groom	QLD
"MACKELLAR, John Duncan"	IND		Casey	VIC
"MACKENZIE, Peter Boyd"	IND		Ryan	QLD
"MACKLIN, Jenny"	ALP		Jagajaga	VIC
"MACLEAN, Duncan"	HAN		Corangamite	VIC
"MADDIGAN, Gayle"	UNI		Bendigo	VIC
"MADDISON, Philip"	HAN		Banks	NSW
"MAGYAR, Steve"	GWA		Moore	WA
"MAHON, Wendy"	ALP		Bennelong	NSW
"MAISANO, Giancarlo"	IND		Lowe	NSW
"MANKTELOW, Lis"	DEM		Dickson	QLD
"MANSON, Cynthia"	GRN		Lalor	VIC
"MARCIANO, Frank"	ALP		O'Connor	WA
"MARCUCCI, Nino"	IND		Murray	VIC
"MAREK, Paul"	NP		Capricornia	QLD
"MARKHAM, Peter"	DEM		Stirling	WA
"MARONEY, David"	IND		Indi	VIC
"MARTIN, Helen"	DEM		Maribyrnong	VIC
"MARTIN, Stephen"	ALP		Cunningham	NSW
"MASON, Ben James"	NLP		Dunkley	VIC
"MASON, Brenda"	GRN		Brisbane	QLD
"MASON, Ngaire"	NLP		Burke	VIC
"MASON, Ray"	HAN		Jagajaga	VIC
"MATHEW, Dinesh"	GRN		Melbourne Ports	VIC
"MATHEWS, Joy"	ALP		Page	NSW
"MATSON, Murray"	GRN		Kingsford-Smith	NSW
"MATTHEWS, Graham"	DSL		Brisbane	QLD
"MAXWELL, Sherridan"	UNI		Melbourne	VIC
"MAY, Margaret"	LP		McPherson	QLD
"MAYNE, Cynthia"	IND		Groom	QLD
"MAZLOUM, Sami"	UNI		Batman	VIC
"MCALLISTER, Gordon"	GRN		Fraser	ACT
"MCARTHUR, Stewart"	LP		Corangamite	VIC
"MCAULIFFE, Helen"	DEM		Mitchell	NSW
"MCBETH, Adam"	DEM		Bruce	VIC
"MCCARROLL, Nola"	ALP		Berowra	NSW
"MCCARTHY, Brian Francis"	CEC		Canning	WA
"MCCARTHY, Sandra"	ALP		Gilmore	NSW
"MCCLELLAND, Robert"	ALP		Barton	NSW
"MCCLUNG, Jean"	CEC		Hume	NSW
"MCCORMACK, Charlie"	HAN		Kingston	SA
"MCCUBBIN, Jo"	DEM		Gippsland	VIC
"MCDONALD, Alan"	NLP		Bendigo	VIC
"MCDONALD, Leigh"	ARP		Wannon	VIC
"MCDOUGALL, Graeme"	LP		Griffith	QLD
"MCEWEN, Graeme"	ALP		McEwen	VIC
"MCEWEN, Jack"	HAN		Kingsford-Smith	NSW
"MCFARLANE, Jann"	ALP		Stirling	WA
"MCFARLANE, Kay"	GRN		Franklin	TAS
"MCGAURAN, Peter"	NP		Gippsland	VIC
"MCGLADE, Hannah"	DEM		O'Connor	WA
"MCGOLDRICK, Jim"	IND		Hughes	NSW
"MCGUIGAN, John"	CTA		Fadden	QLD
"MCINTOSH, Amanda"	NLP		Isaacs	VIC
"MCKEAN, Ron"	HAN		Kooyong	VIC
"MCKENNA, Brent"	DEM		Melbourne	VIC
"MCKENZIE, Ian"	GRN		Robertson	NSW
"MCKENZIE, Lionel"	IND		Mallee	VIC
"MCKENZIE, Neal"	DEM		Blair	QLD
"MCKEON, John"	GRN		Oxley	QLD
"MCKINNON, Don"	HAN		Farrer	NSW
"MCLAREN, John"	DEM		Casey	VIC
"MCLEAN, Cherrilyn"	LP		Hunter	NSW
"MCLEAN, Kevin Robert"	IND		Dawson	QLD
"MCLEAY, Leo"	ALP		Watson	NSW
"MCLOUGHLIN, Tom"	GRN		Wentworth	NSW
"MCMILLAN, Dan"	DEM		Eden-Monaro	NSW
"MCMULLAN, Bob"	ALP		Fraser	ACT
"MCNAUGHT, Donald Hugh"	HAN		Parkes	NSW
"MCNEILL, Elaine"	FST		Stirling	WA
"MCPHERSON, John"	DEM		Jagajaga	VIC
"MEDDOWS, Peter"	FST		Hunter	NSW
"MEEHAN, Sue"	GRN		Lilley	QLD
"MEIKLE, Jeff"	DEM		Lowe	NSW
"MELHAM, Daryl"	ALP		Banks	NSW
"MIFSUD, Charlie"	LP		Throsby	NSW
"MILES, Chris"	LP		Braddon	TAS
"MILLANE, Bernie"	DEM		Chisholm	VIC
"MILLER, Adam"	HAN		Eden-Monaro	NSW
"MILLER, Juanita"	GWA		Swan	WA
"MILLER, Peter Stanley"	CEC		Maranoa	QLD
"MILLS, Kerry Anne"	HAN		Perth	WA
"MILNE, Colin"	UNI		McMillan	VIC
"MITCHELL, Scott"	NP		Bendigo	VIC
"MOFFAT, Michelle"	IND		Paterson	NSW
"MOLES, Sarah"	GRN		Groom	QLD
"MONLEY, Peter"	LP		New England	NSW
"MONTANI, David"	LP		Perth	WA
"MOORE, John Colinton"	LP		Ryan	QLD
"MOORHEAD, Deeane"	GRN		Bowman	QLD
"MORAN, Mark"	GRN		Adelaide	SA
"MORAND, Maxine"	ALP		Kooyong	VIC
"MORGAN, Peter"	DEM		Braddon	TAS
"MORGAN, Polly"	DEM		Hotham	VIC
"MORISON, Ian"	LP		Canberra	ACT
"MORLEY, Peter"	IND		Bendigo	VIC
"MORONEY, Rebecca"	GRN		Shortland	NSW
"MORRIS, Allan"	ALP		Newcastle	NSW
"MORRIS, Bevan"	NLP		Boothby	SA
"MORRIS, Carmel Monique Duryea"	DEM		Bradfield	NSW
"MORROW, Bruce"	LP		Sydney	NSW
"MORSY, Mohamed Aneis"	UNI		Menzies	VIC
"MORTON, David"	IND		New England	NSW
"MOSSFIELD, Frank"	ALP		Greenway	NSW
"MOTT, David"	DEM		Dobell	NSW
"MOXHAM, Barbara"	DEM		Pearce	WA
"MOYLAN, Judi"	LP		Pearce	WA
"MUIR, Brian"	DEM		Bass	TAS
"MULDOON, Graeme Robert"	CEC		Lyne	NSW
"MULLANE, Collin"	DEM		Brand	WA
"MULLANE, Eleisha"	GRN		Murray	VIC
"MULLIGAN, Peter"	DEM		Parramatta	NSW
"MUMFORD, Trevor"	IND		Fisher	QLD
"MUNRO, Jenny"	IND		Sydney	NSW
"MURNAIN, Anne"	ALP		Gwydir	NSW
"MURPHY, John"	ALP		Lowe	NSW
"MURPHY, Peter W"	HAN		McPherson	QLD
"MURRAY, David J"	CTA		Paterson	NSW
"MYATT, Barry Robert"	HAN		Bowman	QLD

"NAIRN, Gary"	LP		Eden-Monaro	NSW
"NANNELLI, Owen"	CTA		Berowra	NSW
"NATTRASS, Barry"	IND		Northern Territory	NT
"NEAL, Belinda"	ALP		Robertson	NSW
"NEHL, Garry"	NP		Cowper	NSW
"NELSON, Adam"	GRN		Barton	NSW
"NELSON, Brendan"	LP		Bradfield	NSW
"NETTELBECK, Paul"	LP		Melbourne	VIC
"NEVILLE, Paul"	NP		Hinkler	QLD
"NEWELL, Neville"	ALP		Richmond	NSW
"NEWTON, Phil"	LP		Bonython	SA
"NGUYEN, Xuan Thu"	IND		Oxley	QLD
"NICHOLLS, Marc"	DEM		Batman	VIC
"NICHOLLS, Margaret"	LP		Holt	VIC
"NIELSEN, Richard"	GRN		Wide Bay	QLD
"NITSCHKE, Philip"	IND		Menzies	VIC
"NIXON, Bill"	HAN		Greenway	NSW
"NOLAN, Robert Wayne"	GRN		Chifley	NSW
"NOMIKOUDIS, Milton"	UNI		Kooyong	VIC
"NORTON, Brian"	IND		Rankin	QLD
"NOWAKOWSKI, Steven"	GRN		Leichhardt	QLD
"NUGENT, Peter"	LP		Aston	VIC
"NUTTALL, Graham"	IND		New England	NSW

"O'BRIEN, Colin"	DEM		Moncrieff	QLD
"O'BRIEN, Robert"	IND		Wannon	VIC
"O'BYRNE, Michelle"	ALP		Bass	TAS
"O'CONNOR, Gavan"	ALP		Corio	VIC
"O'CONNOR, Shane"	HAN		Reid	NSW
"O'DONNELL, Ray"	ALP		Fisher	QLD
"O'DRISCOLL, Kath"	DSL		Page	NSW
"O'DWYER, Raymond John"	HAN		Tangney	WA
"O'KEEFE, Neil"	ALP		Burke	VIC
"O'KEEFFE, Gerard"	CTA		Lilley	QLD
"O'NEILL, Robert"	CTA		Cunningham	NSW
"O'SULLIVAN, Cameron Mitchell"	LP		Lalor	VIC
"O'TOOLE, Cathy"	ALP		Lindsay	NSW
"OCKENDEN, Trevor"	GRN		Mackellar	NSW
"OLSEN, Kim"	GRN		Maranoa	QLD
"ONSMAN, Yulia"	DEM		Canberra	ACT
"ORR, Dan"	HAN		Throsby	NSW
"OWEN, Andrew"	DEM		Chifley	NSW
"OWENS, Julie"	ALP		North Sydney	NSW

"PALMER, John"	GRN		McPherson	QLD
"PALMER, Rick"	LP		Brand	WA
"PANTANO, Kim"	GRN		Dickson	QLD
"PAPAELLINAS, George"	UNI		Lalor	VIC
"PARKER, David"	LP		Dobell	NSW
"PARKER, Jamie"	GRN		Bennelong	NSW
"PARKER, Ken"	GRN		Kennedy	QLD
"PATERSON, Brett"	DEM		Warringah	NSW
"PATTERSON, Helen"	NLP		Richmond	NSW
"PAULL, Jeffrey"	DEM		Corangamite	VIC
"PAXTON, Derrick"	CTA		Gwydir	NSW
"PAYNE, Geoff"	DSL		Newcastle	NSW
"PAZ, Jurek Alexander"	IND		Indi	VIC
"PEACOCK, Lee"	HAN		Mayo	SA
"PEARCE, Oriel"	CTA		New England	NSW
"PEARCE, Paul"	ALP		Wentworth	NSW
"PEARCE, Ray"	GRN		Hinkler	QLD
"PECK, Ibrahim"	UNI		Werriwa	NSW
"PENFOLD, Andrew"	DEM		Robertson	NSW
"PENHALIGON, John"	HAN		Richmond	NSW
"PENNY, Michael T"	NLP		Macquarie	NSW
"PERCY, John"	DSL		Sydney	NSW
"PERRETT, Jim"	IND		Gwydir	NSW
"PERROTT, Margaret"	DSL		Cunningham	NSW
"PERTH, Michael"			Port Adelaide	SA
"PESUTTO, John"	LP		Hotham	VIC
"PETERS, Julie"	DEM		Melbourne Ports	VIC
"PETERS, Tony"	HAN		Gippsland	VIC
"PETERSON, Murray"	CTA		Watson	NSW
"PETHERBRIDGE, Tim"			Deakin	VIC
"PETROVICH, Serge"	LP		Burke	VIC
"PIEK, Leo"	IND		Richmond	NSW
"PIO, Aooe Boyd"	UNI		Chifley	NSW
"PISS THE FAMILY COURT AND LEGAL AID, Prime Minister John"	ACS		Bennelong	NSW
"PITT, Neil"	HAN		Fadden	QLD
"PLANETA, Chris"	EFF		Kingston	SA
"PLIBERSEK, Tanya"	ALP		Sydney	NSW
"POHLMANN, Greg"	IND		Kennedy	QLD
"POLLNITZ, Aysha"	DEM		Shortland	NSW
"POLLOCK, Michael"	NLP		Gellibrand	VIC
"POLSON, Glenn Alexander"	DEM		Groom	QLD
"POMMER, Elizabeth"	ALP		Maranoa	QLD
"PONG, Henry"	UNI		North Sydney	NSW
"POOLE, Robert"	ALP		McPherson	QLD
"POSTA, Christine"	DEM		Makin	SA
"POSTLE, Bob"	IND		Wide Bay	QLD
"POULARAS, David"	DEM		Reid	NSW
"POULARAS, Manny"	DEM		Prospect	NSW
"POWELL, John"	HAN		Port Adelaide	SA
"POWER, Christine"	ALP		Moore	WA
"PRATT, Graham"	DEM		Kingston	SA
"PRATT, Peter Camden"	LP		Scullin	VIC
"PRESTON, Darin"	DEM		Dawson	QLD
"PRESTON, Frank"	HAN		Burke	VIC
"PRICE, Peta"	DEM		Ballarat	VIC
"PRICE, Roger"	ALP		Chifley	NSW
"PROSSER, Geoff"	LP		Forrest	WA
"PUGH, Rata Hami"	IND		Leichhardt	QLD
"PURVIS, Andrew"	CEC		Capricornia	QLD
"PUTRA, Rick"	HAN		Lindsay	NSW
"PYNE, Christopher"	LP		Sturt	SA

"QUARTLY, Allan"	DEM		Lyne	NSW
"QUAYLE, Michael"	ALP		Dunkley	VIC
"QUICK, Harry"	ALP		Franklin	TAS

"RAFFERTY, Joe"	LP		Watson	NSW
"RAMSEY, Suzanne"	HAN		Adelaide	SA
"RANDALL, Don"	LP		Swan	WA
"RASKOVY, Steve"	IND		Casey	VIC
"RATCLIFFE, Margaret"	CTA		Bradfield	NSW
"RAUNIC, Tony"	LP		Jagajaga	VIC
"RAW, Neil"	DEM		Hindmarsh	SA
"RAWLINSON, Mike"	LP		Isaacs	VIC
"RAZAVIKASHAN, Zahra"	NLP		Chifley	NSW
"REDDY, Peter"	DEM		Greenway	NSW
"REED-SMITH, Denis"	HAN		Isaacs	VIC
"REITH, Peter"	LP		Flinders	VIC
"RENTON, Iain Scott"	DEM		Griffith	QLD
"REYNOLDS, Kent B"	IND		Brand	WA
"RICHARDSON, Martin John"	NLP		Batman	VIC
"RICHARDSON, Terri"	DEM		Cook	NSW
"RICHTER, Dean"	DEM		Kalgoorlie	WA
"RICKARD, Jon"	DEM		Macquarie	NSW
"RIGONI, Paul"	ARP		Aston	VIC
"RINGUET, Marcus"	HAN		Hinkler	QLD
"RIORDAN, Marcia Jane"	IND		Menzies	VIC
"RIPOLL, Bernie"	ALP		Oxley	QLD
"ROBERTS, Lee"	IND		Blair	QLD
"ROBERTS, Patti"	NLP		Canning	WA
"ROBERTS, Robyn"	GRN		Jagajaga	VIC
"ROBERTS, Sean"	GRN		Grayndler	NSW
"ROBINSON, Les"	GRN		Cunningham	NSW
"ROBINSON, Michael D"	CTA		Grayndler	NSW
"ROBSON, Brian"	FST		Indi	VIC
"ROCHER, Allan"	IND		Curtin	WA
"RODHOUSE, Phil"	DEM		Wide Bay	QLD
"ROGERS, Nicole"	GRN		Page	NSW
"ROLLS, Cindy"	CEC		Hinkler	QLD
"RONALDSON, Michael"	LP		Ballarat	VIC
"ROSENBAUM, Helen"	GRN		Batman	VIC
"ROSENTHAL, Stan"	UNI		Hotham	VIC
"ROSS, Nathan"	GRN		Charlton	NSW
"ROTH, Paul"	IND		Brand	WA
"ROWE, Lauri"	LP		Batman	VIC
"ROXON, Nicola"	ALP		Gellibrand	VIC
"RUDD, Kevin"	ALP		Griffith	QLD
"RUDDOCK, Philip"	LP		Berowra	NSW
"RULE, Dele"	IND		Oxley	QLD
"RUSSELL, Glenn"	NLP		North Sydney	NSW
"RUSSELL, Karen"	CTA		Dobell	NSW
"RUTLEDGE, Geoffrey J"	DEM		Paterson	NSW
"RYAN, James"	GRN		Hunter	NSW
"RYAN, John Leonard"	DEM		Fairfax	QLD
"RYAN, Norm"	IND		Indi	VIC
"RYAN, Robert"	DEM		Isaacs	VIC
"RYAN, Steve"	CTA		Gilmore	NSW
"RYDE, Jenny"	GRN		Sydney	NSW
"RYDER, John"	NLP		Grayndler	NSW

"SALIER, Harold"	DEM		Leichhardt	QLD
"SALTER, Alan"	HAN		Hotham	VIC
"SALTER, Wendy"	GRN		Kooyong	VIC
"SAUL, Ben"	DEM		Calare	NSW
"SAVAGE KOOROONYA, Elizabeth"	IND		McEwen	VIC
"SAVOULIAN, Rupen"	DSL		Reid	NSW
"SAWFORD, Rod"	ALP		Port Adelaide	SA
"SCHEKKERMAN, Keith"	GWA		Pearce	WA
"SCHEMBRI, Tina"	IND		Parramatta	NSW
"SCHIRMER, Peter"	HAN		Northern Territory	NT
"SCHUBACK, Peter"	IND		Capricornia	QLD
"SCHULTZ, Alby"	LP		Hume	NSW
"SCHUMANN, John"	DEM		Mayo	SA
"SCIACCA, Con"	ALP		Bowman	QLD
"SCOTT, Anne"	IND		Oxley	QLD
"SCOTT, Bruce"	NP		Maranoa	QLD
"SCOTT, Lance"	IND		Canning	WA
"SEALS, Tony"	DEM		Dunkley	VIC
"SEATON, David"	NLP		Fraser	ACT
"SECKER, Patrick"	LP		Barker	SA
"SEILER, Craig M P"	DEM		Northern Territory	NT
"SEKFY, Paul"	ALP		Cowper	NSW
"SELF, Therese"	PLP		Corio	VIC
"SERCOMBE, Bob"	ALP		Maribyrnong	VIC
"SHARP, Rohan"	DEM		Farrer	NSW
"SHAVE, Lawrence"	IND		Fremantle	WA
"SHAVE, Michelle"	CTA		Canning	WA
"SHAW, Anthony"	DEM		Lalor	VIC
"SHAW, Craig"	DEM		Higgins	VIC
"SHAW, Ted"	HAN		Bonython	SA
"SHEATHER, Les"	HAN		Macquarie	NSW
"SHELLEY, Maureen"	LP		Blaxland	NSW
"SHEPHERD, Ted"	NP		McPherson	QLD
"SHORLAND, Adrian"	UNI		Gellibrand	VIC
"SHOTTON, Les"	GRN		Fisher	QLD
"SHTRAMBRANDT, Arkady G"	UNI		Goldstein	VIC
"SIBELLE, Maurice"	DSL		Melbourne	VIC
"SICARI, Vince"	NAN		Lowe	NSW
"SIDDONS, John"	DEM		Deakin	VIC
"SIDEBOTTOM, Peter Sid"	ALP		Braddon	TAS
"SIMMS, Terrence Lloyd"	IND		Lyne	NSW
"SIMPSON, David"	CEC		Calare	NSW
"SINGH, Kunwar Raj"	UNI		Holt	VIC
"SISSONS, Paul"	HAN		Sturt	SA
"SKYRING, Alan"	IND		Ryan	QLD
"SLIPPER, Peter"	LP		Fisher	QLD
"SLOAN, Mark"	ACS		Blair	QLD
"SLOANE, Garry"	LP		Calare	NSW
"SMART, Gary"	UNI		Casey	VIC
"SMIDT, Basil"	CTA		Casey	VIC
"SMITH, Alan"	HAN		Ryan	QLD
"SMITH, Althea"	DEM		Herbert	QLD
"SMITH, Colin"	GRN		Bruce	VIC
"SMITH, Fay Mary"	GRN		Fadden	QLD
"SMITH, Harvey"	TFP		Bass	TAS
"SMITH, Kevin"	DEM		Indi	VIC
"SMITH, Malcolm"	CTA		Cook	NSW
"SMITH, Mike"	ALP		Fadden	QLD
"SMITH, Neville"	HAN		Kalgoorlie	WA
"SMITH, Peter"	LP		Fraser	ACT
"SMITH, Rebecca Ann"	GRN		Herbert	QLD
"SMITH, Rodney"	HAN		Fowler	NSW
"SMITH, Stephen"	ALP		Perth	WA
"SMITH, Stuart"	CEC		O'Connor	WA
"SMITH, Tony"	IND		Dickson	QLD
"SMITH, Warwick"	LP		Bass	TAS
"SNEDDEN, Fiona"	LP		Melbourne Ports	VIC
"SNOWDON, Warren"	ALP		Northern Territory	NT
"SOMLYAY, Alex"	LP		Fairfax	QLD
"SOOS, Michael"	NLP		Bruce	VIC
"SOUTHCOTT, Andrew"	LP		Boothby	SA
"SPAIN, Anthony John"	DEM		North Sydney	NSW
"SPAIN, Sally"	GRN		Moncrieff	QLD
"SPEIRS, Lyn"	CEC		Bendigo	VIC
"SPENCE, Chris"	HAN		Fraser	ACT
"SPENCER, Mark"	IND		Cowper	NSW
"SPENCER, Rod"	HAN		Higgins	VIC
"SPENDER, Duncan"	IND		Brisbane	QLD
"SPERLING, Karla"	GRN		Throsby	NSW
"SPRINGETT, Bob"	DEM		Bennelong	NSW
"ST CLAIR, Stuart"	NP		New England	NSW
"STARK, Kenneth"	ALP		Kennedy	QLD
"STARKIE, Brad"	DEM		Kooyong	VIC
"STAVROPOULOS, Peter"	SEP		Throsby	NSW
"STELEY, Elaine"	IND		Herbert	QLD
"STENBERG, Andrew"	NLP		La Trobe	VIC
"STEVENS, Mark A"	DEM		Fowler	NSW
"STEWART, Vanessa"	HAN		Moreton	QLD
"STEWART, Wayne"	HAN		Berowra	NSW
"STILES, Ian"	FST		O'Connor	WA
"STONE, Judith"	ALP		Gippsland	VIC
"STONE, Robert"	DEM		Wills	VIC
"STONE, Sharman Nancy"	LP		Murray	VIC
"STONE, Ted"	FST		Forrest	WA
"STOSEGAN, Darrell"	DEM		Aston	VIC
"STOWELL, Pamela"	DEM		Petrie	QLD
"STROPPIANA, Mark"	ALP		Dawson	QLD
"STUART, John"	ALP		Murray	VIC
"SU, Andrew"	UNI		Fowler	NSW
"SUGG, Laurie"	CTA		Kalgoorlie	WA
"SULLIVAN, Kathy Martin"	LP		Moncrieff	QLD
"SWAIN, Mark"	HAN		Herbert	QLD
"SWAN, Wayne"	ALP		Lilley	QLD

"TABACZYNSKI, Bronislaw"	UNI		Stirling	WA
"TABART, Tom"	GRN		Richmond	NSW
"TAHIRI, Hussein"	DEM		Scullin	VIC
"TALBOT, Malcolm Lloyd"	CEC		Swan	WA
"TANG, Lin"	UNI		Barton	NSW
"TANNER, Lindsay James"	ALP		Melbourne	VIC
"TAYLOR, Alexander Nicholas"	IND		Fisher	QLD
"TAYLOR, Cindy"	GRN		Mitchell	NSW
"TAYLOR, Colin"	HAN		Canning	WA
"TAYLOR, Geoff"	DEM		Tangney	WA
"TAYLOR, Kate"	HAN		Newcastle	NSW
"TAYLOR, Lenore"	GRN		Moreton	QLD
"TAYLOR, Margaret"	UNI		Ballarat	VIC
"TEASDALE, Diane"	FST		Murray	VIC
"TENG, Geoffrey"	UNI		Deakin	VIC
"TEUBEN, Bernard"	DEM		Berowra	NSW
"THEODORE, Steve"	IND		Kennedy	QLD
"THEOPHANOUS, Andrew Charles"	ALP		Calwell	VIC
"THOMAS, Jeff"	HAN		La Trobe	VIC
"THOMAS, Steve"	NP		Forrest	WA
"THOMPSON, Cameron"	LP		Blair	QLD
"THOMPSON, Clare"	GRN		Braddon	TAS
"THOMPSON, Gavin"	TFP		Braddon	TAS
"THOMSON, Andrew"	LP		Wentworth	NSW
"THOMSON, Jamie"	GRN		Reid	NSW
"THOMSON, John Dugald"	HAN		Braddon	TAS
"THOMSON, Kelvin"	ALP		Wills	VIC
"THORN, Andrew"	LP		Werriwa	NSW
"THORPE, Alfred James"	ARP		Bendigo	VIC
"THORPE, Robert"	UNI		Gippsland	VIC
"TILLER, Mick"	LP		Fremantle	WA
"TILLEY, Alan"	DEM		Bendigo	VIC
"TIMMS, Len"	HAN		Capricornia	QLD
"TIRAWA, Daniel"	GRN		Isaacs	VIC
"TONGSUMRITH, Penny Ann"	UNI		Reid	NSW
"TONGSUMRITH, Somchai"	UNI		Prospect	NSW
"TOOMEY, Caroline"	GRN		Watson	NSW
"TOOMEY, Mark"	NLP		Chisholm	VIC
"TORNATORE, Samuel"	HAN		Brisbane	QLD
"TORNEY, President"	ACS		Higgins	VIC
"TRAFFICANTE, Robert"	GRN		Higgins	VIC
"TREACY, Paul"	NLP		Maribyrnong	VIC
"TREASURE, Doug"	IND		Gippsland	VIC
"TREBLE, Vicki"	ASP		McEwen	VIC
"TREMLIN, Russ"	ALP		Wide Bay	QLD
"TRENCHER, Simon"	FLR		Oxley	QLD
"TRINDER, Ian Frank"	HAN		Curtin	WA
"TRUSS, Warren"	NP		Wide Bay	QLD
"TUCKEY, Wilson"	LP		O'Connor	WA
"TURNER, Max"	LP		Bendigo	VIC
"TYRRELL, Nolan"	GRN		Melbourne	VIC

"ULASOWSKI, Nikki"	DSL		Canberra	ACT
"UNGER, Paul"	IND		Paterson	NSW
"URQUHART, Peter K"	CTA		Fisher	QLD
"UZUNOSKI, Ilo"	UNI		Mitchell	NSW

"VAILE, Mark"	NP		Lyne	NSW
"VALE, Danna"	LP		Hughes	NSW
"VAN DER HORN, Jennifer Cynthia"	UNI		Cunningham	NSW
"VAN ROOYEN, Jenny"	DEM		Bowman	QLD
"VAN TINTEREN, Sara"	GRN		Rankin	QLD
"VANDERLAND, Jack"	IND		Gippsland	VIC
"VEITCH, Mick"	ALP		Hume	NSW
"VERCO, Natasha"	GRN		Lowe	NSW
"VINCENT, Dave"	IND		Chifley	NSW
"VINCENT, Lyndal"	NLP		Sturt	SA
"VITUE, Mia"	ALP		Wannon	VIC
"VLAHOS, Peter"	LP		Chisholm	VIC
"VOGT, Mervyn"	GRN		Flinders	VIC
"VOIGT, Wolf"	CTA		La Trobe	VIC
"VOSS, Vivien"	ALP		Farrer	NSW
"VOTE, Jim"	CTA		Moreton	QLD

"WADDELL, Andrew"	ALP		Curtin	WA
"WAKEFORD, Craig"	DEM		Cowan	WA
"WAKELIN, Barry"	LP		Grey	SA
"WALKER, Allison Ann"	HAN		Moore	WA
"WALL, David"	DEM		McMillan	VIC
"WALLACE, Jude"	ALP		Higgins	VIC
"WALTERS, Grant J"	UNI		Jagajaga	VIC
"WALTERS, Susan"	GRN		Hotham	VIC
"WARK, David"	DEM		Gellibrand	VIC
"WARWICK, Judy"	ASP		Casey	VIC
"WASHER, Mal"	LP		Moore	WA
"WATSON, John"	CEC		Forrest	WA
"WATTS, Barry Joseph"	CTA		Lyne	NSW
"WEARE, Victor"	HAN		New England	NSW
"WEATHERHEAD, John L"	FST		Gippsland	VIC
"WEBB, Warren"	HAN		Grayndler	NSW
"WEBECK, John"	HAN		Mackellar	NSW
"WEBECK, Robert"	HAN		Bradfield	NSW
"WEETMAN, Nick"	DEM		Grey	SA
"WELLS, Geoffrey"	NLP		Makin	SA
"WELLS, Peter"	FST		McMillan	VIC
"WELSH, Ivan"	IND		Newcastle	NSW
"WELSH, Ivan"	IND		Shortland	NSW
"WENBAN, Warren"	HAN		Page	NSW
"WEST, Andrea"	LP		Bowman	QLD
"WESTON, Olive"	IND		Kingston	SA
"WHAN, Steve"	ALP		Eden-Monaro	NSW
"WHEELDON, Lorraine"	IND		Maranoa	QLD
"WHITE, Brett Ian"	NP		Blair	QLD
"WHITEHEAD, Adrian"	GRN		Corangamite	VIC
"WHITELY, Martin"	ALP		Tangney	WA
"WHITTAKER, Trevor Winston"	HAN		Boothby	SA
"WICKS, Graeme"	HAN		Wide Bay	QLD
"WILEY, John C"	ASP		Ballarat	VIC
"WILKIE, Kim"	ALP		Swan	WA
"WILKINSON, Gary"	NLP		Lowe	NSW
"WILLEY, John"	HAN		Cowper	NSW
"WILLIAMS, Daryl"	LP		Tangney	WA
"WILLIAMS, Harry"	PLP		Newcastle	NSW
