House of Representatives - 1998 Election				
National List of Candidates				
				
				
Candidate	Party		Division	State
"BURKE, Anna Elizabeth"	ALP		Chisholm	VIC
"BURKE, Stephen"	HAN		Mitchell	NSW
"BURT, Ian Richard"	CEC		Kalgoorlie	WA
"BURT, John"	CEC		Pearce	WA
"BURTON, David"	DEM		Parkes	NSW
"BUTLER, Greg"	DEM		Hume	NSW
"BUTSON, Clark"	ALP		Kalgoorlie	WA
"BYRNE, Joshua"	GWA		Tangney	WA

"CADMAN, Alan"	LP		Mitchell	NSW
"CADMORE, Ray"	DEM		Murray	VIC
"CADZOW, Robyn"	HAN		Maranoa	QLD
"CAMERON, Eoin"	LP		Stirling	WA
"CAMERON, Ian"	HAN		Aston	VIC
"CAMERON, Leonie"	IND		Gippsland	VIC
"CAMERON, Ross"	LP		Parramatta	NSW
"CAMFIELD, Bruce"	HAN		Dickson	QLD
"CAMILLERI, Tony"	GRN		Maribyrnong	VIC
"CAMPBELL, Graeme"	FST		Kalgoorlie	WA
"CAMPBELL, Malcolm"	GRN		Ballarat	VIC
"CARD, Marg"	ALP		Ballarat	VIC
"CARKEEK, Mija"	UNI		Isaacs	VIC
"CARR, Tim"	NLP		Bennelong	NSW
"CARTER, Dave"	FST		Bonython	SA
"CARTER, Gemma"	GWA		Perth	WA
"CARTER, Sean"	DEM		McEwen	VIC
"CASHEL, Deb"	GRN		Hindmarsh	SA
"CASLEY, John"	HAN		Menzies	VIC
"CASTILLO, Miguel"	GWA		Cowan	WA
"CASWELL, Allan"	DEM		Kingsford-Smith	NSW
"CAUSLEY, Ian Raymond"	NP		Page	NSW
"CAVUOTO, Romeo"	LP		Port Adelaide	SA
"CHABDJIAN, Dikran"	ACS		Bruce	VIC
"CHALLACOMBE, Jeremy"	NP		Wakefield	SA
"CHANDRASEGARAN, Suryan Robert"	CTA		Tangney	WA
"CHAPMAN DAVIS, Jan"	UNI		Dunkley	VIC
"CHAPPLE, Robin"	GWA		Kalgoorlie	WA
"CHARLES, Bob"	LP		La Trobe	VIC
"CHARLTON, Will"	LP		Maribyrnong	VIC
"CHARLWOOD, Jan"	NLP		Flinders	VIC
"CHEN, Bin"	UNI		Banks	NSW
"CHEN, Guosheng"	UNI		Aston	VIC
"CHESSON, Jo"	ALP		Boothby	SA
"CHUA, Ka-Sing"	UNI		Chisholm	VIC
"CHUNG, Craig"	DEM		Barton	NSW
"CLAIRS, Elspeth"	NLP		Swan	WA
"CLARKE, Frances Mary"	NLP		Gippsland	VIC
"CLARKE, Joanne"	IND		Fraser	ACT
"CLARKE, Lawrence"	NLP		Melbourne	VIC
"CLARKE, Virginia"	ALP		Blair	QLD
"CLAUSEN, Graham Francis"	CTA		Page	NSW
"COCKAYNE, James"	DEM		Werriwa	NSW
"COELLI, Paul Gregory"	HAN		Deakin	VIC
"COGGER, John"	NLP		Parramatta	NSW
"COGGER, Linda"	NLP		Prospect	NSW
"COLBECK, Richard"	LP		Lyons	TAS
"COLES, John"	LP		Chifley	NSW
"COLLINGS, Margaret"	DEM		Wentworth	NSW
"COLLINS, Denis Wilfred"	IND		Riverina	NSW
"COLOSIMO, Frank"	CTA		Ballarat	VIC
"COLUCCIO, Frank"	IND		Cunningham	NSW
