General Information - 1996 Election								
Declaration Votes Issued								
By Division								
								
				                Pre-Poll		            Postal Vote Certificates		
	State/Division	Provisional	Absent	Total Issued	Own Division	Total Issued	Own Division	
	Petrie               	683	4286	2581	906	3304	2993
	Rankin               	1453	4888	2619	851	2074	2074
	Ryan                 	621	5540	3920	1700	2241	1835
	Wide Bay             	703	4597	2959	1924	3658	3431
							
QLD TOTAL             		21728	141715	79082	37926	89355	78720
							
							
Western Australia               							
	Brand                	1716	7993	3190	2334	2194	1873
	Canning              	1272	4124	2245	1097	1593	1416
	Cowan                	1178	4846	1478	826	1544	1369
	Curtin               	1405	7442	2854	1963	2349	1887
	Forrest              	1424	9428	2851	1754	1943	1565
	Fremantle            	1478	4826	2620	1664	1744	1485
	Kalgoorlie           	2400	9787	4394	1838	3051	2209
	Moore                	1225	4206	1654	1160	1644	1486
	O'Connor             	1352	9784	1421	836	2764	2526
	Pearce               	1014	4676	2515	1333	1423	1249
	Perth                	1506	7203	3771	615	4528	1877
	Stirling             	1390	5947	3915	1744	2136	1737
	Swan                 	1536	7216	3623	1397	2567	2281
	Tangney              	983	3615	2452	1528	1641	1422
							
WA  TOTAL             		19879	91093	38983	20089	31121	24382
							
							
South Australia                 							
	Adelaide             	1848	9576	5244	912	4534	3083
	Barker               	1423	6325	1542	873	2686	2464
	Bonython             	1338	4144	2124	1075	1560	1407
	Boothby              	1197	4986	2546	1209	2354	2139
	Grey                 	1768	4303	2241	1284	3648	3356
	Hindmarsh            	1412	5502	1546	966	3495	3159
	Kingston             	1886	3437	1530	1336	2608	2501
	Makin                	1390	3918	2063	1174	2519	2246
	Mayo                 	1406	4246	887	593	1375	1203
	Port Adelaide        	1650	4026	2114	1292	2851	2592
	Sturt                	1578	6073	2508	1098	3019	2431
	Wakefield            	1141	6876	957	462	2086	1876
							
SA  TOTAL             		18037	63412	25302	12274	32735	28457
							
							
Tasmania                        							
	Bass                 	913	2876	4079	2283	3036	2633
	Braddon              	1053	2174	2493	1618	3068	2778
	Denison              	991	4595	4542	2560	3474	3179
	Franklin             	801	2977	2569	2005	2908	2654
	Lyons                	868	10189	   N/A 	   N/A  	2970	2970
							
TAS TOTAL             		4626	22811	13683	8466	15456	14214
							
							
Australian Capital Territory    							
	Canberra             	1178	3039	12600	4741	2844	2020
	Fraser               	820	1307	8088	3683	1595	1297
	Namadgi              	972	1525	6082	3444	1267	1050
							
ACT TOTAL             		2970	5871	26770	11868	5706	4367
							
							
Northern Territory              							
	Northern Territory   	3786	0	8125	3121	3737	2775
							
NT  TOTAL             		3786	0	8125	3121	3737	2775
							
							
Overseas                        							
	Overseas             	0	0	36655	   N/A  	11313	   N/A
							
OS  TOTAL             		0	0	36655	0	11313	0
							
							
Antarctic                       							
	Antarctic            	0	0	217	   N/A  	0	0
							
ANT TOTAL             		0	0	217	0	0	0
							
							
NATIONAL TOTAL        		174422	741342	462494	234822	414163	348194
							


