Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Forde (86672)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Marsden (Forde)		8	0.60		592	44.05		1	0.07		21	1.56		17	1.26		29	2.16		26	1.93		1	0.07		187	13.91		363	27.01		43	3.20		56	4.17		0	0.00		1344	95.39		65	4.61		1409	1.72
Mount Alford		2	0.60		38	11.38		0	0.00		62	18.56		0	0.00		4	1.20		1	0.30		0	0.00		71	21.26		144	43.11		2	0.60		10	2.99		0	0.00		334	97.95		7	2.05		341	0.42
Mount Warren Park		13	0.38		1155	33.76		1	0.03		152	4.44		44	1.29		53	1.55		30	0.88		1	0.03		273	7.98		1424	41.63		38	1.11		237	6.93		0	0.00		3421	95.59		158	4.41		3579	4.36
Nerang West (Forde)		2	0.35		121	21.23		0	0.00		23	4.04		3	0.53		37	6.49		6	1.05		0	0.00		50	8.77		282	49.47		7	1.23		39	6.84		0	0.00		570	97.10		17	2.90		587	0.71
Numinbah Valley		0	0.00		19	17.43		0	0.00		27	24.77		3	2.75		8	7.34		0	0.00		0	0.00		19	17.43		26	23.85		0	0.00		7	6.42		0	0.00		109	96.46		4	3.54		113	0.14
Oxenford		2	0.10		491	23.54		1	0.05		79	3.79		23	1.10		55	2.64		25	1.20		1	0.05		227	10.88		1044	50.05		24	1.15		114	5.47		0	0.00		2086	97.34		57	2.66		2143	2.61
Pacific Pines		2	0.17		307	26.70		0	0.00		37	3.22		11	0.96		31	2.70		10	0.87		1	0.09		101	8.78		581	50.52		13	1.13		56	4.87		0	0.00		1150	97.62		28	2.38		1178	1.43
Park Ridge (Forde)		7	0.31		735	32.51		2	0.09		36	1.59		26	1.15		53	2.34		27	1.19		2	0.09		282	12.47		932	41.22		26	1.15		132	5.84		1	0.04		2261	96.83		74	3.17		2335	2.84
Pimpama		0	0.00		60	18.29		0	0.00		34	10.37		7	2.13		10	3.05		3	0.91		2	0.61		24	7.32		171	52.13		2	0.61		15	4.57		0	0.00		328	98.50		5	1.50		333	0.41
Rathdowney		0	0.00		54	13.53		0	0.00		61	15.29		0	0.00		12	3.01		1	0.25		2	0.50		115	28.82		129	32.33		7	1.75		18	4.51		0	0.00		399	98.28		7	1.72		406	0.49
