Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Bowman (87122)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Vienna Woods		12	0.52		932	40.00		0	0.00		74	3.18		15	0.64		64	2.75		38	1.63		3	0.13		178	7.64		759	32.58		28	1.20		227	9.74		0	0.00		2330	96.48		85	3.52		2415	2.90
Wellington Point		10	0.29		1166	33.38		2	0.06		171	4.90		44	1.26		112	3.21		41	1.17		4	0.11		222	6.36		1389	39.77		21	0.60		311	8.90		0	0.00		3493	96.39		131	3.61		3624	4.36
Wellington Point High		3	0.31		291	29.63		0	0.00		33	3.36		19	1.93		22	2.24		6	0.61		0	0.00		71	7.23		427	43.48		8	0.81		100	10.18		2	0.20		982	98.10		19	1.90		1001	1.20
Wondall Heights (Bowman)		8	0.30		1060	39.94		1	0.04		148	5.58		23	0.87		66	2.49		40	1.51		4	0.15		185	6.97		879	33.12		11	0.41		225	8.48		4	0.15		2654	97.32		73	2.68		2727	3.28
Wynnum		11	0.66		690	41.24		1	0.06		74	4.42		13	0.78		59	3.53		21	1.26		1	0.06		124	7.41		542	32.40		16	0.96		120	7.17		1	0.06		1673	95.60		77	4.40		1750	2.10
Wynnum Central		8	0.53		719	47.49		1	0.07		99	6.54		10	0.66		32	2.11		17	1.12		3	0.20		149	9.84		390	25.76		6	0.40		80	5.28		0	0.00		1514	94.68		85	5.32		1599	1.92
Wynnum North		9	0.42		880	41.33		1	0.05		109	5.12		25	1.17		62	2.91		28	1.32		3	0.14		180	8.45		626	29.40		7	0.33		197	9.25		2	0.09		2129	96.33		81	3.67		2210	2.66
Wynnum North High		4	0.32		544	43.45		1	0.08		56	4.47		10	0.80		34	2.72		15	1.20		1	0.08		100	7.99		341	27.24		7	0.56		136	10.86		3	0.24		1252	97.05		38	2.95		1290	1.55
Wynnum West		13	0.45		1335	46.47		5	0.17		129	4.49		22	0.77		89	3.10		45	1.57		2	0.07		189	6.58		808	28.12		21	0.73		213	7.41		2	0.07		2873	96.44		106	3.56		2979	3.58
Special Hospitals		5	1.00		235	46.91		0	0.00		33	6.59		2	0.40		3	0.60		0	0.00		0	0.00		17	3.39		195	38.92		2	0.40		9	1.80		0	0.00		501	94.71		28	5.29		529	0.64
Total Ordinary		265	0.38		25830	37.52		42	0.06		3280	4.76		633	0.92		1770	2.57		816	1.19		79	0.11		5122	7.44		24834	36.08		565	0.82		5564	8.08		39	0.06		68839	96.48		2511	3.52		71350	85.82
ABSENT		14	0.36		1293	33.71		1	0.03		151	3.94		50	1.30		175	4.56		102	2.66		4	0.10		263	6.86		1386	36.13		57	1.49		337	8.79		3	0.08		3836	98.36		64	1.64		3900	4.69
POSTAL		18	0.49		1524	41.30		2	0.05		137	3.71		50	1.36		76	2.06		14	0.38		6	0.16		272	7.37		1412	38.27		26	0.70		152	4.12		1	0.03		3690	98.35		62	1.65		3752	4.51
PRE_POLL		15	0.43		1073	30.98		1	0.03		151	4.36		47	1.36		90	2.60		42	1.21		4	0.12		262	7.56		1486	42.90		29	0.84		262	7.56		2	0.06		3464	98.13		66	1.87		3530	4.25
PROVISIONAL		1	0.17		255	43.81		0	0.00		19	3.26		8	1.37		29	4.98		23	3.95		0	0.00		32	5.50		163	28.01		15	2.58		36	6.19		1	0.17		582	95.88		25	4.12		607	0.73
Division Summary		313	0.39		29975	37.28		46	0.06		3738	4.65		788	0.98		2140	2.66		997	1.24		93	0.12		5951	7.4		29281	36.41		692	0.86		6351	7.9		46	0.06		80411	96.72		2728	3.28		83139	95.43
