Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Groom (84838)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Kulpi		0	0.00		13	6.95		0	0.00		64	34.22		1	0.53		2	1.07		1	0.53		1	0.53		54	28.88		48	25.67		1	0.53		2	1.07		0	0.00		187	94.44		11	5.56		198	0.25
Maclagan		1	1.01		8	8.08		0	0.00		39	39.39		0	0.00		0	0.00		0	0.00		0	0.00		29	29.29		20	20.20		0	0.00		2	2.02		0	0.00		99	97.06		3	2.94		102	0.13
Meringandan		1	0.16		129	21.18		0	0.00		73	11.99		18	2.96		21	3.45		2	0.33		1	0.16		110	18.06		223	36.62		3	0.49		27	4.43		1	0.16		609	98.23		11	1.77		620	0.77
Middle Ridge		5	0.15		647	19.58		3	0.09		354	10.71		100	3.03		87	2.63		21	0.64		3	0.09		297	8.99		1613	48.80		24	0.73		149	4.51		2	0.06		3305	97.49		85	2.51		3390	4.20
Mount Lofty		5	0.37		411	30.22		2	0.15		114	8.38		49	3.60		59	4.34		22	1.62		2	0.15		123	9.04		501	36.84		13	0.96		58	4.26		1	0.07		1360	98.05		27	1.95		1387	1.72
Mount Tyson		0	0.00		42	17.50		1	0.42		69	28.75		0	0.00		3	1.25		1	0.42		0	0.00		45	18.75		67	27.92		4	1.67		7	2.92		1	0.42		240	97.56		6	2.44		246	0.31
Newtown		11	0.39		916	32.69		3	0.11		219	7.82		39	1.39		71	2.53		44	1.57		4	0.14		324	11.56		952	33.98		38	1.36		178	6.35		3	0.11		2802	96.42		104	3.58		2906	3.60
Nobby		0	0.00		24	11.54		0	0.00		44	21.15		3	1.44		2	0.96		1	0.48		0	0.00		53	25.48		69	33.17		5	2.40		7	3.37		0	0.00		208	99.05		2	0.95		210	0.26
Oakey		4	0.18		615	27.84		6	0.27		300	13.58		30	1.36		51	2.31		19	0.86		3	0.14		435	19.69		650	29.43		44	1.99		49	2.22		3	0.14		2209	97.79		50	2.21		2259	2.80
Pilton		0	0.00		17	10.49		0	0.00		54	33.33		2	1.23		6	3.70		0	0.00		1	0.62		24	14.81		48	29.63		3	1.85		7	4.32		0	0.00		162	99.39		1	0.61		163	0.20
Pittsworth		11	0.65		332	19.59		0	0.00		314	18.53		9	0.53		12	0.71		16	0.94		3	0.18		301	17.76		617	36.40		25	1.47		53	3.13		2	0.12		1695	96.36		64	3.64		1759	2.18
Quinalow		0	0.00		5	3.11		0	0.00		45	27.95		2	1.24		4	2.48		1	0.62		0	0.00		46	28.57		52	32.30		1	0.62		5	3.11		0	0.00		161	96.41		6	3.59		167	0.21
Rangeville		8	0.24		632	18.84		3	0.09		370	11.03		69	2.06		122	3.64		35	1.04		6	0.18		273	8.14		1556	46.38		27	0.80		251	7.48		3	0.09		3355	97.78		76	2.22		3431	4.25
Rockville		6	0.52		395	34.29		5	0.43		95	8.25		36	3.13		30	2.60		19	1.65		0	0.00		150	13.02		339	29.43		19	1.65		56	4.86		2	0.17		1152	96.40		43	3.60		1195	1.48
Ryeford		1	0.66		10	6.58		1	0.66		43	28.29		0	0.00		5	3.29		2	1.32		0	0.00		36	23.68		48	31.58		2	1.32		3	1.97		1	0.66		152	98.06		3	1.94		155	0.19
St Josephs College		3	0.29		246	23.75		3	0.29		99	9.56		21	2.03		47	4.54		7	0.68		0	0.00		109	10.52		409	39.48		9	0.87		83	8.01		0	0.00		1036	98.20		19	1.80		1055	1.31
Southbrook		2	0.58		53	15.45		1	0.29		84	24.49		6	1.75		3	0.87		3	0.87		0	0.00		70	20.41		112	32.65		2	0.58		7	2.04		0	0.00		343	97.44		9	2.56		352	0.44
South End		11	0.60		453	24.77		1	0.05		188	10.28		34	1.86		74	4.05		31	1.69		2	0.11		201	10.99		712	38.93		26	1.42		96	5.25		0	0.00		1829	98.23		33	1.77		1862	2.31
Southtown		3	0.09		834	25.74		3	0.09		319	9.85		90	2.78		106	3.27		54	1.67		2	0.06		321	9.91		1222	37.72		38	1.17		242	7.47		6	0.19		3240	97.94		68	2.06		3308	4.10
The Range		1	0.10		142	13.83		3	0.29		157	15.29		15	1.46		43	4.19		3	0.29		1	0.10		53	5.16		541	52.68		4	0.39		63	6.13		1	0.10		1027	97.35		28	2.65		1055	1.31
Toowoomba City		12	0.82		454	30.88		2	0.14		140	9.52		39	2.65		53	3.61		26	1.77		1	0.07		156	10.61		475	32.31		21	1.43		91	6.19		0	0.00		1470	95.58		68	4.42		1538	1.91
Toowoomba East		8	0.30		626	23.49		4	0.15		208	7.80		53	1.99		116	4.35		32	1.20		6	0.23		180	6.75		1124	42.18		29	1.09		278	10.43		1	0.04		2665	97.19		77	2.81		2742	3.40
Toowoomba North		6	0.62		313	32.23		3	0.31		84	8.65		18	1.85		42	4.33		17	1.75		2	0.21		105	10.81		296	30.48		16	1.65		66	6.80		3	0.31		971	96.91		31	3.09		1002	1.24
Toowoomba Taylor St		8	0.58		471	34.03		2	0.14		118	8.53		20	1.45		52	3.76		30	2.17		3	0.22		144	10.40		418	30.20		23	1.66		93	6.72		2	0.14		1384	97.53		35	2.47		1419	1.76
Toowoomba West		15	0.78		562	29.36		2	0.10		207	10.82		40	2.09		35	1.83		21	1.10		4	0.21		214	11.18		706	36.89		33	1.72		73	3.81		2	0.10		1914	96.62		67	3.38		1981	2.46
Tor Street North		4	0.18		674	30.26		0	0.00		203	9.12		59	2.65		43	1.93		22	0.99		4	0.18		268	12.03		783	35.16		43	1.93		121	5.43		3	0.13		2227	97.98		46	2.02		2273	2.82
Westbrook		1	0.15		115	17.37		1	0.15		89	13.44		8	1.21		10	1.51		5	0.76		0	0.00		129	19.49		269	40.63		8	1.21		27	4.08		0	0.00		662	99.10		6	0.90		668	0.83
Wilsonton		7	0.22		857	27.15		2	0.06		291	9.22		54	1.71		69	2.19		50	1.58		6	0.19		397	12.58		1202	38.07		66	2.09		153	4.85		3	0.10		3157	96.93		100	3.07		3257	4.04
Wyreema		1	0.19		101	18.91		2	0.37		91	17.04		12	2.25		8	1.50		3	0.56		0	0.00		88	16.48		211	39.51		4	0.75		11	2.06		2	0.37		534	98.52		8	1.48		542	0.67
Special Hospitals		2	0.32		180	28.44		3	0.47		98	15.48		9	1.42		12	1.90		1	0.16		1	0.16		40	6.32		276	43.60		3	0.47		8	1.26		0	0.00		633	97.24		18	2.76		651	0.81
Total Ordinary		200	0.30		15640	23.65		90	0.14		7667	11.59		1395	2.11		1866	2.82		789	1.19		85	0.13		8179	12.37		25651	38.79		853	1.29		3633	5.49		82	0.12		66130	97.49		1704	2.51		67834	84.12
ABSENT		15	0.32		1071	22.63		8	0.17		639	13.50		81	1.71		148	3.13		112	2.37		9	0.19		521	11.01		1650	34.87		88	1.86		387	8.18		3	0.06		4732	98.50		72	1.50		4804	5.96
POSTAL		12	0.32		745	19.80		3	0.08		647	17.20		78	2.07		72	1.91		14	0.37		4	0.11		532	14.14		1458	38.76		30	0.80		158	4.20		9	0.24		3762	98.53		56	1.47		3818	4.73
PRE_POLL		8	0.23		741	21.52		5	0.15		415	12.05		65	1.89		91	2.64		29	0.84		7	0.20		389	11.30		1466	42.58		34	0.99		192	5.58		1	0.03		3443	98.91		38	1.09		3481	4.32
PROVISIONAL		2	0.29		203	29.25		0	0.00		47	6.77		12	1.73		29	4.18		13	1.87		1	0.14		84	12.10		233	33.57		25	3.60		45	6.48		0	0.00		694	98.72		9	1.28		703	0.87
Division Summary		237	0.3		18400	23.36		106	0.13		9415	11.95		1631	2.07		2206	2.8		957	1.22		106	0.13		9705	12.32		30458	38.67		1030	1.31		4415	5.61		95	0.12		78761	97.67		1879	2.33		80640	95.05
