Senate - 2001 Election: Queensland																																																
First Preference Votes by Group																																																
By Polling Place																																																
Fadden (86004)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Russell Island		4	0.53		289	38.33		0	0.00		18	2.39		2	0.27		16	2.12		18	2.39		2	0.27		107	14.19		257	34.08		6	0.80		35	4.64		0	0.00		754	94.49		44	5.51		798	0.98
Shailer Park (Fadden)		11	0.26		1164	27.49		5	0.12		197	4.65		78	1.84		94	2.22		46	1.09		2	0.05		251	5.93		2012	47.51		54	1.28		321	7.58		0	0.00		4235	97.27		119	2.73		4354	5.34
Slacks Creek (Fadden)		13	0.34		1149	30.28		1	0.03		207	5.46		65	1.71		83	2.19		37	0.98		3	0.08		227	5.98		1668	43.96		39	1.03		299	7.88		3	0.08		3794	95.74		169	4.26		3963	4.86
Springwood Central		7	0.34		638	30.87		0	0.00		118	5.71		31	1.50		46	2.23		25	1.21		1	0.05		142	6.87		899	43.49		17	0.82		143	6.92		0	0.00		2067	96.18		82	3.82		2149	2.63
Springwood Road		8	0.20		1185	29.22		1	0.02		202	4.98		59	1.45		104	2.56		63	1.55		7	0.17		238	5.87		1832	45.17		44	1.08		309	7.62		4	0.10		4056	96.71		138	3.29		4194	5.14
Victoria Point		12	0.31		1164	30.11		2	0.05		166	4.29		34	0.88		104	2.69		25	0.65		4	0.10		316	8.17		1769	45.76		16	0.41		254	6.57		0	0.00		3866	96.07		158	3.93		4024	4.93
Victoria Point South		7	0.30		727	31.65		0	0.00		116	5.05		22	0.96		30	1.31		23	1.00		2	0.09		178	7.75		1022	44.49		21	0.91		147	6.40		2	0.09		2297	96.27		89	3.73		2386	2.92
Woongoolba		2	0.27		183	25.03		0	0.00		74	10.12		4	0.55		7	0.96		7	0.96		1	0.14		131	17.92		299	40.90		5	0.68		17	2.33		1	0.14		731	96.82		24	3.18		755	0.93
Special Hospitals		1	0.48		50	23.92		4	1.91		15	7.18		2	0.96		1	0.48		0	0.00		1	0.48		10	4.78		117	55.98		1	0.48		7	3.35		0	0.00		209	97.21		6	2.79		215	0.26
Total Ordinary		188	0.29		18088	27.72		29	0.04		3086	4.73		673	1.03		1542	2.36		673	1.03		64	0.10		5863	8.99		30605	46.90		557	0.85		3852	5.90		33	0.05		65253	96.36		2466	3.64		67719	83.01
ABSENT		16	0.29		1551	27.98		4	0.07		193	3.48		78	1.41		268	4.83		114	2.06		6	0.11		454	8.19		2388	43.07		81	1.46		387	6.98		4	0.07		5544	98.02		112	1.98		5656	6.93
POSTAL		8	0.21		904	24.20		1	0.03		147	3.94		35	0.94		56	1.50		20	0.54		4	0.11		361	9.67		1971	52.77		29	0.78		197	5.27		2	0.05		3735	98.50		57	1.50		3792	4.65
PRE_POLL		8	0.22		1006	27.06		0	0.00		119	3.20		36	0.97		74	1.99		33	0.89		5	0.13		346	9.31		1833	49.31		39	1.05		216	5.81		2	0.05		3717	97.64		90	2.36		3807	4.67
PROVISIONAL		3	0.51		187	31.75		0	0.00		13	2.21		4	0.68		29	4.92		19	3.23		1	0.17		49	8.32		246	41.77		10	1.70		28	4.75		0	0.00		589	97.19		17	2.81		606	0.74
Division Summary		223	0.28		21736	27.57		34	0.04		3558	4.51		826	1.05		1969	2.5		859	1.09		80	0.1		7073	8.97		37043	46.99		716	0.91		4680	5.94		41	0.05		78838	96.64		2742	3.36		81580	94.86
