Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Capricornia (81499)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Jericho		1	0.85		32	27.12		0	0.00		39	33.05		1	0.85		1	0.85		1	0.85		0	0.00		22	18.64		20	16.95		0	0.00		1	0.85		0	0.00		118	96.72		4	3.28		122	0.16
Keppel Sands		4	1.29		139	44.69		1	0.32		52	16.72		0	0.00		8	2.57		3	0.96		0	0.00		62	19.94		37	11.90		0	0.00		5	1.61		0	0.00		311	95.99		13	4.01		324	0.42
Kilcummin		0	0.00		3	4.11		0	0.00		44	60.27		0	0.00		0	0.00		1	1.37		0	0.00		9	12.33		14	19.18		0	0.00		2	2.74		0	0.00		73	98.65		1	1.35		74	0.10
Koongal		2	0.28		368	51.61		0	0.00		60	8.42		7	0.98		18	2.52		6	0.84		1	0.14		82	11.50		132	18.51		9	1.26		28	3.93		0	0.00		713	96.61		25	3.39		738	0.95
Lakes Creek		8	0.93		391	45.47		3	0.35		122	14.19		7	0.81		25	2.91		8	0.93		0	0.00		130	15.12		125	14.53		12	1.40		28	3.26		1	0.12		860	96.41		32	3.59		892	1.15
Longreach		9	0.50		596	33.04		0	0.00		465	25.78		18	1.00		13	0.72		16	0.89		0	0.00		204	11.31		423	23.45		15	0.83		44	2.44		1	0.06		1804	95.96		76	4.04		1880	2.42
Marlborough		0	0.00		27	18.24		1	0.68		65	43.92		0	0.00		3	2.03		2	1.35		0	0.00		16	10.81		30	20.27		2	1.35		2	1.35		0	0.00		148	98.67		2	1.33		150	0.19
Middlemount		8	1.03		492	63.32		1	0.13		67	8.62		6	0.77		7	0.90		5	0.64		0	0.00		51	6.56		106	13.64		7	0.90		26	3.35		1	0.13		777	98.35		13	1.65		790	1.02
Moranbah		4	0.31		845	65.86		3	0.23		75	5.85		13	1.01		13	1.01		3	0.23		3	0.23		96	7.48		158	12.31		9	0.70		61	4.75		0	0.00		1283	98.54		19	1.46		1302	1.68
Moranbah West		5	0.34		833	56.36		2	0.14		129	8.73		12	0.81		20	1.35		14	0.95		0	0.00		129	8.73		264	17.86		22	1.49		47	3.18		1	0.07		1478	98.80		18	1.20		1496	1.93
