Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Fisher (85315)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Minyama		1	0.15		113	17.04		0	0.00		30	4.52		5	0.75		10	1.51		7	1.06		1	0.15		50	7.54		401	60.48		7	1.06		38	5.73		0	0.00		663	97.93		14	2.07		677	0.84
Mooloolaba		12	0.35		805	23.73		1	0.03		146	4.30		23	0.68		182	5.36		60	1.77		4	0.12		244	7.19		1601	47.19		41	1.21		272	8.02		2	0.06		3393	97.11		101	2.89		3494	4.32
Mooloolah		3	0.26		315	27.75		2	0.18		59	5.20		16	1.41		72	6.34		26	2.29		0	0.00		145	12.78		401	35.33		12	1.06		82	7.22		2	0.18		1135	97.59		28	2.41		1163	1.44
Mountain Creek		7	0.21		741	22.65		1	0.03		106	3.24		32	0.98		87	2.66		27	0.83		2	0.06		305	9.32		1721	52.60		28	0.86		212	6.48		3	0.09		3272	97.76		75	2.24		3347	4.14
Ocean View Avenue		1	0.09		239	22.65		3	0.28		34	3.22		9	0.85		45	4.27		14	1.33		1	0.09		103	9.76		505	47.87		8	0.76		91	8.63		2	0.19		1055	97.15		31	2.85		1086	1.34
Palmwoods		11	0.58		387	20.52		2	0.11		125	6.63		46	2.44		96	5.09		30	1.59		1	0.05		232	12.30		798	42.31		20	1.06		137	7.26		1	0.05		1886	97.12		56	2.88		1942	2.40
Shelly Beach		6	0.43		366	26.48		0	0.00		107	7.74		5	0.36		65	4.70		14	1.01		1	0.07		105	7.60		594	42.98		8	0.58		110	7.96		1	0.07		1382	96.64		48	3.36		1430	1.77
Sippy Downs		2	0.11		427	24.40		3	0.17		41	2.34		39	2.23		49	2.80		20	1.14		1	0.06		159	9.09		868	49.60		22	1.26		116	6.63		3	0.17		1750	98.15		33	1.85		1783	2.20
Warana		1	0.16		192	29.86		0	0.00		11	1.71		26	4.04		18	2.80		7	1.09		1	0.16		65	10.11		288	44.79		7	1.09		27	4.20		0	0.00		643	96.40		24	3.60		667	0.82
Woombye		3	0.18		350	21.19		0	0.00		181	10.96		48	2.91		86	5.21		22	1.33		2	0.12		171	10.35		653	39.53		9	0.54		125	7.57		2	0.12		1652	98.27		29	1.73		1681	2.08
Wurtulla		5	0.54		262	28.14		0	0.00		38	4.08		9	0.97		19	2.04		11	1.18		3	0.32		126	13.53		399	42.86		8	0.86		51	5.48		0	0.00		931	96.48		34	3.52		965	1.19
Special Hospitals		2	0.61		106	32.12		0	0.00		25	7.58		2	0.61		2	0.61		1	0.30		2	0.61		12	3.64		173	52.42		1	0.30		4	1.21		0	0.00		330	94.83		18	5.17		348	0.43
Total Ordinary		188	0.29		15909	24.75		42	0.07		3259	5.07		789	1.23		2621	4.08		815	1.27		57	0.09		6393	9.95		29186	45.41		615	0.96		4336	6.75		62	0.10		64272	97.08		1934	2.92		66206	81.80
ABSENT		12	0.28		1007	23.54		4	0.09		201	4.70		65	1.52		259	6.06		95	2.22		10	0.23		351	8.21		1823	42.62		65	1.52		382	8.93		3	0.07		4277	98.73		55	1.27		4332	5.35
POSTAL		10	0.26		800	20.94		4	0.10		223	5.84		28	0.73		67	1.75		20	0.52		4	0.10		401	10.50		2006	52.51		33	0.86		218	5.71		6	0.16		3820	98.07		75	1.93		3895	4.81
PRE_POLL		20	0.36		1308	23.59		4	0.07		245	4.42		58	1.05		158	2.85		53	0.96		1	0.02		597	10.77		2742	49.46		40	0.72		314	5.66		4	0.07		5544	98.79		68	1.21		5612	6.93
PROVISIONAL		6	0.69		257	29.71		2	0.23		17	1.97		8	0.92		50	5.78		23	2.66		1	0.12		90	10.40		340	39.31		14	1.62		56	6.47		1	0.12		865	96.97		27	3.03		892	1.10
Division Summary		236	0.3		19281	24.48		56	0.07		3945	5.01		948	1.2		3155	4		1006	1.28		73	0.09		7832	9.94		36097	45.82		767	0.97		5306	6.74		76	0.1		78778	97.33		2159	2.67		80937	94.87
