Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Leichhardt (85689)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Kuranda		3	0.19		472	30.37		1	0.06		39	2.51		7	0.45		202	13.00		32	2.06		2	0.13		187	12.03		477	30.69		8	0.51		124	7.98		0	0.00		1554	96.76		52	3.24		1606	2.03
Laura		0	0.00		35	56.45		0	0.00		4	6.45		0	0.00		2	3.23		0	0.00		0	0.00		5	8.06		13	20.97		2	3.23		1	1.61		0	0.00		62	96.88		2	3.13		64	0.08
Lockhart River		10	3.65		186	67.88		3	1.09		4	1.46		2	0.73		8	2.92		3	1.09		1	0.36		3	1.09		37	13.50		14	5.11		3	1.09		0	0.00		274	86.98		41	13.02		315	0.40
Machans Beach		0	0.00		180	33.21		0	0.00		11	2.03		2	0.37		98	18.08		12	2.21		0	0.00		52	9.59		136	25.09		4	0.74		46	8.49		1	0.18		542	98.37		9	1.63		551	0.70
Manunda		4	0.31		419	32.84		0	0.00		84	6.58		5	0.39		87	6.82		21	1.65		1	0.08		128	10.03		452	35.42		10	0.78		63	4.94		2	0.16		1276	96.08		52	3.92		1328	1.68
Miallo		4	1.19		49	14.63		0	0.00		31	9.25		0	0.00		15	4.48		2	0.60		0	0.00		62	18.51		152	45.37		2	0.60		18	5.37		0	0.00		335	96.54		12	3.46		347	0.44
Mossman		9	0.52		585	33.54		1	0.06		164	9.40		7	0.40		52	2.98		25	1.43		2	0.11		244	13.99		558	32.00		19	1.09		77	4.42		1	0.06		1744	95.82		76	4.18		1820	2.30
Mount Molloy		1	0.57		42	23.86		1	0.57		11	6.25		1	0.57		15	8.52		4	2.27		0	0.00		40	22.73		44	25.00		4	2.27		12	6.82		1	0.57		176	97.78		4	2.22		180	0.23
Napranum		5	1.47		243	71.26		1	0.29		13	3.81		1	0.29		1	0.29		4	1.17		1	0.29		4	1.17		49	14.37		14	4.11		5	1.47		0	0.00		341	93.94		22	6.06		363	0.46
New Mapoon		4	2.16		129	69.73		1	0.54		5	2.70		7	3.78		2	1.08		0	0.00		0	0.00		3	1.62		23	12.43		10	5.41		1	0.54		0	0.00		185	95.36		9	4.64		194	0.25
