Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Wide Bay (81391)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Goovigen		0	0.00		21	14.19		3	2.03		65	43.92		0	0.00		0	0.00		3	2.03		0	0.00		41	27.70		10	6.76		1	0.68		3	2.03		1	0.68		148	93.67		10	6.33		158	0.20
Granville		4	0.22		654	36.01		4	0.22		391	21.53		21	1.16		41	2.26		28	1.54		3	0.17		366	20.15		191	10.52		47	2.59		62	3.41		4	0.22		1816	97.27		51	2.73		1867	2.41
Gunalda		3	0.76		88	22.34		2	0.51		110	27.92		8	2.03		13	3.30		12	3.05		1	0.25		98	24.87		32	8.12		4	1.02		21	5.33		2	0.51		394	97.77		9	2.23		403	0.52
Gundiah		0	0.00		17	11.33		0	0.00		61	40.67		1	0.67		4	2.67		3	2.00		0	0.00		30	20.00		27	18.00		2	1.33		5	3.33		0	0.00		150	99.34		1	0.66		151	0.19
Howard		0	0.00		356	34.03		3	0.29		158	15.11		3	0.29		17	1.63		18	1.72		2	0.19		320	30.59		119	11.38		15	1.43		34	3.25		1	0.10		1046	95.35		51	4.65		1097	1.42
Jambin		2	0.91		24	10.91		4	1.82		115	52.27		1	0.45		3	1.36		2	0.91		0	0.00		49	22.27		15	6.82		2	0.91		2	0.91		1	0.45		220	98.21		4	1.79		224	0.29
Kawungan		7	0.33		637	30.12		3	0.14		397	18.77		28	1.32		42	1.99		39	1.84		3	0.14		249	11.77		582	27.52		29	1.37		91	4.30		8	0.38		2115	97.74		49	2.26		2164	2.79
Kilkivan		0	0.00		106	23.25		1	0.22		155	33.99		4	0.88		8	1.75		8	1.75		0	0.00		94	20.61		57	12.50		6	1.32		16	3.51		1	0.22		456	97.44		12	2.56		468	0.60
Lawgi		0	0.00		1	0.91		2	1.82		69	62.73		0	0.00		0	0.00		0	0.00		1	0.91		30	27.27		6	5.45		1	0.91		0	0.00		0	0.00		110	99.10		1	0.90		111	0.14
Maryborough		23	0.61		1253	33.29		8	0.21		769	20.43		59	1.57		111	2.95		65	1.73		3	0.08		668	17.75		600	15.94		59	1.57		139	3.69		7	0.19		3764	96.24		147	3.76		3911	5.05
Maryborough West		7	0.28		925	37.57		2	0.08		549	22.30		30	1.22		70	2.84		42	1.71		1	0.04		421	17.10		269	10.93		43	1.75		98	3.98		5	0.20		2462	96.25		96	3.75		2558	3.30
Mondure		0	0.00		7	4.49		0	0.00		61	39.10		6	3.85		0	0.00		1	0.64		0	0.00		59	37.82		20	12.82		2	1.28		0	0.00		0	0.00		156	96.89		5	3.11		161	0.21
