Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Dickson (88001)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Everton Park (Dickson)		7	0.68		0	0.00		0	0.00		7	0.68		349	34.12		7	0.68		1	0.10		1	0.10		358	35.00		0	0.00		0	0.00		0	0.00		0	0.00		24	2.35		5	0.49		0	0.00		0	0.00		29	2.83		12	1.17		0	0.00		0	0.00		12	1.17		20	1.96		2	0.20		0	0.00		0	0.00		22	2.15		10	0.98		2	0.20		0	0.00		12	1.17		2	0.20		0	0.00		0	0.00		2	0.20		51	4.99		10	0.98		1	0.10		0	0.00		0	0.00		62	6.06		411	40.18		8	0.78		2	0.20		1	0.10		0	0.00		422	41.25		7	0.68		0	0.00		0	0.00		7	0.68		80	7.82		8	0.78		0	0.00		0	0.00		88	8.60		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		2	0.20		1023	96.51		37	3.49		1060	1.25																																													
	Everton Park North (Dickson)		4	0.35		1	0.09		0	0.00		5	0.44		333	29.06		5	0.44		2	0.17		2	0.17		342	29.84		0	0.00		0	0.00		0	0.00		0	0.00		27	2.36		3	0.26		0	0.00		0	0.00		30	2.62		16	1.40		2	0.17		2	0.17		20	1.75		32	2.79		11	0.96		0	0.00		0	0.00		43	3.75		16	1.40		3	0.26		0	0.00		19	1.66		1	0.09		0	0.00		0	0.00		1	0.09		43	3.75		6	0.52		0	0.00		0	0.00		0	0.00		49	4.28		490	42.76		6	0.52		0	0.00		0	0.00		0	0.00		496	43.28		12	1.05		1	0.09		0	0.00		13	1.13		115	10.03		10	0.87		0	0.00		2	0.17		127	11.08		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		1146	97.53		29	2.47		1175	1.39																																													
	Ferny Grove (Dickson)		6	0.17		5	0.14		0	0.00		11	0.30		1065	29.35		26	0.72		5	0.14		6	0.17		1102	30.37		2	0.06		0	0.00		0	0.00		2	0.06		112	3.09		24	0.66		0	0.00		0	0.00		136	3.75		50	1.38		10	0.28		2	0.06		62	1.71		103	2.84		15	0.41		0	0.00		3	0.08		121	3.33		49	1.35		2	0.06		0	0.00		51	1.41		7	0.19		2	0.06		0	0.00		9	0.25		141	3.89		23	0.63		0	0.00		0	0.00		1	0.03		165	4.55		1509	41.58		18	0.50		5	0.14		1	0.03		3	0.08		1536	42.33		30	0.83		1	0.03		0	0.00		31	0.85		370	10.20		27	0.74		2	0.06		2	0.06		401	11.05		2	0.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.06		3629	97.74		84	2.26		3713	4.38																																													
	Ferny Hills		7	0.25		0	0.00		1	0.04		8	0.28		869	30.47		13	0.46		3	0.11		4	0.14		889	31.17		1	0.04		1	0.04		0	0.00		2	0.07		98	3.44		16	0.56		1	0.04		1	0.04		116	4.07		29	1.02		3	0.11		0	0.00		32	1.12		113	3.96		15	0.53		0	0.00		0	0.00		128	4.49		49	1.72		6	0.21		0	0.00		55	1.93		6	0.21		0	0.00		0	0.00		6	0.21		130	4.56		23	0.81		0	0.00		0	0.00		0	0.00		153	5.36		1072	37.59		19	0.67		4	0.14		0	0.00		2	0.07		1097	38.46		28	0.98		0	0.00		0	0.00		28	0.98		296	10.38		34	1.19		1	0.04		3	0.11		334	11.71		1	0.04		0	0.00		0	0.00		1	0.04		1	0.04		0	0.00		0	0.00		1	0.04		4	0.14		2852	98.01		58	1.99		2910	3.43																																													
	Ferny Hills North		9	0.27		0	0.00		1	0.03		10	0.30		996	29.72		25	0.75		3	0.09		1	0.03		1025	30.59		1	0.03		0	0.00		0	0.00		1	0.03		127	3.79		16	0.48		0	0.00		0	0.00		143	4.27		40	1.19		10	0.30		3	0.09		53	1.58		115	3.43		23	0.69		0	0.00		3	0.09		141	4.21		39	1.16		3	0.09		2	0.06		44	1.31		3	0.09		0	0.00		0	0.00		3	0.09		116	3.46		17	0.51		0	0.00		0	0.00		0	0.00		133	3.97		1353	40.38		29	0.87		8	0.24		0	0.00		3	0.09		1393	41.57		24	0.72		0	0.00		0	0.00		24	0.72		331	9.88		42	1.25		0	0.00		5	0.15		378	11.28		1	0.03		0	0.00		0	0.00		0	0.00		1	0.03		0	0.00		0	0.00		1	0.03		3	0.09		3351	97.98		69	2.02		3420	4.03																																													
	Grovely (Dickson)		8	0.42		1	0.05		0	0.00		9	0.47		652	33.89		10	0.52		2	0.10		1	0.05		665	34.56		0	0.00		0	0.00		0	0.00		0	0.00		47	2.44		4	0.21		0	0.00		0	0.00		51	2.65		15	0.78		11	0.57		0	0.00		26	1.35		59	3.07		10	0.52		0	0.00		2	0.10		71	3.69		37	1.92		5	0.26		0	0.00		42	2.18		2	0.10		0	0.00		0	0.00		2	0.10		78	4.05		8	0.42		1	0.05		0	0.00		0	0.00		87	4.52		754	39.19		10	0.52		4	0.21		0	0.00		2	0.10		770	40.02		10	0.52		0	0.00		0	0.00		10	0.52		165	8.58		19	0.99		1	0.05		4	0.21		189	9.82		1	0.05		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		1924	97.47		50	2.53		1974	2.33																																													
	Kallangur		21	0.45		2	0.04		0	0.00		23	0.49		1932	41.38		20	0.43		3	0.06		1	0.02		1956	41.89		5	0.11		2	0.04		0	0.00		7	0.15		131	2.81		10	0.21		0	0.00		0	0.00		141	3.02		55	1.18		8	0.17		1	0.02		64	1.37		140	3.00		8	0.17		0	0.00		3	0.06		151	3.23		65	1.39		4	0.09		0	0.00		69	1.48		8	0.17		0	0.00		0	0.00		8	0.17		369	7.90		28	0.60		0	0.00		1	0.02		0	0.00		398	8.52		1452	31.10		15	0.32		3	0.06		0	0.00		4	0.09		1474	31.57		86	1.84		0	0.00		1	0.02		87	1.86		277	5.93		10	0.21		1	0.02		1	0.02		289	6.19		0	0.00		0	0.00		1	0.02		0	0.00		1	0.02		0	0.00		0	0.00		0	0.00		2	0.04		4669	96.37		176	3.63		4845	5.72																																													
	Kallangur East		6	0.42		2	0.14		0	0.00		8	0.56		569	39.87		10	0.70		2	0.14		0	0.00		581	40.71		2	0.14		0	0.00		0	0.00		2	0.14		45	3.15		4	0.28		0	0.00		0	0.00		49	3.43		21	1.47		2	0.14		0	0.00		23	1.61		30	2.10		3	0.21		0	0.00		2	0.14		35	2.45		23	1.61		1	0.07		0	0.00		24	1.68		0	0.00		0	0.00		0	0.00		0	0.00		109	7.64		12	0.84		0	0.00		0	0.00		0	0.00		121	8.48		431	30.20		4	0.28		1	0.07		0	0.00		2	0.14		438	30.69		23	1.61		1	0.07		0	0.00		24	1.68		110	7.71		6	0.42		1	0.07		2	0.14		119	8.34		1	0.07		0	0.00		1	0.07		0	0.00		1	0.07		0	0.00		0	0.00		0	0.00		3	0.21		1427	97.07		43	2.93		1470	1.73																																													
	Kallangur West		4	0.54		1	0.13		0	0.00		5	0.67		293	39.43		1	0.13		0	0.00		2	0.27		296	39.84		0	0.00		0	0.00		0	0.00		0	0.00		15	2.02		1	0.13		0	0.00		1	0.13		17	2.29		5	0.67		2	0.27		0	0.00		7	0.94		32	4.31		4	0.54		0	0.00		0	0.00		36	4.85		11	1.48		1	0.13		0	0.00		12	1.62		1	0.13		0	0.00		0	0.00		1	0.13		53	7.13		6	0.81		0	0.00		0	0.00		0	0.00		59	7.94		224	30.15		3	0.40		0	0.00		0	0.00		1	0.13		228	30.69		18	2.42		0	0.00		0	0.00		18	2.42		60	8.08		4	0.54		0	0.00		0	0.00		64	8.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		743	97.76		17	2.24		760	0.90																																													
	Keperra (Dickson)		1	0.21		0	0.00		0	0.00		1	0.21		136	29.00		5	1.07		1	0.21		0	0.00		142	30.28		0	0.00		0	0.00		0	0.00		0	0.00		19	4.05		4	0.85		0	0.00		0	0.00		23	4.90		14	2.99		2	0.43		0	0.00		16	3.41		10	2.13		3	0.64		0	0.00		0	0.00		13	2.77		4	0.85		1	0.21		1	0.21		6	1.28		0	0.00		0	0.00		0	0.00		0	0.00		26	5.54		9	1.92		0	0.00		0	0.00		0	0.00		35	7.46		185	39.45		4	0.85		0	0.00		0	0.00		0	0.00		189	40.30		3	0.64		1	0.21		0	0.00		4	0.85		35	7.46		3	0.64		0	0.00		0	0.00		38	8.10		1	0.21		0	0.00		0	0.00		1	0.21		0	0.00		0	0.00		0	0.00		0	0.00		2	0.43		469	97.91		10	2.09		479	0.57																																													
