Senate - 2001 Election: Queensland 																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Lilley (87642)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Clayfield		7	0.41		1	0.06		1	0.06		9	0.53		389	23.06		10	0.59		4	0.24		1	0.06		404	23.95		0	0.00		0	0.00		0	0.00		0	0.00		163	9.66		18	1.07		0	0.00		0	0.00		181	10.73		1	0.06		1	0.06		1	0.06		3	0.18		48	2.85		3	0.18		0	0.00		1	0.06		52	3.08		13	0.77		2	0.12		0	0.00		15	0.89		3	0.18		0	0.00		0	0.00		3	0.18		48	2.85		11	0.65		0	0.00		0	0.00		1	0.06		60	3.56		786	46.59		17	1.01		2	0.12		0	0.00		1	0.06		806	47.78		3	0.18		2	0.12		0	0.00		5	0.30		134	7.94		13	0.77		0	0.00		1	0.06		148	8.77		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		1687	95.80		74	4.20		1761	2.12																																													
	Clayfield West		6	0.26		3	0.13		0	0.00		9	0.39		512	22.00		12	0.52		2	0.09		1	0.04		527	22.65		0	0.00		0	0.00		0	0.00		0	0.00		149	6.40		19	0.82		0	0.00		0	0.00		168	7.22		22	0.95		2	0.09		0	0.00		24	1.03		89	3.82		12	0.52		0	0.00		1	0.04		102	4.38		21	0.90		3	0.13		0	0.00		24	1.03		1	0.04		0	0.00		0	0.00		1	0.04		53	2.28		14	0.60		1	0.04		0	0.00		0	0.00		68	2.92		1100	47.27		26	1.12		4	0.17		0	0.00		3	0.13		1133	48.69		15	0.64		1	0.04		1	0.04		17	0.73		226	9.71		22	0.95		2	0.09		4	0.17		254	10.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2327	96.36		88	3.64		2415	2.90																																													
	Deagon		6	0.50		1	0.08		0	0.00		7	0.59		566	47.60		10	0.84		1	0.08		1	0.08		578	48.61		0	0.00		0	0.00		0	0.00		0	0.00		24	2.02		2	0.17		0	0.00		0	0.00		26	2.19		8	0.67		0	0.00		0	0.00		8	0.67		23	1.93		1	0.08		0	0.00		0	0.00		24	2.02		14	1.18		4	0.34		0	0.00		18	1.51		2	0.17		0	0.00		0	0.00		2	0.17		86	7.23		13	1.09		0	0.00		0	0.00		0	0.00		99	8.33		321	27.00		11	0.93		1	0.08		0	0.00		0	0.00		333	28.01		19	1.60		0	0.00		0	0.00		19	1.60		69	5.80		5	0.42		0	0.00		0	0.00		74	6.22		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		1	0.08		1189	96.43		44	3.57		1233	1.48																																													
	Eventide Home		1	0.14		1	0.14		0	0.00		2	0.27		333	45.18		2	0.27		2	0.27		2	0.27		339	46.00		0	0.00		0	0.00		0	0.00		0	0.00		12	1.63		3	0.41		0	0.00		0	0.00		15	2.04		4	0.54		4	0.54		0	0.00		8	1.09		16	2.17		4	0.54		0	0.00		0	0.00		20	2.71		6	0.81		0	0.00		0	0.00		6	0.81		1	0.14		0	0.00		0	0.00		1	0.14		65	8.82		5	0.68		0	0.00		0	0.00		0	0.00		70	9.50		234	31.75		3	0.41		1	0.14		0	0.00		0	0.00		238	32.29		4	0.54		0	0.00		0	0.00		4	0.54		29	3.93		5	0.68		0	0.00		0	0.00		34	4.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		737	94.73		41	5.27		778	0.93																																													
	Freemasons Homes		3	0.83		1	0.28		0	0.00		4	1.10		157	43.37		2	0.55		0	0.00		0	0.00		159	43.92		0	0.00		0	0.00		0	0.00		0	0.00		9	2.49		1	0.28		0	0.00		0	0.00		10	2.76		1	0.28		0	0.00		0	0.00		1	0.28		2	0.55		0	0.00		0	0.00		0	0.00		2	0.55		1	0.28		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		25	6.91		3	0.83		0	0.00		0	0.00		0	0.00		28	7.73		148	40.88		1	0.28		0	0.00		0	0.00		0	0.00		149	41.16		1	0.28		0	0.00		0	0.00		1	0.28		6	1.66		1	0.28		0	0.00		0	0.00		7	1.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		362	93.06		27	6.94		389	0.47																																													
	Geebung		5	0.21		0	0.00		0	0.00		5	0.21		951	39.46		23	0.95		3	0.12		0	0.00		977	40.54		0	0.00		1	0.04		0	0.00		1	0.04		70	2.90		16	0.66		0	0.00		0	0.00		86	3.57		19	0.79		4	0.17		0	0.00		23	0.95		56	2.32		6	0.25		0	0.00		0	0.00		62	2.57		24	1.00		4	0.17		0	0.00		28	1.16		3	0.12		0	0.00		0	0.00		3	0.12		133	5.52		15	0.62		1	0.04		0	0.00		1	0.04		150	6.22		820	34.02		19	0.79		3	0.12		0	0.00		0	0.00		842	34.94		14	0.58		2	0.08		0	0.00		16	0.66		191	7.93		23	0.95		0	0.00		3	0.12		217	9.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2410	97.26		68	2.74		2478	2.98																																													
	Gordon Park		4	0.23		3	0.17		0	0.00		7	0.41		607	35.33		4	0.23		3	0.17		2	0.12		616	35.86		1	0.06		0	0.00		0	0.00		1	0.06		47	2.74		11	0.64		0	0.00		1	0.06		59	3.43		9	0.52		0	0.00		2	0.12		11	0.64		64	3.73		13	0.76		0	0.00		0	0.00		77	4.48		17	0.99		2	0.12		0	0.00		19	1.11		5	0.29		0	0.00		0	0.00		5	0.29		55	3.20		12	0.70		0	0.00		0	0.00		0	0.00		67	3.90		646	37.60		6	0.35		4	0.23		0	0.00		0	0.00		656	38.18		7	0.41		0	0.00		0	0.00		7	0.41		163	9.49		27	1.57		0	0.00		2	0.12		192	11.18		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		1718	96.63		60	3.37		1778	2.14																																													
	Hamilton		5	0.21		0	0.00		0	0.00		5	0.21		528	22.25		7	0.29		3	0.13		1	0.04		539	22.71		0	0.00		0	0.00		0	0.00		0	0.00		169	7.12		23	0.97		1	0.04		0	0.00		193	8.13		6	0.25		0	0.00		0	0.00		6	0.25		76	3.20		12	0.51		1	0.04		0	0.00		89	3.75		28	1.18		8	0.34		0	0.00		36	1.52		0	0.00		3	0.13		1	0.04		4	0.17		75	3.16		23	0.97		0	0.00		0	0.00		0	0.00		98	4.13		1147	48.34		20	0.84		3	0.13		1	0.04		3	0.13		1174	49.47		13	0.55		0	0.00		0	0.00		13	0.55		201	8.47		10	0.42		2	0.08		2	0.08		215	9.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		1	0.04		2373	96.82		78	3.18		2451	2.94																																													
	Hendra		5	0.37		0	0.00		0	0.00		5	0.37		380	28.46		11	0.82		5	0.37		0	0.00		396	29.66		1	0.07		0	0.00		0	0.00		1	0.07		91	6.82		12	0.90		0	0.00		0	0.00		103	7.72		2	0.15		2	0.15		0	0.00		4	0.30		32	2.40		10	0.75		0	0.00		1	0.07		43	3.22		14	1.05		1	0.07		0	0.00		15	1.12		4	0.30		0	0.00		0	0.00		4	0.30		41	3.07		7	0.52		0	0.00		0	0.00		0	0.00		48	3.60		605	45.32		13	0.97		4	0.30		0	0.00		1	0.07		623	46.67		2	0.15		0	0.00		0	0.00		2	0.15		76	5.69		13	0.97		0	0.00		2	0.15		91	6.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1335	94.88		72	5.12		1407	1.69																																													
	Hendra East		5	0.55		1	0.11		0	0.00		6	0.66		358	39.38		9	0.99		2	0.22		0	0.00		369	40.59		0	0.00		0	0.00		0	0.00		0	0.00		26	2.86		2	0.22		0	0.00		0	0.00		28	3.08		2	0.22		0	0.00		0	0.00		2	0.22		24	2.64		5	0.55		0	0.00		1	0.11		30	3.30		15	1.65		1	0.11		0	0.00		16	1.76		1	0.11		0	0.00		0	0.00		1	0.11		56	6.16		9	0.99		0	0.00		0	0.00		0	0.00		65	7.15		308	33.88		2	0.22		1	0.11		0	0.00		1	0.11		312	34.32		8	0.88		1	0.11		0	0.00		9	0.99		66	7.26		4	0.44		0	0.00		0	0.00		70	7.70		1	0.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		909	96.91		29	3.09		938	1.13																																													
