Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Maranoa (84022)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Chinchilla Hospital		4	0.61		121	18.53		1	0.15		278	42.57		16	2.45		6	0.92		4	0.61		1	0.15		119	18.22		72	11.03		11	1.68		18	2.76		2	0.31		653	95.47		31	4.53		684	0.86
Comet		1	1.19		20	23.81		0	0.00		39	46.43		0	0.00		0	0.00		0	0.00		0	0.00		11	13.10		12	14.29		1	1.19		0	0.00		0	0.00		84	100.00		0	0.00		84	0.11
Condamine		0	0.00		18	9.73		0	0.00		110	59.46		0	0.00		0	0.00		2	1.08		0	0.00		33	17.84		16	8.65		1	0.54		5	2.70		0	0.00		185	99.46		1	0.54		186	0.23
Cooranga North		0	0.00		8	11.27		1	1.41		28	39.44		0	0.00		0	0.00		0	0.00		1	1.41		25	35.21		6	8.45		1	1.41		1	1.41		0	0.00		71	97.26		2	2.74		73	0.09
Cottonvale		2	0.76		38	14.39		2	0.76		106	40.15		4	1.52		5	1.89		2	0.76		1	0.38		60	22.73		30	11.36		5	1.89		9	3.41		0	0.00		264	94.29		16	5.71		280	0.35
Cunnamulla		4	0.54		373	50.20		0	0.00		176	23.69		2	0.27		5	0.67		14	1.88		0	0.00		70	9.42		84	11.31		4	0.54		11	1.48		0	0.00		743	95.75		33	4.25		776	0.98
Dalby		10	0.47		497	23.12		9	0.42		729	33.91		44	2.05		46	2.14		36	1.67		1	0.05		349	16.23		304	14.14		43	2.00		81	3.77		1	0.05		2150	96.15		86	3.85		2236	2.81
Dalby North		3	0.28		213	20.23		3	0.28		453	43.02		17	1.61		19	1.80		7	0.66		1	0.09		133	12.63		151	14.34		15	1.42		38	3.61		0	0.00		1053	97.77		24	2.23		1077	1.36
Dalby South		6	0.46		324	25.00		4	0.31		420	32.41		38	2.93		28	2.16		11	0.85		0	0.00		202	15.59		185	14.27		19	1.47		57	4.40		2	0.15		1296	96.07		53	3.93		1349	1.70
Dalby West		8	0.68		193	16.51		6	0.51		488	41.75		21	1.80		21	1.80		15	1.28		1	0.09		200	17.11		160	13.69		18	1.54		37	3.17		1	0.09		1169	96.61		41	3.39		1210	1.52
