Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Fisher (85315)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Buderim Pines		2	0.14		0	0.00		0	0.00		2	0.14		297	20.14		7	0.47		0	0.00		0	0.00		304	20.61		0	0.00		0	0.00		0	0.00		0	0.00		44	2.98		4	0.27		0	0.00		0	0.00		48	3.25		28	1.90		8	0.54		3	0.20		39	2.64		35	2.37		1	0.07		0	0.00		0	0.00		36	2.44		4	0.27		1	0.07		0	0.00		5	0.34		1	0.07		0	0.00		0	0.00		1	0.07		118	8.00		6	0.41		0	0.00		0	0.00		0	0.00		124	8.41		777	52.68		6	0.41		2	0.14		0	0.00		0	0.00		785	53.22		17	1.15		0	0.00		0	0.00		17	1.15		104	7.05		7	0.47		0	0.00		1	0.07		112	7.59		2	0.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.14		1475	97.81		33	2.19		1508	1.86																																													
	Buderim South		0	0.00		0	0.00		0	0.00		0	0.00		130	13.87		5	0.53		1	0.11		0	0.00		136	14.51		0	0.00		0	0.00		0	0.00		0	0.00		32	3.42		7	0.75		0	0.00		0	0.00		39	4.16		10	1.07		2	0.21		0	0.00		12	1.28		28	2.99		3	0.32		0	0.00		0	0.00		31	3.31		11	1.17		2	0.21		0	0.00		13	1.39		0	0.00		0	0.00		0	0.00		0	0.00		54	5.76		9	0.96		0	0.00		0	0.00		0	0.00		63	6.72		554	59.12		4	0.43		1	0.11		0	0.00		0	0.00		559	59.66		2	0.21		1	0.11		0	0.00		3	0.32		74	7.90		6	0.64		0	0.00		0	0.00		80	8.54		1	0.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		937	99.15		8	0.85		945	1.17																																													
	Caloundra		10	0.31		2	0.06		0	0.00		12	0.38		929	29.08		22	0.69		2	0.06		3	0.09		956	29.92		3	0.09		0	0.00		0	0.00		3	0.09		142	4.44		5	0.16		1	0.03		0	0.00		148	4.63		19	0.59		5	0.16		1	0.03		25	0.78		90	2.82		12	0.38		0	0.00		0	0.00		102	3.19		50	1.56		5	0.16		2	0.06		57	1.78		3	0.09		0	0.00		0	0.00		3	0.09		294	9.20		28	0.88		0	0.00		1	0.03		0	0.00		323	10.11		1328	41.56		16	0.50		3	0.09		0	0.00		0	0.00		1347	42.16		36	1.13		1	0.03		0	0.00		37	1.16		170	5.32		9	0.28		1	0.03		0	0.00		180	5.63		0	0.00		0	0.00		0	0.00		0	0.00		2	0.06		0	0.00		0	0.00		0	0.00		2	0.06		3195	96.76		107	3.24		3302	4.08																																													
	Caloundra West		1	0.16		0	0.00		0	0.00		1	0.16		182	28.57		4	0.63		0	0.00		1	0.16		187	29.36		0	0.00		0	0.00		0	0.00		0	0.00		24	3.77		7	1.10		0	0.00		0	0.00		31	4.87		10	1.57		1	0.16		0	0.00		11	1.73		20	3.14		3	0.47		0	0.00		1	0.16		24	3.77		9	1.41		1	0.16		0	0.00		10	1.57		1	0.16		0	0.00		0	0.00		1	0.16		66	10.36		6	0.94		0	0.00		0	0.00		0	0.00		72	11.30		250	39.25		2	0.31		0	0.00		0	0.00		0	0.00		252	39.56		11	1.73		0	0.00		0	0.00		11	1.73		32	5.02		4	0.63		0	0.00		0	0.00		36	5.65		1	0.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.16		637	98.30		11	1.70		648	0.80																																													
	Cotton Tree		7	0.41		0	0.00		1	0.06		8	0.47		482	28.34		13	0.76		4	0.24		1	0.06		500	29.39		2	0.12		0	0.00		0	0.00		2	0.12		119	7.00		1	0.06		0	0.00		0	0.00		120	7.05		6	0.35		2	0.12		0	0.00		8	0.47		60	3.53		4	0.24		0	0.00		1	0.06		65	3.82		15	0.88		0	0.00		0	0.00		15	0.88		1	0.06		0	0.00		0	0.00		1	0.06		129	7.58		17	1.00		0	0.00		0	0.00		0	0.00		146	8.58		688	40.45		10	0.59		3	0.18		1	0.06		2	0.12		704	41.39		18	1.06		0	0.00		0	0.00		18	1.06		99	5.82		14	0.82		0	0.00		0	0.00		113	6.64		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		1	0.06		1701	96.48		62	3.52		1763	2.18																																													
	Currimundi		8	0.23		0	0.00		0	0.00		8	0.23		984	28.74		16	0.47		1	0.03		0	0.00		1001	29.23		4	0.12		1	0.03		0	0.00		5	0.15		157	4.59		9	0.26		0	0.00		0	0.00		166	4.85		45	1.31		7	0.20		0	0.00		52	1.52		178	5.20		19	0.55		2	0.06		1	0.03		200	5.84		53	1.55		3	0.09		0	0.00		56	1.64		1	0.03		0	0.00		1	0.03		2	0.06		304	8.88		28	0.82		0	0.00		0	0.00		2	0.06		334	9.75		1324	38.67		14	0.41		2	0.06		0	0.00		2	0.06		1342	39.19		39	1.14		2	0.06		0	0.00		41	1.20		197	5.75		16	0.47		1	0.03		0	0.00		214	6.25		1	0.03		0	0.00		0	0.00		0	0.00		2	0.06		0	0.00		0	0.00		0	0.00		3	0.09		3424	96.51		124	3.49		3548	4.38																																													
	Currimundi West		7	0.29		1	0.04		0	0.00		8	0.33		706	29.20		8	0.33		1	0.04		2	0.08		717	29.65		3	0.12		0	0.00		0	0.00		3	0.12		116	4.80		8	0.33		0	0.00		0	0.00		124	5.13		27	1.12		2	0.08		0	0.00		29	1.20		49	2.03		3	0.12		0	0.00		0	0.00		52	2.15		21	0.87		1	0.04		0	0.00		22	0.91		2	0.08		0	0.00		0	0.00		2	0.08		215	8.89		14	0.58		0	0.00		1	0.04		0	0.00		230	9.51		1041	43.05		8	0.33		2	0.08		1	0.04		0	0.00		1052	43.51		25	1.03		0	0.00		0	0.00		25	1.03		139	5.75		11	0.45		1	0.04		0	0.00		151	6.24		2	0.08		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		3	0.12		2418	97.11		72	2.89		2490	3.08																																													
	Diddillibah		2	0.25		3	0.38		0	0.00		5	0.64		143	18.22		9	1.15		0	0.00		1	0.13		153	19.49		1	0.13		0	0.00		0	0.00		1	0.13		56	7.13		2	0.25		0	0.00		0	0.00		58	7.39		6	0.76		1	0.13		0	0.00		7	0.89		35	4.46		6	0.76		0	0.00		0	0.00		41	5.22		14	1.78		1	0.13		0	0.00		15	1.91		2	0.25		0	0.00		0	0.00		2	0.25		73	9.30		7	0.89		0	0.00		0	0.00		0	0.00		80	10.19		343	43.69		6	0.76		0	0.00		0	0.00		0	0.00		349	44.46		11	1.40		0	0.00		0	0.00		11	1.40		54	6.88		6	0.76		0	0.00		0	0.00		60	7.64		2	0.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		3	0.38		785	96.79		26	3.21		811	1.00																																													
	Eudlo		1	0.14		1	0.14		0	0.00		2	0.27		150	20.35		8	1.09		1	0.14		1	0.14		160	21.71		0	0.00		0	0.00		0	0.00		0	0.00		32	4.34		5	0.68		0	0.00		0	0.00		37	5.02		4	0.54		0	0.00		0	0.00		4	0.54		98	13.30		15	2.04		1	0.14		1	0.14		115	15.60		12	1.63		2	0.27		0	0.00		14	1.90		1	0.14		0	0.00		0	0.00		1	0.14		82	11.13		11	1.49		0	0.00		0	0.00		0	0.00		93	12.62		241	32.70		2	0.27		1	0.14		0	0.00		1	0.14		245	33.24		6	0.81		0	0.00		0	0.00		6	0.81		48	6.51		11	1.49		1	0.14		0	0.00		60	8.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		737	97.49		19	2.51		756	0.93																																													
	Forest Glen		3	0.36		0	0.00		0	0.00		3	0.36		141	16.77		1	0.12		0	0.00		1	0.12		143	17.00		0	0.00		0	0.00		0	0.00		0	0.00		54	6.42		2	0.24		0	0.00		0	0.00		56	6.66		7	0.83		3	0.36		0	0.00		10	1.19		30	3.57		4	0.48		0	0.00		1	0.12		35	4.16		7	0.83		3	0.36		0	0.00		10	1.19		2	0.24		0	0.00		0	0.00		2	0.24		104	12.37		10	1.19		0	0.00		0	0.00		0	0.00		114	13.56		398	47.32		2	0.24		2	0.24		0	0.00		1	0.12		403	47.92		14	1.66		0	0.00		0	0.00		14	1.66		39	4.64		11	1.31		1	0.12		0	0.00		51	6.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		841	99.17		7	0.83		848	1.05																																													
