Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Lilley (87642)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Nundah		11	0.37		1139	37.93		2	0.07		90	3.00		25	0.83		139	4.63		58	1.93		7	0.23		165	5.49		995	33.13		21	0.70		349	11.62		2	0.07		3003	97.22		86	2.78		3089	3.71
Nundah North		2	0.17		429	37.40		2	0.17		32	2.79		2	0.17		42	3.66		15	1.31		3	0.26		69	6.02		452	39.41		8	0.70		89	7.76		2	0.17		1147	97.87		25	2.13		1172	1.41
Nundah West		3	0.21		475	33.03		1	0.07		90	6.26		17	1.18		40	2.78		11	0.76		1	0.07		88	6.12		585	40.68		11	0.76		116	8.07		0	0.00		1438	97.03		44	2.97		1482	1.78
Pinkenba		2	0.93		110	50.93		1	0.46		5	2.31		0	0.00		4	1.85		3	1.39		0	0.00		11	5.09		69	31.94		1	0.46		10	4.63		0	0.00		216	94.74		12	5.26		228	0.27
Sandgate		12	0.47		1129	44.36		2	0.08		52	2.04		14	0.55		126	4.95		37	1.45		3	0.12		141	5.54		762	29.94		8	0.31		258	10.14		1	0.04		2545	95.03		133	4.97		2678	3.22
Shorncliffe		7	0.52		523	39.00		1	0.07		40	2.98		12	0.89		111	8.28		13	0.97		4	0.30		83	6.19		420	31.32		13	0.97		114	8.50		0	0.00		1341	95.65		61	4.35		1402	1.68
Somerset Hills (Lilley)		1	0.34		111	38.14		0	0.00		14	4.81		5	1.72		12	4.12		2	0.69		0	0.00		5	1.72		102	35.05		3	1.03		36	12.37		0	0.00		291	97.98		6	2.02		297	0.36
Stafford (Lilley)		6	0.49		481	39.07		1	0.08		40	3.25		5	0.41		63	5.12		23	1.87		1	0.08		55	4.47		443	35.99		9	0.73		104	8.45		0	0.00		1231	96.02		51	3.98		1282	1.54
Taigum (Lilley)		9	0.53		711	41.58		1	0.06		75	4.39		26	1.52		47	2.75		17	0.99		3	0.18		102	5.96		589	34.44		19	1.11		109	6.37		2	0.12		1710	96.34		65	3.66		1775	2.13
Virginia		13	0.64		808	39.51		1	0.05		80	3.91		16	0.78		64	3.13		27	1.32		2	0.10		125	6.11		686	33.55		13	0.64		210	10.27		0	0.00		2045	96.28		79	3.72		2124	2.55
Wavell Heights		4	0.25		687	43.65		1	0.06		45	2.86		7	0.44		55	3.49		22	1.40		2	0.13		87	5.53		526	33.42		4	0.25		133	8.45		1	0.06		1574	95.34		77	4.66		1651	1.98
Whinstanes		4	0.66		262	43.02		0	0.00		16	2.63		2	0.33		21	3.45		7	1.15		1	0.16		29	4.76		230	37.77		2	0.33		35	5.75		0	0.00		609	92.84		47	7.16		656	0.79
Wooloowin		10	0.78		473	36.90		0	0.00		63	4.91		12	0.94		60	4.68		17	1.33		0	0.00		39	3.04		419	32.68		10	0.78		177	13.81		2	0.16		1282	96.46		47	3.54		1329	1.60
Zillmere		7	0.41		756	44.29		1	0.06		48	2.81		16	0.94		48	2.81		22	1.29		5	0.29		111	6.50		523	30.64		12	0.70		156	9.14		2	0.12		1707	95.15		87	4.85		1794	2.16
Zillmere North		7	0.40		955	54.57		1	0.06		17	0.97		23	1.31		41	2.34		30	1.71		2	0.11		131	7.49		413	23.60		13	0.74		113	6.46		4	0.23		1750	94.70		98	5.30		1848	2.22
Special Hospitals		0	0.00		138	36.32		1	0.26		22	5.79		2	0.53		1	0.26		0	0.00		2	0.53		11	2.89		198	52.11		1	0.26		4	1.05		0	0.00		380	92.23		32	7.77		412	0.49
Total Ordinary		285	0.43		25257	38.28		35	0.05		2720	4.12		494	0.75		2336	3.54		856	1.30		93	0.14		3889	5.89		23827	36.12		453	0.69		5695	8.63		33	0.05		65973	96.08		2691	3.92		68664	82.49
ABSENT		28	0.48		1984	33.86		8	0.14		187	3.19		65	1.11		321	5.48		151	2.58		13	0.22		274	4.68		2132	36.39		81	1.38		607	10.36		8	0.14		5859	98.37		97	1.63		5956	7.15
POSTAL		18	0.39		2069	45.13		3	0.07		139	3.03		30	0.65		75	1.64		26	0.57		5	0.11		273	5.95		1670	36.42		30	0.65		246	5.37		1	0.02		4585	97.68		109	2.32		4694	5.64
PRE_POLL		15	0.48		1050	33.38		12	0.38		93	2.96		17	0.54		117	3.72		30	0.95		7	0.22		170	5.40		1358	43.17		25	0.79		252	8.01		0	0.00		3146	98.71		41	1.29		3187	3.83
PROVISIONAL		5	0.69		339	46.69		1	0.14		18	2.48		9	1.24		26	3.58		26	3.58		3	0.41		35	4.82		200	27.55		12	1.65		52	7.16		0	0.00		726	97.71		17	2.29		743	0.89
Division Summary		351	0.44		30699	38.24		59	0.07		3157	3.93		615	0.77		2875	3.58		1089	1.36		121	0.15		4641	5.78		29187	36.35		601	0.75		6852	8.53		42	0.05		80289	96.45		2955	3.55		83244	94.98
