Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Forde (86672)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Cedar Creek		2	0.51		0	0.00		0	0.00		2	0.51		89	22.76		1	0.26		0	0.00		1	0.26		91	23.27		0	0.00		0	0.00		0	0.00		0	0.00		39	9.97		4	1.02		0	0.00		0	0.00		43	11.00		5	1.28		0	0.00		0	0.00		5	1.28		17	4.35		4	1.02		0	0.00		0	0.00		21	5.37		2	0.51		0	0.00		0	0.00		2	0.51		0	0.00		0	0.00		0	0.00		0	0.00		50	12.79		5	1.28		1	0.26		0	0.00		0	0.00		56	14.32		142	36.32		0	0.00		0	0.00		0	0.00		0	0.00		142	36.32		1	0.26		0	0.00		0	0.00		1	0.26		24	6.14		3	0.77		0	0.00		1	0.26		28	7.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		391	96.78		13	3.22		404	0.49																																													
	Coomera (Forde)		2	0.20		0	0.00		0	0.00		2	0.20		274	27.70		5	0.51		0	0.00		0	0.00		279	28.21		0	0.00		0	0.00		0	0.00		0	0.00		35	3.54		2	0.20		0	0.00		0	0.00		37	3.74		7	0.71		1	0.10		1	0.10		9	0.91		24	2.43		1	0.10		0	0.00		0	0.00		25	2.53		17	1.72		1	0.10		0	0.00		18	1.82		0	0.00		0	0.00		0	0.00		0	0.00		90	9.10		5	0.51		0	0.00		0	0.00		0	0.00		95	9.61		437	44.19		8	0.81		1	0.10		1	0.10		0	0.00		447	45.20		18	1.82		1	0.10		0	0.00		19	1.92		52	5.26		5	0.51		1	0.10		0	0.00		58	5.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		989	97.44		26	2.56		1015	1.24																																													
	Cornubia (Forde)		3	0.87		0	0.00		0	0.00		3	0.87		66	19.08		4	1.16		0	0.00		0	0.00		70	20.23		0	0.00		0	0.00		0	0.00		0	0.00		20	5.78		4	1.16		0	0.00		0	0.00		24	6.94		6	1.73		4	1.16		1	0.29		11	3.18		6	1.73		1	0.29		0	0.00		0	0.00		7	2.02		2	0.58		0	0.00		0	0.00		2	0.58		2	0.58		0	0.00		0	0.00		2	0.58		24	6.94		3	0.87		0	0.00		0	0.00		0	0.00		27	7.80		172	49.71		3	0.87		2	0.58		0	0.00		1	0.29		178	51.45		2	0.58		0	0.00		0	0.00		2	0.58		15	4.34		3	0.87		0	0.00		1	0.29		19	5.49		0	0.00		1	0.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.29		346	99.14		3	0.86		349	0.42																																													
	Eagleby		10	0.89		2	0.18		0	0.00		12	1.07		490	43.59		7	0.62		1	0.09		1	0.09		499	44.40		0	0.00		0	0.00		0	0.00		0	0.00		35	3.11		0	0.00		0	0.00		0	0.00		35	3.11		17	1.51		3	0.27		1	0.09		21	1.87		13	1.16		1	0.09		0	0.00		0	0.00		14	1.25		8	0.71		0	0.00		0	0.00		8	0.71		1	0.09		0	0.00		0	0.00		1	0.09		143	12.72		8	0.71		0	0.00		0	0.00		0	0.00		151	13.43		314	27.94		3	0.27		0	0.00		1	0.09		0	0.00		318	28.29		27	2.40		0	0.00		0	0.00		27	2.40		36	3.20		2	0.18		0	0.00		0	0.00		38	3.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1124	97.40		30	2.60		1154	1.41																																													
	Eagleby South		11	0.45		2	0.08		0	0.00		13	0.54		1089	44.83		9	0.37		1	0.04		0	0.00		1099	45.24		4	0.16		1	0.04		0	0.00		5	0.21		85	3.50		0	0.00		0	0.00		0	0.00		85	3.50		24	0.99		7	0.29		0	0.00		31	1.28		41	1.69		6	0.25		0	0.00		0	0.00		47	1.93		35	1.44		2	0.08		0	0.00		37	1.52		2	0.08		0	0.00		0	0.00		2	0.08		290	11.94		12	0.49		1	0.04		0	0.00		0	0.00		303	12.47		651	26.80		6	0.25		0	0.00		0	0.00		1	0.04		658	27.09		41	1.69		2	0.08		0	0.00		43	1.77		98	4.03		4	0.16		1	0.04		2	0.08		105	4.32		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		2429	95.40		117	4.60		2546	3.10																																													
	Edens Landing		6	0.34		1	0.06		0	0.00		7	0.40		613	34.71		14	0.79		0	0.00		1	0.06		628	35.56		1	0.06		0	0.00		0	0.00		1	0.06		31	1.76		3	0.17		2	0.11		0	0.00		36	2.04		16	0.91		2	0.11		0	0.00		18	1.02		40	2.27		4	0.23		0	0.00		0	0.00		44	2.49		22	1.25		4	0.23		0	0.00		26	1.47		3	0.17		0	0.00		0	0.00		3	0.17		123	6.96		13	0.74		0	0.00		0	0.00		0	0.00		136	7.70		737	41.73		9	0.51		0	0.00		0	0.00		3	0.17		749	42.41		24	1.36		1	0.06		0	0.00		25	1.42		84	4.76		7	0.40		0	0.00		1	0.06		92	5.21		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		1766	97.35		48	2.65		1814	2.21																																													
	Flagstone		5	0.49		0	0.00		0	0.00		5	0.49		331	32.48		6	0.59		1	0.10		0	0.00		338	33.17		1	0.10		0	0.00		0	0.00		1	0.10		26	2.55		5	0.49		0	0.00		0	0.00		31	3.04		17	1.67		4	0.39		0	0.00		21	2.06		23	2.26		1	0.10		0	0.00		0	0.00		24	2.36		15	1.47		4	0.39		0	0.00		19	1.86		1	0.10		0	0.00		0	0.00		1	0.10		139	13.64		9	0.88		0	0.00		0	0.00		0	0.00		148	14.52		342	33.56		2	0.20		1	0.10		0	0.00		1	0.10		346	33.95		12	1.18		0	0.00		0	0.00		12	1.18		68	6.67		4	0.39		1	0.10		0	0.00		73	7.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1019	96.50		37	3.50		1056	1.29																																													
	Greenbank		12	0.47		1	0.04		0	0.00		13	0.51		772	30.23		10	0.39		0	0.00		2	0.08		784	30.70		0	0.00		0	0.00		0	0.00		0	0.00		84	3.29		5	0.20		0	0.00		0	0.00		89	3.48		15	0.59		0	0.00		0	0.00		15	0.59		66	2.58		9	0.35		0	0.00		1	0.04		76	2.98		31	1.21		1	0.04		0	0.00		32	1.25		0	0.00		1	0.04		0	0.00		1	0.04		317	12.41		26	1.02		0	0.00		0	0.00		0	0.00		343	13.43		979	38.33		14	0.55		2	0.08		0	0.00		1	0.04		996	39.00		29	1.14		1	0.04		0	0.00		30	1.17		153	5.99		16	0.63		1	0.04		2	0.08		172	6.73		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.08		3	0.12		2554	96.82		84	3.18		2638	3.21																																													
	Helensvale North (Forde)		1	0.36		0	0.00		0	0.00		1	0.36		75	26.69		2	0.71		0	0.00		1	0.36		78	27.76		0	0.00		0	0.00		0	0.00		0	0.00		4	1.42		0	0.00		0	0.00		0	0.00		4	1.42		2	0.71		0	0.00		0	0.00		2	0.71		9	3.20		0	0.00		0	0.00		0	0.00		9	3.20		5	1.78		0	0.00		0	0.00		5	1.78		0	0.00		0	0.00		0	0.00		0	0.00		30	10.68		1	0.36		0	0.00		0	0.00		0	0.00		31	11.03		122	43.42		2	0.71		0	0.00		0	0.00		0	0.00		124	44.13		9	3.20		0	0.00		0	0.00		9	3.20		15	5.34		1	0.36		0	0.00		0	0.00		16	5.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.71		0	0.00		2	0.71		281	97.23		8	2.77		289	0.35																																													
	Hillview		1	0.67		0	0.00		0	0.00		1	0.67		24	16.11		0	0.00		0	0.00		0	0.00		24	16.11		0	0.00		0	0.00		0	0.00		0	0.00		43	28.86		0	0.00		0	0.00		0	0.00		43	28.86		0	0.00		0	0.00		0	0.00		0	0.00		1	0.67		2	1.34		0	0.00		0	0.00		3	2.01		2	1.34		0	0.00		0	0.00		2	1.34		0	0.00		0	0.00		0	0.00		0	0.00		30	20.13		1	0.67		0	0.00		0	0.00		0	0.00		31	20.81		34	22.82		0	0.00		0	0.00		0	0.00		0	0.00		34	22.82		2	1.34		0	0.00		0	0.00		2	1.34		5	3.36		4	2.68		0	0.00		0	0.00		9	6.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		149	98.68		2	1.32		151	0.18																																													
