Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Leichhardt (85689)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Cairns West		22	0.83		6	0.23		0	0.00		28	1.06		1103	41.61		24	0.91		2	0.08		2	0.08		1131	42.66		2	0.08		0	0.00		1	0.04		3	0.11		83	3.13		9	0.34		0	0.00		0	0.00		92	3.47		25	0.94		5	0.19		0	0.00		30	1.13		92	3.47		14	0.53		1	0.04		1	0.04		108	4.07		46	1.74		2	0.08		1	0.04		49	1.85		7	0.26		0	0.00		0	0.00		7	0.26		255	9.62		28	1.06		0	0.00		0	0.00		0	0.00		283	10.68		781	29.46		6	0.23		1	0.04		0	0.00		1	0.04		789	29.76		34	1.28		0	0.00		0	0.00		34	1.28		92	3.47		5	0.19		0	0.00		0	0.00		97	3.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2651	95.26		132	4.74		2783	3.52																																													
	Caravonica		3	0.10		0	0.00		0	0.00		3	0.10		642	22.25		18	0.62		3	0.10		3	0.10		666	23.08		0	0.00		0	0.00		0	0.00		0	0.00		77	2.67		6	0.21		0	0.00		0	0.00		83	2.88		19	0.66		3	0.10		3	0.10		25	0.87		132	4.57		22	0.76		0	0.00		2	0.07		156	5.41		41	1.42		1	0.03		1	0.03		43	1.49		5	0.17		0	0.00		0	0.00		5	0.17		303	10.50		25	0.87		0	0.00		1	0.03		0	0.00		329	11.40		1263	43.76		25	0.87		4	0.14		0	0.00		1	0.03		1293	44.80		34	1.18		0	0.00		0	0.00		34	1.18		222	7.69		22	0.76		1	0.03		1	0.03		246	8.52		1	0.03		0	0.00		0	0.00		2	0.07		0	0.00		0	0.00		0	0.00		0	0.00		3	0.10		2886	97.93		61	2.07		2947	3.73																																													
	Clifton Beach		4	0.29		0	0.00		0	0.00		4	0.29		300	21.49		7	0.50		0	0.00		0	0.00		307	21.99		1	0.07		0	0.00		0	0.00		1	0.07		29	2.08		3	0.21		0	0.00		0	0.00		32	2.29		1	0.07		0	0.00		0	0.00		1	0.07		103	7.38		12	0.86		1	0.07		1	0.07		117	8.38		14	1.00		1	0.07		0	0.00		15	1.07		3	0.21		2	0.14		0	0.00		5	0.36		120	8.60		13	0.93		0	0.00		0	0.00		0	0.00		133	9.53		642	45.99		7	0.50		0	0.00		0	0.00		0	0.00		649	46.49		9	0.64		0	0.00		0	0.00		9	0.64		111	7.95		11	0.79		0	0.00		0	0.00		122	8.74		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		1396	98.38		23	1.62		1419	1.79																																													
	Coen		1	0.60		0	0.00		0	0.00		1	0.60		92	55.09		0	0.00		0	0.00		0	0.00		92	55.09		3	1.80		0	0.00		0	0.00		3	1.80		11	6.59		1	0.60		0	0.00		0	0.00		12	7.19		1	0.60		0	0.00		0	0.00		1	0.60		2	1.20		0	0.00		0	0.00		0	0.00		2	1.20		5	2.99		0	0.00		0	0.00		5	2.99		1	0.60		0	0.00		0	0.00		1	0.60		8	4.79		2	1.20		0	0.00		0	0.00		0	0.00		10	5.99		31	18.56		0	0.00		0	0.00		0	0.00		0	0.00		31	18.56		1	0.60		0	0.00		0	0.00		1	0.60		8	4.79		0	0.00		0	0.00		0	0.00		8	4.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		167	99.40		1	0.60		168	0.21																																													
	Cooktown		1	0.10		0	0.00		0	0.00		1	0.10		267	27.90		7	0.73		0	0.00		0	0.00		274	28.63		1	0.10		0	0.00		0	0.00		1	0.10		31	3.24		2	0.21		0	0.00		0	0.00		33	3.45		7	0.73		0	0.00		0	0.00		7	0.73		29	3.03		4	0.42		0	0.00		0	0.00		33	3.45		13	1.36		4	0.42		0	0.00		17	1.78		2	0.21		0	0.00		0	0.00		2	0.21		172	17.97		14	1.46		0	0.00		0	0.00		0	0.00		186	19.44		342	35.74		5	0.52		4	0.42		0	0.00		0	0.00		351	36.68		7	0.73		0	0.00		0	0.00		7	0.73		41	4.28		3	0.31		0	0.00		1	0.10		45	4.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		957	96.37		36	3.63		993	1.26																																													
	Daintree		0	0.00		0	0.00		0	0.00		0	0.00		38	23.17		1	0.61		0	0.00		0	0.00		39	23.78		0	0.00		0	0.00		0	0.00		0	0.00		13	7.93		0	0.00		0	0.00		0	0.00		13	7.93		1	0.61		1	0.61		0	0.00		2	1.22		11	6.71		2	1.22		0	0.00		0	0.00		13	7.93		3	1.83		0	0.00		0	0.00		3	1.83		0	0.00		0	0.00		0	0.00		0	0.00		37	22.56		1	0.61		0	0.00		0	0.00		0	0.00		38	23.17		46	28.05		3	1.83		0	0.00		0	0.00		0	0.00		49	29.88		4	2.44		0	0.00		0	0.00		4	2.44		2	1.22		1	0.61		0	0.00		0	0.00		3	1.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		164	98.20		3	1.80		167	0.21																																													
	Earlville		7	0.22		1	0.03		0	0.00		8	0.25		848	26.70		20	0.63		5	0.16		2	0.06		875	27.55		6	0.19		0	0.00		0	0.00		6	0.19		143	4.50		8	0.25		0	0.00		0	0.00		151	4.75		20	0.63		3	0.09		1	0.03		24	0.76		80	2.52		6	0.19		1	0.03		0	0.00		87	2.74		26	0.82		4	0.13		0	0.00		30	0.94		4	0.13		0	0.00		0	0.00		4	0.13		373	11.74		28	0.88		0	0.00		0	0.00		0	0.00		401	12.63		1385	43.61		21	0.66		5	0.16		0	0.00		1	0.03		1412	44.46		20	0.63		2	0.06		0	0.00		22	0.69		142	4.47		14	0.44		0	0.00		0	0.00		156	4.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3176	96.45		117	3.55		3293	4.16																																													
	Edge Hill		13	0.36		2	0.06		1	0.03		16	0.44		892	24.59		20	0.55		3	0.08		2	0.06		917	25.28		3	0.08		0	0.00		0	0.00		3	0.08		125	3.45		7	0.19		0	0.00		0	0.00		132	3.64		13	0.36		3	0.08		0	0.00		16	0.44		180	4.96		29	0.80		0	0.00		5	0.14		214	5.90		57	1.57		10	0.28		1	0.03		68	1.87		4	0.11		2	0.06		0	0.00		6	0.17		321	8.85		35	0.96		0	0.00		0	0.00		0	0.00		356	9.82		1569	43.26		8	0.22		4	0.11		0	0.00		1	0.03		1582	43.62		23	0.63		0	0.00		0	0.00		23	0.63		263	7.25		24	0.66		1	0.03		3	0.08		291	8.02		1	0.03		1	0.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.03		3	0.08		3627	96.85		118	3.15		3745	4.74																																													
	Edmonton		7	0.19		1	0.03		0	0.00		8	0.22		1075	29.12		10	0.27		1	0.03		2	0.05		1088	29.48		0	0.00		0	0.00		0	0.00		0	0.00		103	2.79		13	0.35		0	0.00		0	0.00		116	3.14		19	0.51		0	0.00		0	0.00		19	0.51		59	1.60		7	0.19		0	0.00		2	0.05		68	1.84		46	1.25		1	0.03		0	0.00		47	1.27		2	0.05		1	0.03		0	0.00		3	0.08		445	12.06		30	0.81		0	0.00		0	0.00		0	0.00		475	12.87		1583	42.89		17	0.46		2	0.05		0	0.00		0	0.00		1602	43.40		40	1.08		2	0.05		0	0.00		42	1.14		205	5.55		16	0.43		0	0.00		0	0.00		221	5.99		2	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.05		3691	97.59		91	2.41		3782	4.78																																													
	Freshwater		0	0.00		0	0.00		0	0.00		0	0.00		227	22.48		6	0.59		0	0.00		0	0.00		233	23.07		3	0.30		0	0.00		0	0.00		3	0.30		34	3.37		2	0.20		0	0.00		0	0.00		36	3.56		21	2.08		0	0.00		0	0.00		21	2.08		63	6.24		7	0.69		0	0.00		1	0.10		71	7.03		0	0.00		3	0.30		0	0.00		3	0.30		0	0.00		0	0.00		0	0.00		0	0.00		84	8.32		8	0.79		0	0.00		0	0.00		0	0.00		92	9.11		464	45.94		9	0.89		0	0.00		0	0.00		0	0.00		473	46.83		5	0.50		0	0.00		0	0.00		5	0.50		62	6.14		9	0.89		2	0.20		0	0.00		73	7.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1010	97.49		26	2.51		1036	1.31																																													
