Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Capricornia (81499)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Burnett Street		3	0.49		0	0.00		0	0.00		3	0.49		315	51.39		1	0.16		0	0.00		1	0.16		317	51.71		3	0.49		0	0.00		0	0.00		3	0.49		70	11.42		2	0.33		0	0.00		0	0.00		72	11.75		6	0.98		2	0.33		0	0.00		8	1.31		11	1.79		0	0.00		0	0.00		0	0.00		11	1.79		6	0.98		1	0.16		1	0.16		8	1.31		0	0.00		0	0.00		0	0.00		0	0.00		64	10.44		8	1.31		0	0.00		0	0.00		0	0.00		72	11.75		84	13.70		3	0.49		0	0.00		0	0.00		0	0.00		87	14.19		5	0.82		0	0.00		0	0.00		5	0.82		23	3.75		2	0.33		0	0.00		1	0.16		26	4.24		0	0.00		0	0.00		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		0	0.00		1	0.16		613	95.93		26	4.07		639	0.82																																													
	Capella		5	0.83		0	0.00		0	0.00		5	0.83		133	22.17		0	0.00		0	0.00		0	0.00		133	22.17		0	0.00		0	0.00		0	0.00		0	0.00		195	32.50		5	0.83		1	0.17		0	0.00		201	33.50		2	0.33		1	0.17		0	0.00		3	0.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	0.83		1	0.17		0	0.00		6	1.00		0	0.00		0	0.00		0	0.00		0	0.00		77	12.83		6	1.00		0	0.00		0	0.00		0	0.00		83	13.83		144	24.00		1	0.17		0	0.00		0	0.00		0	0.00		145	24.17		13	2.17		0	0.00		0	0.00		13	2.17		11	1.83		0	0.00		0	0.00		0	0.00		11	1.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		600	98.85		7	1.15		607	0.78																																													
	Cawarral		3	0.46		0	0.00		0	0.00		3	0.46		223	33.84		1	0.15		0	0.00		1	0.15		225	34.14		1	0.15		1	0.15		0	0.00		2	0.30		106	16.08		1	0.15		2	0.30		0	0.00		109	16.54		4	0.61		1	0.15		0	0.00		5	0.76		18	2.73		2	0.30		0	0.00		0	0.00		20	3.03		18	2.73		1	0.15		0	0.00		19	2.88		0	0.00		0	0.00		0	0.00		0	0.00		110	16.69		9	1.37		0	0.00		0	0.00		0	0.00		119	18.06		115	17.45		1	0.15		0	0.00		0	0.00		1	0.15		117	17.75		10	1.52		0	0.00		0	0.00		10	1.52		26	3.95		3	0.46		0	0.00		1	0.15		30	4.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		659	97.05		20	2.95		679	0.87																																													
	Clermont		3	0.22		0	0.00		0	0.00		3	0.22		507	37.72		3	0.22		1	0.07		0	0.00		511	38.02		2	0.15		0	0.00		0	0.00		2	0.15		290	21.58		5	0.37		0	0.00		0	0.00		295	21.95		3	0.22		1	0.07		0	0.00		4	0.30		4	0.30		0	0.00		0	0.00		0	0.00		4	0.30		8	0.60		2	0.15		0	0.00		10	0.74		1	0.07		0	0.00		0	0.00		1	0.07		162	12.05		15	1.12		0	0.00		0	0.00		0	0.00		177	13.17		272	20.24		6	0.45		0	0.00		0	0.00		0	0.00		278	20.68		28	2.08		1	0.07		0	0.00		29	2.16		28	2.08		1	0.07		0	0.00		0	0.00		29	2.16		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		1344	98.39		22	1.61		1366	1.76																																													
	Collinsville		11	1.00		0	0.00		0	0.00		11	1.00		706	64.30		4	0.36		0	0.00		1	0.09		711	64.75		4	0.36		0	0.00		0	0.00		4	0.36		50	4.55		0	0.00		0	0.00		0	0.00		50	4.55		8	0.73		0	0.00		0	0.00		8	0.73		9	0.82		0	0.00		0	0.00		0	0.00		9	0.82		6	0.55		0	0.00		0	0.00		6	0.55		0	0.00		0	0.00		0	0.00		0	0.00		87	7.92		2	0.18		0	0.00		0	0.00		0	0.00		89	8.11		163	14.85		2	0.18		0	0.00		0	0.00		0	0.00		165	15.03		19	1.73		0	0.00		0	0.00		19	1.73		25	2.28		0	0.00		0	0.00		0	0.00		25	2.28		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		1098	97.43		29	2.57		1127	1.45																																													
	Coppabella		1	0.79		0	0.00		0	0.00		1	0.79		70	55.56		1	0.79		1	0.79		0	0.00		72	57.14		1	0.79		0	0.00		0	0.00		1	0.79		19	15.08		1	0.79		0	0.00		0	0.00		20	15.87		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.59		0	0.00		0	0.00		2	1.59		0	0.00		0	0.00		1	0.79		1	0.79		11	8.73		1	0.79		0	0.00		0	0.00		0	0.00		12	9.52		12	9.52		0	0.00		0	0.00		0	0.00		0	0.00		12	9.52		3	2.38		0	0.00		0	0.00		3	2.38		2	1.59		0	0.00		0	0.00		0	0.00		2	1.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		126	99.21		1	0.79		127	0.16																																													
	Crescent Lagoon		2	0.18		0	0.00		0	0.00		2	0.18		520	45.90		13	1.15		2	0.18		2	0.18		537	47.40		1	0.09		0	0.00		0	0.00		1	0.09		113	9.97		3	0.26		0	0.00		0	0.00		116	10.24		14	1.24		3	0.26		2	0.18		19	1.68		17	1.50		1	0.09		0	0.00		0	0.00		18	1.59		14	1.24		3	0.26		0	0.00		17	1.50		3	0.26		0	0.00		0	0.00		3	0.26		116	10.24		11	0.97		0	0.00		0	0.00		0	0.00		127	11.21		215	18.98		1	0.09		0	0.00		0	0.00		0	0.00		216	19.06		7	0.62		0	0.00		0	0.00		7	0.62		63	5.56		6	0.53		0	0.00		1	0.09		70	6.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1133	97.67		27	2.33		1160	1.49																																													
	Depot Hill		3	0.52		1	0.17		0	0.00		4	0.69		354	61.46		2	0.35		0	0.00		0	0.00		356	61.81		2	0.35		0	0.00		0	0.00		2	0.35		33	5.73		0	0.00		1	0.17		0	0.00		34	5.90		2	0.35		0	0.00		0	0.00		2	0.35		10	1.74		0	0.00		0	0.00		0	0.00		10	1.74		4	0.69		1	0.17		0	0.00		5	0.87		1	0.17		0	0.00		0	0.00		1	0.17		83	14.41		2	0.35		0	0.00		0	0.00		0	0.00		85	14.76		53	9.20		0	0.00		0	0.00		0	0.00		0	0.00		53	9.20		11	1.91		0	0.00		0	0.00		11	1.91		11	1.91		2	0.35		0	0.00		0	0.00		13	2.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		576	97.79		13	2.21		589	0.76																																													
	Dysart		4	0.37		0	0.00		0	0.00		4	0.37		656	61.48		4	0.37		1	0.09		2	0.19		663	62.14		3	0.28		0	0.00		0	0.00		3	0.28		100	9.37		5	0.47		1	0.09		0	0.00		106	9.93		3	0.28		1	0.09		0	0.00		4	0.37		8	0.75		1	0.09		0	0.00		0	0.00		9	0.84		14	1.31		1	0.09		0	0.00		15	1.41		0	0.00		0	0.00		0	0.00		0	0.00		93	8.72		8	0.75		0	0.00		0	0.00		0	0.00		101	9.47		122	11.43		3	0.28		0	0.00		0	0.00		0	0.00		125	11.72		11	1.03		0	0.00		0	0.00		11	1.03		26	2.44		0	0.00		0	0.00		0	0.00		26	2.44		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1067	98.80		13	1.20		1080	1.39																																													
	Emmaus College		4	0.40		1	0.10		0	0.00		5	0.50		429	42.52		8	0.79		0	0.00		3	0.30		440	43.61		1	0.10		1	0.10		0	0.00		2	0.20		126	12.49		5	0.50		0	0.00		0	0.00		131	12.98		6	0.59		0	0.00		0	0.00		6	0.59		11	1.09		0	0.00		0	0.00		0	0.00		11	1.09		4	0.40		0	0.00		0	0.00		4	0.40		0	0.00		0	0.00		0	0.00		0	0.00		87	8.62		9	0.89		0	0.00		0	0.00		0	0.00		96	9.51		236	23.39		4	0.40		0	0.00		0	0.00		0	0.00		240	23.79		10	0.99		0	0.00		0	0.00		10	0.99		54	5.35		4	0.40		0	0.00		3	0.30		61	6.05		2	0.20		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		3	0.30		1009	98.25		18	1.75		1027	1.32																																													
