Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Longman (83408)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Burpengary West		8	0.27		0	0.00		0	0.00		8	0.27		1018	34.06		13	0.43		2	0.07		3	0.10		1036	34.66		1	0.03		1	0.03		0	0.00		2	0.07		58	1.94		8	0.27		0	0.00		1	0.03		67	2.24		31	1.04		1	0.03		0	0.00		32	1.07		80	2.68		10	0.33		0	0.00		0	0.00		90	3.01		36	1.20		3	0.10		0	0.00		39	1.30		0	0.00		0	0.00		0	0.00		0	0.00		252	8.43		21	0.70		0	0.00		0	0.00		1	0.03		274	9.17		1172	39.21		19	0.64		2	0.07		0	0.00		0	0.00		1193	39.91		32	1.07		1	0.03		0	0.00		33	1.10		197	6.59		15	0.50		1	0.03		0	0.00		213	7.13		2	0.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.07		2989	97.62		73	2.38		3062	3.85																																													
	Caboolture		17	0.35		4	0.08		1	0.02		22	0.45		1712	35.23		44	0.91		7	0.14		6	0.12		1769	36.40		6	0.12		1	0.02		0	0.00		7	0.14		171	3.52		11	0.23		0	0.00		0	0.00		182	3.74		47	0.97		5	0.10		0	0.00		52	1.07		119	2.45		15	0.31		3	0.06		1	0.02		138	2.84		74	1.52		12	0.25		0	0.00		86	1.77		7	0.14		0	0.00		0	0.00		7	0.14		488	10.04		32	0.66		1	0.02		0	0.00		0	0.00		521	10.72		1647	33.89		25	0.51		6	0.12		0	0.00		2	0.04		1680	34.57		52	1.07		4	0.08		1	0.02		57	1.17		305	6.28		25	0.51		1	0.02		4	0.08		335	6.89		3	0.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.02		4	0.08		4860	95.44		232	4.56		5092	6.39																																													
	Caboolture East		9	0.39		3	0.13		0	0.00		12	0.52		879	37.90		12	0.52		2	0.09		1	0.04		894	38.55		5	0.22		0	0.00		0	0.00		5	0.22		93	4.01		2	0.09		0	0.00		0	0.00		95	4.10		18	0.78		5	0.22		2	0.09		25	1.08		68	2.93		13	0.56		0	0.00		1	0.04		82	3.54		36	1.55		2	0.09		1	0.04		39	1.68		1	0.04		0	0.00		0	0.00		1	0.04		237	10.22		19	0.82		1	0.04		0	0.00		1	0.04		258	11.13		680	29.32		12	0.52		0	0.00		0	0.00		0	0.00		692	29.84		45	1.94		0	0.00		0	0.00		45	1.94		157	6.77		10	0.43		0	0.00		2	0.09		169	7.29		1	0.04		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.09		2319	96.42		86	3.58		2405	3.02																																													
	Caboolture West		7	0.27		1	0.04		1	0.04		9	0.34		897	34.05		17	0.65		3	0.11		2	0.08		919	34.89		2	0.08		0	0.00		0	0.00		2	0.08		126	4.78		9	0.34		2	0.08		0	0.00		137	5.20		48	1.82		10	0.38		1	0.04		59	2.24		59	2.24		5	0.19		0	0.00		1	0.04		65	2.47		31	1.18		1	0.04		0	0.00		32	1.21		1	0.04		0	0.00		0	0.00		1	0.04		260	9.87		24	0.91		0	0.00		0	0.00		0	0.00		284	10.78		899	34.13		15	0.57		4	0.15		0	0.00		2	0.08		920	34.93		41	1.56		0	0.00		0	0.00		41	1.56		153	5.81		9	0.34		1	0.04		1	0.04		164	6.23		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		2634	97.56		66	2.44		2700	3.39																																													
	Conondale		2	0.52		0	0.00		0	0.00		2	0.52		77	20.16		6	1.57		0	0.00		0	0.00		83	21.73		0	0.00		0	0.00		0	0.00		0	0.00		39	10.21		3	0.79		0	0.00		0	0.00		42	10.99		0	0.00		0	0.00		0	0.00		0	0.00		65	17.02		15	3.93		0	0.00		0	0.00		80	20.94		5	1.31		0	0.00		0	0.00		5	1.31		1	0.26		0	0.00		0	0.00		1	0.26		47	12.30		3	0.79		0	0.00		0	0.00		0	0.00		50	13.09		77	20.16		1	0.26		0	0.00		0	0.00		0	0.00		78	20.42		3	0.79		0	0.00		0	0.00		3	0.79		32	8.38		6	1.57		0	0.00		0	0.00		38	9.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		382	96.46		14	3.54		396	0.50																																													
	Deception Bay		1	0.09		2	0.18		1	0.09		4	0.36		506	45.79		5	0.45		1	0.09		2	0.18		514	46.52		2	0.18		0	0.00		0	0.00		2	0.18		12	1.09		1	0.09		0	0.00		1	0.09		14	1.27		12	1.09		4	0.36		0	0.00		16	1.45		18	1.63		1	0.09		0	0.00		0	0.00		19	1.72		20	1.81		2	0.18		0	0.00		22	1.99		0	0.00		0	0.00		0	0.00		0	0.00		144	13.03		6	0.54		1	0.09		0	0.00		0	0.00		151	13.67		292	26.43		4	0.36		2	0.18		1	0.09		0	0.00		299	27.06		14	1.27		0	0.00		0	0.00		14	1.27		46	4.16		3	0.27		0	0.00		0	0.00		49	4.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		1105	96.09		45	3.91		1150	1.44																																													
	Deception Bay North		17	0.53		2	0.06		0	0.00		19	0.59		1356	42.43		20	0.63		2	0.06		2	0.06		1380	43.18		4	0.13		0	0.00		0	0.00		4	0.13		72	2.25		7	0.22		0	0.00		0	0.00		79	2.47		32	1.00		3	0.09		1	0.03		36	1.13		65	2.03		7	0.22		0	0.00		0	0.00		72	2.25		33	1.03		3	0.09		0	0.00		36	1.13		2	0.06		0	0.00		0	0.00		2	0.06		388	12.14		20	0.63		0	0.00		0	0.00		0	0.00		408	12.77		904	28.29		10	0.31		1	0.03		0	0.00		2	0.06		917	28.69		57	1.78		0	0.00		0	0.00		57	1.78		176	5.51		6	0.19		1	0.03		0	0.00		183	5.73		2	0.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.03		0	0.00		3	0.09		3196	96.53		115	3.47		3311	4.16																																													
	Deception Bay South (Longman)		7	0.82		1	0.12		0	0.00		8	0.93		373	43.47		6	0.70		3	0.35		1	0.12		383	44.64		0	0.00		0	0.00		0	0.00		0	0.00		15	1.75		1	0.12		0	0.00		0	0.00		16	1.86		13	1.52		1	0.12		1	0.12		15	1.75		9	1.05		0	0.00		0	0.00		0	0.00		9	1.05		11	1.28		2	0.23		0	0.00		13	1.52		0	0.00		0	0.00		0	0.00		0	0.00		65	7.58		6	0.70		0	0.00		0	0.00		0	0.00		71	8.28		281	32.75		0	0.00		0	0.00		0	0.00		1	0.12		282	32.87		13	1.52		0	0.00		0	0.00		13	1.52		48	5.59		0	0.00		0	0.00		0	0.00		48	5.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		858	96.19		34	3.81		892	1.12																																													
	Donnybrook		2	0.48		0	0.00		0	0.00		2	0.48		149	35.39		2	0.48		0	0.00		0	0.00		151	35.87		0	0.00		0	0.00		0	0.00		0	0.00		15	3.56		2	0.48		0	0.00		0	0.00		17	4.04		1	0.24		1	0.24		0	0.00		2	0.48		6	1.43		0	0.00		0	0.00		0	0.00		6	1.43		4	0.95		0	0.00		0	0.00		4	0.95		0	0.00		0	0.00		0	0.00		0	0.00		71	16.86		9	2.14		0	0.00		0	0.00		0	0.00		80	19.00		124	29.45		1	0.24		1	0.24		0	0.00		0	0.00		126	29.93		4	0.95		0	0.00		0	0.00		4	0.95		28	6.65		1	0.24		0	0.00		0	0.00		29	6.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		421	93.97		27	6.03		448	0.56																																													
	Elimbah		3	0.21		0	0.00		0	0.00		3	0.21		421	29.88		13	0.92		1	0.07		1	0.07		436	30.94		0	0.00		1	0.07		0	0.00		1	0.07		41	2.91		9	0.64		0	0.00		0	0.00		50	3.55		11	0.78		1	0.07		1	0.07		13	0.92		36	2.56		5	0.35		0	0.00		0	0.00		41	2.91		17	1.21		3	0.21		0	0.00		20	1.42		1	0.07		0	0.00		0	0.00		1	0.07		164	11.64		10	0.71		0	0.00		0	0.00		0	0.00		174	12.35		542	38.47		4	0.28		0	0.00		0	0.00		0	0.00		546	38.75		27	1.92		0	0.00		0	0.00		27	1.92		88	6.25		5	0.35		3	0.21		0	0.00		96	6.81		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		1409	97.92		30	2.08		1439	1.81																																													
