Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Fairfax (84217)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Deep Creek		1	0.30		1	0.30		0	0.00		2	0.60		70	21.02		3	0.90		0	0.00		0	0.00		73	21.92		1	0.30		0	0.00		0	0.00		1	0.30		39	11.71		1	0.30		0	0.00		0	0.00		40	12.01		1	0.30		0	0.00		0	0.00		1	0.30		14	4.20		0	0.00		0	0.00		0	0.00		14	4.20		2	0.60		0	0.00		0	0.00		2	0.60		2	0.60		0	0.00		0	0.00		2	0.60		78	23.42		11	3.30		0	0.00		0	0.00		0	0.00		89	26.73		77	23.12		0	0.00		0	0.00		0	0.00		0	0.00		77	23.12		9	2.70		0	0.00		0	0.00		9	2.70		12	3.60		6	1.80		0	0.00		0	0.00		18	5.41		4	1.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.30		5	1.50		333	95.69		15	4.31		348	0.44																																													
	Eumundi		2	0.11		1	0.05		0	0.00		3	0.16		396	21.32		19	1.02		2	0.11		2	0.11		419	22.56		0	0.00		0	0.00		0	0.00		0	0.00		96	5.17		9	0.48		1	0.05		0	0.00		106	5.71		15	0.81		3	0.16		0	0.00		18	0.97		185	9.96		24	1.29		0	0.00		0	0.00		209	11.25		37	1.99		3	0.16		0	0.00		40	2.15		5	0.27		0	0.00		0	0.00		5	0.27		165	8.89		17	0.92		0	0.00		0	0.00		0	0.00		182	9.80		652	35.11		18	0.97		1	0.05		0	0.00		1	0.05		672	36.19		31	1.67		0	0.00		0	0.00		31	1.67		147	7.92		22	1.18		2	0.11		0	0.00		171	9.21		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		1857	96.47		68	3.53		1925	2.42																																													
	Federal		0	0.00		0	0.00		0	0.00		0	0.00		43	16.93		2	0.79		0	0.00		0	0.00		45	17.72		0	0.00		0	0.00		0	0.00		0	0.00		55	21.65		0	0.00		0	0.00		0	0.00		55	21.65		0	0.00		0	0.00		0	0.00		0	0.00		5	1.97		0	0.00		0	0.00		0	0.00		5	1.97		5	1.97		0	0.00		0	0.00		5	1.97		1	0.39		0	0.00		0	0.00		1	0.39		44	17.32		2	0.79		0	0.00		0	0.00		0	0.00		46	18.11		67	26.38		0	0.00		0	0.00		0	0.00		0	0.00		67	26.38		7	2.76		0	0.00		0	0.00		7	2.76		20	7.87		3	1.18		0	0.00		0	0.00		23	9.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		254	96.58		9	3.42		263	0.33																																													
	Goomboorian		2	0.39		0	0.00		0	0.00		2	0.39		85	16.44		3	0.58		2	0.39		0	0.00		90	17.41		1	0.19		0	0.00		0	0.00		1	0.19		132	25.53		5	0.97		0	0.00		0	0.00		137	26.50		8	1.55		1	0.19		0	0.00		9	1.74		14	2.71		3	0.58		0	0.00		0	0.00		17	3.29		5	0.97		1	0.19		0	0.00		6	1.16		0	0.00		0	0.00		0	0.00		0	0.00		131	25.34		6	1.16		0	0.00		0	0.00		1	0.19		138	26.69		87	16.83		3	0.58		0	0.00		0	0.00		0	0.00		90	17.41		7	1.35		0	0.00		0	0.00		7	1.35		14	2.71		3	0.58		1	0.19		0	0.00		18	3.48		1	0.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.19		0	0.00		2	0.39		517	97.92		11	2.08		528	0.66																																													
	Gympie Central		7	0.32		3	0.14		0	0.00		10	0.46		570	26.21		14	0.64		1	0.05		1	0.05		586	26.94		5	0.23		0	0.00		0	0.00		5	0.23		342	15.72		12	0.55		2	0.09		1	0.05		357	16.41		44	2.02		0	0.00		1	0.05		45	2.07		49	2.25		6	0.28		0	0.00		0	0.00		55	2.53		24	1.10		3	0.14		0	0.00		27	1.24		4	0.18		0	0.00		0	0.00		4	0.18		319	14.67		32	1.47		0	0.00		0	0.00		0	0.00		351	16.14		560	25.75		14	0.64		0	0.00		0	0.00		0	0.00		574	26.39		31	1.43		1	0.05		1	0.05		33	1.52		111	5.10		13	0.60		1	0.05		0	0.00		125	5.75		3	0.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.14		2175	97.14		64	2.86		2239	2.81																																													
	Gympie East		5	0.34		1	0.07		0	0.00		6	0.40		415	27.98		15	1.01		1	0.07		1	0.07		432	29.13		3	0.20		0	0.00		0	0.00		3	0.20		249	16.79		7	0.47		0	0.00		1	0.07		257	17.33		7	0.47		4	0.27		0	0.00		11	0.74		37	2.49		4	0.27		0	0.00		0	0.00		41	2.76		17	1.15		2	0.13		0	0.00		19	1.28		3	0.20		0	0.00		0	0.00		3	0.20		224	15.10		14	0.94		0	0.00		0	0.00		0	0.00		238	16.05		323	21.78		10	0.67		0	0.00		0	0.00		0	0.00		333	22.45		42	2.83		1	0.07		0	0.00		43	2.90		90	6.07		4	0.27		0	0.00		1	0.07		95	6.41		2	0.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.13		1483	97.76		34	2.24		1517	1.90																																													
	Gympie North		3	0.17		0	0.00		0	0.00		3	0.17		424	24.62		4	0.23		1	0.06		0	0.00		429	24.91		0	0.00		0	0.00		0	0.00		0	0.00		419	24.33		14	0.81		0	0.00		0	0.00		433	25.15		30	1.74		4	0.23		0	0.00		34	1.97		33	1.92		3	0.17		0	0.00		0	0.00		36	2.09		8	0.46		0	0.00		0	0.00		8	0.46		0	0.00		0	0.00		0	0.00		0	0.00		271	15.74		14	0.81		1	0.06		0	0.00		0	0.00		286	16.61		383	22.24		4	0.23		1	0.06		1	0.06		1	0.06		390	22.65		28	1.63		1	0.06		0	0.00		29	1.68		64	3.72		3	0.17		0	0.00		0	0.00		67	3.89		3	0.17		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		2	0.12		1	0.06		7	0.41		1722	97.23		49	2.77		1771	2.22																																													
	Gympie South		7	0.32		0	0.00		0	0.00		7	0.32		523	24.18		12	0.55		0	0.00		2	0.09		537	24.83		4	0.18		1	0.05		0	0.00		5	0.23		437	20.20		8	0.37		1	0.05		0	0.00		446	20.62		19	0.88		7	0.32		0	0.00		26	1.20		38	1.76		7	0.32		0	0.00		0	0.00		45	2.08		16	0.74		1	0.05		1	0.05		18	0.83		5	0.23		0	0.00		0	0.00		5	0.23		303	14.01		26	1.20		0	0.00		0	0.00		0	0.00		329	15.21		543	25.10		8	0.37		0	0.00		0	0.00		1	0.05		552	25.52		31	1.43		2	0.09		0	0.00		33	1.53		143	6.61		12	0.55		0	0.00		1	0.05		156	7.21		3	0.14		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	0.18		2163	97.30		60	2.70		2223	2.79																																													
	Gympie West		6	0.52		1	0.09		0	0.00		7	0.60		298	25.62		8	0.69		0	0.00		3	0.26		309	26.57		1	0.09		0	0.00		0	0.00		1	0.09		284	24.42		5	0.43		0	0.00		0	0.00		289	24.85		18	1.55		2	0.17		0	0.00		20	1.72		21	1.81		4	0.34		0	0.00		0	0.00		25	2.15		9	0.77		3	0.26		1	0.09		13	1.12		2	0.17		1	0.09		0	0.00		3	0.26		147	12.64		19	1.63		1	0.09		0	0.00		0	0.00		167	14.36		234	20.12		10	0.86		0	0.00		0	0.00		0	0.00		244	20.98		9	0.77		0	0.00		0	0.00		9	0.77		65	5.59		7	0.60		0	0.00		0	0.00		72	6.19		3	0.26		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		0	0.00		4	0.34		1163	96.43		43	3.57		1206	1.51																																													
	Imbil		5	0.67		1	0.13		0	0.00		6	0.81		158	21.27		1	0.13		0	0.00		0	0.00		159	21.40		1	0.13		0	0.00		0	0.00		1	0.13		151	20.32		3	0.40		2	0.27		0	0.00		156	21.00		9	1.21		1	0.13		0	0.00		10	1.35		20	2.69		5	0.67		0	0.00		0	0.00		25	3.36		13	1.75		6	0.81		1	0.13		20	2.69		0	0.00		0	0.00		0	0.00		0	0.00		146	19.65		10	1.35		0	0.00		0	0.00		0	0.00		156	21.00		158	21.27		4	0.54		0	0.00		0	0.00		0	0.00		162	21.80		14	1.88		0	0.00		0	0.00		14	1.88		30	4.04		3	0.40		0	0.00		0	0.00		33	4.44		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		743	96.49		27	3.51		770	0.97																																													
