Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Moreton (89254)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Graceville West		1	0.19		0	0.00		0	0.00		1	0.19		107	19.93		9	1.68		1	0.19		0	0.00		117	21.79		0	0.00		0	0.00		0	0.00		0	0.00		29	5.40		6	1.12		0	0.00		0	0.00		35	6.52		1	0.19		0	0.00		0	0.00		1	0.19		16	2.98		10	1.86		0	0.00		0	0.00		26	4.84		5	0.93		1	0.19		0	0.00		6	1.12		0	0.00		1	0.19		0	0.00		1	0.19		20	3.72		8	1.49		0	0.00		0	0.00		0	0.00		28	5.21		268	49.91		6	1.12		1	0.19		1	0.19		2	0.37		278	51.77		3	0.56		0	0.00		0	0.00		3	0.56		36	6.70		3	0.56		0	0.00		0	0.00		39	7.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.37		2	0.37		537	97.99		11	2.01		548	0.65																																													
	Greenslopes Hospital		0	0.00		2	0.37		0	0.00		2	0.37		140	25.93		5	0.93		1	0.19		1	0.19		147	27.22		0	0.00		0	0.00		0	0.00		0	0.00		21	3.89		6	1.11		0	0.00		0	0.00		27	5.00		9	1.67		1	0.19		0	0.00		10	1.85		26	4.81		6	1.11		0	0.00		0	0.00		32	5.93		6	1.11		2	0.37		0	0.00		8	1.48		1	0.19		0	0.00		0	0.00		1	0.19		13	2.41		4	0.74		0	0.00		0	0.00		0	0.00		17	3.15		230	42.59		8	1.48		0	0.00		0	0.00		0	0.00		238	44.07		4	0.74		0	0.00		0	0.00		4	0.74		48	8.89		5	0.93		1	0.19		0	0.00		54	10.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		540	98.18		10	1.82		550	0.65																																													
	Greenslopes School (Moreton)		6	0.43		2	0.14		0	0.00		8	0.57		519	36.86		7	0.50		4	0.28		1	0.07		531	37.71		1	0.07		0	0.00		0	0.00		1	0.07		30	2.13		4	0.28		0	0.00		0	0.00		34	2.41		12	0.85		2	0.14		1	0.07		15	1.07		72	5.11		10	0.71		1	0.07		3	0.21		86	6.11		12	0.85		0	0.00		1	0.07		13	0.92		1	0.07		0	0.00		0	0.00		1	0.07		38	2.70		10	0.71		0	0.00		0	0.00		0	0.00		48	3.41		490	34.80		8	0.57		4	0.28		1	0.07		1	0.07		504	35.80		6	0.43		0	0.00		0	0.00		6	0.43		135	9.59		22	1.56		1	0.07		3	0.21		161	11.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1408	94.56		81	5.44		1489	1.77																																													
	Holland Park (Moreton)		5	0.57		0	0.00		0	0.00		5	0.57		284	32.27		15	1.70		2	0.23		0	0.00		301	34.20		0	0.00		0	0.00		0	0.00		0	0.00		37	4.20		2	0.23		0	0.00		0	0.00		39	4.43		4	0.45		0	0.00		0	0.00		4	0.45		35	3.98		7	0.80		0	0.00		0	0.00		42	4.77		14	1.59		3	0.34		1	0.11		18	2.05		0	0.00		0	0.00		0	0.00		0	0.00		34	3.86		3	0.34		0	0.00		0	0.00		0	0.00		37	4.20		338	38.41		11	1.25		2	0.23		0	0.00		0	0.00		351	39.89		3	0.34		1	0.11		0	0.00		4	0.45		68	7.73		9	1.02		1	0.11		0	0.00		78	8.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		1	0.11		880	95.55		41	4.45		921	1.09																																													
	Junction Park		7	0.51		3	0.22		2	0.15		12	0.88		488	35.67		22	1.61		3	0.22		3	0.22		516	37.72		0	0.00		0	0.00		0	0.00		0	0.00		43	3.14		5	0.37		0	0.00		0	0.00		48	3.51		14	1.02		1	0.07		0	0.00		15	1.10		79	5.77		20	1.46		0	0.00		1	0.07		100	7.31		14	1.02		3	0.22		0	0.00		17	1.24		1	0.07		0	0.00		0	0.00		1	0.07		61	4.46		4	0.29		0	0.00		0	0.00		0	0.00		65	4.75		406	29.68		8	0.58		0	0.00		0	0.00		1	0.07		415	30.34		10	0.73		1	0.07		0	0.00		11	0.80		150	10.96		14	1.02		0	0.00		2	0.15		166	12.13		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		2	0.15		1368	97.37		37	2.63		1405	1.67																																													
	Kuraby (Moreton)		2	0.14		0	0.00		0	0.00		2	0.14		490	33.52		14	0.96		1	0.07		0	0.00		505	34.54		0	0.00		0	0.00		0	0.00		0	0.00		47	3.21		3	0.21		0	0.00		0	0.00		50	3.42		23	1.57		4	0.27		0	0.00		27	1.85		37	2.53		4	0.27		0	0.00		0	0.00		41	2.80		8	0.55		1	0.07		0	0.00		9	0.62		2	0.14		0	0.00		0	0.00		2	0.14		73	4.99		9	0.62		0	0.00		0	0.00		0	0.00		82	5.61		610	41.72		12	0.82		2	0.14		0	0.00		2	0.14		626	42.82		11	0.75		0	0.00		0	0.00		11	0.75		95	6.50		9	0.62		0	0.00		1	0.07		105	7.18		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		2	0.14		1462	96.95		46	3.05		1508	1.79																																													
	Macgregor		8	0.40		1	0.05		0	0.00		9	0.45		614	30.90		13	0.65		3	0.15		1	0.05		631	31.76		2	0.10		0	0.00		0	0.00		2	0.10		98	4.93		9	0.45		0	0.00		0	0.00		107	5.39		29	1.46		7	0.35		0	0.00		36	1.81		45	2.26		9	0.45		0	0.00		0	0.00		54	2.72		26	1.31		3	0.15		0	0.00		29	1.46		3	0.15		0	0.00		0	0.00		3	0.15		84	4.23		12	0.60		0	0.00		0	0.00		0	0.00		96	4.83		867	43.63		11	0.55		2	0.10		0	0.00		2	0.10		882	44.39		17	0.86		0	0.00		0	0.00		17	0.86		102	5.13		15	0.75		1	0.05		1	0.05		119	5.99		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		2	0.10		1987	95.07		103	4.93		2090	2.48																																													
	Mansfield (Moreton)		0	0.00		2	0.12		1	0.06		3	0.18		507	29.81		10	0.59		2	0.12		2	0.12		521	30.63		5	0.29		0	0.00		0	0.00		5	0.29		66	3.88		12	0.71		0	0.00		0	0.00		78	4.59		32	1.88		6	0.35		1	0.06		39	2.29		40	2.35		8	0.47		1	0.06		1	0.06		50	2.94		14	0.82		3	0.18		1	0.06		18	1.06		1	0.06		1	0.06		0	0.00		2	0.12		53	3.12		9	0.53		0	0.00		0	0.00		0	0.00		62	3.64		778	45.74		9	0.53		3	0.18		0	0.00		0	0.00		790	46.44		14	0.82		0	0.00		0	0.00		14	0.82		110	6.47		5	0.29		0	0.00		3	0.18		118	6.94		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		1701	98.49		26	1.51		1727	2.05																																													
	Market Square		6	0.25		0	0.00		1	0.04		7	0.29		765	31.81		21	0.87		3	0.12		2	0.08		791	32.89		2	0.08		0	0.00		1	0.04		3	0.12		139	5.78		13	0.54		1	0.04		0	0.00		153	6.36		13	0.54		5	0.21		0	0.00		18	0.75		72	2.99		12	0.50		1	0.04		0	0.00		85	3.53		14	0.58		1	0.04		0	0.00		15	0.62		2	0.08		0	0.00		0	0.00		2	0.08		111	4.62		21	0.87		0	0.00		0	0.00		0	0.00		132	5.49		980	40.75		16	0.67		1	0.04		0	0.00		1	0.04		998	41.50		27	1.12		1	0.04		0	0.00		28	1.16		142	5.90		23	0.96		3	0.12		4	0.17		172	7.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		1	0.04		2405	96.16		96	3.84		2501	2.97																																													
	Marshall Road		9	0.43		1	0.05		0	0.00		10	0.48		664	31.57		25	1.19		2	0.10		0	0.00		691	32.86		1	0.05		0	0.00		0	0.00		1	0.05		70	3.33		12	0.57		0	0.00		0	0.00		82	3.90		11	0.52		5	0.24		0	0.00		16	0.76		83	3.95		17	0.81		1	0.05		1	0.05		102	4.85		16	0.76		7	0.33		0	0.00		23	1.09		1	0.05		0	0.00		0	0.00		1	0.05		78	3.71		21	1.00		0	0.00		0	0.00		0	0.00		99	4.71		873	41.51		13	0.62		5	0.24		4	0.19		1	0.05		896	42.61		12	0.57		1	0.05		0	0.00		13	0.62		144	6.85		15	0.71		1	0.05		4	0.19		164	7.80		2	0.10		0	0.00		0	0.00		1	0.05		1	0.05		0	0.00		0	0.00		1	0.05		5	0.24		2103	96.29		81	3.71		2184	2.59																																													
