Senate - 2001 Election: Tasmania																																													
First Preference Votes by Group 																																													
By Polling Place																																													

Franklin (67119)																																													
		Group Total TFP			Group Total HPA			Group Total HAN			Group Total 			Group Total GRN			Group Total LP			Group Total 			Group Total DEM			Group Total ALP			Group Total LFF			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Montagu Bay		5	0.41		1	0.08		29	2.35		1	0.08		235	19.07		477	38.72		2	0.16		84	6.82		382	31.01		1	0.08		1	0.08		14	1.14		1232	98.17		23	1.83		1255	1.94
Mornington		6	1.41		0	0.00		16	3.76		1	0.24		35	8.24		122	28.71		0	0.00		16	3.76		225	52.94		3	0.71		0	0.00		1	0.24		425	95.29		21	4.71		446	0.69
Opossum Bay		0	0.00		0	0.00		3	1.91		0	0.00		23	14.65		82	52.23		0	0.00		7	4.46		42	26.75		0	0.00		0	0.00		0	0.00		157	96.32		6	3.68		163	0.25
Port Huon		2	0.91		0	0.00		2	0.91		1	0.45		16	7.27		120	54.55		1	0.45		0	0.00		75	34.09		2	0.91		0	0.00		1	0.45		220	96.92		7	3.08		227	0.35
Ranelagh		5	0.80		3	0.48		19	3.05		1	0.16		115	18.46		238	38.20		1	0.16		21	3.37		218	34.99		2	0.32		0	0.00		0	0.00		623	95.70		28	4.30		651	1.01
Risdon Vale		30	2.08		2	0.14		56	3.88		1	0.07		90	6.23		312	21.59		0	0.00		49	3.39		898	62.15		2	0.14		3	0.21		2	0.14		1445	95.51		68	4.49		1513	2.34
Rokeby		19	1.17		4	0.25		64	3.95		2	0.12		106	6.55		363	22.42		0	0.00		60	3.71		991	61.21		9	0.56		1	0.06		0	0.00		1619	95.91		69	4.09		1688	2.61
Sandfly		5	0.65		1	0.13		22	2.88		2	0.26		233	30.50		293	38.35		0	0.00		32	4.19		165	21.60		5	0.65		0	0.00		6	0.79		764	97.20		22	2.80		786	1.22
Sandford		4	0.38		0	0.00		13	1.24		0	0.00		258	24.59		412	39.28		0	0.00		67	6.39		289	27.55		2	0.19		1	0.10		3	0.29		1049	97.49		27	2.51		1076	1.66
Seven Mile Beach		2	0.29		1	0.14		12	1.74		0	0.00		147	21.30		294	42.61		0	0.00		23	3.33		204	29.57		4	0.58		1	0.14		2	0.29		690	98.29		12	1.71		702	1.09
Snug		9	1.05		1	0.12		35	4.07		1	0.12		188	21.84		287	33.33		1	0.12		53	6.16		279	32.40		5	0.58		0	0.00		2	0.23		861	98.29		15	1.71		876	1.35
South Arm		4	0.82		0	0.00		12	2.46		0	0.00		108	22.18		198	40.66		2	0.41		18	3.70		143	29.36		1	0.21		0	0.00		1	0.21		487	96.25		19	3.75		506	0.78
Southport		2	1.13		0	0.00		9	5.08		0	0.00		44	24.86		48	27.12		0	0.00		10	5.65		63	35.59		1	0.56		0	0.00		0	0.00		177	93.16		13	6.84		190	0.29
Strathblane		2	1.65		2	1.65		6	4.96		0	0.00		14	11.57		50	41.32		0	0.00		0	0.00		44	36.36		3	2.48		0	0.00		0	0.00		121	96.80		4	3.20		125	0.19
Surges Bay		2	1.35		1	0.68		3	2.03		0	0.00		21	14.19		88	59.46		0	0.00		1	0.68		27	18.24		4	2.70		0	0.00		1	0.68		148	95.48		7	4.52		155	0.24
Tranmere		8	0.44		2	0.11		31	1.70		1	0.05		303	16.62		846	46.41		1	0.05		91	4.99		526	28.85		7	0.38		0	0.00		7	0.38		1823	97.91		39	2.09		1862	2.88
Warrane		17	1.24		2	0.15		27	1.96		2	0.15		155	11.27		364	26.47		2	0.15		51	3.71		738	53.67		4	0.29		2	0.15		11	0.80		1375	96.76		46	3.24		1421	2.20
Wentworth Street		7	0.57		0	0.00		16	1.30		0	0.00		197	16.04		457	37.21		1	0.08		83	6.76		454	36.97		6	0.49		2	0.16		5	0.41		1228	97.38		33	2.62		1261	1.95
Woodbridge		2	0.59		0	0.00		9	2.64		1	0.29		129	37.83		103	30.21		0	0.00		12	3.52		78	22.87		2	0.59		0	0.00		5	1.47		341	96.06		14	3.94		355	0.55
Special Hospitals		6	1.61		2	0.54		2	0.54		0	0.00		19	5.11		205	55.11		0	0.00		9	2.42		124	33.33		3	0.81		1	0.27		1	0.27		372	93.70		25	6.30		397	0.61
Total Ordinary		509	0.94		62	0.11		1309	2.42		73	0.14		8846	16.36		20469	37.86		51	0.09		2631	4.87		19564	36.18		270	0.50		49	0.09		235	0.43		54068	96.97		1687	3.03		55755	86.21
ABSENT		41	1.15		3	0.08		68	1.91		2	0.06		653	18.32		1286	36.07		9	0.25		239	6.70		1222	34.28		23	0.65		6	0.17		13	0.36		3565	98.24		64	1.76		3629	5.61
POSTAL		28	1.11		0	0.00		68	2.70		2	0.08		242	9.60		1079	42.82		2	0.08		100	3.97		963	38.21		17	0.67		5	0.20		14	0.56		2520	98.09		49	1.91		2569	3.97
PRE_POLL		21	0.99		2	0.09		46	2.16		1	0.05		363	17.06		900	42.29		1	0.05		151	7.10		622	29.23		7	0.33		5	0.23		9	0.42		2128	98.88		24	1.12		2152	3.33
PROVISIONAL		18	3.23		3	0.54		15	2.69		1	0.18		75	13.46		135	24.24		1	0.18		33	5.92		266	47.76		8	1.44		1	0.18		1	0.18		557	97.38		15	2.62		572	0.88
Division Summary		617	0.98		70	0.11		1506	2.4		79	0.13		10179	16.2		23869	37.98		64	0.1		3154	5.02		22637	36.02		325	0.52		66	0.11		272	0.43		62838	97.16		1839	2.84		64677	96.36
