Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												

Denison (67938)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Cornelian Bay		5	0.89		0	0.00		0	0.00		1	0.18		6	1.07		0	0.00		1	0.18		0	0.00		1	0.18		4	0.72		1	0.18		0	0.00		5	0.89		0	0.00		0	0.00		0	0.00		0	0.00		77	13.77		73	13.06		150	26.83		179	32.02		17	3.04		4	0.72		3	0.54		3	0.54		206	36.85		0	0.00		0	0.00		1	0.18		1	0.18		19	3.40		7	1.25		0	0.00		26	4.65		114	20.39		26	4.65		17	3.04		2	0.36		159	28.44		1	0.18		0	0.00		1	0.18		2	0.36		0	0.00		0	0.00		0	0.00		0	0.00		1	0.18		0	0.00		1	0.18		1	0.18		3	0.54		559	97.56		14	2.44		573	0.88																																																																																				
	Cosgrove		2	0.25		0	0.00		0	0.00		1	0.13		3	0.38		0	0.00		1	0.13		0	0.00		1	0.13		18	2.27		3	0.38		1	0.13		22	2.77		0	0.00		1	0.13		1	0.13		2	0.25		60	7.56		41	5.16		101	12.72		193	24.31		14	1.76		5	0.63		2	0.25		0	0.00		214	26.95		0	0.00		0	0.00		0	0.00		0	0.00		23	2.90		6	0.76		1	0.13		30	3.78		363	45.72		26	3.27		22	2.77		4	0.50		415	52.27		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		2	0.25		2	0.25		5	0.63		794	96.24		31	3.76		825	1.27																																																																																				
	Creek Road		9	0.68		2	0.15		1	0.08		1	0.08		13	0.99		0	0.00		0	0.00		0	0.00		0	0.00		12	0.91		4	0.30		0	0.00		16	1.22		0	0.00		0	0.00		0	0.00		0	0.00		129	9.81		142	10.80		271	20.61		440	33.46		59	4.49		10	0.76		3	0.23		2	0.15		514	39.09		0	0.00		0	0.00		0	0.00		0	0.00		49	3.73		27	2.05		1	0.08		77	5.86		333	25.32		44	3.35		29	2.21		6	0.46		412	31.33		6	0.46		1	0.08		0	0.00		7	0.53		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		4	0.30		0	0.00		4	0.30		1315	96.83		43	3.17		1358	2.09																																																																																				
	Cross Street		8	0.46		2	0.11		2	0.11		0	0.00		12	0.69		2	0.11		0	0.00		0	0.00		2	0.11		16	0.92		5	0.29		2	0.11		23	1.32		3	0.17		4	0.23		0	0.00		7	0.40		196	11.25		195	11.19		391	22.45		469	26.92		57	3.27		10	0.57		0	0.00		9	0.52		545	31.29		1	0.06		0	0.00		1	0.06		2	0.11		69	3.96		23	1.32		3	0.17		95	5.45		552	31.69		56	3.21		39	2.24		6	0.34		653	37.49		5	0.29		1	0.06		1	0.06		7	0.40		1	0.06		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		4	0.23		4	0.23		1742	95.04		91	4.96		1833	2.82																																																																																				
	Dynnyrne		1	0.09		2	0.18		0	0.00		1	0.09		4	0.35		0	0.00		0	0.00		0	0.00		0	0.00		7	0.62		3	0.27		0	0.00		10	0.89		1	0.09		1	0.09		0	0.00		2	0.18		202	17.91		217	19.24		419	37.15		297	26.33		50	4.43		11	0.98		7	0.62		2	0.18		367	32.54		0	0.00		1	0.09		0	0.00		1	0.09		60	5.32		22	1.95		2	0.18		84	7.45		166	14.72		37	3.28		21	1.86		5	0.44		229	20.30		1	0.09		1	0.09		2	0.18		4	0.35		1	0.09		1	0.09		0	0.00		2	0.18		0	0.00		1	0.09		3	0.27		2	0.18		6	0.53		1128	98.77		14	1.23		1142	1.76																																																																																				
	Elizabeth Street		6	0.75		4	0.50		0	0.00		0	0.00		10	1.26		0	0.00		0	0.00		0	0.00		0	0.00		6	0.75		1	0.13		1	0.13		8	1.01		1	0.13		0	0.00		0	0.00		1	0.13		162	20.38		148	18.62		310	38.99		153	19.25		20	2.52		2	0.25		0	0.00		4	0.50		179	22.52		0	0.00		2	0.25		0	0.00		2	0.25		37	4.65		22	2.77		2	0.25		61	7.67		174	21.89		25	3.14		12	1.51		3	0.38		214	26.92		2	0.25		2	0.25		1	0.13		5	0.63		1	0.13		0	0.00		0	0.00		1	0.13		1	0.13		0	0.00		0	0.00		3	0.38		4	0.50		795	97.31		22	2.69		817	1.26																																																																																				
	Elwick		3	0.79		0	0.00		1	0.26		0	0.00		4	1.05		1	0.26		0	0.00		0	0.00		1	0.26		2	0.53		2	0.53		0	0.00		4	1.05		1	0.26		1	0.26		0	0.00		2	0.53		18	4.74		12	3.16		30	7.89		80	21.05		8	2.11		0	0.00		2	0.53		0	0.00		90	23.68		0	0.00		0	0.00		1	0.26		1	0.26		9	2.37		1	0.26		2	0.53		12	3.16		209	55.00		8	2.11		15	3.95		1	0.26		233	61.32		1	0.26		1	0.26		0	0.00		2	0.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.26		1	0.26		380	95.48		18	4.52		398	0.61																																																																																				
	Fern Tree		1	0.23		0	0.00		0	0.00		0	0.00		1	0.23		0	0.00		0	0.00		0	0.00		0	0.00		3	0.68		3	0.68		0	0.00		6	1.36		0	0.00		0	0.00		0	0.00		0	0.00		115	26.08		117	26.53		232	52.61		64	14.51		10	2.27		1	0.23		2	0.45		2	0.45		79	17.91		1	0.23		0	0.00		0	0.00		1	0.23		12	2.72		13	2.95		0	0.00		25	5.67		75	17.01		11	2.49		4	0.91		1	0.23		91	20.63		3	0.68		1	0.23		0	0.00		4	0.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.23		1	0.23		2	0.45		441	98.88		5	1.12		446	0.69																																																																																				
	Glenorchy		26	0.95		4	0.15		1	0.04		0	0.00		31	1.13		1	0.04		0	0.00		0	0.00		1	0.04		91	3.31		11	0.40		0	0.00		102	3.71		2	0.07		2	0.07		0	0.00		4	0.15		107	3.89		76	2.76		183	6.65		778	28.28		61	2.22		12	0.44		3	0.11		3	0.11		857	31.15		1	0.04		0	0.00		0	0.00		1	0.04		95	3.45		18	0.65		4	0.15		117	4.25		1284	46.67		66	2.40		74	2.69		5	0.18		1429	51.94		15	0.55		1	0.04		0	0.00		16	0.58		3	0.11		1	0.04		0	0.00		4	0.15		0	0.00		1	0.04		1	0.04		4	0.15		6	0.22		2751	96.05		113	3.95		2864	4.40																																																																																				
	Glenorchy East		15	0.75		7	0.35		3	0.15		0	0.00		25	1.24		2	0.10		0	0.00		0	0.00		2	0.10		49	2.44		6	0.30		3	0.15		58	2.88		0	0.00		1	0.05		0	0.00		1	0.05		115	5.72		82	4.08		197	9.80		476	23.67		61	3.03		7	0.35		8	0.40		6	0.30		558	27.75		8	0.40		1	0.05		1	0.05		10	0.50		63	3.13		16	0.80		4	0.20		83	4.13		953	47.39		60	2.98		40	1.99		7	0.35		1060	52.71		11	0.55		3	0.15		0	0.00		14	0.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.15		0	0.00		3	0.15		2011	94.55		116	5.45		2127	3.27																																																																																				
