Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												

Braddon (67749)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Cuprona		1	0.87		3	2.61		1	0.87		0	0.00		5	4.35		0	0.00		0	0.00		0	0.00		0	0.00		4	3.48		1	0.87		1	0.87		6	5.22		0	0.00		0	0.00		0	0.00		0	0.00		5	4.35		10	8.70		15	13.04		46	40.00		2	1.74		3	2.61		0	0.00		10	8.70		61	53.04		1	0.87		0	0.00		0	0.00		1	0.87		1	0.87		0	0.00		0	0.00		1	0.87		15	13.04		2	1.74		8	6.96		0	0.00		25	21.74		0	0.00		0	0.00		0	0.00		0	0.00		1	0.87		0	0.00		0	0.00		1	0.87		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		115	96.64		4	3.36		119	0.18																																																																																				
	Currie		11	1.41		0	0.00		0	0.00		1	0.13		12	1.54		0	0.00		0	0.00		0	0.00		0	0.00		39	5.00		13	1.67		3	0.38		55	7.05		0	0.00		0	0.00		0	0.00		0	0.00		58	7.44		25	3.21		83	10.64		382	48.97		18	2.31		11	1.41		2	0.26		8	1.03		421	53.97		0	0.00		0	0.00		0	0.00		0	0.00		19	2.44		4	0.51		2	0.26		25	3.21		155	19.87		12	1.54		14	1.79		0	0.00		181	23.21		1	0.13		0	0.00		0	0.00		1	0.13		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		1	0.13		0	0.00		0	0.00		1	0.13		780	97.14		23	2.86		803	1.23																																																																																				
	Devonport Central		21	0.96		6	0.27		0	0.00		0	0.00		27	1.23		1	0.05		1	0.05		0	0.00		2	0.09		39	1.78		8	0.37		4	0.18		51	2.33		4	0.18		2	0.09		0	0.00		6	0.27		145	6.63		72	3.29		217	9.92		834	38.12		36	1.65		54	2.47		26	1.19		59	2.70		1009	46.12		0	0.00		0	0.00		1	0.05		1	0.05		75	3.43		15	0.69		1	0.05		91	4.16		626	28.61		35	1.60		92	4.20		4	0.18		757	34.60		13	0.59		3	0.14		0	0.00		16	0.73		3	0.14		1	0.05		0	0.00		4	0.18		0	0.00		1	0.05		1	0.05		5	0.23		7	0.32		2188	96.56		78	3.44		2266	3.47																																																																																				
	Devonport North		2	0.28		3	0.42		0	0.00		0	0.00		5	0.69		0	0.00		0	0.00		1	0.14		1	0.14		15	2.08		6	0.83		0	0.00		21	2.92		0	0.00		0	0.00		0	0.00		0	0.00		32	4.44		19	2.64		51	7.08		309	42.92		11	1.53		12	1.67		12	1.67		20	2.78		364	50.56		0	0.00		0	0.00		0	0.00		0	0.00		18	2.50		4	0.56		1	0.14		23	3.19		213	29.58		8	1.11		25	3.47		1	0.14		247	34.31		5	0.69		1	0.14		0	0.00		6	0.83		0	0.00		1	0.14		0	0.00		1	0.14		0	0.00		0	0.00		1	0.14		0	0.00		1	0.14		720	97.43		19	2.57		739	1.13																																																																																				
	Don		2	0.34		0	0.00		1	0.17		0	0.00		3	0.51		3	0.51		0	0.00		0	0.00		3	0.51		13	2.21		1	0.17		1	0.17		15	2.56		0	0.00		0	0.00		0	0.00		0	0.00		56	9.54		35	5.96		91	15.50		219	37.31		13	2.21		10	1.70		7	1.19		17	2.90		266	45.32		2	0.34		0	0.00		0	0.00		2	0.34		16	2.73		5	0.85		1	0.17		22	3.75		149	25.38		6	1.02		22	3.75		0	0.00		177	30.15		3	0.51		3	0.51		0	0.00		6	1.02		2	0.34		0	0.00		0	0.00		2	0.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		587	96.86		19	3.14		606	0.93																																																																																				
	East Devonport		18	0.78		5	0.22		2	0.09		1	0.04		26	1.13		5	0.22		0	0.00		0	0.00		5	0.22		75	3.26		22	0.96		5	0.22		102	4.43		3	0.13		0	0.00		0	0.00		3	0.13		79	3.43		47	2.04		126	5.48		642	27.90		25	1.09		30	1.30		24	1.04		42	1.83		763	33.16		2	0.09		0	0.00		0	0.00		2	0.09		50	2.17		6	0.26		0	0.00		56	2.43		1038	45.11		53	2.30		104	4.52		5	0.22		1200	52.15		12	0.52		2	0.09		0	0.00		14	0.61		2	0.09		0	0.00		0	0.00		2	0.09		0	0.00		1	0.04		1	0.04		0	0.00		2	0.09		2301	95.04		120	4.96		2421	3.70																																																																																				
	Edith Creek		1	0.51		2	1.02		0	0.00		0	0.00		3	1.52		1	0.51		0	0.00		0	0.00		1	0.51		12	6.09		6	3.05		1	0.51		19	9.64		0	0.00		1	0.51		0	0.00		1	0.51		11	5.58		2	1.02		13	6.60		68	34.52		3	1.52		6	3.05		0	0.00		8	4.06		85	43.15		0	0.00		0	0.00		0	0.00		0	0.00		5	2.54		2	1.02		0	0.00		7	3.55		56	28.43		7	3.55		1	0.51		0	0.00		64	32.49		2	1.02		0	0.00		0	0.00		2	1.02		1	0.51		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		0	0.00		1	0.51		1	0.51		197	98.01		4	1.99		201	0.31																																																																																				
	Elliott		2	0.88		0	0.00		2	0.88		0	0.00		4	1.76		0	0.00		0	0.00		0	0.00		0	0.00		8	3.52		3	1.32		1	0.44		12	5.29		0	0.00		0	0.00		1	0.44		1	0.44		13	5.73		15	6.61		28	12.33		63	27.75		2	0.88		8	3.52		1	0.44		20	8.81		94	41.41		1	0.44		0	0.00		0	0.00		1	0.44		3	1.32		4	1.76		1	0.44		8	3.52		61	26.87		6	2.64		5	2.20		3	1.32		75	33.04		2	0.88		1	0.44		0	0.00		3	1.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.44		1	0.44		227	97.01		7	2.99		234	0.36																																																																																				
	Forest		2	0.52		1	0.26		0	0.00		0	0.00		3	0.77		0	0.00		1	0.26		0	0.00		1	0.26		10	2.58		4	1.03		6	1.55		20	5.15		0	0.00		0	0.00		0	0.00		0	0.00		21	5.41		12	3.09		33	8.51		178	45.88		19	4.90		7	1.80		1	0.26		21	5.41		226	58.25		0	0.00		0	0.00		0	0.00		0	0.00		11	2.84		3	0.77		0	0.00		14	3.61		75	19.33		6	1.55		8	2.06		0	0.00		89	22.94		2	0.52		0	0.00		0	0.00		2	0.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		388	97.00		12	3.00		400	0.61																																																																																				
	Forth		7	0.92		2	0.26		0	0.00		0	0.00		9	1.18		0	0.00		0	0.00		0	0.00		0	0.00		23	3.01		5	0.66		4	0.52		32	4.19		0	0.00		0	0.00		0	0.00		0	0.00		66	8.65		55	7.21		121	15.86		289	37.88		25	3.28		18	2.36		10	1.31		40	5.24		382	50.07		0	0.00		0	0.00		0	0.00		0	0.00		16	2.10		3	0.39		0	0.00		19	2.49		160	20.97		7	0.92		26	3.41		1	0.13		194	25.43		4	0.52		0	0.00		0	0.00		4	0.52		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		0	0.00		1	0.13		1	0.13		763	97.95		16	2.05		779	1.19																																																																																				
