House of Representatives - 2001 Election: Tasmania																																	
First Preference Votes and TCP 																																	
By Candidate by Polling Place																																	
																																	
Lyons (62942)																																	
	BATCHELOR			# ADAMS			MORRIS			PAGE			ANDERSON			FORMAL			INFORMAL			TOTAL			Two Candidate Preferred								
	Neil			Dick			Tim			Geoff			Sonia												# ADAMS			PAGE					
	HAN			ALP			GRN			LP			DEM												ALP			LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Westerway	8	3.98		111	55.22		22	10.95		55	27.36		5	2.49		201	93.93		13	6.07		214	0.35		135	67.16		66	32.84				
Whitemore	3	2.59		26	22.41		5	4.31		75	64.66		7	6.03		116	97.48		3	2.52		119	0.20		36	31.03		80	68.97				
Wilmot	12	4.67		94	36.58		36	14.01		105	40.86		10	3.89		257	95.19		13	4.81		270	0.45		131	50.97		126	49.03				
Zeehan	29	6.86		253	59.81		21	4.96		105	24.82		15	3.55		423	96.36		16	3.64		439	0.73		292	69.03		131	30.97				
Special Hospitals	19	10.22		99	53.23		6	3.23		57	30.65		5	2.69		186	97.38		5	2.62		191	0.32		121	65.05		65	34.95				
Total Ordinary	2654	5.29		24026	47.86		3369	6.71		17983	35.82		2173	4.33		50205	96.29		1937	3.71		52142	86.13		29306	58.37		20899	41.63				
ABSENT	195	5.27		1607	43.40		393	10.61		1259	34.00		249	6.72		3703	96.81		122	3.19		3825	6.32		2161	58.36		1542	41.64				
POSTAL	176	6.61		1206	45.27		169	6.34		1021	38.33		92	3.45		2664	99.07		25	0.93		2689	4.44		1472	55.26		1192	44.74				
PRE_POLL	94	6.18		583	38.33		159	10.45		585	38.46		100	6.57		1521	97.19		44	2.81		1565	2.59		820	53.91		701	46.09				
PROVISIONAL	22	7.33		174	58.00		23	7.67		65	21.67		16	5.33		300	94.34		18	5.66		318	0.53		211	70.33		89	29.67				
Division Summary	3141	5.38		27596	47.26		4113	7.04		20913	35.81		2630	4.50		58393	96.46		2146	3.54		60539	96.18		33970	58.17		24423	41.83				
																																	
																																	
																													
																													
																													
