Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												

Lyons (62942)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Bronte		1	1.22		0	0.00		1	1.22		0	0.00		2	2.44		0	0.00		0	0.00		0	0.00		0	0.00		10	12.20		2	2.44		0	0.00		12	14.63		0	0.00		0	0.00		0	0.00		0	0.00		2	2.44		2	2.44		4	4.88		29	35.37		3	3.66		0	0.00		1	1.22		0	0.00		33	40.24		0	0.00		0	0.00		0	0.00		0	0.00		2	2.44		0	0.00		0	0.00		2	2.44		24	29.27		2	2.44		1	1.22		0	0.00		27	32.93		2	2.44		0	0.00		0	0.00		2	2.44		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		82	90.11		9	9.89		91	0.15																																																																																				
	Buckland		1	0.93		0	0.00		0	0.00		0	0.00		1	0.93		0	0.00		0	0.00		0	0.00		0	0.00		5	4.67		1	0.93		0	0.00		6	5.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		50	46.73		5	4.67		0	0.00		1	0.93		0	0.00		56	52.34		0	0.00		0	0.00		0	0.00		0	0.00		5	4.67		1	0.93		0	0.00		6	5.61		32	29.91		2	1.87		4	3.74		0	0.00		38	35.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		107	92.24		9	7.76		116	0.19																																																																																				
	Campania		11	2.43		3	0.66		2	0.44		3	0.66		19	4.20		0	0.00		0	0.00		0	0.00		0	0.00		13	2.88		2	0.44		1	0.22		16	3.54		0	0.00		0	0.00		0	0.00		0	0.00		20	4.42		17	3.76		37	8.19		180	39.82		21	4.65		2	0.44		1	0.22		3	0.66		207	45.80		0	0.00		0	0.00		0	0.00		0	0.00		12	2.65		2	0.44		0	0.00		14	3.10		132	29.20		11	2.43		9	1.99		2	0.44		154	34.07		3	0.66		1	0.22		0	0.00		4	0.88		1	0.22		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		452	96.79		15	3.21		467	0.77																																																																																				
	Campbell Town		16	2.57		3	0.48		1	0.16		1	0.16		21	3.37		1	0.16		0	0.00		0	0.00		1	0.16		26	4.17		13	2.09		0	0.00		39	6.26		0	0.00		1	0.16		0	0.00		1	0.16		28	4.49		11	1.77		39	6.26		161	25.84		8	1.28		9	1.44		0	0.00		0	0.00		178	28.57		0	0.00		0	0.00		1	0.16		1	0.16		7	1.12		2	0.32		0	0.00		9	1.44		272	43.66		24	3.85		19	3.05		8	1.28		323	51.85		3	0.48		0	0.00		0	0.00		3	0.48		0	0.00		1	0.16		1	0.16		2	0.32		0	0.00		0	0.00		0	0.00		6	0.96		6	0.96		623	93.68		42	6.32		665	1.10																																																																																				
	Carrick		1	0.22		2	0.44		0	0.00		0	0.00		3	0.66		0	0.00		0	0.00		0	0.00		0	0.00		23	5.05		4	0.88		2	0.44		29	6.37		1	0.22		1	0.22		2	0.44		4	0.88		33	7.25		17	3.74		50	10.99		176	38.68		10	2.20		17	3.74		3	0.66		2	0.44		208	45.71		0	0.00		0	0.00		0	0.00		0	0.00		18	3.96		6	1.32		0	0.00		24	5.27		122	26.81		7	1.54		2	0.44		0	0.00		131	28.79		3	0.66		1	0.22		0	0.00		4	0.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		0	0.00		1	0.22		2	0.44		455	95.99		19	4.01		474	0.78																																																																																				
	Chudleigh		7	2.68		0	0.00		0	0.00		0	0.00		7	2.68		0	0.00		0	0.00		0	0.00		0	0.00		12	4.60		5	1.92		1	0.38		18	6.90		1	0.38		2	0.77		0	0.00		3	1.15		29	11.11		9	3.45		38	14.56		96	36.78		9	3.45		15	5.75		0	0.00		0	0.00		120	45.98		0	0.00		0	0.00		0	0.00		0	0.00		11	4.21		3	1.15		0	0.00		14	5.36		52	19.92		3	1.15		1	0.38		0	0.00		56	21.46		3	1.15		1	0.38		0	0.00		4	1.53		1	0.38		0	0.00		0	0.00		1	0.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		261	96.67		9	3.33		270	0.45																																																																																				
	Claude Road		4	2.50		0	0.00		0	0.00		0	0.00		4	2.50		0	0.00		0	0.00		0	0.00		0	0.00		3	1.88		4	2.50		0	0.00		7	4.38		23	14.38		0	0.00		0	0.00		23	14.38		53	33.13		7	4.38		60	37.50		1	0.63		6	3.75		5	3.13		0	0.00		0	0.00		12	7.50		8	5.00		0	0.00		0	0.00		8	5.00		38	23.75		1	0.63		0	0.00		39	24.38		1	0.63		2	1.25		4	2.50		0	0.00		7	4.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		160	93.57		11	6.43		171	0.28																																																																																				
	Colebrook		7	3.13		1	0.45		0	0.00		1	0.45		9	4.02		0	0.00		0	0.00		0	0.00		0	0.00		7	3.13		3	1.34		2	0.89		12	5.36		0	0.00		0	0.00		0	0.00		0	0.00		13	5.80		4	1.79		17	7.59		64	28.57		5	2.23		1	0.45		1	0.45		1	0.45		72	32.14		0	0.00		0	0.00		0	0.00		0	0.00		6	2.68		2	0.89		0	0.00		8	3.57		93	41.52		8	3.57		5	2.23		0	0.00		106	47.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		224	92.95		17	7.05		241	0.40																																																																																				
	Coles Bay		0	0.00		1	0.66		0	0.00		0	0.00		1	0.66		0	0.00		0	0.00		0	0.00		0	0.00		4	2.63		0	0.00		0	0.00		4	2.63		0	0.00		0	0.00		0	0.00		0	0.00		18	11.84		6	3.95		24	15.79		65	42.76		7	4.61		6	3.95		0	0.00		0	0.00		78	51.32		0	0.00		0	0.00		0	0.00		0	0.00		5	3.29		0	0.00		0	0.00		5	3.29		33	21.71		2	1.32		2	1.32		0	0.00		37	24.34		3	1.97		0	0.00		0	0.00		3	1.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		152	96.82		5	3.18		157	0.26																																																																																				
	Copping		3	1.51		0	0.00		1	0.50		0	0.00		4	2.01		0	0.00		0	0.00		0	0.00		0	0.00		7	3.52		1	0.50		0	0.00		8	4.02		0	0.00		0	0.00		0	0.00		0	0.00		31	15.58		24	12.06		55	27.64		47	23.62		21	10.55		1	0.50		1	0.50		1	0.50		71	35.68		0	0.00		1	0.50		0	0.00		1	0.50		3	1.51		0	0.00		0	0.00		3	1.51		52	26.13		1	0.50		3	1.51		0	0.00		56	28.14		1	0.50		0	0.00		0	0.00		1	0.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		199	97.55		5	2.45		204	0.34																																																																																				
	Cressy		5	0.74		1	0.15		1	0.15		2	0.29		9	1.32		1	0.15		1	0.15		0	0.00		2	0.29		40	5.88		6	0.88		2	0.29		48	7.06		0	0.00		2	0.29		0	0.00		2	0.29		32	4.71		17	2.50		49	7.21		223	32.79		17	2.50		24	3.53		1	0.15		2	0.29		267	39.26		0	0.00		0	0.00		0	0.00		0	0.00		16	2.35		2	0.29		0	0.00		18	2.65		249	36.62		21	3.09		10	1.47		1	0.15		281	41.32		2	0.29		0	0.00		0	0.00		2	0.29		0	0.00		0	0.00		0	0.00		0	0.00		2	0.29		0	0.00		0	0.00		0	0.00		2	0.29		680	95.37		33	4.63		713	1.18																																																																																				
	Deloraine		22	1.13		10	0.51		0	0.00		1	0.05		33	1.69		2	0.10		1	0.05		0	0.00		3	0.15		64	3.28		15	0.77		5	0.26		84	4.31		1	0.05		2	0.10		1	0.05		4	0.21		196	10.05		117	6.00		313	16.05		712	36.51		62	3.18		76	3.90		7	0.36		3	0.15		860	44.10		1	0.05		0	0.00		0	0.00		1	0.05		58	2.97		14	0.72		0	0.00		72	3.69		485	24.87		41	2.10		30	1.54		3	0.15		559	28.67		8	0.41		4	0.21		0	0.00		12	0.62		0	0.00		1	0.05		0	0.00		1	0.05		1	0.05		0	0.00		4	0.21		3	0.15		8	0.41		1950	95.26		97	4.74		2047	3.37																																																																																				
	Dodges Ferry		9	0.53		3	0.18		1	0.06		1	0.06		14	0.82		0	0.00		0	0.00		1	0.06		1	0.06		42	2.47		4	0.24		3	0.18		49	2.89		0	0.00		0	0.00		1	0.06		1	0.06		137	8.07		132	7.77		269	15.84		469	27.62		50	2.94		8	0.47		2	0.12		3	0.18		532	31.33		2	0.12		0	0.00		0	0.00		2	0.12		78	4.59		10	0.59		2	0.12		90	5.30		647	38.10		43	2.53		28	1.65		2	0.12		720	42.40		12	0.71		2	0.12		0	0.00		14	0.82		2	0.12		0	0.00		0	0.00		2	0.12		0	0.00		2	0.12		0	0.00		2	0.12		4	0.24		1698	97.08		51	2.92		1749	2.88																																																																																				
	Dromedary		4	1.56		0	0.00		0	0.00		0	0.00		4	1.56		0	0.00		0	0.00		0	0.00		0	0.00		14	5.45		1	0.39		0	0.00		15	5.84		1	0.39		0	0.00		0	0.00		1	0.39		12	4.67		10	3.89		22	8.56		78	30.35		11	4.28		0	0.00		0	0.00		1	0.39		90	35.02		0	0.00		0	0.00		0	0.00		0	0.00		16	6.23		1	0.39		0	0.00		17	6.61		92	35.80		8	3.11		7	2.72		0	0.00		107	41.63		0	0.00		1	0.39		0	0.00		1	0.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		257	97.72		6	2.28		263	0.43																																																																																				
	Dunalley		4	0.98		2	0.49		0	0.00		0	0.00		6	1.47		0	0.00		1	0.25		0	0.00		1	0.25		16	3.92		6	1.47		1	0.25		23	5.64		0	0.00		0	0.00		0	0.00		0	0.00		35	8.58		21	5.15		56	13.73		135	33.09		23	5.64		2	0.49		1	0.25		1	0.25		162	39.71		0	0.00		0	0.00		1	0.25		1	0.25		5	1.23		1	0.25		0	0.00		6	1.47		135	33.09		10	2.45		2	0.49		2	0.49		149	36.52		3	0.74		0	0.00		0	0.00		3	0.74		1	0.25		0	0.00		0	0.00		1	0.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		408	96.91		13	3.09		421	0.69																																																																																				
	Elizabeth Town		4	1.22		0	0.00		0	0.00		0	0.00		4	1.22		0	0.00		0	0.00		0	0.00		0	0.00		9	2.74		6	1.82		0	0.00		15	4.56		0	0.00		1	0.30		0	0.00		1	0.30		31	9.42		19	5.78		50	15.20		144	43.77		12	3.65		15	4.56		2	0.61		1	0.30		174	52.89		0	0.00		0	0.00		0	0.00		0	0.00		6	1.82		3	0.91		0	0.00		9	2.74		63	19.15		8	2.43		1	0.30		2	0.61		74	22.49		0	0.00		0	0.00		0	0.00		0	0.00		2	0.61		0	0.00		0	0.00		2	0.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		329	92.16		28	7.84		357	0.59																																																																																				
