House of Representatives - 2001 Election: Tasmania												
Two Candidate Preferred Preference Flow Result												
By Polling Place												
												
Braddon (67749)												
		Candidate		                  	"SIDEBOTTOM, Sid"		            	"PATTISON, Alan"		             	Total	
				                           	ALP		                        	LP		                         		
				                           	Votes	%	                     	Votes	%	                     		
			1st Prefs		317	47.67		348	52.33		665	
		"THOMPSON, Clare (GRN)"	59		44	74.58		15	25.42		59	
		"COOPER, Craig (DEM)"	16		9	56.25		7	43.75		16	
		"PICKFORD, Steve (HAN)"	25		15	60.00		10	40.00		25	
		Total	100		385	50.33		380	49.67		765	

	Gawler											
			1st Prefs		136	40.48		200	59.52		336	
		"THOMPSON, Clare (GRN)"	21		16	76.19		5	23.81		21	
		"COOPER, Craig (DEM)"	8		3	37.50		5	62.50		8	
		"PICKFORD, Steve (HAN)"	19		10	52.63		9	47.37		19	
		Total	48		165	42.97		219	57.03		384	

	Grassy											
			1st Prefs		52	52.00		48	48.00		100	
		"THOMPSON, Clare (GRN)"	5		2	40.00		3	60.00		5	
		"COOPER, Craig (DEM)"	3		0	0.00		3	100.00		3	
		"PICKFORD, Steve (HAN)"	11		5	45.45		6	54.55		11	
		Total	19		59	49.58		60	50.42		119	

	Gunns Plains											
			1st Prefs		23	38.33		37	61.67		60	
		"THOMPSON, Clare (GRN)"	16		10	62.50		6	37.50		16	
		"COOPER, Craig (DEM)"	2		2	100.00		0	0.00		2	
		"PICKFORD, Steve (HAN)"	2		0	0.00		2	100.00		2	
		Total	20		35	43.75		45	56.25		80	

	Havenview											
			1st Prefs		341	70.31		144	29.69		485	
		"THOMPSON, Clare (GRN)"	28		17	60.71		11	39.29		28	
		"COOPER, Craig (DEM)"	18		15	83.33		3	16.67		18	
		"PICKFORD, Steve (HAN)"	33		22	66.67		11	33.33		33	
		Total	79		395	70.04		169	29.96		564	

	Highclere											
			1st Prefs		68	54.40		57	45.60		125	
		"THOMPSON, Clare (GRN)"	10		8	80.00		2	20.00		10	
		"COOPER, Craig (DEM)"	7		5	71.43		2	28.57		7	
		"PICKFORD, Steve (HAN)"	14		7	50.00		7	50.00		14	
		Total	31		88	56.41		68	43.59		156	

	Irishtown											
			1st Prefs		125	45.13		152	54.87		277	
		"THOMPSON, Clare (GRN)"	3		3	100.00		0	0.00		3	
		"COOPER, Craig (DEM)"	5		3	60.00		2	40.00		5	
		"PICKFORD, Steve (HAN)"	10		5	50.00		5	50.00		10	
		Total	18		136	46.10		159	53.90		295	

	Latrobe											
			1st Prefs		1296	62.73		770	37.27		2066	
		"THOMPSON, Clare (GRN)"	113		75	66.37		38	33.63		113	
		"COOPER, Craig (DEM)"	46		33	71.74		13	28.26		46	
		"PICKFORD, Steve (HAN)"	100		49	49.00		51	51.00		100	
		Total	259		1453	62.49		872	37.51		2325	

	Marrawah											
			1st Prefs		69	38.98		108	61.02		177	
		"THOMPSON, Clare (GRN)"	20		13	65.00		7	35.00		20	
		"COOPER, Craig (DEM)"	8		3	37.50		5	62.50		8	
		"PICKFORD, Steve (HAN)"	26		13	50.00		13	50.00		26	
		Total	54		98	42.42		133	57.58		231	

	Mawbanna											
			1st Prefs		19	39.58		29	60.42		48	
		"THOMPSON, Clare (GRN)"	3		0	0.00		3	100.00		3	
		"COOPER, Craig (DEM)"	0		0	0.00		0	0.00		0	
		"PICKFORD, Steve (HAN)"	5		1	20.00		4	80.00		5	
		Total	8		20	35.71		36	64.29		56	

	Melrose											
			1st Prefs		51	46.36		59	53.64		110	
		"THOMPSON, Clare (GRN)"	17		10	58.82		7	41.18		17	
