Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Bass (65927)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Five Ways		9	0.54		17	1.02		1	0.06		1	0.06		28	1.68		1	0.06		1	0.06		0	0.00		2	0.12		32	1.92		7	0.42		3	0.18		42	2.52		0	0.00		0	0.00		1	0.06		1	0.06		111	6.65		82	4.91		193	11.56		579	34.69		33	1.98		67	4.01		3	0.18		3	0.18		685	41.04		0	0.00		0	0.00		0	0.00		0	0.00		68	4.07		21	1.26		3	0.18		92	5.51		539	32.29		53	3.18		22	1.32		4	0.24		618	37.03		5	0.30		0	0.00		1	0.06		6	0.36		1	0.06		0	0.00		0	0.00		1	0.06		1	0.06		0	0.00		0	0.00		0	0.00		1	0.06		1669	95.92		71	4.08		1740	2.74																																																																																				
	General Hospital		3	0.59		2	0.39		0	0.00		0	0.00		5	0.98		1	0.20		0	0.00		0	0.00		1	0.20		9	1.77		3	0.59		0	0.00		12	2.36		0	0.00		1	0.20		0	0.00		1	0.20		61	12.01		45	8.86		106	20.87		162	31.89		9	1.77		9	1.77		0	0.00		0	0.00		180	35.43		1	0.20		0	0.00		0	0.00		1	0.20		23	4.53		4	0.79		2	0.39		29	5.71		142	27.95		17	3.35		8	1.57		3	0.59		170	33.46		1	0.20		1	0.20		0	0.00		2	0.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.20		1	0.20		508	97.50		13	2.50		521	0.82																																																																																				
	George Town		24	1.24		4	0.21		0	0.00		0	0.00		28	1.45		1	0.05		1	0.05		0	0.00		2	0.10		76	3.93		9	0.46		2	0.10		87	4.49		0	0.00		0	0.00		1	0.05		1	0.05		89	4.60		49	2.53		138	7.13		474	24.48		13	0.67		37	1.91		3	0.15		5	0.26		532	27.48		0	0.00		0	0.00		0	0.00		0	0.00		65	3.36		5	0.26		0	0.00		70	3.62		953	49.23		67	3.46		40	2.07		2	0.10		1062	54.86		8	0.41		2	0.10		0	0.00		10	0.52		3	0.15		0	0.00		0	0.00		3	0.15		0	0.00		0	0.00		0	0.00		3	0.15		3	0.15		1936	94.90		104	5.10		2040	3.22																																																																																				
	George Town South		5	0.56		4	0.45		2	0.22		0	0.00		11	1.23		0	0.00		1	0.11		0	0.00		1	0.11		19	2.13		6	0.67		0	0.00		25	2.80		0	0.00		0	0.00		0	0.00		0	0.00		50	5.61		26	2.91		76	8.52		248	27.80		9	1.01		18	2.02		1	0.11		0	0.00		276	30.94		0	0.00		0	0.00		0	0.00		0	0.00		31	3.48		3	0.34		0	0.00		34	3.81		395	44.28		38	4.26		27	3.03		2	0.22		462	51.79		5	0.56		0	0.00		0	0.00		5	0.56		1	0.11		1	0.11		0	0.00		2	0.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		892	96.12		36	3.88		928	1.46																																																																																				
	Gladstone		8	4.76		2	1.19		0	0.00		1	0.60		11	6.55		0	0.00		0	0.00		0	0.00		0	0.00		8	4.76		3	1.79		0	0.00		11	6.55		1	0.60		0	0.00		0	0.00		1	0.60		6	3.57		2	1.19		8	4.76		42	25.00		5	2.98		5	2.98		0	0.00		1	0.60		53	31.55		0	0.00		0	0.00		0	0.00		0	0.00		3	1.79		1	0.60		0	0.00		4	2.38		73	43.45		2	1.19		1	0.60		0	0.00		76	45.24		3	1.79		0	0.00		0	0.00		3	1.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.60		0	0.00		0	0.00		1	0.60		168	96.55		6	3.45		174	0.27																																																																																				
	Hillwood		6	1.58		3	0.79		0	0.00		0	0.00		9	2.37		0	0.00		0	0.00		0	0.00		0	0.00		13	3.43		0	0.00		1	0.26		14	3.69		0	0.00		0	0.00		0	0.00		0	0.00		31	8.18		16	4.22		47	12.40		144	37.99		10	2.64		7	1.85		1	0.26		2	0.53		164	43.27		0	0.00		0	0.00		1	0.26		1	0.26		17	4.49		1	0.26		0	0.00		18	4.75		105	27.70		11	2.90		3	0.79		0	0.00		119	31.40		2	0.53		0	0.00		0	0.00		2	0.53		0	0.00		0	0.00		0	0.00		0	0.00		1	0.26		1	0.26		1	0.26		2	0.53		5	1.32		379	95.95		16	4.05		395	0.62																																																																																				
	Inveresk		12	1.12		6	0.56		1	0.09		1	0.09		20	1.87		2	0.19		0	0.00		0	0.00		2	0.19		25	2.33		2	0.19		2	0.19		29	2.71		0	0.00		0	0.00		0	0.00		0	0.00		72	6.72		60	5.60		132	12.31		228	21.27		11	1.03		16	1.49		2	0.19		2	0.19		259	24.16		0	0.00		0	0.00		0	0.00		0	0.00		36	3.36		10	0.93		1	0.09		47	4.38		510	47.57		40	3.73		23	2.15		3	0.28		576	53.73		5	0.47		0	0.00		0	0.00		5	0.47		1	0.09		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		0	0.00		1	0.09		1072	93.30		77	6.70		1149	1.81																																																																																				
	Invermay		10	1.12		4	0.45		0	0.00		1	0.11		15	1.69		1	0.11		0	0.00		0	0.00		1	0.11		31	3.48		1	0.11		0	0.00		32	3.60		1	0.11		0	0.00		0	0.00		1	0.11		55	6.18		47	5.28		102	11.46		257	28.88		13	1.46		18	2.02		1	0.11		2	0.22		291	32.70		0	0.00		0	0.00		0	0.00		0	0.00		36	4.04		4	0.45		0	0.00		40	4.49		343	38.54		32	3.60		17	1.91		1	0.11		393	44.16		5	0.56		0	0.00		1	0.11		6	0.67		3	0.34		1	0.11		2	0.22		6	0.67		0	0.00		2	0.22		0	0.00		1	0.11		3	0.34		890	94.68		50	5.32		940	1.48																																																																																				
	Karoola		2	0.75		1	0.38		0	0.00		0	0.00		3	1.13		0	0.00		0	0.00		0	0.00		0	0.00		4	1.51		4	1.51		0	0.00		8	3.02		0	0.00		0	0.00		0	0.00		0	0.00		22	8.30		12	4.53		34	12.83		98	36.98		9	3.40		8	3.02		1	0.38		2	0.75		118	44.53		0	0.00		0	0.00		0	0.00		0	0.00		7	2.64		2	0.75		0	0.00		9	3.40		70	26.42		12	4.53		6	2.26		0	0.00		88	33.21		4	1.51		1	0.38		0	0.00		5	1.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		265	96.01		11	3.99		276	0.44																																																																																				
	Kings Meadows		11	0.69		5	0.31		0	0.00		0	0.00		16	1.00		1	0.06		0	0.00		0	0.00		1	0.06		29	1.81		7	0.44		3	0.19		39	2.44		0	0.00		0	0.00		0	0.00		0	0.00		81	5.07		53	3.31		134	8.38		596	37.27		32	2.00		55	3.44		1	0.06		2	0.13		686	42.90		0	0.00		0	0.00		0	0.00		0	0.00		65	4.07		15	0.94		0	0.00		80	5.00		552	34.52		48	3.00		31	1.94		3	0.19		634	39.65		4	0.25		0	0.00		0	0.00		4	0.25		1	0.06		0	0.00		0	0.00		1	0.06		1	0.06		3	0.19		0	0.00		0	0.00		4	0.25		1599	95.63		73	4.37		1672	2.64																																																																																				
