Senate - 2001 Election: Tasmania																																													
First Preference Votes by Group 																																													
By Polling Place																																													

Lyons (62942)																																													
		Group Total TFP			Group Total HPA			Group Total HAN			Group Total 			Group Total GRN			Group Total LP			Group Total 			Group Total DEM			Group Total ALP			Group Total LFF			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Fingal		5	1.81		0	0.00		10	3.61		0	0.00		17	6.14		63	22.74		0	0.00		6	2.17		173	62.45		2	0.72		0	0.00		1	0.36		277	96.18		11	3.82		288	0.47
Forcett		8	2.36		0	0.00		22	6.49		0	0.00		45	13.27		140	41.30		1	0.29		13	3.83		105	30.97		4	1.18		0	0.00		1	0.29		339	96.86		11	3.14		350	0.58
Frankford		2	1.54		0	0.00		6	4.62		0	0.00		18	13.85		52	40.00		0	0.00		2	1.54		50	38.46		0	0.00		0	0.00		0	0.00		130	93.53		9	6.47		139	0.23
Glengarry		5	1.74		0	0.00		8	2.79		1	0.35		39	13.59		121	42.16		1	0.35		15	5.23		93	32.40		4	1.39		0	0.00		0	0.00		287	96.96		9	3.04		296	0.49
Glenora		10	4.59		1	0.46		5	2.29		0	0.00		19	8.72		63	28.90		0	0.00		2	0.92		115	52.75		3	1.38		0	0.00		0	0.00		218	94.78		12	5.22		230	0.38
Granton		3	1.00		1	0.33		16	5.35		0	0.00		26	8.70		130	43.48		0	0.00		9	3.01		111	37.12		3	1.00		0	0.00		0	0.00		299	98.03		6	1.97		305	0.50
Gravelly Beach		6	0.98		0	0.00		14	2.28		0	0.00		111	18.08		243	39.58		0	0.00		26	4.23		200	32.57		8	1.30		0	0.00		6	0.98		614	97.31		17	2.69		631	1.04
Gretna		4	2.25		0	0.00		7	3.93		0	0.00		12	6.74		76	42.70		0	0.00		8	4.49		71	39.89		0	0.00		0	0.00		0	0.00		178	94.68		10	5.32		188	0.31
Hadspen		13	1.23		1	0.09		43	4.06		1	0.09		84	7.93		459	43.34		1	0.09		60	5.67		389	36.73		6	0.57		0	0.00		2	0.19		1059	97.33		29	2.67		1088	1.79
Hagley		5	1.63		0	0.00		13	4.23		0	0.00		44	14.33		175	57.00		0	0.00		13	4.23		52	16.94		4	1.30		0	0.00		1	0.33		307	95.64		14	4.36		321	0.53
Hamilton		6	3.82		1	0.64		5	3.18		0	0.00		5	3.18		57	36.31		0	0.00		3	1.91		74	47.13		5	3.18		0	0.00		1	0.64		157	93.45		11	6.55		168	0.28
Kelso		1	0.68		0	0.00		5	3.40		0	0.00		16	10.88		67	45.58		0	0.00		4	2.72		53	36.05		1	0.68		0	0.00		0	0.00		147	97.35		4	2.65		151	0.25
Kempton		9	3.31		1	0.37		20	7.35		0	0.00		25	9.19		73	26.84		0	0.00		7	2.57		134	49.26		1	0.37		1	0.37		1	0.37		272	94.44		16	5.56		288	0.47
Lachlan		3	1.06		0	0.00		9	3.18		0	0.00		54	19.08		79	27.92		0	0.00		17	6.01		117	41.34		3	1.06		0	0.00		1	0.35		283	94.65		16	5.35		299	0.49
Legana (Lyons)		12	1.60		0	0.00		25	3.32		0	0.00		113	15.03		400	53.19		28	3.72		148	19.68		24	3.19		1	0.13		0	0.00		1	0.13		752	97.54		19	2.46		771	1.27
Levendale		5	4.46		2	1.79		3	2.68		0	0.00		8	7.14		48	42.86		1	0.89		2	1.79		43	38.39		0	0.00		0	0.00		0	0.00		112	98.25		2	1.75		114	0.19
Longford		32	1.59		2	0.10		122	6.06		2	0.10		184	9.14		820	40.71		2	0.10		72	3.57		759	37.69		11	0.55		1	0.05		7	0.35		2014	95.77		89	4.23		2103	3.47
Lower Barrington		8	2.07		1	0.26		14	3.62		0	0.00		47	12.14		201	51.94		1	0.26		13	3.36		98	25.32		4	1.03		0	0.00		0	0.00		387	96.03		16	3.97		403	0.66
Magra		8	1.83		2	0.46		31	7.08		0	0.00		16	3.65		143	32.65		0	0.00		11	2.51		221	50.46		5	1.14		1	0.23		0	0.00		438	93.79		29	6.21		467	0.77
Mathinna		7	6.60		0	0.00		8	7.55		0	0.00		16	15.09		11	10.38		0	0.00		1	0.94		61	57.55		1	0.94		0	0.00		1	0.94		106	99.07		1	0.93		107	0.18
Maydena		1	0.60		0	0.00		12	7.14		0	0.00		24	14.29		48	28.57		0	0.00		5	2.98		75	44.64		3	1.79		0	0.00		0	0.00		168	95.45		8	4.55		176	0.29
Meander		7	3.33		0	0.00		15	7.14		0	0.00		56	26.67		86	40.95		0	0.00		5	2.38		41	19.52		0	0.00		0	0.00		0	0.00		210	97.22		6	2.78		216	0.36
Midway Point		11	0.79		1	0.07		47	3.38		1	0.07		120	8.63		538	38.68		1	0.07		59	4.24		606	43.57		6	0.43		0	0.00		1	0.07		1391	94.69		78	5.31		1469	2.42
Miena		1	0.93		0	0.00		6	5.61		0	0.00		5	4.67		45	42.06		0	0.00		3	2.80		46	42.99		1	0.93		0	0.00		0	0.00		107	98.17		2	1.83		109	0.18
Mole Creek		13	3.58		2	0.55		28	7.71		0	0.00		41	11.29		169	46.56		1	0.28		13	3.58		91	25.07		4	1.10		0	0.00		1	0.28		363	95.53		17	4.47		380	0.63
Molesworth		6	2.29		0	0.00		9	3.44		0	0.00		63	24.05		65	24.81		0	0.00		8	3.05		104	39.69		4	1.53		0	0.00		3	1.15		262	97.40		7	2.60		269	0.44
New Norfolk		42	1.83		6	0.26		96	4.18		2	0.09		137	5.97		693	30.20		3	0.13		78	3.40		1218	53.07		16	0.70		1	0.04		3	0.13		2295	94.64		130	5.36		2425	4.00
New Norfolk North		12	1.32		0	0.00		52	5.71		1	0.11		38	4.17		188	20.64		0	0.00		24	2.63		589	64.65		6	0.66		0	0.00		1	0.11		911	92.02		79	7.98		990	1.63
Nubeena		4	0.72		0	0.00		22	3.94		0	0.00		88	15.74		188	33.63		0	0.00		19	3.40		232	41.50		4	0.72		0	0.00		2	0.36		559	97.90		12	2.10		571	0.94
Oatlands		15	2.53		1	0.17		23	3.89		1	0.17		50	8.45		236	39.86		1	0.17		14	2.36		242	40.88		6	1.01		2	0.34		1	0.17		592	96.10		24	3.90		616	1.02
Orford		3	0.67		0	0.00		14	3.11		0	0.00		52	11.56		238	52.89		0	0.00		15	3.33		126	28.00		1	0.22		1	0.22		0	0.00		450	95.95		19	4.05		469	0.77
Ouse		9	3.96		0	0.00		10	4.41		0	0.00		7	3.08		91	40.09		0	0.00		7	3.08		101	44.49		2	0.88		0	0.00		0	0.00		227	94.58		13	5.42		240	0.40
Parattah		4	2.80		0	0.00		1	0.70		0	0.00		9	6.29		57	39.86		0	0.00		6	4.20		65	45.45		0	0.00		0	0.00		1	0.70		143	94.70		8	5.30		151	0.25
Perth		36	2.21		3	0.18		55	3.38		0	0.00		139	8.54		652	40.05		1	0.06		84	5.16		638	39.19		13	0.80		2	0.12		5	0.31		1628	96.67		56	3.33		1684	2.78
Pontville		11	2.48		1	0.23		13	2.93		0	0.00		47	10.61		160	36.12		0	0.00		16	3.61		193	43.57		1	0.23		0	0.00		1	0.23		443	95.27		22	4.73		465	0.77
Port Arthur		4	2.20		0	0.00		7	3.85		0	0.00		27	14.84		59	32.42		1	0.55		8	4.40		76	41.76		0	0.00		0	0.00		0	0.00		182	97.33		5	2.67		187	0.31
Primrose Sands		5	1.30		1	0.26		18	4.68		0	0.00		23	5.97		87	22.60		0	0.00		11	2.86		236	61.30		3	0.78		1	0.26		0	0.00		385	96.25		15	3.75		400	0.66
Pyengana		2	1.87		0	0.00		4	3.74		0	0.00		23	21.50		47	43.93		0	0.00		1	0.93		26	24.30		4	3.74		0	0.00		0	0.00		107	95.54		5	4.46		112	0.18
Queenstown		18	1.51		5	0.42		52	4.35		3	0.25		52	4.35		504	42.18		0	0.00		28	2.34		517	43.26		9	0.75		2	0.17		5	0.42		1195	94.39		71	5.61		1266	2.09
Railton		21	2.97		2	0.28		36	5.09		2	0.28		56	7.92		276	39.04		3	0.42		28	3.96		270	38.19		7	0.99		3	0.42		3	0.42		707	94.27		43	5.73		750	1.24
Richmond		9	0.98		0	0.00		24	2.62		1	0.11		135	14.74		388	42.36		1	0.11		47	5.13		298	32.53		9	0.98		1	0.11		3	0.33		916	94.92		49	5.08		965	1.59
Rosebery		8	1.60		2	0.40		47	9.38		1	0.20		29	5.79		108	21.56		0	0.00		18	3.59		283	56.49		2	0.40		1	0.20		2	0.40		501	94.89		27	5.11		528	0.87
Ross		3	1.14		1	0.38		12	4.55		0	0.00		20	7.58		100	37.88		0	0.00		5	1.89		121	45.83		0	0.00		1	0.38		1	0.38		264	96.00		11	4.00		275	0.45
St Helens		18	1.11		2	0.12		100	6.15		0	0.00		202	12.42		624	38.35		3	0.18		59	3.63		603	37.06		10	0.61		2	0.12		4	0.25		1627	95.48		77	4.52		1704	2.81
St Marys		13	2.33		0	0.00		25	4.49		0	0.00		105	18.85		122	21.90		0	0.00		20	3.59		270	48.47		1	0.18		1	0.18		0	0.00		557	97.21		16	2.79		573	0.94
