Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												

Franklin (67119)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Cygnet		13	0.83		3	0.19		0	0.00		0	0.00		16	1.02		2	0.13		1	0.06		0	0.00		3	0.19		30	1.91		13	0.83		4	0.26		47	3.00		2	0.13		0	0.00		0	0.00		2	0.13		256	16.33		130	8.29		386	24.62		445	28.38		66	4.21		1	0.06		0	0.00		2	0.13		514	32.78		0	0.00		2	0.13		0	0.00		2	0.13		32	2.04		11	0.70		2	0.13		45	2.87		479	30.55		32	2.04		23	1.47		6	0.38		540	34.44		6	0.38		1	0.06		0	0.00		7	0.45		1	0.06		0	0.00		0	0.00		1	0.06		0	0.00		1	0.06		2	0.13		2	0.13		5	0.32		1568	96.61		55	3.39		1623	2.51																																																																																				
	Dover		3	0.58		1	0.19		0	0.00		0	0.00		4	0.78		2	0.39		0	0.00		0	0.00		2	0.39		21	4.09		7	1.36		0	0.00		28	5.46		0	0.00		0	0.00		0	0.00		0	0.00		48	9.36		19	3.70		67	13.06		165	32.16		22	4.29		2	0.39		0	0.00		0	0.00		189	36.84		0	0.00		0	0.00		0	0.00		0	0.00		19	3.70		0	0.00		1	0.19		20	3.90		169	32.94		5	0.97		16	3.12		2	0.39		192	37.43		9	1.75		0	0.00		0	0.00		9	1.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.39		0	0.00		2	0.39		513	97.90		11	2.10		524	0.81																																																																																				
	Franklin		6	1.21		0	0.00		1	0.20		0	0.00		7	1.41		0	0.00		0	0.00		0	0.00		0	0.00		16	3.23		2	0.40		2	0.40		20	4.03		3	0.60		0	0.00		0	0.00		3	0.60		75	15.12		33	6.65		108	21.77		147	29.64		34	6.85		1	0.20		0	0.00		1	0.20		183	36.90		0	0.00		0	0.00		0	0.00		0	0.00		14	2.82		4	0.81		0	0.00		18	3.63		127	25.60		12	2.42		11	2.22		0	0.00		150	30.24		4	0.81		1	0.20		0	0.00		5	1.01		1	0.20		0	0.00		0	0.00		1	0.20		0	0.00		1	0.20		0	0.00		0	0.00		1	0.20		496	95.94		21	4.06		517	0.80																																																																																				
	Gagebrook		29	1.82		5	0.31		0	0.00		1	0.06		35	2.20		2	0.13		1	0.06		1	0.06		4	0.25		51	3.20		7	0.44		5	0.31		63	3.96		2	0.13		0	0.00		0	0.00		2	0.13		46	2.89		27	1.70		73	4.59		368	23.12		24	1.51		2	0.13		1	0.06		1	0.06		396	24.87		0	0.00		1	0.06		1	0.06		2	0.13		47	2.95		5	0.31		1	0.06		53	3.33		864	54.27		50	3.14		31	1.95		5	0.31		950	59.67		9	0.57		1	0.06		0	0.00		10	0.63		3	0.19		0	0.00		0	0.00		3	0.19		1	0.06		0	0.00		0	0.00		0	0.00		1	0.06		1592	96.19		63	3.81		1655	2.56																																																																																				
	Geeveston		4	0.57		2	0.28		0	0.00		0	0.00		6	0.85		2	0.28		0	0.00		0	0.00		2	0.28		20	2.83		6	0.85		1	0.14		27	3.82		0	0.00		0	0.00		0	0.00		0	0.00		29	4.10		26	3.68		55	7.78		224	31.68		66	9.34		8	1.13		0	0.00		1	0.14		299	42.29		1	0.14		0	0.00		0	0.00		1	0.14		23	3.25		1	0.14		0	0.00		24	3.39		233	32.96		27	3.82		20	2.83		2	0.28		282	39.89		7	0.99		1	0.14		0	0.00		8	1.13		1	0.14		0	0.00		0	0.00		1	0.14		1	0.14		0	0.00		1	0.14		0	0.00		2	0.28		707	95.15		36	4.85		743	1.15																																																																																				
	Geilston Bay		6	0.36		2	0.12		3	0.18		0	0.00		11	0.67		2	0.12		0	0.00		0	0.00		2	0.12		18	1.09		6	0.36		0	0.00		24	1.46		1	0.06		1	0.06		0	0.00		2	0.12		116	7.06		116	7.06		232	14.11		581	35.34		61	3.71		7	0.43		6	0.36		1	0.06		656	39.90		1	0.06		0	0.00		0	0.00		1	0.06		75	4.56		14	0.85		3	0.18		92	5.60		502	30.54		43	2.62		50	3.04		10	0.61		605	36.80		7	0.43		2	0.12		0	0.00		9	0.55		2	0.12		1	0.06		0	0.00		3	0.18		0	0.00		0	0.00		4	0.24		3	0.18		7	0.43		1644	97.51		42	2.49		1686	2.61																																																																																				
	Glen Huon		3	1.20		0	0.00		0	0.00		1	0.40		4	1.59		0	0.00		0	0.00		0	0.00		0	0.00		9	3.59		2	0.80		0	0.00		11	4.38		0	0.00		0	0.00		0	0.00		0	0.00		26	10.36		20	7.97		46	18.33		80	31.87		30	11.95		5	1.99		1	0.40		1	0.40		117	46.61		1	0.40		0	0.00		0	0.00		1	0.40		5	1.99		3	1.20		0	0.00		8	3.19		50	19.92		3	1.20		5	1.99		1	0.40		59	23.51		5	1.99		0	0.00		0	0.00		5	1.99		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		251	96.91		8	3.09		259	0.40																																																																																				
	Grove		3	0.55		0	0.00		0	0.00		0	0.00		3	0.55		1	0.18		0	0.00		0	0.00		1	0.18		21	3.87		4	0.74		1	0.18		26	4.80		1	0.18		2	0.37		0	0.00		3	0.55		81	14.94		53	9.78		134	24.72		192	35.42		34	6.27		0	0.00		3	0.55		0	0.00		229	42.25		1	0.18		0	0.00		0	0.00		1	0.18		13	2.40		5	0.92		0	0.00		18	3.32		99	18.27		9	1.66		6	1.11		1	0.18		115	21.22		9	1.66		0	0.00		0	0.00		9	1.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.55		0	0.00		3	0.55		542	97.48		14	2.52		556	0.86																																																																																				
	Howden		2	0.70		1	0.35		0	0.00		0	0.00		3	1.05		0	0.00		0	0.00		0	0.00		0	0.00		6	2.10		0	0.00		0	0.00		6	2.10		0	0.00		0	0.00		0	0.00		0	0.00		45	15.73		49	17.13		94	32.87		91	31.82		8	2.80		1	0.35		0	0.00		2	0.70		102	35.66		0	0.00		0	0.00		0	0.00		0	0.00		8	2.80		2	0.70		0	0.00		10	3.50		52	18.18		10	3.50		5	1.75		2	0.70		69	24.13		0	0.00		0	0.00		1	0.35		1	0.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.35		1	0.35		286	99.31		2	0.69		288	0.45																																																																																				
	Howrah		8	0.28		5	0.18		2	0.07		0	0.00		15	0.53		1	0.04		0	0.00		0	0.00		1	0.04		36	1.27		11	0.39		2	0.07		49	1.73		1	0.04		0	0.00		0	0.00		1	0.04		178	6.29		163	5.76		341	12.05		1187	41.94		99	3.50		8	0.28		8	0.28		9	0.32		1311	46.33		2	0.07		0	0.00		2	0.07		4	0.14		97	3.43		42	1.48		4	0.14		143	5.05		806	28.48		73	2.58		45	1.59		12	0.42		936	33.07		7	0.25		2	0.07		0	0.00		9	0.32		1	0.04		1	0.04		0	0.00		2	0.07		0	0.00		1	0.04		7	0.25		10	0.35		18	0.64		2830	97.52		72	2.48		2902	4.49																																																																																				
