State;Division;Polling Place;Count;Ballot Position;Candidate Status;Vote Distributed;Vote;Vote Pc;Elected Swing;Exhausted Transfer;Exhausted
NSW;Banks;Panania Central;1;4;R;0;48;2.52;;;
NSW;Banks;Panania Central;1;5;R;0;569;29.85;;;
NSW;Banks;Panania Central;1;6;R;0;21;1.10;;;
NSW;Banks;Panania North;1;1;R;0;70;3.58;;;
NSW;Banks;Panania North;1;2;R;0;49;2.51;;;
NSW;Banks;Panania North;1;3;R;0;1212;61.99;;;
NSW;Banks;Panania North;1;4;R;0;43;2.20;;;
NSW;Banks;Panania North;1;5;R;0;568;29.05;;;
NSW;Banks;Panania North;1;6;R;0;13;0.66;;;
NSW;Banks;Panania South;1;1;R;0;112;3.74;;;
NSW;Banks;Panania South;1;2;R;0;74;2.47;;;
NSW;Banks;Panania South;1;3;R;0;1600;53.37;;;
NSW;Banks;Panania South;1;4;R;0;123;4.10;;;
NSW;Banks;Panania South;1;5;R;0;1063;35.46;;;
NSW;Banks;Panania South;1;6;R;0;26;0.87;;;
NSW;Banks;Peakhurst;1;1;R;0;14;1.99;;;
NSW;Banks;Peakhurst;1;2;R;0;25;3.56;;;
NSW;Banks;Peakhurst;1;3;R;0;412;58.69;;;
NSW;Banks;Peakhurst;1;4;R;0;38;5.41;;;
NSW;Banks;Peakhurst;1;5;R;0;208;29.63;;;
NSW;Banks;Peakhurst;1;6;R;0;5;0.71;;;
NSW;Banks;Peakhurst East;1;1;R;0;55;3.75;;;
NSW;Banks;Peakhurst East;1;2;R;0;19;1.30;;;
NSW;Banks;Peakhurst East;1;3;R;0;796;54.26;;;
NSW;Banks;Peakhurst East;1;4;R;0;52;3.54;;;
NSW;Banks;Peakhurst East;1;5;R;0;530;36.13;;;
NSW;Banks;Peakhurst East;1;6;R;0;15;1.02;;;
NSW;Banks;Peakhurst South;1;1;R;0;47;2.44;;;
NSW;Banks;Peakhurst South;1;2;R;0;54;2.80;;;
NSW;Banks;Peakhurst South;1;3;R;0;718;37.20;;;
NSW;Banks;Peakhurst South;1;4;R;0;65;3.37;;;
NSW;Banks;Peakhurst South;1;5;R;0;1029;53.32;;;
NSW;Banks;Peakhurst South;1;6;R;0;17;0.88;;;
NSW;Banks;Peakhurst West;1;1;R;0;109;3.85;;;
NSW;Banks;Peakhurst West;1;2;R;0;56;1.98;;;
NSW;Banks;Peakhurst West;1;3;R;0;1390;49.05;;;
NSW;Banks;Peakhurst West;1;4;R;0;120;4.23;;;
NSW;Banks;Peakhurst West;1;5;R;0;1124;39.66;;;
NSW;Banks;Peakhurst West;1;6;R;0;35;1.24;;;
NSW;Banks;Penshurst Central;1;1;R;0;61;2.80;;;
NSW;Banks;Penshurst Central;1;2;R;0;49;2.25;;;
NSW;Banks;Penshurst Central;1;3;R;0;1254;57.47;;;
NSW;Banks;Penshurst Central;1;4;R;0;83;3.80;;;
NSW;Banks;Penshurst Central;1;5;R;0;694;31.81;;;
NSW;Banks;Penshurst Central;1;6;R;0;41;1.88;;;
NSW;Banks;Picnic Point;1;1;R;0;5;3.76;;;
NSW;Banks;Picnic Point;1;2;R;0;3;2.26;;;
NSW;Banks;Picnic Point;1;3;R;0;56;42.11;;;
NSW;Banks;Picnic Point;1;4;R;0;2;1.50;;;
