State;Division;Ballot Position;Member;Candidate;Party;Gender;Vote;Vote Percent;Swing
NSW;Banks;1;;KIRKMAN, Deborah;IND;F;2522;3.42;3.42
NSW;Banks;2;;DAVARIS, Paul;CTA;M;1726;2.34;0.23
NSW;Banks;3;#;MELHAM, Daryl;ALP;M;40460;54.80;6.45
NSW;Banks;4;;FARLEIGH, Peter;DEM;M;2642;3.58;-7.96
NSW;Banks;5;;TAYLOR, Clive Arthur Adam;LP;M;25634;34.72;-0.61
NSW;Banks;6;;HAY, John;IND;M;846;1.15;0.24
NSW;Banks;905;;;DSP;;0;0.00;-0.56
NSW;Banks;906;;;GRY;;0;0.00;-0.16
NSW;Banks;907;;;AF;;0;0.00;-0.05
NSW;Banks;997;;;OTH;;0;0.00;-1.00
NSW;Barton;1;;WHITE, Phil;LP;M;28066;37.87;-1.99
NSW;Barton;2;#;PUNCH, Gary;ALP;M;41442;55.92;9.17
NSW;Barton;3;;MCGARRY, Norm;IND;M;545;0.74;0.74
NSW;Barton;4;;ANDERSON, Troy;DEM;M;1862;2.51;-5.24
NSW;Barton;5;;MUDIE, Cathy;CTA;F;1118;1.51;0.39
NSW;Barton;6;;BALDING, Paul;IND;M;365;0.49;0.49
NSW;Barton;7;;GREEN, Ross;IND;M;425;0.57;0.57
NSW;Barton;8;;O'NEILL, Dafna;NLP;F;285;0.38;0.38
NSW;Barton;905;;;GRY;;0;0.00;-1.18
NSW;Barton;906;;;DSP;;0;0.00;-0.60
NSW;Barton;907;;;AGP;;0;0.00;-0.52
NSW;Barton;908;;;AF;;0;0.00;-0.16
NSW;Barton;997;;;OTH;;0;0.00;-2.06
NSW;Bennelong;1;#;HOWARD, John Winston;LP;M;37096;50.12;1.25
NSW;Bennelong;2;;DALGLIESH, Geoff;;M;570;0.77;0.77
NSW;Bennelong;3;;DAWSON, John Craig;IND;M;1222;1.65;1.25
NSW;Bennelong;4;;ROYLANCE, Michael;NLP;M;393;0.53;0.53
NSW;Bennelong;5;;REDDY, Suzanne;DEM;F;3910;5.28;-4.98
NSW;Bennelong;6;;ROTIK, Monique;ALP;F;30826;41.65;9.28
NSW;Bennelong;904;;;NDP;;0;0.00;-1.45
NSW;Bennelong;905;;;CTA;;0;0.00;-1.81
NSW;Bennelong;997;;;OTH;;0;0.00;-4.84
NSW;Berowra;1;;GALLAGHER, Mick;IND;M;10828;14.50;12.15
NSW;Berowra;2;#;RUDDOCK, Philip;LP;M;41230;55.22;3.44
NSW;Berowra;3;;CARR, Timothy;NLP;M;1116;1.49;1.49
NSW;Berowra;4;;DEANE, Sue;ALP;F;21492;28.78;3.19
NSW;Berowra;903;;;DEM;;0;0.00;-15.82
NSW;Berowra;904;;;CTA;;0;0.00;-2.68
NSW;Berowra;997;;;OTH;;0;0.00;-1.77
NSW;Blaxland;1;#;KEATING, Paul John;ALP;M;48446;69.40;13.88
NSW;Blaxland;2;;TENENBAUM, Linda;;F;413;0.59;0.59
NSW;Blaxland;3;;HENNESSY, Peter Gerard;DEM;M;1388;1.99;-6.43
NSW;Blaxland;4;;CARRICK, Trevor;CTA;M;804;1.15;0.48
NSW;Blaxland;5;;HILLMAN, Jon;IND;M;678;0.97;0.97
NSW;Blaxland;6;;KELVIN, Wilfrid H. C.;IND;M;179;0.26;0.26
NSW;Blaxland;7;;OSMOND, Les;LP;M;16927;24.25;-6.40
NSW;Blaxland;8;;REID, Bob;IND;M;388;0.56;0.56
NSW;Blaxland;9;;AUSSIE-STONE, Marcus;IND;M;204;0.29;0.29
NSW;Blaxland;10;;O'NEILL, Peter;NLP;M;378;0.54;0.54
NSW;Blaxland;904;;;DSP;;0;0.00;-1.27
NSW;Blaxland;905;;;AF;;0;0.00;-1.01
NSW;Blaxland;907;;;EFF;;0;0.00;-0.66
NSW;Blaxland;997;;;OTH;;0;0.00;-1.80
NSW;Bradfield;1;;JEANS, Simon;ALP;M;16610;22.36;6.08
NSW;Bradfield;2;;COURTNEY-HOLLAND, Mark;NLP;M;1180;1.59;1.59
NSW;Bradfield;3;;SPRINGETT, Bob;DEM;M;4665;6.28;-6.03
NSW;Bradfield;4;#;CONNOLLY, David Miles;LP;M;51822;69.77;6.56
NSW;Bradfield;904;;;CTA;;0;0.00;-0.49
NSW;Bradfield;905;;;NDP;;0;0.00;-1.80
NSW;Bradfield;997;;;OTH;;0;0.00;-5.90
NSW;Calare;1;;DAVIS, Brian Robert;IND;M;2097;2.90;2.90
NSW;Calare;2;;PENNY, Ron;NP;M;18787;26.01;-0.53
NSW;Calare;3;;STAAL, John;LP;M;13376;18.52;0.21
NSW;Calare;4;#;SIMMONS, David;ALP;M;36830;51.00;6.54
NSW;Calare;5;;CIANFRANO, Robert David;IND;M;1130;1.56;1.56
NSW;Calare;904;;;DEM;;0;0.00;-5.91
NSW;Calare;905;;;EFF;;0;0.00;-2.20
NSW;Calare;906;;;AGP;;0;0.00;-0.03
NSW;Calare;997;;;OTH;;0;0.00;-2.55
NSW;Charlton;1;#;BROWN, Bob;ALP;M;44680;60.90;8.33
NSW;Charlton;2;;BALDWIN, John;IND;M;2216;3.02;3.02
NSW;Charlton;3;;BREWSTER, Laurence;LP;M;19681;26.83;6.18
NSW;Charlton;4;;WILSON, Ryan;IND;M;780;1.06;1.06
NSW;Charlton;5;;KVIZ, Zdenek;NLP;M;239;0.33;0.33
NSW;Charlton;6;;SANDFORD, Mick;CTA;M;1273;1.74;1.74
NSW;Charlton;7;;SIEVERS, Charley;IND;M;516;0.70;0.70
NSW;Charlton;8;;GODFREY, Lyn;DEM;M;3976;5.42;-7.97
NSW;Charlton;904;;;GRY;;0;0.00;-0.13
NSW;Charlton;905;;;CCG;;0;0.00;-0.12
NSW;Charlton;997;;;OTH;;0;0.00;-13.14
NSW;Chifley;1;;IVOR, F;IND;M;2014;2.91;2.80
NSW;Chifley;2;;MACKENZIE, Jennifer;LP;F;14335;20.71;-3.33
NSW;Chifley;3;#;PRICE, Roger;ALP;M;47123;68.06;7.93
NSW;Chifley;4;;KUMAR, Tom;IND;M;622;0.90;0.90
NSW;Chifley;5;;BRYANT, Joe;EFF;M;4656;6.73;6.68
NSW;Chifley;6;;BILYANA, Yabu;;M;484;0.70;0.70
NSW;Chifley;902;;;DEM;;0;0.00;-11.73
NSW;Chifley;904;;;CTA;;0;0.00;-2.63
NSW;Chifley;905;;;AF;;0;0.00;-0.86
NSW;Chifley;906;;;DSP;;0;0.00;-0.04
NSW;Chifley;997;;;OTH;;0;0.00;-0.42
NSW;Cook;1;;ELPHINSTON, Alex;IND;M;2300;3.12;3.12
NSW;Cook;2;;SOLOMON, Noreen;ALP;F;29806;40.46;5.87
NSW;Cook;3;;ATKINSON, Julie Maria;NLP;F;530;0.72;0.72
NSW;Cook;4;;THOMPSON, Tom;CAP;M;479;0.65;0.65
NSW;Cook;5;;RICHARDSON, Terri;DEM;F;2212;3.00;-6.94
NSW;Cook;6;#;DOBIE, Don;LP;M;36524;49.58;0.11
NSW;Cook;7;;KINNY, Warren;CTA;M;1813;2.46;2.46
NSW;Cook;904;;;IG;;0;0.00;-0.27
NSW;Cook;997;;;OTH;;0;0.00;-5.72
NSW;Cowper;1;;CRANNY, Jillian;GRN;F;3191;4.68;4.68
NSW;Cowper;2;;WALLBRIDGE, Darrell;CAP;M;1714;2.51;2.51
NSW;Cowper;3;;FORRESTER, Roy;NLP;M;968;1.42;1.42
NSW;Cowper;4;;GLEESON, Nigel;CEG;M;439;0.64;0.64
NSW;Cowper;5;#;NEHL, Garry;NP;M;32772;48.05;2.10
NSW;Cowper;6;;SEKFY, Paul;ALP;M;26670;39.10;6.97
NSW;Cowper;7;;PIKE, Trevor John;DEM;M;2448;3.59;-6.62
NSW;Cowper;903;;;CG;;0;0.00;-2.38
NSW;Cowper;997;;;OTH;;0;0.00;-9.32
NSW;Cunningham;1;;REVERBERI, Daniela;DEM;F;2890;4.13;-9.62
NSW;Cunningham;2;;LYNCH, Ralph;LP;M;18453;26.36;1.70
NSW;Cunningham;3;#;MARTIN, Stephen Paul;ALP;M;41011;58.59;8.66
NSW;Cunningham;4;;WEST, Michael;IND;M;740;1.06;1.06
NSW;Cunningham;5;;MEDCALF, Carole;GRN;F;3300;4.71;4.71
NSW;Cunningham;6;;SAMPSON, Meg;IND;F;1932;2.76;2.76
NSW;Cunningham;7;;O'NEILL, Robert;CTA;M;1155;1.65;0.58
NSW;Cunningham;8;;MISDOM, Fred J.;NLP;M;510;0.73;0.73
NSW;Cunningham;902;;;IG;;0;0.00;-3.58
NSW;Cunningham;903;;;RCL;;0;0.00;-4.30
NSW;Cunningham;906;;;SPA;;0;0.00;-0.71
NSW;Cunningham;907;;;AGP;;0;0.00;-1.77
NSW;Cunningham;997;;;OTH;;0;0.00;-0.20
NSW;Dobell;1;;BALDWIN, Bob;LP;M;27654;40.14;5.39
NSW;Dobell;2;;HUDSON, Bob;IND;M;2131;3.09;3.09
NSW;Dobell;3;;DAY, Brian;DEM;M;2311;3.35;-6.75
NSW;Dobell;4;#;LEE, Michael;ALP;M;36795;53.41;6.54
NSW;Dobell;904;;;GRY;;0;0.00;-2.48
NSW;Dobell;905;;;CCG;;0;0.00;-2.51
NSW;Dobell;906;;;EFF;;0;0.00;-0.92
NSW;Dobell;997;;;OTH;;0;0.00;-2.36
NSW;Eden-Monaro;1;;BARRY, Tom;NP;M;5040;7.38;-2.63
NSW;Eden-Monaro;2;#;SNOW, Jim;ALP;M;32229;47.20;5.40
NSW;Eden-Monaro;3;;SANDERS, Norm;IND;M;3934;5.76;5.76
NSW;Eden-Monaro;4;;DOYLE, Greg;IND;M;694;1.02;1.02
NSW;Eden-Monaro;5;;DE FEGELY, Rob;LP;M;25929;37.98;6.54
NSW;Eden-Monaro;6;;FRASER, Peter H;NLP;M;453;0.66;0.66
NSW;Eden-Monaro;904;;;DEM;;0;0.00;-5.96
NSW;Eden-Monaro;905;;;RCL;;0;0.00;-0.50
NSW;Eden-Monaro;997;;;OTH;;0;0.00;-10.28
NSW;Farrer;1;#;FISCHER, Tim;NP;M;45447;65.44;-2.33
NSW;Farrer;2;;HIGGINS, Bill;ALP;M;20648;29.73;-2.49
NSW;Farrer;3;;MCKENZIE, Ian;DEM;M;3354;4.83;4.83
NSW;Farrer;997;;;OTH;;0;0.00;-0.01
NSW;Fowler;1;;STEVENS, Mark A;IND;M;5014;7.22;7.22
NSW;Fowler;2;;JOSLING, Greg;;M;1295;1.86;1.86
NSW;Fowler;3;;HYDE, Nicholas J;NLP;M;832;1.20;1.20
NSW;Fowler;4;;ARORA, Gloria;LP;F;14525;20.91;-3.73
NSW;Fowler;5;#;GRACE, Ted;ALP;M;47794;68.81;8.34
NSW;Fowler;901;;;DEM;;0;0.00;-7.10
NSW;Fowler;904;;;DSP;;0;0.00;-0.26
NSW;Fowler;905;;;AF;;0;0.00;-0.16
NSW;Fowler;906;;;EFF;;0;0.00;-1.66
NSW;Fowler;907;;;AGP;;0;0.00;-1.64
NSW;Fowler;997;;;OTH;;0;0.00;-4.07
NSW;Gilmore;1;;EDDY, Bill;LP;M;27932;41.76;23.53
NSW;Gilmore;2;;LEATCH, May;GRN;F;3160;4.72;4.72
NSW;Gilmore;3;;STANBOROUGH, Jeff;IND;M;925;1.38;1.38
NSW;Gilmore;4;;BUTLER, Greg;DEM;M;2312;3.46;-9.65
NSW;Gilmore;5;;DEVENNEY, Ruth;IND;F;475;0.71;0.71
NSW;Gilmore;6;;KEIGHLEY, Rosemary;NLP;F;151;0.23;0.23
NSW;Gilmore;7;;ATKINS, Max;NP;M;3380;5.05;-19.97
NSW;Gilmore;8;#;KNOTT, Peter John;ALP;M;28559;42.69;3.13
NSW;Gilmore;905;;;RCL;;0;0.00;-0.03
NSW;Gilmore;906;;;AGP;;0;0.00;-0.62
NSW;Gilmore;997;;;OTH;;0;0.00;-3.44
NSW;Grayndler;1;;ROBINSON, Kevin;LP;M;16761;23.17;-1.09
NSW;Grayndler;2;;JOHNSTON, Peter M.;NLP;M;485;0.67;0.67
NSW;Grayndler;3;;FITZGERALD, Paul;GRN;M;4363;6.03;6.03
NSW;Grayndler;4;;WILSON, Clay;CTA;M;625;0.86;-0.42
NSW;Grayndler;5;;PEPPER, Lee J.;IND;M;535;0.74;0.45
NSW;Grayndler;6;;SHANAHAN, Jack;IND;M;1394;1.93;1.93
NSW;Grayndler;7;;MARKHAM, Peter;DEM;M;2012;2.78;-8.09
NSW;Grayndler;8;#;MCHUGH, Jeannette;ALP;F;45605;63.06;10.79
NSW;Grayndler;9;;KENNEDY, Marnie;;F;545;0.75;0.75
NSW;Grayndler;905;;;SPA;;0;0.00;-0.64
NSW;Grayndler;906;;;AF;;0;0.00;-0.22
NSW;Grayndler;907;;;SSG;;0;0.00;-0.69
NSW;Grayndler;908;;;GLO;;0;0.00;-0.10
NSW;Grayndler;909;;;SG;;0;0.00;-4.27
NSW;Grayndler;997;;;OTH;;0;0.00;-5.11
NSW;Greenway;1;;MORRIS, Ray;LP;M;22470;32.15;-3.01
NSW;Greenway;2;;JERROW, John;CTA;M;2091;2.99;2.68
NSW;Greenway;3;;CLANCY, Bill;DEM;M;3215;4.60;-3.81
NSW;Greenway;4;#;GORMAN, Russ;ALP;M;41115;58.83;8.82
NSW;Greenway;5;;ALSOP, Ray;NLP;M;1002;1.43;1.43
NSW;Greenway;905;;;AF;;0;0.00;-2.20
NSW;Greenway;906;;;DSP;;0;0.00;-1.00
NSW;Greenway;907;;;EFF;;0;0.00;-1.87
NSW;Greenway;997;;;OTH;;0;0.00;-1.06
NSW;Gwydir;1;#;ANDERSON, John;NP;M;40950;57.13;8.47
NSW;Gwydir;2;;STUBBINS, Ted;ALP;M;26916;37.55;3.37
NSW;Gwydir;3;;PERRETT, Jim;CAP;M;3809;5.31;5.31
NSW;Gwydir;901;;;LP;;0;0.00;-3.75
NSW;Gwydir;904;;;DEM;;0;0.00;-6.32
NSW;Gwydir;905;;;EFF;;0;0.00;-0.28
NSW;Gwydir;997;;;OTH;;0;0.00;-6.81
NSW;Hughes;1;;YOUNG, June;DEM;F;2798;3.95;-8.20
NSW;Hughes;2;;SHORT, Noel;LP;M;27075;38.23;-0.13
