House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Lowe (83707)											
		Candidate		"MURPHY, John"		               	"DOUST, David"		               	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Abbotsford										
		"SOULOS, Mersina (GRN)"	14	11	78.57		3	21.43		14	
		Total	57	255	61.59		159	38.41		414	

	Division Summary										
			1st Prefs	33508	51.62		31400	48.38		64908	
		"GARRETT, Anna (DEM)"	3359	2355	70.11		1004	29.89		3359	
		"WONG, Ernest (UNI)"	1700	1301	76.53		399	23.47		1700	
		"KRUMINS, Harry (HAN)"	1463	511	34.93		952	65.07		1463	
		"LANE, Max ()"	267	179	67.04		88	32.96		267	
		"SOULOS, Mersina (GRN)"	3145	2417	76.85		728	23.15		3145	
		Total	9934	40271	53.81		34571	46.19		74842	
