Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																															
Calare (85310)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 																																																																											
    			TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES		BALDERSTONE				FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total																																																															
    						Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora																																																																		
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																														
	Black Springs		19	8.52		2	0.90		0	0.00		1	0.45		22	9.87		2	0.90		2	0.90		0	0.00		4	1.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.45		0	0.00		0	0.00		1	0.45		0	0.00		0	0.00		0	0.00		0	0.00		11	4.93		1	0.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	5.38		1	0.45		0	0.00		0	0.00		1	0.45		2	0.90		0	0.00		0	0.00		2	0.90		47	21.08		1	0.45		0	0.00		0	0.00		0	0.00		48	21.52		1	0.45		0	0.00		0	0.00		1	0.45		0	0.00		0	0.00		0	0.00		0	0.00		3	1.35		0	0.00		0	0.00		3	1.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Blayney		149	8.14		6	0.33		1	0.05		1	0.05		157	8.57		28	1.53		3	0.16		0	0.00		31	1.69		1	0.05		0	0.00		0	0.00		1	0.05		5	0.27		0	0.00		0	0.00		5	0.27		39	2.13		1	0.05		0	0.00		40	2.18		1	0.05		1	0.05		0	0.00		2	0.11		53	2.89		4	0.22		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		58	3.17		18	0.98		0	0.00		0	0.00		18	0.98		5	0.27		0	0.00		0	0.00		5	0.27		616	33.64		3	0.16		0	0.00		2	0.11		0	0.00		621	33.92		29	1.58		0	0.00		0	0.00		29	1.58		0	0.00		0	0.00		0	0.00		0	0.00		21	1.15		0	0.00		0	0.00		21	1.15		2	0.11		0	0.00		0	0.00		0	0.00		2	0.11
	Bletchington		135	4.79		9	0.32		1	0.04		1	0.04		146	5.18		95	3.37		13	0.46		0	0.00		108	3.83		0	0.00		1	0.04		0	0.00		1	0.04		5	0.18		0	0.00		0	0.00		5	0.18		58	2.06		1	0.04		0	0.00		59	2.09		1	0.04		0	0.00		0	0.00		1	0.04		159	5.64		4	0.14		0	0.00		1	0.04		0	0.00		0	0.00		1	0.04		165	5.85		29	1.03		0	0.00		0	0.00		29	1.03		3	0.11		0	0.00		0	0.00		3	0.11		800	28.38		8	0.28		1	0.04		2	0.07		1	0.04		812	28.80		36	1.28		0	0.00		0	0.00		36	1.28		2	0.07		0	0.00		0	0.00		2	0.07		29	1.03		1	0.04		0	0.00		30	1.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Bloomfield Hospital		12	7.45		0	0.00		0	0.00		0	0.00		12	7.45		6	3.73		0	0.00		0	0.00		6	3.73		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		8	4.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	4.97		1	0.62		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		50	31.06		0	0.00		1	0.62		0	0.00		0	0.00		51	31.68		1	0.62		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Borenore		13	4.94		0	0.00		0	0.00		0	0.00		13	4.94		6	2.28		0	0.00		0	0.00		6	2.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.38		0	0.00		0	0.00		1	0.38		0	0.00		0	0.00		0	0.00		0	0.00		14	5.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	5.32		4	1.52		0	0.00		0	0.00		4	1.52		1	0.38		0	0.00		0	0.00		1	0.38		49	18.63		0	0.00		0	0.00		0	0.00		1	0.38		50	19.01		1	0.38		0	0.00		0	0.00		1	0.38		0	0.00		0	0.00		0	0.00		0	0.00		2	0.76		0	0.00		0	0.00		2	0.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Bowen		190	8.10		12	0.51		0	0.00		0	0.00		202	8.61		49	2.09		7	0.30		0	0.00		56	2.39		1	0.04		0	0.00		0	0.00		1	0.04		2	0.09		0	0.00		0	0.00		2	0.09		58	2.47		1	0.04		0	0.00		59	2.51		1	0.04		0	0.00		0	0.00		1	0.04		89	3.79		3	0.13		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		93	3.96		25	1.07		5	0.21		0	0.00		30	1.28		6	0.26		1	0.04		0	0.00		7	0.30		727	30.99		8	0.34		0	0.00		0	0.00		2	0.09		737	31.42		25	1.07		1	0.04		0	0.00		26	1.11		0	0.00		0	0.00		0	0.00		0	0.00		26	1.11		0	0.00		0	0.00		26	1.11		1	0.04		0	0.00		0	0.00		0	0.00		1	0.04
	Bowenfels South		23	10.50		0	0.00		0	0.00		0	0.00		23	10.50		9	4.11		0	0.00		0	0.00		9	4.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		0	0.00		0	0.00		7	3.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	3.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		71	32.42		2	0.91		0	0.00		0	0.00		0	0.00		73	33.33		2	0.91		0	0.00		0	0.00		2	0.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Burraga		5	7.04		1	1.41		0	0.00		0	0.00		6	8.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	7.04		0	0.00		0	0.00		5	7.04		0	0.00		0	0.00		0	0.00		0	0.00		1	1.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.41		1	1.41		0	0.00		0	0.00		1	1.41		0	0.00		0	0.00		0	0.00		0	0.00		25	35.21		0	0.00		0	0.00		0	0.00		0	0.00		25	35.21		1	1.41		0	0.00		0	0.00		1	1.41		0	0.00		0	0.00		0	0.00		0	0.00		1	1.41		0	0.00		0	0.00		1	1.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Calare School		99	5.84		6	0.35		0	0.00		0	0.00		105	6.19		60	3.54		17	1.00		0	0.00		77	4.54		0	0.00		1	0.06		0	0.00		1	0.06		2	0.12		0	0.00		0	0.00		2	0.12		32	1.89		1	0.06		0	0.00		33	1.95		0	0.00		0	0.00		0	0.00		0	0.00		73	4.31		9	0.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		82	4.84		15	0.88		0	0.00		1	0.06		16	0.94		3	0.18		0	0.00		0	0.00		3	0.18		444	26.19		4	0.24		0	0.00		3	0.18		1	0.06		452	26.67		27	1.59		3	0.18		0	0.00		30	1.77		1	0.06		0	0.00		0	0.00		1	0.06		12	0.71		0	0.00		0	0.00		12	0.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Canobolas		11	6.71		2	1.22		0	0.00		1	0.61		14	8.54		4	2.44		4	2.44		0	0.00		8	4.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.44		0	0.00		0	0.00		4	2.44		0	0.00		0	0.00		0	0.00		0	0.00		11	6.71		1	0.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	7.32		1	0.61		1	0.61		0	0.00		2	1.22		1	0.61		0	0.00		0	0.00		1	0.61		23	14.02		1	0.61		0	0.00		0	0.00		0	0.00		24	14.63		1	0.61		1	0.61		0	0.00		2	1.22		0	0.00		0	0.00		0	0.00		0	0.00		1	0.61		0	0.00		0	0.00		1	0.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
