Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate 																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

New England (84941)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Bendemeer		34	10.83		3	0.96		0	0.00		0	0.00		37	11.78		3	0.96		3	0.96		0	0.00		6	1.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.27		0	0.00		0	0.00		4	1.27		0	0.00		1	0.32		0	0.00		1	0.32		12	3.82		0	0.00		0	0.00		0	0.00		0	0.00		1	0.32		0	0.00		13	4.14		6	1.91		0	0.00		0	0.00		6	1.91		0	0.00		0	0.00		0	0.00		0	0.00		61	19.43		1	0.32		0	0.00		0	0.00		0	0.00		62	19.75		8	2.55		0	0.00		0	0.00		8	2.55		0	0.00		0	0.00		0	0.00		0	0.00		6	1.91		0	0.00		0	0.00		6	1.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		151	48.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		151	48.09		6	1.91		0	0.00		0	0.00
	Ben Lomond		4	3.51		1	0.88		0	0.00		0	0.00		5	4.39		1	0.88		2	1.75		0	0.00		3	2.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.88		0	0.00		0	0.00		1	0.88		0	0.00		0	0.00		0	0.00		0	0.00		3	2.63		1	0.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	3.51		0	0.00		1	0.88		0	0.00		1	0.88		0	0.00		0	0.00		0	0.00		0	0.00		12	10.53		0	0.00		0	0.00		0	0.00		0	0.00		12	10.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		80	70.18		2	1.75		0	0.00		0	0.00		0	0.00		1	0.88		0	0.00		83	72.81		1	0.88		0	0.00		0	0.00
	Ben Venue		125	4.99		6	0.24		0	0.00		0	0.00		131	5.23		68	2.72		12	0.48		0	0.00		80	3.20		3	0.12		0	0.00		0	0.00		3	0.12		1	0.04		1	0.04		0	0.00		2	0.08		38	1.52		0	0.00		0	0.00		38	1.52		1	0.04		1	0.04		0	0.00		2	0.08		223	8.91		27	1.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		250	9.99		30	1.20		4	0.16		0	0.00		34	1.36		1	0.04		1	0.04		0	0.00		2	0.08		601	24.01		14	0.56		2	0.08		1	0.04		6	0.24		624	24.93		23	0.92		1	0.04		0	0.00		24	0.96		0	0.00		0	0.00		0	0.00		0	0.00		32	1.28		0	0.00		0	0.00		32	1.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.12		1	0.04		0	0.00		4	0.16		2	0.08		1	0.04		0	0.00		3	0.12		1042	41.63		9	0.36		4	0.16		0	0.00		0	0.00		1	0.04		0	0.00		1056	42.19		31	1.24		3	0.12		0	0.00
	Bingara		127	11.15		7	0.61		0	0.00		0	0.00		134	11.76		10	0.88		1	0.09		0	0.00		11	0.97		0	0.00		0	0.00		0	0.00		0	0.00		6	0.53		0	0.00		0	0.00		6	0.53		30	2.63		0	0.00		0	0.00		30	2.63		4	0.35		0	0.00		0	0.00		4	0.35		21	1.84		2	0.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		23	2.02		13	1.14		0	0.00		0	0.00		13	1.14		3	0.26		0	0.00		0	0.00		3	0.26		306	26.87		1	0.09		0	0.00		0	0.00		0	0.00		307	26.95		9	0.79		0	0.00		0	0.00		9	0.79		1	0.09		0	0.00		0	0.00		1	0.09		15	1.32		0	0.00		0	0.00		15	1.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		533	46.80		6	0.53		1	0.09		0	0.00		1	0.09		1	0.09		0	0.00		542	47.59		17	1.49		0	0.00		0	0.00
	Black Mountain		21	14.48		2	1.38		0	0.00		0	0.00		23	15.86		1	0.69		0	0.00		0	0.00		1	0.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.38		0	0.00		0	0.00		2	1.38		0	0.00		0	0.00		0	0.00		0	0.00		10	6.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	6.90		0	0.00		0	0.00		0	0.00		0	0.00		1	0.69		0	0.00		0	0.00		1	0.69		17	11.72		1	0.69		0	0.00		1	0.69		0	0.00		19	13.10		1	0.69		0	0.00		0	0.00		1	0.69		0	0.00		0	0.00		0	0.00		0	0.00		7	4.83		0	0.00		0	0.00		7	4.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		70	48.28		0	0.00		1	0.69		0	0.00		0	0.00		2	1.38		0	0.00		73	50.34		0	0.00		0	0.00		0	0.00
	Bonshaw		11	12.79		0	0.00		0	0.00		0	0.00		11	12.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.16		0	0.00		0	0.00		1	1.16		0	0.00		0	0.00		0	0.00		0	0.00		2	2.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	12.79		1	1.16		1	1.16		0	0.00		0	0.00		13	15.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.33		0	0.00		0	0.00		2	2.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.16		0	0.00		0	0.00		1	1.16		54	62.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		54	62.79		1	1.16		0	0.00		0	0.00
	Bundarra		42	10.74		2	0.51		0	0.00		0	0.00		44	11.25		4	1.02		2	0.51		0	0.00		6	1.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	2.81		0	0.00		0	0.00		11	2.81		1	0.26		0	0.00		0	0.00		1	0.26		8	2.05		1	0.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	2.30		4	1.02		0	0.00		0	0.00		4	1.02		1	0.26		0	0.00		0	0.00		1	0.26		90	23.02		0	0.00		0	0.00		0	0.00		0	0.00		90	23.02		3	0.77		0	0.00		0	0.00		3	0.77		1	0.26		0	0.00		0	0.00		1	0.26		5	1.28		0	0.00		0	0.00		5	1.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.26		0	0.00		0	0.00		1	0.26		0	0.00		0	0.00		0	0.00		0	0.00		197	50.38		3	0.77		1	0.26		0	0.00		0	0.00		0	0.00		0	0.00		201	51.41		7	1.79		0	0.00		0	0.00
	Calala		76	6.70		10	0.88		0	0.00		0	0.00		86	7.58		75	6.61		15	1.32		0	0.00		90	7.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	0.97		0	0.00		0	0.00		11	0.97		0	0.00		0	0.00		0	0.00		0	0.00		50	4.41		5	0.44		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		56	4.93		9	0.79		0	0.00		0	0.00		9	0.79		1	0.09		0	0.00		0	0.00		1	0.09		187	16.48		2	0.18		1	0.09		0	0.00		0	0.00		190	16.74		11	0.97		0	0.00		0	0.00		11	0.97		0	0.00		0	0.00		0	0.00		0	0.00		12	1.06		1	0.09		1	0.09		14	1.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		624	54.98		4	0.35		2	0.18		0	0.00		1	0.09		0	0.00		1	0.09		632	55.68		11	0.97		0	0.00		0	0.00
	Currabubula		34	16.75		3	1.48		0	0.00		0	0.00		37	18.23		6	2.96		3	1.48		0	0.00		9	4.43		1	0.49		0	0.00		0	0.00		1	0.49		0	0.00		0	0.00		0	0.00		0	0.00		1	0.49		0	0.00		0	0.00		1	0.49		0	0.00		0	0.00		0	0.00		0	0.00		11	5.42		1	0.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	5.91		5	2.46		0	0.00		0	0.00		5	2.46		0	0.00		0	0.00		0	0.00		0	0.00		31	15.27		0	0.00		1	0.49		0	0.00		0	0.00		32	15.76		2	0.99		0	0.00		0	0.00		2	0.99		0	0.00		0	0.00		0	0.00		0	0.00		4	1.97		0	0.00		0	0.00		4	1.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		86	42.36		2	0.99		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		88	43.35		3	1.48		0	0.00		0	0.00
	Dangarsleigh		10	5.49		5	2.75		0	0.00		0	0.00		15	8.24		7	3.85		1	0.55		0	0.00		8	4.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	5.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	5.49		1	0.55		0	0.00		0	0.00		1	0.55		0	0.00		0	0.00		0	0.00		0	0.00		22	12.09		2	1.10		0	0.00		0	0.00		0	0.00		24	13.19		0	0.00		0	0.00		0	0.00		0	0.00		1	0.55		0	0.00		0	0.00		1	0.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		112	61.54		4	2.20		1	0.55		0	0.00		0	0.00		0	0.00		0	0.00		117	64.29		3	1.65		0	0.00		0	0.00
