House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Gwydir (84602)											
		Candidate		"ANDERSON, John"		             	"MURNAIN, Anne"		              	Total	
				NP		                         	CLR		                        		
				Votes	%	                     	Votes	%	                     		
		"STRACHAN, Neil (GRN)"	3	2	66.67		1	33.33		3	
		"WEBER, Harry (LEF)"	0	0	0.00		0	0.00		0	
		"EDWARDS, Gary (IND)"	1	0	0.00		1	100.00		1	
		"O'REGAN, Bevan (IND)"	2	1	50.00		1	50.00		2	
		Total	16	74	85.06		13	14.94		87	

	Blandford										
			1st Prefs	120	74.53		41	25.47		161	
		"WITTEN, Richard (CEC)"	2	1	50.00		1	50.00		2	
		"HAIGH, Bruce (IND)"	8	4	50.00		4	50.00		8	
		"GRAHAM, Ken (DEM)"	1	0	0.00		1	100.00		1	
		"ROGERS, Colin (HAN)"	18	10	55.56		8	44.44		18	
		"STRACHAN, Neil (GRN)"	2	1	50.00		1	50.00		2	
		"WEBER, Harry (LEF)"	2	1	50.00		1	50.00		2	
		"EDWARDS, Gary (IND)"	2	0	0.00		2	100.00		2	
		"O'REGAN, Bevan (IND)"	1	0	0.00		1	100.00		1	
		Total	36	137	69.54		60	30.46		197	

	Boggabilla										
			1st Prefs	176	63.77		100	36.23		276	
		"WITTEN, Richard (CEC)"	10	8	80.00		2	20.00		10	
		"HAIGH, Bruce (IND)"	7	5	71.43		2	28.57		7	
		"GRAHAM, Ken (DEM)"	13	7	53.85		6	46.15		13	
		"ROGERS, Colin (HAN)"	57	20	35.09		37	64.91		57	
		"STRACHAN, Neil (GRN)"	4	2	50.00		2	50.00		4	
		"WEBER, Harry (LEF)"	7	3	42.86		4	57.14		7	
		"EDWARDS, Gary (IND)"	3	1	33.33		2	66.67		3	
		"O'REGAN, Bevan (IND)"	5	3	60.00		2	40.00		5	
		Total	106	225	58.90		157	41.10		382	

	Boggabri										
			1st Prefs	377	73.35		137	26.65		514	
		"WITTEN, Richard (CEC)"	5	4	80.00		1	20.00		5	
		"HAIGH, Bruce (IND)"	42	18	42.86		24	57.14		42	
		"GRAHAM, Ken (DEM)"	12	7	58.33		5	41.67		12	
		"ROGERS, Colin (HAN)"	66	31	46.97		35	53.03		66	
		"STRACHAN, Neil (GRN)"	3	1	33.33		2	66.67		3	
		"WEBER, Harry (LEF)"	6	4	66.67		2	33.33		6	
		"EDWARDS, Gary (IND)"	2	2	100.00		0	0.00		2	
		"O'REGAN, Bevan (IND)"	48	24	50.00		24	50.00		48	
		Total	184	468	67.05		230	32.95		698	

	Boomi										
			1st Prefs	94	81.74		21	18.26		115	
		"WITTEN, Richard (CEC)"	2	2	100.00		0	0.00		2	
		"HAIGH, Bruce (IND)"	7	6	85.71		1	14.29		7	
		"GRAHAM, Ken (DEM)"	0	0	0.00		0	0.00		0	
		"ROGERS, Colin (HAN)"	15	7	46.67		8	53.33		15	
		"STRACHAN, Neil (GRN)"	1	0	0.00		1	100.00		1	
		"WEBER, Harry (LEF)"	1	0	0.00		1	100.00		1	
		"EDWARDS, Gary (IND)"	2	2	100.00		0	0.00		2	
		"O'REGAN, Bevan (IND)"	1	0	0.00		1	100.00		1	
		Total	29	111	77.08		33	22.92		144	

	Bourke										
			1st Prefs	651	69.77		282	30.23		933	
		"WITTEN, Richard (CEC)"	25	23	92.00		2	8.00		25	
		"HAIGH, Bruce (IND)"	30	21	70.00		9	30.00		30	
		"GRAHAM, Ken (DEM)"	27	10	37.04		17	62.96		27	
		"ROGERS, Colin (HAN)"	172	92	53.49		80	46.51		172	
		"STRACHAN, Neil (GRN)"	17	12	70.59		5	29.41		17	
		"WEBER, Harry (LEF)"	30	16	53.33		14	46.67		30	
		"EDWARDS, Gary (IND)"	9	7	77.78		2	22.22		9	
		"O'REGAN, Bevan (IND)"	9	3	33.33		6	66.67		9	
		Total	319	835	66.69		417	33.31		1252	

	Breeza										
			1st Prefs	64	80.00		16	20.00		80	
		"WITTEN, Richard (CEC)"	0	0	0.00		0	0.00		0	
		"HAIGH, Bruce (IND)"	17	10	58.82		7	41.18		17	
		"GRAHAM, Ken (DEM)"	3	1	33.33		2	66.67		3	
		"ROGERS, Colin (HAN)"	7	2	28.57		5	71.43		7	
		"STRACHAN, Neil (GRN)"	0	0	0.00		0	0.00		0	
		"WEBER, Harry (LEF)"	3	3	100.00		0	0.00		3	
		"EDWARDS, Gary (IND)"	2	1	50.00		1	50.00		2	
		"O'REGAN, Bevan (IND)"	3	1	33.33		2	66.67		3	
		Total	35	82	71.30		33	28.70		115	

	Brewarrina										
			1st Prefs	236	54.88		194	45.12		430	
		"WITTEN, Richard (CEC)"	18	14	77.78		4	22.22		18	
		"HAIGH, Bruce (IND)"	12	7	58.33		5	41.67		12	
		"GRAHAM, Ken (DEM)"	4	2	50.00		2	50.00		4	
		"ROGERS, Colin (HAN)"	55	44	80.00		11	20.00		55	
		"STRACHAN, Neil (GRN)"	4	1	25.00		3	75.00		4	
		"WEBER, Harry (LEF)"	8	4	50.00		4	50.00		8	
		"EDWARDS, Gary (IND)"	3	0	0.00		3	100.00		3	
		"O'REGAN, Bevan (IND)"	3	1	33.33		2	66.67		3	
		Total	107	309	57.54		228	42.46		537	

	Bugaldie										
			1st Prefs	65	95.59		3	4.41		68	
		"WITTEN, Richard (CEC)"	1	0	0.00		1	100.00		1	
		"HAIGH, Bruce (IND)"	4	4	100.00		0	0.00		4	
		"GRAHAM, Ken (DEM)"	1	1	100.00		0	0.00		1	
		"ROGERS, Colin (HAN)"	11	5	45.45		6	54.55		11	
		"STRACHAN, Neil (GRN)"	5	3	60.00		2	40.00		5	
		"WEBER, Harry (LEF)"	0	0	0.00		0	0.00		0	
		"EDWARDS, Gary (IND)"	0	0	0.00		0	0.00		0	
		"O'REGAN, Bevan (IND)"	2	0	0.00		2	100.00		2	
		Total	24	78	84.78		14	15.22		92	

	Bullarah										
			1st Prefs	83	95.40		4	4.60		87	
		"WITTEN, Richard (CEC)"	0	0	0.00		0	0.00		0	
		"HAIGH, Bruce (IND)"	4	2	50.00		2	50.00		4	
		"GRAHAM, Ken (DEM)"	0	0	0.00		0	0.00		0	
		"ROGERS, Colin (HAN)"	13	9	69.23		4	30.77		13	
		"STRACHAN, Neil (GRN)"	0	0	0.00		0	0.00		0	
		"WEBER, Harry (LEF)"	2	1	50.00		1	50.00		2	
		"EDWARDS, Gary (IND)"	0	0	0.00		0	0.00		0	
		"O'REGAN, Bevan (IND)"	5	5	100.00		0	0.00		5	
		Total	24	100	90.09		11	9.91		111	

	Bunnan										
			1st Prefs	128	86.49		20	13.51		148	
		"WITTEN, Richard (CEC)"	1	1	100.00		0	0.00		1	
		"HAIGH, Bruce (IND)"	4	3	75.00		1	25.00		4	
		"GRAHAM, Ken (DEM)"	0	0	0.00		0	0.00		0	
		"ROGERS, Colin (HAN)"	11	7	63.64		4	36.36		11	
		"STRACHAN, Neil (GRN)"	2	1	50.00		1	50.00		2	
		"WEBER, Harry (LEF)"	1	0	0.00		1	100.00		1	
		"EDWARDS, Gary (IND)"	0	0	0.00		0	0.00		0	
		"O'REGAN, Bevan (IND)"	0	0	0.00		0	0.00		0	
		Total	19	140	83.83		27	16.17		167	

	Burren Junction										
			1st Prefs	155	93.37		11	6.63		166	
		"WITTEN, Richard (CEC)"	1	1	100.00		0	0.00		1	
		"HAIGH, Bruce (IND)"	3	1	33.33		2	66.67		3	
		"GRAHAM, Ken (DEM)"	1	1	100.00		0	0.00		1	
		"ROGERS, Colin (HAN)"	18	12	66.67		6	33.33		18	
		"STRACHAN, Neil (GRN)"	3	1	33.33		2	66.67		3	
		"WEBER, Harry (LEF)"	6	2	33.33		4	66.67		6	
		"EDWARDS, Gary (IND)"	0	0	0.00		0	0.00		0	
		"O'REGAN, Bevan (IND)"	6	4	66.67		2	33.33		6	
		Total	38	177	86.76		27	13.24		204	

	Bylong										
			1st Prefs	50	92.59		4	7.41		54	
		"WITTEN, Richard (CEC)"	2	2	100.00		0	0.00		2	
		"HAIGH, Bruce (IND)"	1	1	100.00		0	0.00		1	
		"GRAHAM, Ken (DEM)"	0	0	0.00		0	0.00		0	
		"ROGERS, Colin (HAN)"	7	1	14.29		6	85.71		7	
		"STRACHAN, Neil (GRN)"	1	0	0.00		1	100.00		1	
		"WEBER, Harry (LEF)"	0	0	0.00		0	0.00		0	
		"EDWARDS, Gary (IND)"	0	0	0.00		0	0.00		0	
		"O'REGAN, Bevan (IND)"	0	0	0.00		0	0.00		0	
		Total	11	54	83.08		11	16.92		65	

	Carinda										
			1st Prefs	74	83.15		15	16.85		89	
		"WITTEN, Richard (CEC)"	2	1	50.00		1	50.00		2	
		"HAIGH, Bruce (IND)"	1	1	100.00		0	0.00		1	
		"GRAHAM, Ken (DEM)"	0	0	0.00		0	0.00		0	
		"ROGERS, Colin (HAN)"	11	8	72.73		3	27.27		11	
		"STRACHAN, Neil (GRN)"	0	0	0.00		0	0.00		0	
		"WEBER, Harry (LEF)"	1	0	0.00		1	100.00		1	
		"EDWARDS, Gary (IND)"	1	1	100.00		0	0.00		1	
		"O'REGAN, Bevan (IND)"	0	0	0.00		0	0.00		0	
		Total	16	85	80.95		20	19.05		105	

	Caroona										
			1st Prefs	79	49.07		82	50.93		161	
		"WITTEN, Richard (CEC)"	2	1	50.00		1	50.00		2	
		"HAIGH, Bruce (IND)"	10	6	60.00		4	40.00		10	
		"GRAHAM, Ken (DEM)"	0	0	0.00		0	0.00		0	
		"ROGERS, Colin (HAN)"	8	2	25.00		6	75.00		8	
		"STRACHAN, Neil (GRN)"	3	2	66.67		1	33.33		3	
		"WEBER, Harry (LEF)"	1	1	100.00		0	0.00		1	
		"EDWARDS, Gary (IND)"	0	0	0.00		0	0.00		0	
		"O'REGAN, Bevan (IND)"	2	1	50.00		1	50.00		2	
		Total	26	92	49.20		95	50.80		187	

	Carroll										
			1st Prefs	137	74.86		46	25.14		183	
		"WITTEN, Richard (CEC)"	5	4	80.00		1	20.00		5	
		"HAIGH, Bruce (IND)"	8	3	37.50		5	62.50		8	
		"GRAHAM, Ken (DEM)"	3	2	66.67		1	33.33		3	
		"ROGERS, Colin (HAN)"	16	2	12.50		14	87.50		16	
		"STRACHAN, Neil (GRN)"	3	1	33.33		2	66.67		3	
		"WEBER, Harry (LEF)"	2	0	0.00		2	100.00		2	
		"EDWARDS, Gary (IND)"	2	1	50.00		1	50.00		2	
		"O'REGAN, Bevan (IND)"	8	3	37.50		5	62.50		8	
		Total	47	153	66.52		77	33.48		230	

	Cassilis										
			1st Prefs	112	75.17		37	24.83		149	
		"WITTEN, Richard (CEC)"	2	2	100.00		0	0.00		2	
		"HAIGH, Bruce (IND)"	8	5	62.50		3	37.50		8	
		"GRAHAM, Ken (DEM)"	0	0	0.00		0	0.00		0	
		"ROGERS, Colin (HAN)"	19	12	63.16		7	36.84		19	
		"STRACHAN, Neil (GRN)"	3	2	66.67		1	33.33		3	
		"WEBER, Harry (LEF)"	1	1	100.00		0	0.00		1	
		"EDWARDS, Gary (IND)"	1	1	100.00		0	0.00		1	
		"O'REGAN, Bevan (IND)"	0	0	0.00		0	0.00		0	
		Total	34	135	73.77		48	26.23		183	

	Collarenebri										
			1st Prefs	178	69.53		78	30.47		256	
		"WITTEN, Richard (CEC)"	16	16	100.00		0	0.00		16	
		"HAIGH, Bruce (IND)"	8	3	37.50		5	62.50		8	
		"GRAHAM, Ken (DEM)"	3	2	66.67		1	33.33		3	
		"ROGERS, Colin (HAN)"	45	27	60.00		18	40.00		45	
		"STRACHAN, Neil (GRN)"	5	2	40.00		3	60.00		5	
		"WEBER, Harry (LEF)"	5	2	40.00		3	60.00		5	
		"EDWARDS, Gary (IND)"	1	0	0.00		1	100.00		1	
		"O'REGAN, Bevan (IND)"	3	2	66.67		1	33.33		3	
		Total	86	232	67.84		110	32.16		342	

	Collie										
			1st Prefs	65	86.67		10	13.33		75	
		"WITTEN, Richard (CEC)"	2	0	0.00		2	100.00		2	
		"HAIGH, Bruce (IND)"	2	2	100.00		0	0.00		2	
		"GRAHAM, Ken (DEM)"	1	1	100.00		0	0.00		1	
		"ROGERS, Colin (HAN)"	11	5	45.45		6	54.55		11	
		"STRACHAN, Neil (GRN)"	0	0	0.00		0	0.00		0	
		"WEBER, Harry (LEF)"	0	0	0.00		0	0.00		0	
		"EDWARDS, Gary (IND)"	0	0	0.00		0	0.00		0	
		"O'REGAN, Bevan (IND)"	1	1	100.00		0	0.00		1	
		Total	17	74	80.43		18	19.57		92	

	Coolah										
			1st Prefs	454	77.47		132	22.53		586	
		"WITTEN, Richard (CEC)"	9	7	77.78		2	22.22		9	
		"HAIGH, Bruce (IND)"	72	40	55.56		32	44.44		72	
		"GRAHAM, Ken (DEM)"	5	1	20.00		4	80.00		5	
		"ROGERS, Colin (HAN)"	73	34	46.58		39	53.42		73	
		"STRACHAN, Neil (GRN)"	5	1	20.00		4	80.00		5	
		"WEBER, Harry (LEF)"	7	5	71.43		2	28.57		7	
		"EDWARDS, Gary (IND)"	3	1	33.33		2	66.67		3	
		"O'REGAN, Bevan (IND)"	3	1	33.33		2	66.67		3	
		Total	177	544	71.30		219	28.70		763	

	Coolatai										
