Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Kingsford Smith (86647)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Eastlakes East		60	2.66		15	0.66		11	0.49		1	0.04		75	3.32		0	0.00		64	2.84		15	0.66		12	0.53		1411	62.52		7	0.31		3	0.13		12	0.53		0	0.00		2	0.09		1	0.04		478	21.18		10	0.44		1	0.04		70	3.10		1	0.04		0	0.00		8	0.35		0	0.00		2257	92.35		187	7.65		2444	2.99
Express		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
Hillsdale		101	3.63		23	0.83		17	0.61		1	0.04		67	2.41		2	0.07		104	3.74		20	0.72		12	0.43		1636	58.76		9	0.32		1	0.04		16	0.57		1	0.04		2	0.07		3	0.11		651	23.38		15	0.54		3	0.11		85	3.05		3	0.11		0	0.00		12	0.43		0	0.00		2784	92.89		213	7.11		2997	3.66
International		4	4.94		1	1.23		2	2.47		0	0.00		2	2.47		0	0.00		4	4.94		2	2.47		0	0.00		35	43.21		2	2.47		0	0.00		1	1.23		0	0.00		0	0.00		0	0.00		24	29.63		0	0.00		0	0.00		4	4.94		0	0.00		0	0.00		0	0.00		0	0.00		81	96.43		3	3.57		84	0.10
Kensington		48	2.75		23	1.32		10	0.57		0	0.00		23	1.32		2	0.11		145	8.30		20	1.14		2	0.11		707	40.47		6	0.34		1	0.06		7	0.40		2	0.11		0	0.00		3	0.17		600	34.34		9	0.52		5	0.29		122	6.98		2	0.11		0	0.00		9	0.52		1	0.06		1747	95.94		74	4.06		1821	2.23
Kensington Park		46	2.75		30	1.79		2	0.12		0	0.00		17	1.02		1	0.06		99	5.91		9	0.54		4	0.24		634	37.87		5	0.30		0	0.00		7	0.42		2	0.12		0	0.00		4	0.24		700	41.82		6	0.36		0	0.00		98	5.85		0	0.00		1	0.06		9	0.54		0	0.00		1674	94.58		96	5.42		1770	2.16
Kensington West		39	1.83		32	1.50		16	0.75		2	0.09		31	1.46		0	0.00		149	7.00		14	0.66		4	0.19		721	33.88		6	0.28		0	0.00		7	0.33		0	0.00		0	0.00		1	0.05		943	44.31		7	0.33		5	0.23		142	6.67		0	0.00		0	0.00		9	0.42		0	0.00		2128	95.73		95	4.27		2223	2.72
Kingsford		11	1.76		10	1.60		10	1.60		0	0.00		9	1.44		1	0.16		37	5.92		6	0.96		1	0.16		310	49.60		1	0.16		0	0.00		3	0.48		0	0.00		0	0.00		1	0.16		188	30.08		4	0.64		2	0.32		29	4.64		0	0.00		0	0.00		2	0.32		0	0.00		625	95.71		28	4.29		653	0.80
Kingsford South		79	4.57		18	1.04		17	0.98		1	0.06		55	3.18		3	0.17		90	5.20		12	0.69		4	0.23		787	45.49		9	0.52		1	0.06		2	0.12		1	0.06		3	0.17		0	0.00		553	31.97		13	0.75		2	0.12		73	4.22		0	0.00		1	0.06		6	0.35		0	0.00		1730	95.58		80	4.42		1810	2.21
La Perouse		88	7.88		14	1.25		4	0.36		1	0.09		25	2.24		1	0.09		46	4.12		9	0.81		5	0.45		475	42.52		3	0.27		0	0.00		7	0.63		0	0.00		1	0.09		0	0.00		370	33.12		1	0.09		1	0.09		57	5.10		0	0.00		1	0.09		8	0.72		0	0.00		1117	95.63		51	4.37		1168	1.43
Malabar		130	6.36		17	0.83		7	0.34		1	0.05		34	1.66		2	0.10		120	5.87		16	0.78		3	0.15		826	40.39		10	0.49		1	0.05		14	0.68		0	0.00		2	0.10		4	0.20		739	36.14		6	0.29		0	0.00		98	4.79		0	0.00		0	0.00		14	0.68		1	0.05		2045	95.34		100	4.66		2145	2.62
Maroubra		49	3.11		28	1.77		3	0.19		1	0.06		17	1.08		2	0.13		77	4.88		13	0.82		6	0.38		574	36.38		3	0.19		1	0.06		8	0.51		0	0.00		2	0.13		2	0.13		668	42.33		7	0.44		4	0.25		109	6.91		0	0.00		0	0.00		3	0.19		1	0.06		1578	95.06		82	4.94		1660	2.03
Maroubra Bay		53	3.36		24	1.52		2	0.13		0	0.00		15	0.95		0	0.00		102	6.46		20	1.27		4	0.25		612	38.76		4	0.25		0	0.00		8	0.51		0	0.00		2	0.13		1	0.06		558	35.34		4	0.25		3	0.19		157	9.94		0	0.00		1	0.06		9	0.57		0	0.00		1579	96.10		64	3.90		1643	2.01
