Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Eden-Monaro (85815)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Brogo		12	6.00		1	0.50		0	0.00		0	0.00		0	0.00		3	1.50		16	8.00		3	1.50		1	0.50		47	23.50		0	0.00		0	0.00		2	1.00		0	0.00		0	0.00		0	0.00		75	37.50		0	0.00		0	0.00		34	17.00		0	0.00		0	0.00		2	1.00		4	2.00		200	98.52		3	1.48		203	0.25
Broulee		44	5.52		12	1.51		0	0.00		0	0.00		8	1.00		2	0.25		50	6.27		13	1.63		1	0.13		276	34.63		4	0.50		0	0.00		2	0.25		0	0.00		0	0.00		0	0.00		284	35.63		1	0.13		0	0.00		100	12.55		0	0.00		0	0.00		0	0.00		0	0.00		797	97.31		22	2.69		819	1.00
Bungendore		73	3.94		12	0.65		1	0.05		1	0.05		14	0.76		4	0.22		246	13.27		5	0.27		0	0.00		572	30.85		7	0.38		2	0.11		19	1.02		1	0.05		1	0.05		4	0.22		694	37.43		5	0.27		1	0.05		179	9.65		4	0.22		0	0.00		9	0.49		0	0.00		1854	98.51		28	1.49		1882	2.29
Candelo		32	5.96		7	1.30		0	0.00		0	0.00		9	1.68		6	1.12		34	6.33		4	0.74		0	0.00		148	27.56		3	0.56		0	0.00		1	0.19		0	0.00		1	0.19		2	0.37		214	39.85		4	0.74		1	0.19		68	12.66		0	0.00		2	0.37		0	0.00		1	0.19		537	96.41		20	3.59		557	0.68
Captains Flat		45	12.97		3	0.86		0	0.00		1	0.29		8	2.31		0	0.00		32	9.22		3	0.86		2	0.58		137	39.48		2	0.58		0	0.00		2	0.58		0	0.00		0	0.00		1	0.29		79	22.77		2	0.58		0	0.00		28	8.07		1	0.29		1	0.29		0	0.00		0	0.00		347	96.93		11	3.07		358	0.44
Central Tilba		9	3.09		2	0.69		0	0.00		0	0.00		1	0.34		3	1.03		22	7.56		1	0.34		1	0.34		94	32.30		1	0.34		0	0.00		1	0.34		0	0.00		0	0.00		0	0.00		95	32.65		2	0.69		1	0.34		57	19.59		0	0.00		0	0.00		0	0.00		1	0.34		291	96.68		10	3.32		301	0.37
Cobargo		53	8.08		11	1.68		0	0.00		0	0.00		5	0.76		6	0.91		34	5.18		7	1.07		2	0.30		180	27.44		4	0.61		0	0.00		7	1.07		0	0.00		1	0.15		2	0.30		266	40.55		4	0.61		0	0.00		67	10.21		1	0.15		0	0.00		6	0.91		0	0.00		656	97.33		18	2.67		674	0.82
Cooma		109	6.20		56	3.19		2	0.11		1	0.06		26	1.48		2	0.11		118	6.71		18	1.02		6	0.34		532	30.26		14	0.80		2	0.11		15	0.85		1	0.06		7	0.40		1	0.06		762	43.34		16	0.91		1	0.06		55	3.13		2	0.11		1	0.06		10	0.57		1	0.06		1758	97.61		43	2.39		1801	2.19
Cooma Hospital		15	4.85		2	0.65		0	0.00		0	0.00		2	0.65		0	0.00		7	2.27		4	1.29		2	0.65		128	41.42		1	0.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		135	43.69		2	0.65		0	0.00		9	2.91		0	0.00		1	0.32		1	0.32		0	0.00		309	98.41		5	1.59		314	0.38
Cooma North		96	7.58		51	4.03		0	0.00		0	0.00		15	1.18		2	0.16		98	7.74		13	1.03		1	0.08		380	30.02		11	0.87		0	0.00		9	0.71		0	0.00		1	0.08		4	0.32		506	39.97		11	0.87		0	0.00		60	4.74		0	0.00		1	0.08		4	0.32		3	0.24		1266	97.38		34	2.62		1300	1.58
Cooma South		52	8.47		6	0.98		1	0.16		0	0.00		5	0.81		0	0.00		23	3.75		4	0.65		0	0.00		195	31.76		5	0.81		1	0.16		8	1.30		0	0.00		0	0.00		0	0.00		284	46.25		5	0.81		0	0.00		23	3.75		0	0.00		0	0.00		2	0.33		0	0.00		614	95.79		27	4.21		641	0.78
Dalgety		18	11.04		2	1.23		0	0.00		0	0.00		1	0.61		0	0.00		2	1.23		5	3.07		0	0.00		36	22.09		1	0.61		0	0.00		1	0.61		0	0.00		0	0.00		1	0.61		88	53.99		1	0.61		0	0.00		7	4.29		0	0.00		0	0.00		0	0.00		0	0.00		163	92.61		13	7.39		176	0.21
Dalmeny		102	8.44		17	1.41		1	0.08		0	0.00		11	0.91		9	0.75		61	5.05		12	0.99		5	0.41		401	33.20		3	0.25		0	0.00		11	0.91		0	0.00		2	0.17		0	0.00		522	43.21		2	0.17		3	0.25		38	3.15		0	0.00		0	0.00		6	0.50		2	0.17		1208	97.26		34	2.74		1242	1.51
Delegate		27	10.31		2	0.76		0	0.00		0	0.00		4	1.53		0	0.00		5	1.91		4	1.53		0	0.00		74	28.24		0	0.00		0	0.00		3	1.15		0	0.00		0	0.00		1	0.38		134	51.15		4	1.53		0	0.00		3	1.15		0	0.00		0	0.00		1	0.38		0	0.00		262	94.24		16	5.76		278	0.34
Eden		128	6.53		33	1.68		1	0.05		0	0.00		30	1.53		2	0.10		62	3.16		18	0.92		1	0.05		532	27.14		22	1.12		1	0.05		12	0.61		0	0.00		1	0.05		2	0.10		1036	52.86		8	0.41		2	0.10		54	2.76		0	0.00		1	0.05		12	0.61		2	0.10		1960	96.36		74	3.64		2034	2.47
Jerangle		4	5.80		0	0.00		0	0.00		0	0.00		0	0.00		1	1.45		3	4.35		1	1.45		0	0.00		14	20.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		45	65.22		0	0.00		1	1.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		69	98.57		1	1.43		70	0.09
Jerrabomberra		49	1.75		25	0.89		0	0.00		0	0.00		35	1.25		1	0.04		285	10.16		12	0.43		3	0.11		816	29.10		8	0.29		0	0.00		13	0.46		2	0.07		3	0.11		3	0.11		1420	50.64		8	0.29		2	0.07		107	3.82		1	0.04		0	0.00		11	0.39		0	0.00		2804	97.39		75	2.61		2879	3.50
Jindabyne		65	5.45		15	1.26		0	0.00		0	0.00		4	0.34		1	0.08		100	8.38		15	1.26		1	0.08		287	24.06		6	0.50		0	0.00		6	0.50		0	0.00		0	0.00		2	0.17		607	50.88		5	0.42		1	0.08		69	5.78		0	0.00		0	0.00		7	0.59		2	0.17		1193	97.79		27	2.21		1220	1.48
Letchworth		13	4.71		6	2.17		0	0.00		0	0.00		12	4.35		0	0.00		17	6.16		1	0.36		0	0.00		131	47.46		1	0.36		0	0.00		2	0.72		0	0.00		0	0.00		0	0.00		85	30.80		2	0.72		0	0.00		6	2.17		0	0.00		0	0.00		0	0.00		0	0.00		276	97.53		7	2.47		283	0.34
Long Beach		27	8.08		10	2.99		0	0.00		0	0.00		3	0.90		0	0.00		9	2.69		6	1.80		0	0.00		107	32.04		4	1.20		0	0.00		5	1.50		0	0.00		0	0.00		1	0.30		141	42.22		2	0.60		1	0.30		18	5.39		0	0.00		0	0.00		0	0.00		0	0.00		334	96.81		11	3.19		345	0.42
Majors Creek		5	4.50		3	2.70		1	0.90		0	0.00		3	2.70		0	0.00		6	5.41		1	0.90		0	0.00		41	36.94		1	0.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		34	30.63		1	0.90		0	0.00		14	12.61		1	0.90		0	0.00		0	0.00		0	0.00		111	95.69		5	4.31		116	0.14
Malua Bay		48	5.19		7	0.76		0	0.00		0	0.00		10	1.08		0	0.00		52	5.63		8	0.87		3	0.32		247	26.73		0	0.00		1	0.11		4	0.43		0	0.00		1	0.11		0	0.00		465	50.32		6	0.65		1	0.11		66	7.14		0	0.00		1	0.11		3	0.32		1	0.11		924	97.78		21	2.22		945	1.15
Merimbula		68	3.27		12	0.58		0	0.00		1	0.05		14	0.67		7	0.34		90	4.32		15	0.72		3	0.14		547	26.29		12	0.58		1	0.05		22	1.06		0	0.00		1	0.05		1	0.05		1151	55.31		13	0.62		1	0.05		116	5.57		0	0.00		0	0.00		6	0.29		0	0.00		2081	97.43		55	2.57		2136	2.60
Michelago		17	7.49		1	0.44		0	0.00		0	0.00		2	0.88		1	0.44		21	9.25		0	0.00		1	0.44		49	21.59		2	0.88		0	0.00		2	0.88		0	0.00		0	0.00		0	0.00		107	47.14		0	0.00		0	0.00		22	9.69		0	0.00		0	0.00		2	0.88		0	0.00		227	97.01		7	2.99		234	0.28
Mogo		36	9.38		5	1.30		0	0.00		0	0.00		6	1.56		1	0.26		27	7.03		1	0.26		2	0.52		129	33.59		0	0.00		0	0.00		6	1.56		0	0.00		1	0.26		0	0.00		126	32.81		2	0.52		0	0.00		42	10.94		0	0.00		0	0.00		0	0.00		0	0.00		384	96.24		15	3.76		399	0.49
