Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Fowler (82745)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Heckenberg		119	6.93		22	1.28		19	1.11		0	0.00		54	3.15		0	0.00		35	2.04		12	0.70		8	0.47		1018	59.32		6	0.35		1	0.06		10	0.58		1	0.06		2	0.12		0	0.00		335	19.52		20	1.17		1	0.06		31	1.81		0	0.00		0	0.00		21	1.22		1	0.06		1716	93.62		117	6.38		1833	2.36
James Busby (Fowler)		132	7.13		19	1.03		10	0.54		2	0.11		61	3.30		3	0.16		44	2.38		10	0.54		5	0.27		1064	57.48		9	0.49		1	0.05		10	0.54		0	0.00		2	0.11		1	0.05		410	22.15		27	1.46		1	0.05		34	1.84		2	0.11		1	0.05		3	0.16		0	0.00		1851	94.25		113	5.75		1964	2.53
Lansvale		90	4.79		11	0.59		95	5.06		0	0.00		83	4.42		2	0.11		50	2.66		10	0.53		6	0.32		1135	60.40		9	0.48		4	0.21		6	0.32		1	0.05		4	0.21		3	0.16		318	16.92		17	0.90		2	0.11		21	1.12		1	0.05		3	0.16		8	0.43		0	0.00		1879	94.42		111	5.58		1990	2.56
Lansvale East		98	7.64		20	1.56		19	1.48		0	0.00		34	2.65		1	0.08		28	2.18		7	0.55		2	0.16		601	46.88		5	0.39		2	0.16		6	0.47		0	0.00		0	0.00		0	0.00		413	32.22		18	1.40		0	0.00		17	1.33		1	0.08		0	0.00		10	0.78		0	0.00		1282	95.53		60	4.47		1342	1.73
Liverpool		103	3.97		30	1.16		20	0.77		8	0.31		138	5.32		1	0.04		93	3.58		13	0.50		1	0.04		1573	60.59		10	0.39		4	0.15		7	0.27		1	0.04		0	0.00		4	0.15		466	17.95		36	1.39		3	0.12		66	2.54		4	0.15		1	0.04		14	0.54		0	0.00		2596	92.88		199	7.12		2795	3.60
Liverpool North		26	5.03		6	1.16		9	1.74		0	0.00		31	6.00		0	0.00		14	2.71		4	0.77		2	0.39		295	57.06		2	0.39		0	0.00		1	0.19		0	0.00		1	0.19		1	0.19		101	19.54		11	2.13		1	0.19		11	2.13		0	0.00		0	0.00		1	0.19		0	0.00		517	93.66		35	6.34		552	0.71
Liverpool South		34	4.29		14	1.77		11	1.39		1	0.13		37	4.67		0	0.00		30	3.78		2	0.25		0	0.00		484	61.03		2	0.25		0	0.00		5	0.63		0	0.00		1	0.13		2	0.25		142	17.91		9	1.13		2	0.25		12	1.51		0	0.00		0	0.00		5	0.63		0	0.00		793	93.29		57	6.71		850	1.09
Liverpool West (Fowler)		161	6.18		40	1.54		12	0.46		3	0.12		90	3.45		2	0.08		93	3.57		18	0.69		10	0.38		1245	47.79		7	0.27		5	0.19		5	0.19		3	0.12		0	0.00		3	0.12		800	30.71		35	1.34		5	0.19		45	1.73		2	0.08		2	0.08		18	0.69		1	0.04		2605	90.39		277	9.61		2882	3.71
Marsden Road		129	6.39		30	1.49		27	1.34		3	0.15		43	2.13		1	0.05		56	2.78		16	0.79		4	0.20		1019	50.50		15	0.74		0	0.00		6	0.30		4	0.20		2	0.10		1	0.05		597	29.58		19	0.94		2	0.10		32	1.59		0	0.00		3	0.15		9	0.45		0	0.00		2018	93.43		142	6.57		2160	2.78
Miller (Fowler)		11	5.37		2	0.98		1	0.49		0	0.00		13	6.34		0	0.00		3	1.46		3	1.46		1	0.49		127	61.95		1	0.49		0	0.00		1	0.49		0	0.00		0	0.00		0	0.00		30	14.63		5	2.44		0	0.00		3	1.46		0	0.00		0	0.00		4	1.95		0	0.00		205	95.79		9	4.21		214	0.28
