Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Hume (85640)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Buxton		102	12.10		10	1.19		2	0.24		0	0.00		14	1.66		0	0.00		55	6.52		10	1.19		6	0.71		269	31.91		9	1.07		1	0.12		8	0.95		0	0.00		0	0.00		1	0.12		300	35.59		9	1.07		0	0.00		37	4.39		0	0.00		1	0.12		8	0.95		1	0.12		843	96.67		29	3.33		872	1.06
Canyonleigh		10	8.47		4	3.39		0	0.00		0	0.00		0	0.00		2	1.69		8	6.78		1	0.85		0	0.00		17	14.41		1	0.85		0	0.00		2	1.69		0	0.00		0	0.00		0	0.00		59	50.00		0	0.00		0	0.00		12	10.17		0	0.00		1	0.85		0	0.00		1	0.85		118	98.33		2	1.67		120	0.15
Cawdor (Hume)		24	6.54		3	0.82		0	0.00		0	0.00		3	0.82		1	0.27		18	4.90		0	0.00		1	0.27		41	11.17		1	0.27		0	0.00		1	0.27		0	0.00		0	0.00		1	0.27		256	69.75		2	0.54		0	0.00		13	3.54		0	0.00		1	0.27		0	0.00		1	0.27		367	96.07		15	3.93		382	0.46
Cobbitty (Hume)		22	6.51		9	2.66		0	0.00		0	0.00		1	0.30		0	0.00		13	3.85		1	0.30		0	0.00		60	17.75		1	0.30		0	0.00		2	0.59		0	0.00		0	0.00		0	0.00		213	63.02		2	0.59		2	0.59		11	3.25		0	0.00		0	0.00		0	0.00		1	0.30		338	96.85		11	3.15		349	0.42
Collector		10	6.37		5	3.18		0	0.00		0	0.00		0	0.00		0	0.00		13	8.28		1	0.64		1	0.64		29	18.47		1	0.64		0	0.00		1	0.64		0	0.00		0	0.00		1	0.64		81	51.59		1	0.64		0	0.00		12	7.64		0	0.00		0	0.00		1	0.64		0	0.00		157	95.73		7	4.27		164	0.20
Colo Vale		70	9.07		18	2.33		1	0.13		0	0.00		11	1.42		0	0.00		53	6.87		5	0.65		4	0.52		217	28.11		0	0.00		0	0.00		5	0.65		0	0.00		2	0.26		1	0.13		336	43.52		4	0.52		0	0.00		41	5.31		0	0.00		0	0.00		4	0.52		0	0.00		772	96.98		24	3.02		796	0.97
Crookwell		178	11.10		23	1.43		1	0.06		0	0.00		24	1.50		0	0.00		73	4.55		7	0.44		3	0.19		468	29.20		17	1.06		1	0.06		15	0.94		0	0.00		1	0.06		2	0.12		745	46.48		15	0.94		0	0.00		20	1.25		1	0.06		0	0.00		9	0.56		0	0.00		1603	95.87		69	4.13		1672	2.03
Dalton		23	10.70		4	1.86		1	0.47		0	0.00		2	0.93		0	0.00		13	6.05		1	0.47		0	0.00		47	21.86		2	0.93		0	0.00		3	1.40		0	0.00		0	0.00		1	0.47		106	49.30		1	0.47		0	0.00		8	3.72		0	0.00		0	0.00		2	0.93		1	0.47		215	95.56		10	4.44		225	0.27
Douglas Park		82	11.16		24	3.27		0	0.00		0	0.00		12	1.63		1	0.14		35	4.76		1	0.14		1	0.14		181	24.63		2	0.27		0	0.00		4	0.54		0	0.00		5	0.68		0	0.00		343	46.67		4	0.54		2	0.27		29	3.95		0	0.00		0	0.00		8	1.09		1	0.14		735	96.46		27	3.54		762	0.93
Frogmore		11	10.38		0	0.00		0	0.00		0	0.00		4	3.77		0	0.00		2	1.89		0	0.00		0	0.00		16	15.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		71	66.98		1	0.94		0	0.00		0	0.00		0	0.00		0	0.00		1	0.94		0	0.00		106	100.00		0	0.00		106	0.13
Galong		8	6.40		1	0.80		0	0.00		0	0.00		1	0.80		0	0.00		1	0.80		1	0.80		0	0.00		34	27.20		2	1.60		0	0.00		0	0.00		0	0.00		0	0.00		1	0.80		73	58.40		0	0.00		0	0.00		1	0.80		0	0.00		0	0.00		2	1.60		0	0.00		125	93.98		8	6.02		133	0.16
Glenquarry		3	2.40		4	3.20		0	0.00		0	0.00		1	0.80		0	0.00		11	8.80		0	0.00		0	0.00		24	19.20		2	1.60		0	0.00		1	0.80		0	0.00		0	0.00		0	0.00		77	61.60		0	0.00		0	0.00		2	1.60		0	0.00		0	0.00		0	0.00		0	0.00		125	100.00		0	0.00		125	0.15
Goulburn		131	7.63		22	1.28		4	0.23		1	0.06		42	2.45		4	0.23		114	6.64		20	1.17		7	0.41		596	34.73		6	0.35		1	0.06		13	0.76		0	0.00		0	0.00		3	0.17		631	36.77		12	0.70		1	0.06		95	5.54		0	0.00		2	0.12		9	0.52		2	0.12		1716	95.97		72	4.03		1788	2.17
Goulburn East		79	11.19		4	0.57		0	0.00		0	0.00		14	1.98		0	0.00		43	6.09		11	1.56		1	0.14		262	37.11		6	0.85		0	0.00		4	0.57		0	0.00		2	0.28		2	0.28		259	36.69		0	0.00		3	0.42		11	1.56		0	0.00		0	0.00		5	0.71		0	0.00		706	97.38		19	2.62		725	0.88
Goulburn High		219	9.10		31	1.29		2	0.08		0	0.00		33	1.37		2	0.08		175	7.27		18	0.75		2	0.08		755	31.37		21	0.87		2	0.08		19	0.79		1	0.04		2	0.08		3	0.12		1013	42.09		17	0.71		2	0.08		74	3.07		0	0.00		1	0.04		15	0.62		0	0.00		2407	97.33		66	2.67		2473	3.01
