House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hume (85640)											
		Candidate		"SCHULTZ, Alby"		              	"MERRIMAN, Jan"		              	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
		"WATCHIRS, Kevin (GRN)"	18	4	22.22		14	77.78		18	
		"ROXBURGH, James (DEM)"	30	12	40.00		18	60.00		30	
		"PRELL, Charlie (HAN)"	81	49	60.49		32	39.51		81	
		Total	129	711	64.64		389	35.36		1100	

	Special Hospitals										
			1st Prefs	393	65.50		207	34.50		600	
		"WATCHIRS, Kevin (GRN)"	5	3	60.00		2	40.00		5	
		"ROXBURGH, James (DEM)"	9	3	33.33		6	66.67		9	
		"PRELL, Charlie (HAN)"	17	8	47.06		9	52.94		17	
		Total	31	407	64.50		224	35.50		631	

	Total Ordinary										
			1st Prefs	34574	63.42		19941	36.58		54515	
		"WATCHIRS, Kevin (GRN)"	2727	828	30.36		1899	69.64		2727	
		"ROXBURGH, James (DEM)"	3011	1125	37.36		1886	62.64		3011	
		"PRELL, Charlie (HAN)"	5565	2353	42.28		3212	57.72		5565	
		Total	11303	38880	59.07		26938	40.93		65818	

	ABSENT										
			1st Prefs	2949	68.11		1381	31.89		4330	
		"WATCHIRS, Kevin (GRN)"	426	148	34.74		278	65.26		426	
		"ROXBURGH, James (DEM)"	355	132	37.18		223	62.82		355	
		"PRELL, Charlie (HAN)"	393	229	58.27		164	41.73		393	
		Total	1174	3458	62.83		2046	37.17		5504	

	POSTAL										
			1st Prefs	1911	72.66		719	27.34		2630	
		"WATCHIRS, Kevin (GRN)"	74	29	39.19		45	60.81		74	
		"ROXBURGH, James (DEM)"	106	44	41.51		62	58.49		106	
		"PRELL, Charlie (HAN)"	228	116	50.88		112	49.12		228	
		Total	408	2100	69.12		938	30.88		3038	

	PRE_POLL										
			1st Prefs	2286	65.69		1194	34.31		3480	
		"WATCHIRS, Kevin (GRN)"	189	68	35.98		121	64.02		189	
		"ROXBURGH, James (DEM)"	266	108	40.60		158	59.40		266	
		"PRELL, Charlie (HAN)"	372	161	43.28		211	56.72		372	
		Total	827	2623	60.90		1684	39.10		4307	

	PROVISIONAL										
			1st Prefs	179	53.75		154	46.25		333	
		"WATCHIRS, Kevin (GRN)"	19	8	42.11		11	57.89		19	
		"ROXBURGH, James (DEM)"	24	11	45.83		13	54.17		24	
		"PRELL, Charlie (HAN)"	31	19	61.29		12	38.71		31	
		Total	74	217	53.32		190	46.68		407	

	Division Summary										
			1st Prefs	41899	64.18		23389	35.82		65288	
		"WATCHIRS, Kevin (GRN)"	3435	1081	31.47		2354	68.53		3435	
		"ROXBURGH, James (DEM)"	3762	1420	37.75		2342	62.25		3762	
		"PRELL, Charlie (HAN)"	6589	2878	43.68		3711	56.32		6589	
		Total	13786	47278	59.79		31796	40.21		79074	
