House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hume (85640)											
		Candidate		"SCHULTZ, Alby"		              	"MERRIMAN, Jan"		              	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
		Total	52	240	72.95		89	27.05		329	

	Collector										
			1st Prefs	84	71.79		33	28.21		117	
		"WATCHIRS, Kevin (GRN)"	9	5	55.56		4	44.44		9	
		"ROXBURGH, James (DEM)"	17	7	41.18		10	58.82		17	
		"PRELL, Charlie (HAN)"	18	12	66.67		6	33.33		18	
		Total	44	108	67.08		53	32.92		161	

	Colo Vale										
			1st Prefs	366	59.13		253	40.87		619	
		"WATCHIRS, Kevin (GRN)"	49	13	26.53		36	73.47		49	
		"ROXBURGH, James (DEM)"	42	16	38.10		26	61.90		42	
		"PRELL, Charlie (HAN)"	54	23	42.59		31	57.41		54	
		Total	145	418	54.71		346	45.29		764	

	Crookwell										
			1st Prefs	846	63.42		488	36.58		1334	
		"WATCHIRS, Kevin (GRN)"	24	6	25.00		18	75.00		24	
		"ROXBURGH, James (DEM)"	59	26	44.07		33	55.93		59	
		"PRELL, Charlie (HAN)"	224	93	41.52		131	58.48		224	
		Total	307	971	59.17		670	40.83		1641	

	Dalton										
			1st Prefs	131	72.38		50	27.62		181	
		"WATCHIRS, Kevin (GRN)"	14	3	21.43		11	78.57		14	
		"ROXBURGH, James (DEM)"	4	1	25.00		3	75.00		4	
		"PRELL, Charlie (HAN)"	19	8	42.11		11	57.89		19	
		Total	37	143	65.60		75	34.40		218	

	Douglas Park										
			1st Prefs	369	63.29		214	36.71		583	
		"WATCHIRS, Kevin (GRN)"	32	11	34.38		21	65.63		32	
		"ROXBURGH, James (DEM)"	30	13	43.33		17	56.67		30	
		"PRELL, Charlie (HAN)"	90	29	32.22		61	67.78		90	
		Total	152	422	57.41		313	42.59		735	

	Frogmore										
			1st Prefs	73	81.11		17	18.89		90	
		"WATCHIRS, Kevin (GRN)"	1	1	100.00		0	0.00		1	
		"ROXBURGH, James (DEM)"	3	1	33.33		2	66.67		3	
		"PRELL, Charlie (HAN)"	10	2	20.00		8	80.00		10	
		Total	14	77	74.04		27	25.96		104	

	Galong										
			1st Prefs	93	76.86		28	23.14		121	
		"WATCHIRS, Kevin (GRN)"	3	0	0.00		3	100.00		3	
		"ROXBURGH, James (DEM)"	0	0	0.00		0	0.00		0	
		"PRELL, Charlie (HAN)"	4	3	75.00		1	25.00		4	
		Total	7	96	75.00		32	25.00		128	

	Glenquarry										
			1st Prefs	83	72.81		31	27.19		114	
		"WATCHIRS, Kevin (GRN)"	1	1	100.00		0	0.00		1	
		"ROXBURGH, James (DEM)"	5	1	20.00		4	80.00		5	
		"PRELL, Charlie (HAN)"	3	2	66.67		1	33.33		3	
		Total	9	87	70.73		36	29.27		123	

	Goulburn										
			1st Prefs	722	52.51		653	47.49		1375	
		"WATCHIRS, Kevin (GRN)"	109	29	26.61		80	73.39		109	
		"ROXBURGH, James (DEM)"	102	34	33.33		68	66.67		102	
		"PRELL, Charlie (HAN)"	147	62	42.18		85	57.82		147	
		Total	358	847	48.87		886	51.13		1733	

	Goulburn East										
			1st Prefs	300	53.29		263	46.71		563	
		"WATCHIRS, Kevin (GRN)"	20	11	55.00		9	45.00		20	
		"ROXBURGH, James (DEM)"	30	10	33.33		20	66.67		30	
		"PRELL, Charlie (HAN)"	93	41	44.09		52	55.91		93	
		Total	143	362	51.27		344	48.73		706	

	Goulburn High										
			1st Prefs	1129	58.56		799	41.44		1928	
		"WATCHIRS, Kevin (GRN)"	70	24	34.29		46	65.71		70	
		"ROXBURGH, James (DEM)"	166	58	34.94		108	65.06		166	
		"PRELL, Charlie (HAN)"	236	94	39.83		142	60.17		236	
		Total	472	1305	54.38		1095	45.63		2400	

	Goulburn North										
			1st Prefs	629	51.47		593	48.53		1222	
		"WATCHIRS, Kevin (GRN)"	55	12	21.82		43	78.18		55	
		"ROXBURGH, James (DEM)"	69	24	34.78		45	65.22		69	
		"PRELL, Charlie (HAN)"	186	62	33.33		124	66.67		186	
		Total	310	727	47.45		805	52.55		1532	

	Goulburn South										
			1st Prefs	1016	51.16		970	48.84		1986	
		"WATCHIRS, Kevin (GRN)"	66	27	40.91		39	59.09		66	
		"ROXBURGH, James (DEM)"	102	35	34.31		67	65.69		102	
		"PRELL, Charlie (HAN)"	298	125	41.95		173	58.05		298	
		Total	466	1203	49.06		1249	50.94		2452	

	Goulburn West										
			1st Prefs	851	58.61		601	41.39		1452	
		"WATCHIRS, Kevin (GRN)"	42	11	26.19		31	73.81		42	
		"ROXBURGH, James (DEM)"	85	35	41.18		50	58.82		85	
		"PRELL, Charlie (HAN)"	168	75	44.64		93	55.36		168	
		Total	295	972	55.64		775	44.36		1747	

	Grabben Gullen										
			1st Prefs	140	86.96		21	13.04		161	
		"WATCHIRS, Kevin (GRN)"	0	0	0.00		0	0.00		0	
		"ROXBURGH, James (DEM)"	3	2	66.67		1	33.33		3	
		"PRELL, Charlie (HAN)"	30	15	50.00		15	50.00		30	
		Total	33	157	80.93		37	19.07		194	

	Gundaroo										
			1st Prefs	179	50.71		174	49.29		353	
		"WATCHIRS, Kevin (GRN)"	40	5	12.50		35	87.50		40	
		"ROXBURGH, James (DEM)"	38	18	47.37		20	52.63		38	
		"PRELL, Charlie (HAN)"	16	11	68.75		5	31.25		16	
		Total	94	213	47.65		234	52.35		447	

	Gunning										
			1st Prefs	326	70.56		136	29.44		462	
		"WATCHIRS, Kevin (GRN)"	14	6	42.86		8	57.14		14	
		"ROXBURGH, James (DEM)"	22	6	27.27		16	72.73		22	
		"PRELL, Charlie (HAN)"	47	24	51.06		23	48.94		47	
		Total	83	362	66.42		183	33.58		545	

	Harden										
			1st Prefs	515	59.61		349	40.39		864	
		"WATCHIRS, Kevin (GRN)"	9	4	44.44		5	55.56		9	
		"ROXBURGH, James (DEM)"	10	3	30.00		7	70.00		10	
		"PRELL, Charlie (HAN)"	54	18	33.33		36	66.67		54	
		Total	73	540	57.63		397	42.37		937	

	Hill Top										
			1st Prefs	411	51.89		381	48.11		792	
		"WATCHIRS, Kevin (GRN)"	72	25	34.72		47	65.28		72	
		"ROXBURGH, James (DEM)"	57	19	33.33		38	66.67		57	
		"PRELL, Charlie (HAN)"	117	30	25.64		87	74.36		117	
		Total	246	485	46.72		553	53.28		1038	

	Jugiong										
			1st Prefs	114	67.06		56	32.94		170	
		"WATCHIRS, Kevin (GRN)"	2	0	0.00		2	100.00		2	
		"ROXBURGH, James (DEM)"	3	2	66.67		1	33.33		3	
		"PRELL, Charlie (HAN)"	11	7	63.64		4	36.36		11	
		Total	16	123	66.13		63	33.87		186	

	Kangaloon										
			1st Prefs	82	77.36		24	22.64		106	
		"WATCHIRS, Kevin (GRN)"	8	2	25.00		6	75.00		8	
		"ROXBURGH, James (DEM)"	11	4	36.36		7	63.64		11	
		"PRELL, Charlie (HAN)"	6	4	66.67		2	33.33		6	
		Total	25	92	70.23		39	29.77		131	

	Koorawatha										
			1st Prefs	87	62.59		52	37.41		139	
		"WATCHIRS, Kevin (GRN)"	3	2	66.67		1	33.33		3	
		"ROXBURGH, James (DEM)"	4	2	50.00		2	50.00		4	
		"PRELL, Charlie (HAN)"	30	6	20.00		24	80.00		30	
		Total	37	97	55.11		79	44.89		176	

	Laggan										
			1st Prefs	188	84.30		35	15.70		223	
		"WATCHIRS, Kevin (GRN)"	8	0	0.00		8	100.00		8	
		"ROXBURGH, James (DEM)"	6	0	0.00		6	100.00		6	
		"PRELL, Charlie (HAN)"	23	13	56.52		10	43.48		23	
		Total	37	201	77.31		59	22.69		260	

	Maimuru										
			1st Prefs	69	82.14		15	17.86		84	
		"WATCHIRS, Kevin (GRN)"	0	0	0.00		0	0.00		0	
		"ROXBURGH, James (DEM)"	2	0	0.00		2	100.00		2	
		"PRELL, Charlie (HAN)"	3	3	100.00		0	0.00		3	
		Total	5	72	80.90		17	19.10		89	

	Marulan										
			1st Prefs	269	58.48		191	41.52		460	
		"WATCHIRS, Kevin (GRN)"	11	5	45.45		6	54.55		11	
		"ROXBURGH, James (DEM)"	17	6	35.29		11	64.71		17	
		"PRELL, Charlie (HAN)"	62	27	43.55		35	56.45		62	
		Total	90	307	55.82		243	44.18		550	

	Menangle (Hume)										
			1st Prefs	196	76.26		61	23.74		257	
		"WATCHIRS, Kevin (GRN)"	18	7	38.89		11	61.11		18	
		"ROXBURGH, James (DEM)"	18	6	33.33		12	66.67		18	
		"PRELL, Charlie (HAN)"	28	17	60.71		11	39.29		28	
		Total	64	226	70.40		95	29.60		321	

	Milvale										
			1st Prefs	60	93.75		4	6.25		64	
		"WATCHIRS, Kevin (GRN)"	1	0	0.00		1	100.00		1	
		"ROXBURGH, James (DEM)"	1	1	100.00		0	0.00		1	
		"PRELL, Charlie (HAN)"	2	2	100.00		0	0.00		2	
		Total	4	63	92.65		5	7.35		68	

	Mittagong										
			1st Prefs	1245	62.09		760	37.91		2005	
		"WATCHIRS, Kevin (GRN)"	182	39	21.43		143	78.57		182	
