Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Banks (83122)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Padstow South		173	6.39		81	2.99		11	0.41		0	0.00		28	1.03		2	0.07		153	5.65		24	0.89		8	0.30		940	34.74		9	0.33		0	0.00		14	0.52		2	0.07		5	0.18		5	0.18		1127	41.65		14	0.52		1	0.04		73	2.70		0	0.00		2	0.07		33	1.22		1	0.04		2706	95.69		122	4.31		2828	3.56
Panania		126	7.10		58	3.27		7	0.39		0	0.00		28	1.58		1	0.06		72	4.06		14	0.79		1	0.06		746	42.03		10	0.56		0	0.00		4	0.23		2	0.11		4	0.23		2	0.11		622	35.04		9	0.51		4	0.23		44	2.48		0	0.00		2	0.11		17	0.96		2	0.11		1775	96.21		70	3.79		1845	2.32
Panania Central		120	8.44		41	2.88		4	0.28		2	0.14		16	1.13		0	0.00		52	3.66		9	0.63		6	0.42		584	41.07		8	0.56		3	0.21		4	0.28		0	0.00		2	0.14		3	0.21		504	35.44		4	0.28		3	0.21		30	2.11		0	0.00		1	0.07		25	1.76		1	0.07		1422	95.50		67	4.50		1489	1.87
Panania North		155	7.97		47	2.42		4	0.21		1	0.05		38	1.95		2	0.10		56	2.88		10	0.51		5	0.26		835	42.95		7	0.36		3	0.15		13	0.67		1	0.05		2	0.10		1	0.05		694	35.70		11	0.57		1	0.05		38	1.95		0	0.00		2	0.10		18	0.93		0	0.00		1944	96.38		73	3.62		2017	2.54
Panania South		239	8.57		85	3.05		1	0.04		0	0.00		45	1.61		2	0.07		122	4.37		25	0.90		4	0.14		927	33.23		12	0.43		1	0.04		11	0.39		1	0.04		3	0.11		1	0.04		1189	42.62		10	0.36		1	0.04		76	2.72		0	0.00		0	0.00		32	1.15		3	0.11		2790	96.01		116	3.99		2906	3.66
Peakhurst		49	9.18		17	3.18		1	0.19		0	0.00		18	3.37		0	0.00		17	3.18		4	0.75		2	0.37		221	41.39		5	0.94		1	0.19		3	0.56		1	0.19		0	0.00		0	0.00		169	31.65		3	0.56		2	0.37		15	2.81		1	0.19		1	0.19		4	0.75		0	0.00		534	96.39		20	3.61		554	0.70
Peakhurst East		109	6.40		52	3.05		33	1.94		0	0.00		39	2.29		2	0.12		88	5.17		9	0.53		4	0.23		660	38.76		10	0.59		0	0.00		14	0.82		1	0.06		2	0.12		0	0.00		619	36.35		10	0.59		0	0.00		35	2.06		0	0.00		2	0.12		13	0.76		1	0.06		1703	95.62		78	4.38		1781	2.24
Peakhurst South		119	6.72		34	1.92		1	0.06		0	0.00		14	0.79		2	0.11		117	6.61		11	0.62		0	0.00		463	26.14		6	0.34		0	0.00		10	0.56		0	0.00		4	0.23		1	0.06		918	51.84		3	0.17		2	0.11		48	2.71		0	0.00		0	0.00		18	1.02		0	0.00		1771	96.35		67	3.65		1838	2.31
Peakhurst West		168	6.39		42	1.60		1	0.04		0	0.00		25	0.95		0	0.00		153	5.82		19	0.72		7	0.27		887	33.74		10	0.38		1	0.04		16	0.61		1	0.04		3	0.11		3	0.11		1187	45.15		14	0.53		3	0.11		58	2.21		1	0.04		0	0.00		28	1.07		2	0.08		2629	95.91		112	4.09		2741	3.45
Penshurst		69	4.20		39	2.38		26	1.58		0	0.00		32	1.95		0	0.00		78	4.75		9	0.55		6	0.37		754	45.95		3	0.18		2	0.12		6	0.37		0	0.00		0	0.00		0	0.00		559	34.06		14	0.85		1	0.06		31	1.89		0	0.00		0	0.00		11	0.67		1	0.06		1641	94.80		90	5.20		1731	2.18
Penshurst Central		71	3.54		72	3.59		27	1.35		0	0.00		46	2.30		0	0.00		122	6.09		24	1.20		6	0.30		894	44.61		4	0.20		1	0.05		10	0.50		0	0.00		4	0.20		1	0.05		633	31.59		13	0.65		3	0.15		59	2.94		1	0.05		0	0.00		13	0.65		0	0.00		2004	94.26		122	5.74		2126	2.68
Picnic Point North		172	8.12		65	3.07		5	0.24		1	0.05		23	1.09		2	0.09		110	5.19		12	0.57		3	0.14		636	30.01		15	0.71		0	0.00		11	0.52		0	0.00		1	0.05		4	0.19		970	45.78		5	0.24		4	0.19		54	2.55		0	0.00		2	0.09		24	1.13		0	0.00		2119	97.65		51	2.35		2170	2.73
Punchbowl (Banks)		66	3.27		29	1.44		46	2.28		1	0.05		58	2.87		2	0.10		60	2.97		9	0.45		3	0.15		1237	61.30		5	0.25		1	0.05		10	0.50		2	0.10		0	0.00		4	0.20		421	20.86		12	0.59		3	0.15		37	1.83		0	0.00		3	0.15		9	0.45		0	0.00		2018	91.31		192	8.69		2210	2.78
Revesby		110	6.78		32	1.97		23	1.42		2	0.12		33	2.03		2	0.12		49	3.02		10	0.62		9	0.55		848	52.25		4	0.25		2	0.12		13	0.80		0	0.00		2	0.12		1	0.06		420	25.88		13	0.80		2	0.12		31	1.91		0	0.00		2	0.12		15	0.92		0	0.00		1623	94.25		99	5.75		1722	2.17
Revesby North		215	7.31		56	1.90		18	0.61		2	0.07		60	2.04		1	0.03		112	3.81		21	0.71		10	0.34		1317	44.78		15	0.51		1	0.03		17	0.58		1	0.03		5	0.17		4	0.14		956	32.51		16	0.54		2	0.07		65	2.21		0	0.00		0	0.00		47	1.60		0	0.00		2941	95.05		153	4.95		3094	3.90
Revesby South		228	8.95		61	2.39		13	0.51		0	0.00		44	1.73		0	0.00		115	4.51		21	0.82		6	0.24		933	36.62		14	0.55		2	0.08		16	0.63		0	0.00		3	0.12		4	0.16		981	38.50		9	0.35		1	0.04		73	2.86		0	0.00		0	0.00		24	0.94		0	0.00		2548	95.72		114	4.28		2662	3.35
Riverwood North		104	7.12		22	1.51		26	1.78		0	0.00		42	2.88		0	0.00		20	1.37		7	0.48		4	0.27		914	62.60		2	0.14		3	0.21		3	0.21		0	0.00		0	0.00		0	0.00		281	19.25		7	0.48		0	0.00		17	1.16		2	0.14		1	0.07		4	0.27		1	0.07		1460	92.88		112	7.12		1572	1.98
Riverwood South		87	5.79		37	2.46		15	1.00		0	0.00		13	0.86		3	0.20		63	4.19		10	0.67		5	0.33		718	47.77		2	0.13		0	0.00		0	0.00		0	0.00		4	0.27		1	0.07		499	33.20		1	0.07		1	0.07		33	2.20		0	0.00		0	0.00		11	0.73		0	0.00		1503	95.31		74	4.69		1577	1.99
Sydney (Banks)		2	1.57		3	2.36		3	2.36		0	0.00		1	0.79		0	0.00		14	11.02		0	0.00		0	0.00		56	44.09		5	3.94		0	0.00		1	0.79		0	0.00		0	0.00		0	0.00		31	24.41		1	0.79		0	0.00		9	7.09		0	0.00		0	0.00		1	0.79		0	0.00		127	96.21		5	3.79		132	0.17
Special Hospitals		3	2.19		2	1.46		0	0.00		0	0.00		0	0.00		0	0.00		2	1.46		0	0.00		0	0.00		59	43.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.73		70	51.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		137	99.28		1	0.72		138	0.17
Total Ordinary		4089	6.34		1636	2.54		535	0.83		22	0.03		1038	1.61		95	0.15		3061	4.75		444	0.69		141	0.22		25791	39.99		250	0.39		32	0.05		293	0.45		15	0.02		74	0.11		71	0.11		24375	37.80		269	0.42		59	0.09		1550	2.40		9	0.01		34	0.05		588	0.91		18	0.03		64489	95.57		2990	4.43		67479	84.96
ABSENT		285	5.33		130	2.43		39	0.73		4	0.07		154	2.88		3	0.06		322	6.02		61	1.14		13	0.24		1947	36.43		27	0.51		1	0.02		55	1.03		2	0.04		8	0.15		6	0.11		1930	36.11		49	0.92		7	0.13		224	4.19		1	0.02		4	0.07		70	1.31		3	0.06		5345	97.18		155	2.82		5500	6.92
POSTAL		204	7.54		61	2.25		18	0.67		0	0.00		54	2.00		0	0.00		88	3.25		5	0.18		4	0.15		1035	38.25		12	0.44		0	0.00		5	0.18		0	0.00		0	0.00		0	0.00		1146	42.35		7	0.26		3	0.11		27	1.00		1	0.04		2	0.07		33	1.22		1	0.04		2706	98.44		43	1.56		2749	3.46
PRE_POLL		212	6.90		97	3.16		34	1.11		1	0.03		77	2.50		3	0.10		173	5.63		34	1.11		3	0.10		1088	35.39		18	0.59		1	0.03		15	0.49		0	0.00		1	0.03		3	0.10		1165	37.90		23	0.75		11	0.36		78	2.54		1	0.03		0	0.00		36	1.17		0	0.00		3074	98.78		38	1.22		3112	3.92
PROVISIONAL		28	5.00		12	2.14		2	0.36		0	0.00		26	4.64		0	0.00		21	3.75		7	1.25		1	0.18		266	47.50		4	0.71		0	0.00		3	0.54		0	0.00		1	0.18		0	0.00		158	28.21		3	0.54		1	0.18		14	2.50		0	0.00		0	0.00		13	2.32		0	0.00		560	95.08		29	4.92		589	0.74
Division Summary		4818	6.32		1936	2.54		628	0.82		27	0.04		1349	1.77		101	0.13		3665	4.81		551	0.72		162	0.21		30127	39.55		311	0.41		34	0.04		371	0.49		17	0.02		84	0.11		80	0.11		28774	37.77		351	0.46		81	0.11		1893	2.49		12	0.02		40	0.05		740	0.97		22	0.03		76174	95.9		3255	4.1		79429	95.56
