Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Eden-Monaro (85815)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Bimbimbie		11	3.13		1	0.28		0	0.00		0	0.00		12	3.42		3	0.85		0	0.00		0	0.00		3	0.85		0	0.00		0	0.00		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		1	0.28		1	0.28		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		7	1.99		2	0.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	2.56		1	0.28		1	0.28		0	0.00		2	0.57		0	0.00		0	0.00		0	0.00		0	0.00		95	27.07		0	0.00		1	0.28		0	0.00		0	0.00		96	27.35		1	0.28		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		1	0.28		3	0.85		0	0.00		0	0.00		3	0.85		210	59.83		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		211	60.11		0	0.00		0	0.00		0	0.00
	Bodalla		26	5.27		4	0.81		0	0.00		0	0.00		30	6.09		6	1.22		1	0.20		0	0.00		7	1.42		0	0.00		1	0.20		0	0.00		1	0.20		1	0.20		0	0.00		0	0.00		1	0.20		3	0.61		0	0.00		0	0.00		3	0.61		0	0.00		0	0.00		0	0.00		0	0.00		21	4.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		21	4.26		6	1.22		0	0.00		0	0.00		6	1.22		0	0.00		0	0.00		0	0.00		0	0.00		147	29.82		1	0.20		0	0.00		0	0.00		0	0.00		148	30.02		4	0.81		0	0.00		0	0.00		4	0.81		1	0.20		0	0.00		0	0.00		1	0.20		4	0.81		0	0.00		0	0.00		4	0.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		218	44.22		2	0.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		220	44.62		1	0.20		0	0.00		0	0.00
	Bombala		72	6.91		3	0.29		0	0.00		0	0.00		75	7.20		9	0.86		0	0.00		0	0.00		9	0.86		2	0.19		1	0.10		0	0.00		3	0.29		0	0.00		1	0.10		0	0.00		1	0.10		10	0.96		0	0.00		0	0.00		10	0.96		1	0.10		0	0.00		0	0.00		1	0.10		27	2.59		3	0.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	2.88		9	0.86		0	0.00		0	0.00		9	0.86		1	0.10		0	0.00		0	0.00		1	0.10		331	31.77		1	0.10		0	0.00		0	0.00		1	0.10		333	31.96		13	1.25		0	0.00		0	0.00		13	1.25		0	0.00		0	0.00		0	0.00		0	0.00		11	1.06		0	0.00		0	0.00		11	1.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		513	49.23		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		514	49.33		11	1.06		0	0.00		0	0.00
	Braidwood		80	7.07		8	0.71		0	0.00		0	0.00		88	7.77		4	0.35		0	0.00		0	0.00		4	0.35		2	0.18		0	0.00		0	0.00		2	0.18		0	0.00		0	0.00		0	0.00		0	0.00		12	1.06		0	0.00		0	0.00		12	1.06		2	0.18		3	0.27		0	0.00		5	0.44		83	7.33		8	0.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		91	8.04		6	0.53		2	0.18		1	0.09		9	0.80		0	0.00		0	0.00		0	0.00		0	0.00		289	25.53		6	0.53		1	0.09		1	0.09		0	0.00		297	26.24		5	0.44		0	0.00		0	0.00		5	0.44		1	0.09		0	0.00		0	0.00		1	0.09		10	0.88		1	0.09		0	0.00		11	0.97		1	0.09		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		481	42.49		3	0.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		484	42.76		5	0.44		1	0.09		0	0.00
	Bredbo		20	8.10		4	1.62		0	0.00		0	0.00		24	9.72		0	0.00		1	0.40		0	0.00		1	0.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.81		0	0.00		0	0.00		2	0.81		0	0.00		0	0.00		0	0.00		0	0.00		9	3.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	3.64		4	1.62		0	0.00		0	0.00		4	1.62		0	0.00		0	0.00		0	0.00		0	0.00		76	30.77		1	0.40		0	0.00		0	0.00		1	0.40		78	31.58		1	0.40		0	0.00		0	0.00		1	0.40		0	0.00		0	0.00		0	0.00		0	0.00		5	2.02		0	0.00		0	0.00		5	2.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		108	43.72		2	0.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		110	44.53		2	0.81		0	0.00		0	0.00
	Brogo		7	3.50		5	2.50		0	0.00		0	0.00		12	6.00		1	0.50		0	0.00		0	0.00		1	0.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.50		0	0.00		0	0.00		3	1.50		15	7.50		1	0.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		16	8.00		3	1.50		0	0.00		0	0.00		3	1.50		1	0.50		0	0.00		0	0.00		1	0.50		45	22.50		1	0.50		0	0.00		0	0.00		1	0.50		47	23.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.00		0	0.00		0	0.00		2	1.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		72	36.00		3	1.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		75	37.50		0	0.00		0	0.00		0	0.00
	Broulee		43	5.40		1	0.13		0	0.00		0	0.00		44	5.52		10	1.25		2	0.25		0	0.00		12	1.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	1.00		0	0.00		0	0.00		8	1.00		1	0.13		1	0.13		0	0.00		2	0.25		47	5.90		2	0.25		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		50	6.27		12	1.51		1	0.13		0	0.00		13	1.63		1	0.13		0	0.00		0	0.00		1	0.13		269	33.75		5	0.63		0	0.00		1	0.13		1	0.13		276	34.63		4	0.50		0	0.00		0	0.00		4	0.50		0	0.00		0	0.00		0	0.00		0	0.00		2	0.25		0	0.00		0	0.00		2	0.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		282	35.38		2	0.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		284	35.63		1	0.13		0	0.00		0	0.00
	Bungendore		71	3.83		1	0.05		0	0.00		1	0.05		73	3.94		8	0.43		3	0.16		1	0.05		12	0.65		0	0.00		1	0.05		0	0.00		1	0.05		1	0.05		0	0.00		0	0.00		1	0.05		13	0.70		1	0.05		0	0.00		14	0.76		3	0.16		1	0.05		0	0.00		4	0.22		229	12.35		16	0.86		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		246	13.27		3	0.16		2	0.11		0	0.00		5	0.27		0	0.00		0	0.00		0	0.00		0	0.00		552	29.77		15	0.81		2	0.11		1	0.05		2	0.11		572	30.85		7	0.38		0	0.00		0	0.00		7	0.38		2	0.11		0	0.00		0	0.00		2	0.11		19	1.02		0	0.00		0	0.00		19	1.02		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		0	0.00		1	0.05		0	0.00		1	0.05		1	0.05		3	0.16		0	0.00		4	0.22		685	36.95		5	0.27		2	0.11		1	0.05		1	0.05		0	0.00		0	0.00		694	37.43		4	0.22		1	0.05		0	0.00
	Candelo		29	5.40		3	0.56		0	0.00		0	0.00		32	5.96		6	1.12		1	0.19		0	0.00		7	1.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	1.68		0	0.00		0	0.00		9	1.68		3	0.56		3	0.56		0	0.00		6	1.12		31	5.77		3	0.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		34	6.33		4	0.74		0	0.00		0	0.00		4	0.74		0	0.00		0	0.00		0	0.00		0	0.00		146	27.19		1	0.19		1	0.19		0	0.00		0	0.00		148	27.56		2	0.37		1	0.19		0	0.00		3	0.56		0	0.00		0	0.00		0	0.00		0	0.00		1	0.19		0	0.00		0	0.00		1	0.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.19		0	0.00		0	0.00		1	0.19		2	0.37		0	0.00		0	0.00		2	0.37		214	39.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		214	39.85		4	0.74		0	0.00		0	0.00
	Captains Flat		44	12.68		1	0.29		0	0.00		0	0.00		45	12.97		3	0.86		0	0.00		0	0.00		3	0.86		0	0.00		0	0.00		0	0.00		0	0.00		1	0.29		0	0.00		0	0.00		1	0.29		8	2.31		0	0.00		0	0.00		8	2.31		0	0.00		0	0.00		0	0.00		0	0.00		32	9.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		32	9.22		2	0.58		1	0.29		0	0.00		3	0.86		2	0.58		0	0.00		0	0.00		2	0.58		132	38.04		4	1.15		0	0.00		0	0.00		1	0.29		137	39.48		2	0.58		0	0.00		0	0.00		2	0.58		0	0.00		0	0.00		0	0.00		0	0.00		2	0.58		0	0.00		0	0.00		2	0.58		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.29		0	0.00		0	0.00		1	0.29		79	22.77		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		79	22.77		2	0.58		0	0.00		0	0.00
