Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Paterson (82782)																																																																																																																																																																																																																																																															


			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Coolongolook		17	10.18		1	0.60		0	0.00		0	0.00		18	10.78		1	0.60		0	0.00		0	0.00		1	0.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.20		0	0.00		0	0.00		2	1.20		0	0.00		0	0.00		0	0.00		0	0.00		2	1.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.20		1	0.60		0	0.00		0	0.00		1	0.60		1	0.60		0	0.00		0	0.00		1	0.60		48	28.74		0	0.00		0	0.00		0	0.00		0	0.00		48	28.74		1	0.60		0	0.00		0	0.00		1	0.60		0	0.00		0	0.00		0	0.00		0	0.00		2	1.20		0	0.00		0	0.00		2	1.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.60		0	0.00		0	0.00		1	0.60		82	49.10		1	0.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		83	49.70		0	0.00		0	0.00		0	0.00
	Coomba Park		23	6.99		4	1.22		0	0.00		0	0.00		27	8.21		1	0.30		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.22		0	0.00		0	0.00		4	1.22		0	0.00		0	0.00		0	0.00		0	0.00		18	5.47		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	5.78		1	0.30		1	0.30		0	0.00		2	0.61		1	0.30		0	0.00		0	0.00		1	0.30		103	31.31		2	0.61		0	0.00		0	0.00		0	0.00		105	31.91		1	0.30		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		1	0.30		1	0.30		0	0.00		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		154	46.81		1	0.30		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		156	47.42		3	0.91		0	0.00		0	0.00
	Corlette		72	4.53		5	0.31		0	0.00		0	0.00		77	4.85		11	0.69		2	0.13		0	0.00		13	0.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	0.76		0	0.00		0	0.00		12	0.76		2	0.13		0	0.00		0	0.00		2	0.13		62	3.90		5	0.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		67	4.22		5	0.31		0	0.00		0	0.00		5	0.31		4	0.25		0	0.00		0	0.00		4	0.25		377	23.74		5	0.31		0	0.00		0	0.00		1	0.06		383	24.12		8	0.50		0	0.00		0	0.00		8	0.50		1	0.06		0	0.00		0	0.00		1	0.06		4	0.25		1	0.06		0	0.00		5	0.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.13		0	0.00		0	0.00		2	0.13		1	0.06		0	0.00		0	0.00		1	0.06		957	60.26		3	0.19		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		961	60.52		4	0.25		1	0.06		0	0.00
	Dungog		118	6.78		4	0.23		0	0.00		0	0.00		122	7.01		23	1.32		0	0.00		0	0.00		23	1.32		0	0.00		0	0.00		0	0.00		0	0.00		3	0.17		0	0.00		0	0.00		3	0.17		25	1.44		0	0.00		0	0.00		25	1.44		1	0.06		1	0.06		0	0.00		2	0.11		74	4.25		3	0.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		77	4.42		12	0.69		0	0.00		0	0.00		12	0.69		4	0.23		0	0.00		0	0.00		4	0.23		509	29.24		3	0.17		1	0.06		0	0.00		0	0.00		513	29.47		10	0.57		0	0.00		0	0.00		10	0.57		3	0.17		1	0.06		0	0.00		4	0.23		28	1.61		2	0.11		0	0.00		30	1.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.17		0	0.00		0	0.00		3	0.17		2	0.11		0	0.00		0	0.00		2	0.11		808	46.41		7	0.40		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		816	46.87		13	0.75		2	0.11		0	0.00
	Failford		21	8.71		2	0.83		0	0.00		0	0.00		23	9.54		4	1.66		1	0.41		0	0.00		5	2.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	2.90		2	0.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	3.73		1	0.41		0	0.00		0	0.00		1	0.41		0	0.00		0	0.00		0	0.00		0	0.00		63	26.14		0	0.00		0	0.00		0	0.00		0	0.00		63	26.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.83		0	0.00		0	0.00		2	0.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.41		0	0.00		0	0.00		1	0.41		0	0.00		0	0.00		0	0.00		0	0.00		133	55.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		133	55.19		2	0.83		0	0.00		0	0.00
	Fern Bay		44	5.84		4	0.53		0	0.00		0	0.00		48	6.37		3	0.40		0	0.00		0	0.00		3	0.40		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		12	1.59		0	0.00		1	0.13		13	1.72		0	0.00		0	0.00		0	0.00		0	0.00		19	2.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	2.52		4	0.53		1	0.13		0	0.00		5	0.66		1	0.13		0	0.00		0	0.00		1	0.13		416	55.17		4	0.53		0	0.00		0	0.00		0	0.00		420	55.70		2	0.27		0	0.00		0	0.00		2	0.27		0	0.00		0	0.00		0	0.00		0	0.00		6	0.80		0	0.00		0	0.00		6	0.80		1	0.13		0	0.00		0	0.00		0	0.00		1	0.13		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		197	26.13		2	0.27		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		200	26.53		3	0.40		0	0.00		1	0.13
	Fingal Bay		38	4.57		1	0.12		0	0.00		0	0.00		39	4.69		2	0.24		0	0.00		0	0.00		2	0.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	1.08		0	0.00		0	0.00		9	1.08		2	0.24		0	0.00		0	0.00		2	0.24		32	3.85		1	0.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		33	3.97		11	1.32		0	0.00		0	0.00		11	1.32		0	0.00		0	0.00		0	0.00		0	0.00		316	38.03		0	0.00		0	0.00		0	0.00		0	0.00		316	38.03		8	0.96		0	0.00		0	0.00		8	0.96		0	0.00		0	0.00		0	0.00		0	0.00		5	0.60		0	0.00		0	0.00		5	0.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.24		0	0.00		0	0.00		2	0.24		0	0.00		0	0.00		0	0.00		0	0.00		382	45.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		382	45.97		1	0.12		0	0.00		0	0.00
	Forster		79	6.66		2	0.17		0	0.00		0	0.00		81	6.82		8	0.67		0	0.00		0	0.00		8	0.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	1.68		0	0.00		0	0.00		20	1.68		1	0.08		1	0.08		0	0.00		2	0.17		27	2.27		6	0.51		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		34	2.86		24	2.02		3	0.25		0	0.00		27	2.27		0	0.00		0	0.00		0	0.00		0	0.00		432	36.39		1	0.08		0	0.00		0	0.00		0	0.00		433	36.48		7	0.59		0	0.00		0	0.00		7	0.59		0	0.00		0	0.00		0	0.00		0	0.00		14	1.18		0	0.00		0	0.00		14	1.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		520	43.81		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		522	43.98		6	0.51		1	0.08		0	0.00
	Forster East		93	6.35		5	0.34		0	0.00		0	0.00		98	6.69		9	0.61		1	0.07		0	0.00		10	0.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	1.23		0	0.00		0	0.00		18	1.23		1	0.07		2	0.14		0	0.00		3	0.20		50	3.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		50	3.41		15	1.02		2	0.14		0	0.00		17	1.16		3	0.20		0	0.00		0	0.00		3	0.20		406	27.71		6	0.41		0	0.00		0	0.00		0	0.00		412	28.12		3	0.20		1	0.07		0	0.00		4	0.27		0	0.00		0	0.00		0	0.00		0	0.00		6	0.41		0	0.00		0	0.00		6	0.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.20		0	0.00		0	0.00		3	0.20		2	0.14		0	0.00		0	0.00		2	0.14		773	52.76		6	0.41		0	0.00		0	0.00		0	0.00		2	0.14		0	0.00		781	53.31		12	0.82		0	0.00		0	0.00
	Forster Keys		110	7.09		9	0.58		0	0.00		0	0.00		119	7.67		13	0.84		5	0.32		1	0.06		19	1.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	0.71		0	0.00		0	0.00		11	0.71		0	0.00		0	0.00		0	0.00		0	0.00		43	2.77		3	0.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		46	2.96		10	0.64		0	0.00		0	0.00		10	0.64		4	0.26		0	0.00		0	0.00		4	0.26		423	27.26		2	0.13		1	0.06		0	0.00		1	0.06		427	27.51		3	0.19		1	0.06		0	0.00		4	0.26		0	0.00		0	0.00		0	0.00		0	0.00		7	0.45		0	0.00		0	0.00		7	0.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		860	55.41		6	0.39		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		867	55.86		10	0.64		0	0.00		0	0.00
