Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Gilmore (83909)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Erowal Bay		20	5.70		10	2.85		1	0.28		0	0.00		7	1.99		0	0.00		9	2.56		1	0.28		1	0.28		140	39.89		1	0.28		0	0.00		3	0.85		0	0.00		0	0.00		0	0.00		129	36.75		1	0.28		1	0.28		24	6.84		0	0.00		0	0.00		3	0.85		0	0.00		351	97.50		9	2.50		360	0.45
Exeter		26	6.68		5	1.29		0	0.00		0	0.00		2	0.51		0	0.00		35	9.00		1	0.26		1	0.26		51	13.11		0	0.00		0	0.00		0	0.00		0	0.00		1	0.26		0	0.00		228	58.61		4	1.03		0	0.00		31	7.97		0	0.00		0	0.00		2	0.51		2	0.51		389	96.53		14	3.47		403	0.50
Falls Creek		54	10.89		4	0.81		1	0.20		0	0.00		7	1.41		1	0.20		17	3.43		4	0.81		0	0.00		121	24.40		0	0.00		0	0.00		2	0.40		0	0.00		1	0.20		0	0.00		255	51.41		4	0.81		0	0.00		22	4.44		0	0.00		0	0.00		2	0.40		1	0.20		496	97.25		14	2.75		510	0.63
Gerringong		42	3.98		36	3.42		1	0.09		0	0.00		10	0.95		1	0.09		94	8.92		6	0.57		0	0.00		264	25.05		9	0.85		0	0.00		16	1.52		0	0.00		0	0.00		2	0.19		467	44.31		6	0.57		0	0.00		96	9.11		1	0.09		0	0.00		1	0.09		2	0.19		1054	97.68		25	2.32		1079	1.34
Gerroa		6	2.20		11	4.03		0	0.00		0	0.00		3	1.10		1	0.37		9	3.30		1	0.37		0	0.00		60	21.98		1	0.37		0	0.00		1	0.37		0	0.00		1	0.37		0	0.00		136	49.82		1	0.37		1	0.37		40	14.65		0	0.00		0	0.00		1	0.37		0	0.00		273	99.27		2	0.73		275	0.34
Greenwell Point		100	12.08		6	0.72		1	0.12		0	0.00		13	1.57		1	0.12		24	2.90		4	0.48		1	0.12		236	28.50		2	0.24		0	0.00		13	1.57		0	0.00		2	0.24		2	0.24		397	47.95		5	0.60		2	0.24		11	1.33		0	0.00		1	0.12		7	0.85		0	0.00		828	95.17		42	4.83		870	1.08
Huskisson		86	8.03		18	1.68		0	0.00		0	0.00		13	1.21		2	0.19		73	6.82		12	1.12		2	0.19		288	26.89		2	0.19		1	0.09		14	1.31		0	0.00		2	0.19		0	0.00		490	45.75		3	0.28		0	0.00		60	5.60		1	0.09		0	0.00		3	0.28		1	0.09		1071	95.80		47	4.20		1118	1.39
Hyams Beach		0	0.00		1	1.08		0	0.00		0	0.00		0	0.00		0	0.00		8	8.60		2	2.15		2	2.15		32	34.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		40	43.01		0	0.00		0	0.00		8	8.60		0	0.00		0	0.00		0	0.00		0	0.00		93	97.89		2	2.11		95	0.12
Illaroo		130	4.93		103	3.91		13	0.49		4	0.15		23	0.87		2	0.08		192	7.28		18	0.68		0	0.00		521	19.76		19	0.72		0	0.00		18	0.68		1	0.04		3	0.11		3	0.11		1478	56.07		17	0.64		6	0.23		73	2.77		1	0.04		0	0.00		10	0.38		1	0.04		2636	97.38		71	2.62		2707	3.37
Jamberoo		50	4.70		21	1.98		1	0.09		2	0.19		8	0.75		5	0.47		100	9.41		7	0.66		0	0.00		218	20.51		5	0.47		0	0.00		2	0.19		1	0.09		1	0.09		0	0.00		524	49.29		5	0.47		3	0.28		106	9.97		0	0.00		2	0.19		0	0.00		2	0.19		1063	97.70		25	2.30		1088	1.35
