Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Wentworth (86457)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Double Bay		36	1.07		15	0.45		9	0.27		0	0.00		8	0.24		8	0.24		254	7.56		19	0.57		9	0.27		510	15.18		8	0.24		2	0.06		4	0.12		0	0.00		5	0.15		5	0.15		2241	66.70		8	0.24		10	0.30		206	6.13		1	0.03		0	0.00		2	0.06		0	0.00		3360	95.89		144	4.11		3504	4.38
Dover Heights		22	0.92		7	0.29		13	0.54		1	0.04		11	0.46		1	0.04		157	6.57		7	0.29		5	0.21		362	15.16		7	0.29		0	0.00		5	0.21		0	0.00		1	0.04		3	0.13		1633	68.38		18	0.75		5	0.21		123	5.15		0	0.00		0	0.00		6	0.25		1	0.04		2388	95.90		102	4.10		2490	3.11
Edgecliff		10	1.23		9	1.11		3	0.37		0	0.00		2	0.25		0	0.00		63	7.75		1	0.12		1	0.12		143	17.59		0	0.00		0	0.00		2	0.25		0	0.00		0	0.00		0	0.00		504	61.99		1	0.12		1	0.12		70	8.61		0	0.00		0	0.00		2	0.25		1	0.12		813	97.48		21	2.52		834	1.04
Glenmore		33	1.35		7	0.29		12	0.49		1	0.04		16	0.65		7	0.29		280	11.46		14	0.57		0	0.00		642	26.27		5	0.20		2	0.08		2	0.08		0	0.00		0	0.00		0	0.00		1050	42.96		4	0.16		3	0.12		359	14.69		0	0.00		0	0.00		3	0.12		4	0.16		2444	96.72		83	3.28		2527	3.16
Holdsworth		16	1.82		0	0.00		2	0.23		0	0.00		6	0.68		1	0.11		88	9.99		4	0.45		2	0.23		201	22.81		0	0.00		0	0.00		1	0.11		1	0.11		0	0.00		0	0.00		454	51.53		0	0.00		1	0.11		100	11.35		0	0.00		0	0.00		3	0.34		1	0.11		881	95.14		45	4.86		926	1.16
Paddington		11	1.00		4	0.36		0	0.00		0	0.00		9	0.82		2	0.18		111	10.09		9	0.82		1	0.09		319	29.00		0	0.00		2	0.18		3	0.27		1	0.09		0	0.00		1	0.09		498	45.27		3	0.27		5	0.45		118	10.73		1	0.09		0	0.00		2	0.18		0	0.00		1100	97.00		34	3.00		1134	1.42
Paddington South (Wentworth)		11	1.30		1	0.12		4	0.47		0	0.00		4	0.47		5	0.59		121	14.27		10	1.18		2	0.24		231	27.24		1	0.12		0	0.00		0	0.00		2	0.24		0	0.00		1	0.12		325	38.33		3	0.35		1	0.12		124	14.62		1	0.12		0	0.00		1	0.12		0	0.00		848	97.03		26	2.97		874	1.09
Parsley Bay		5	0.97		1	0.19		0	0.00		2	0.39		1	0.19		1	0.19		22	4.27		6	1.17		1	0.19		34	6.60		0	0.00		0	0.00		1	0.19		0	0.00		0	0.00		0	0.00		414	80.39		2	0.39		2	0.39		21	4.08		0	0.00		0	0.00		1	0.19		1	0.19		515	97.54		13	2.46		528	0.66
Peters Corner (Wentworth)		28	2.27		20	1.62		4	0.32		0	0.00		15	1.21		6	0.49		115	9.31		10	0.81		1	0.08		440	35.63		6	0.49		0	0.00		3	0.24		0	0.00		1	0.08		3	0.24		452	36.60		8	0.65		3	0.24		118	9.55		0	0.00		0	0.00		2	0.16		0	0.00		1235	96.33		47	3.67		1282	1.60
Randwick		19	1.32		11	0.76		12	0.83		1	0.07		14	0.97		15	1.04		140	9.70		6	0.42		3	0.21		447	30.96		4	0.28		0	0.00		6	0.42		0	0.00		0	0.00		3	0.21		595	41.20		2	0.14		3	0.21		155	10.73		1	0.07		0	0.00		7	0.48		0	0.00		1444	98.10		28	1.90		1472	1.84
