House of Representatives - 2001 Election: New South Wales																																				
First Preference Votes and TCP 																																				
By Candidate by Polling Place																																				

Wentworth (86457)																																				
	GOLDEN			LYSSA			COLLINGS			# KING			JACOBS			NEILSON			FORMAL			INFORMAL			TOTAL											
	Aub			Alison			Margaret			Peter			Alan			Carolyn												Two Candidate Preferred								
	HAN			GRN			DEM			LP			UNI			ALP												# KING LP			 NEILSON ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Woollahra East	13	1.16		100	8.94		73	6.52		626	55.94		5	0.45		302	26.99		1119	95.72		50	4.28		1169	1.47		683	61.04		436	38.96			
Special Hospitals	8	3.46		2	0.87		6	2.60		128	55.41		0	0.00		87	37.66		231	97.47		6	2.53		237	0.30		140	60.61		91	39.39			
Total Ordinary	938	1.60		5690	9.73		3493	5.98		30457	52.10		477	0.82		17405	29.77		58460	94.79		3214	5.21		61674	77.77		33759	57.75		24701	42.25			
ABSENT	117	2.04		845	14.73		472	8.23		2511	43.77		46	0.80		1746	30.43		5737	95.89		246	4.11		5983	7.54		2982	51.98		2755	48.02			
POSTAL	67	1.64		166	4.07		189	4.63		2659	65.17		53	1.30		946	23.19		4080	98.22		74	1.78		4154	5.24		2825	69.24		1255	30.76			
PRE_POLL	99	1.50		569	8.65		439	6.67		3408	51.79		64	0.97		2001	30.41		6580	96.34		250	3.66		6830	8.61		3779	57.43		2801	42.57			
PROVISIONAL	12	1.99		101	16.75		46	7.63		263	43.62		2	0.33		179	29.68		603	90.81		61	9.19		664	0.84		315	52.24		288	47.76			
Division Summary	1233	1.63		7371	9.77		4639	6.15		39298	52.08		642	0.85		22277	29.52		75460	95.15		3845	4.85		79305	91.73		43660	57.86		31800	42.14			
																																			
																																			
																																			
																																			
																																			
