Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Parramatta (87286)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Northmead		157	4.90		93	2.90		20	0.62		1	0.03		37	1.16		4	0.12		171	5.34		25	0.78		1	0.03		910	28.41		17	0.53		1	0.03		18	0.56		0	0.00		0	0.00		2	0.06		1594	49.77		17	0.53		5	0.16		117	3.65		0	0.00		0	0.00		13	0.41		0	0.00		3203	96.50		116	3.50		3319	4.01
North Rocks (Parramatta)		21	2.24		22	2.35		22	2.35		0	0.00		11	1.17		1	0.11		58	6.18		5	0.53		1	0.11		211	22.49		4	0.43		0	0.00		3	0.32		1	0.11		2	0.21		0	0.00		527	56.18		7	0.75		0	0.00		39	4.16		0	0.00		0	0.00		3	0.32		0	0.00		938	97.20		27	2.80		965	1.17
Oatlands		78	3.04		46	1.79		37	1.44		1	0.04		16	0.62		0	0.00		189	7.37		15	0.58		4	0.16		515	20.07		5	0.19		1	0.04		6	0.23		0	0.00		0	0.00		1	0.04		1553	60.52		5	0.19		3	0.12		83	3.23		1	0.04		2	0.08		3	0.12		2	0.08		2566	96.43		95	3.57		2661	3.22
Old Toongabbie		194	4.43		99	2.26		42	0.96		0	0.00		71	1.62		4	0.09		234	5.35		26	0.59		5	0.11		1609	36.77		26	0.59		1	0.02		23	0.53		1	0.02		6	0.14		4	0.09		1848	42.23		19	0.43		6	0.14		120	2.74		0	0.00		2	0.05		36	0.82		0	0.00		4376	96.26		170	3.74		4546	5.49
Parramatta		58	2.82		18	0.87		82	3.98		2	0.10		42	2.04		2	0.10		122	5.92		9	0.44		1	0.05		1014	49.22		7	0.34		1	0.05		2	0.10		2	0.10		3	0.15		2	0.10		571	27.72		17	0.83		5	0.24		90	4.37		4	0.19		0	0.00		5	0.24		1	0.05		2060	96.31		79	3.69		2139	2.58
Parramatta East		33	3.04		20	1.85		7	0.65		0	0.00		0	0.00		13	1.20		52	4.80		7	0.65		4	0.37		419	38.65		7	0.65		1	0.09		3	0.28		0	0.00		2	0.18		1	0.09		465	42.90		4	0.37		2	0.18		42	3.87		0	0.00		0	0.00		2	0.18		0	0.00		1084	95.17		55	4.83		1139	1.38
Parramatta High		23	3.70		8	1.29		12	1.93		1	0.16		11	1.77		0	0.00		36	5.79		3	0.48		0	0.00		255	41.00		4	0.64		1	0.16		4	0.64		0	0.00		0	0.00		1	0.16		227	36.50		7	1.13		2	0.32		25	4.02		0	0.00		0	0.00		2	0.32		0	0.00		622	96.58		22	3.42		644	0.78
Parramatta North		34	1.96		34	1.96		13	0.75		0	0.00		33	1.90		1	0.06		123	7.09		17	0.98		3	0.17		684	39.42		3	0.17		1	0.06		9	0.52		0	0.00		5	0.29		2	0.12		668	38.50		24	1.38		5	0.29		60	3.46		0	0.00		1	0.06		14	0.81		1	0.06		1735	95.28		86	4.72		1821	2.20
Pendle Hill		100	4.13		60	2.48		18	0.74		0	0.00		56	2.31		3	0.12		130	5.37		20	0.83		7	0.29		1007	41.61		11	0.45		1	0.04		18	0.74		1	0.04		6	0.25		1	0.04		900	37.19		17	0.70		2	0.08		50	2.07		0	0.00		2	0.08		10	0.41		0	0.00		2420	94.20		149	5.80		2569	3.10
Pendle Hill Central		13	3.93		7	2.11		1	0.30		0	0.00		5	1.51		0	0.00		14	4.23		3	0.91		0	0.00		147	44.41		4	1.21		0	0.00		0	0.00		0	0.00		0	0.00		1	0.30		127	38.37		1	0.30		0	0.00		6	1.81		0	0.00		0	0.00		2	0.60		0	0.00		331	93.50		23	6.50		354	0.43
