House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Richmond (81312)											
		Candidate		"ANTHONY, Larry"		             	"MCALLISTER, Jenny"		          	Total	
				NP		                         	CLR		                        		
				Votes	%	                     	Votes	%	                     		
	Alstonville										
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	0	0	0.00		0	0.00		0	
		"JEFFERYS, Dean (HMP)"	0	0	0.00		0	0.00		0	
		"ROLFE, Dell (HAN)"	4	3	75.00		1	25.00		4	
		"SIMPSON, Rob (IND)"	1	0	0.00		1	100.00		1	
		Total	10	56	74.67		19	25.33		75	

	Main Arm Upper										
			1st Prefs	16	38.10		26	61.90		42	
		"NATHAN, Julie (IND)"	2	0	0.00		2	100.00		2	
		"PENHALIGON, John (IND)"	0	0	0.00		0	0.00		0	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	55	2	3.64		53	96.36		55	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	6	3	50.00		3	50.00		6	
		"JEFFERYS, Dean (HMP)"	9	2	22.22		7	77.78		9	
		"ROLFE, Dell (HAN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	73	24	20.87		91	79.13		115	

	Mooball										
			1st Prefs	94	59.12		65	40.88		159	
		"NATHAN, Julie (IND)"	3	3	100.00		0	0.00		3	
		"PENHALIGON, John (IND)"	1	1	100.00		0	0.00		1	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	9	2	22.22		7	77.78		9	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	2	1	50.00		1	50.00		2	
		"JEFFERYS, Dean (HMP)"	1	1	100.00		0	0.00		1	
		"ROLFE, Dell (HAN)"	6	5	83.33		1	16.67		6	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	22	107	59.12		74	40.88		181	

	Mullumbimby										
			1st Prefs	920	57.50		680	42.50		1600	
		"NATHAN, Julie (IND)"	48	30	62.50		18	37.50		48	
		"PENHALIGON, John (IND)"	17	10	58.82		7	41.18		17	
		"FAULKNER, Nicolas de Bray (IND)"	22	8	36.36		14	63.64		22	
		"BARHAM, Jan (GRN)"	611	46	7.53		565	92.47		611	
		"PENIAZEV, Alexander (NCP)"	1	0	0.00		1	100.00		1	
		"BALK, Casey (DEM)"	89	12	13.48		77	86.52		89	
		"JEFFERYS, Dean (HMP)"	56	9	16.07		47	83.93		56	
		"ROLFE, Dell (HAN)"	90	58	64.44		32	35.56		90	
		"SIMPSON, Rob (IND)"	3	1	33.33		2	66.67		3	
		Total	937	1094	43.12		1443	56.88		2537	

	Murwillumbah										
			1st Prefs	1150	56.04		902	43.96		2052	
		"NATHAN, Julie (IND)"	32	17	53.13		15	46.88		32	
		"PENHALIGON, John (IND)"	54	33	61.11		21	38.89		54	
		"FAULKNER, Nicolas de Bray (IND)"	1	0	0.00		1	100.00		1	
		"BARHAM, Jan (GRN)"	191	22	11.52		169	88.48		191	
		"PENIAZEV, Alexander (NCP)"	8	3	37.50		5	62.50		8	
		"BALK, Casey (DEM)"	63	19	30.16		44	69.84		63	
		"JEFFERYS, Dean (HMP)"	32	13	40.63		19	59.38		32	
		"ROLFE, Dell (HAN)"	118	67	56.78		51	43.22		118	
		"SIMPSON, Rob (IND)"	19	10	52.63		9	47.37		19	
		Total	518	1334	51.91		1236	48.09		2570	

	Murwillumbah South										
			1st Prefs	530	60.71		343	39.29		873	
		"NATHAN, Julie (IND)"	11	6	54.55		5	45.45		11	
		"PENHALIGON, John (IND)"	23	14	60.87		9	39.13		23	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	45	11	24.44		34	75.56		45	
		"PENIAZEV, Alexander (NCP)"	2	1	50.00		1	50.00		2	
		"BALK, Casey (DEM)"	20	5	25.00		15	75.00		20	
		"JEFFERYS, Dean (HMP)"	5	3	60.00		2	40.00		5	
		"ROLFE, Dell (HAN)"	53	32	60.38		21	39.62		53	
		"SIMPSON, Rob (IND)"	2	0	0.00		2	100.00		2	
		Total	161	602	58.22		432	41.78		1034	

	Newrybar										
			1st Prefs	201	57.43		149	42.57		350	
		"NATHAN, Julie (IND)"	10	5	50.00		5	50.00		10	
		"PENHALIGON, John (IND)"	2	2	100.00		0	0.00		2	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	65	10	15.38		55	84.62		65	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	14	4	28.57		10	71.43		14	
		"JEFFERYS, Dean (HMP)"	4	4	100.00		0	0.00		4	
		"ROLFE, Dell (HAN)"	14	12	85.71		2	14.29		14	
		"SIMPSON, Rob (IND)"	2	2	100.00		0	0.00		2	
		Total	111	240	52.06		221	47.94		461	

	Ocean Shores										
			1st Prefs	662	50.08		660	49.92		1322	
		"NATHAN, Julie (IND)"	22	12	54.55		10	45.45		22	
		"PENHALIGON, John (IND)"	13	5	38.46		8	61.54		13	
		"FAULKNER, Nicolas de Bray (IND)"	10	3	30.00		7	70.00		10	
		"BARHAM, Jan (GRN)"	279	25	8.96		254	91.04		279	
		"PENIAZEV, Alexander (NCP)"	7	1	14.29		6	85.71		7	
		"BALK, Casey (DEM)"	51	14	27.45		37	72.55		51	
		"JEFFERYS, Dean (HMP)"	38	3	7.89		35	92.11		38	
		"ROLFE, Dell (HAN)"	58	40	68.97		18	31.03		58	
		"SIMPSON, Rob (IND)"	4	3	75.00		1	25.00		4	
		Total	482	768	42.57		1036	57.43		1804	

	Piggabeen										
			1st Prefs	354	61.89		218	38.11		572	
		"NATHAN, Julie (IND)"	12	9	75.00		3	25.00		12	
		"PENHALIGON, John (IND)"	4	3	75.00		1	25.00		4	
		"FAULKNER, Nicolas de Bray (IND)"	1	1	100.00		0	0.00		1	
		"BARHAM, Jan (GRN)"	23	3	13.04		20	86.96		23	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	23	5	21.74		18	78.26		23	
		"JEFFERYS, Dean (HMP)"	9	3	33.33		6	66.67		9	
		"ROLFE, Dell (HAN)"	36	19	52.78		17	47.22		36	
		"SIMPSON, Rob (IND)"	1	0	0.00		1	100.00		1	
		Total	109	397	58.30		284	41.70		681	

	Pottsville Beach										
			1st Prefs	695	51.48		655	48.52		1350	
		"NATHAN, Julie (IND)"	16	10	62.50		6	37.50		16	
		"PENHALIGON, John (IND)"	4	3	75.00		1	25.00		4	
		"FAULKNER, Nicolas de Bray (IND)"	2	0	0.00		2	100.00		2	
		"BARHAM, Jan (GRN)"	97	13	13.40		84	86.60		97	
		"PENIAZEV, Alexander (NCP)"	3	1	33.33		2	66.67		3	
		"BALK, Casey (DEM)"	43	16	37.21		27	62.79		43	
		"JEFFERYS, Dean (HMP)"	12	5	41.67		7	58.33		12	
		"ROLFE, Dell (HAN)"	108	77	71.30		31	28.70		108	
		"SIMPSON, Rob (IND)"	5	1	20.00		4	80.00		5	
		Total	290	821	50.06		819	49.94		1640	

	Rous										
			1st Prefs	137	79.65		35	20.35		172	
		"NATHAN, Julie (IND)"	2	2	100.00		0	0.00		2	
		"PENHALIGON, John (IND)"	2	1	50.00		1	50.00		2	
		"FAULKNER, Nicolas de Bray (IND)"	1	1	100.00		0	0.00		1	
		"BARHAM, Jan (GRN)"	8	2	25.00		6	75.00		8	
		"PENIAZEV, Alexander (NCP)"	1	1	100.00		0	0.00		1	
		"BALK, Casey (DEM)"	7	5	71.43		2	28.57		7	
		"JEFFERYS, Dean (HMP)"	1	1	100.00		0	0.00		1	
		"ROLFE, Dell (HAN)"	10	7	70.00		3	30.00		10	
		"SIMPSON, Rob (IND)"	1	1	100.00		0	0.00		1	
		Total	33	158	77.07		47	22.93		205	

	Stokers Siding										
			1st Prefs	125	51.23		119	48.77		244	
		"NATHAN, Julie (IND)"	5	1	20.00		4	80.00		5	
		"PENHALIGON, John (IND)"	3	2	66.67		1	33.33		3	
		"FAULKNER, Nicolas de Bray (IND)"	1	0	0.00		1	100.00		1	
		"BARHAM, Jan (GRN)"	27	2	7.41		25	92.59		27	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	13	4	30.77		9	69.23		13	
		"JEFFERYS, Dean (HMP)"	7	0	0.00		7	100.00		7	
		"ROLFE, Dell (HAN)"	7	2	28.57		5	71.43		7	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	63	136	44.30		171	55.70		307	

	Sydney (Richmond)										
			1st Prefs	3	30.00		7	70.00		10	
		"NATHAN, Julie (IND)"	1	0	0.00		1	100.00		1	
		"PENHALIGON, John (IND)"	0	0	0.00		0	0.00		0	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	1	0	0.00		1	100.00		1	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	3	2	66.67		1	33.33		3	
		"JEFFERYS, Dean (HMP)"	1	0	0.00		1	100.00		1	
		"ROLFE, Dell (HAN)"	0	0	0.00		0	0.00		0	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	6	5	31.25		11	68.75		16	

	Terranora										
			1st Prefs	717	70.23		304	29.77		1021	
		"NATHAN, Julie (IND)"	4	2	50.00		2	50.00		4	
		"PENHALIGON, John (IND)"	15	11	73.33		4	26.67		15	
		"FAULKNER, Nicolas de Bray (IND)"	2	2	100.00		0	0.00		2	
		"BARHAM, Jan (GRN)"	52	11	21.15		41	78.85		52	
		"PENIAZEV, Alexander (NCP)"	1	0	0.00		1	100.00		1	
		"BALK, Casey (DEM)"	38	10	26.32		28	73.68		38	
		"JEFFERYS, Dean (HMP)"	5	0	0.00		5	100.00		5	
		"ROLFE, Dell (HAN)"	48	30	62.50		18	37.50		48	
		"SIMPSON, Rob (IND)"	4	3	75.00		1	25.00		4	
		Total	169	786	66.05		404	33.95		1190	

	Tintenbar										
			1st Prefs	236	64.84		128	35.16		364	
		"NATHAN, Julie (IND)"	6	5	83.33		1	16.67		6	
		"PENHALIGON, John (IND)"	12	10	83.33		2	16.67		12	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	51	5	9.80		46	90.20		51	
		"PENIAZEV, Alexander (NCP)"	1	1	100.00		0	0.00		1	
		"BALK, Casey (DEM)"	21	5	23.81		16	76.19		21	
		"JEFFERYS, Dean (HMP)"	9	5	55.56		4	44.44		9	
		"ROLFE, Dell (HAN)"	25	16	64.00		9	36.00		25	
		"SIMPSON, Rob (IND)"	6	2	33.33		4	66.67		6	
		Total	131	285	57.58		210	42.42		495	

	Tumbulgum										
			1st Prefs	149	48.38		159	51.62		308	
		"NATHAN, Julie (IND)"	3	2	66.67		1	33.33		3	
		"PENHALIGON, John (IND)"	2	2	100.00		0	0.00		2	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	44	9	20.45		35	79.55		44	
		"PENIAZEV, Alexander (NCP)"	2	1	50.00		1	50.00		2	
		"BALK, Casey (DEM)"	7	1	14.29		6	85.71		7	
		"JEFFERYS, Dean (HMP)"	2	1	50.00		1	50.00		2	
		"ROLFE, Dell (HAN)"	18	9	50.00		9	50.00		18	
		"SIMPSON, Rob (IND)"	1	0	0.00		1	100.00		1	
		Total	79	174	44.96		213	55.04		387	

	Tweed Heads										
			1st Prefs	1522	56.92		1152	43.08		2674	
		"NATHAN, Julie (IND)"	41	23	56.10		18	43.90		41	
		"PENHALIGON, John (IND)"	31	20	64.52		11	35.48		31	
		"FAULKNER, Nicolas de Bray (IND)"	6	2	33.33		4	66.67		6	
		"BARHAM, Jan (GRN)"	169	44	26.04		125	73.96		169	
		"PENIAZEV, Alexander (NCP)"	2	1	50.00		1	50.00		2	
		"BALK, Casey (DEM)"	74	19	25.68		55	74.32		74	
		"JEFFERYS, Dean (HMP)"	27	9	33.33		18	66.67		27	
		"ROLFE, Dell (HAN)"	165	114	69.09		51	30.91		165	
		"SIMPSON, Rob (IND)"	12	6	50.00		6	50.00		12	
		Total	527	1760	54.98		1441	45.02		3201	

	Tweed Heads Central										
			1st Prefs	1232	58.39		878	41.61		2110	
		"NATHAN, Julie (IND)"	33	25	75.76		8	24.24		33	
		"PENHALIGON, John (IND)"	17	9	52.94		8	47.06		17	
		"FAULKNER, Nicolas de Bray (IND)"	1	0	0.00		1	100.00		1	
		"BARHAM, Jan (GRN)"	96	19	19.79		77	80.21		96	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	54	18	33.33		36	66.67		54	
		"JEFFERYS, Dean (HMP)"	14	6	42.86		8	57.14		14	
		"ROLFE, Dell (HAN)"	137	96	70.07		41	29.93		137	
		"SIMPSON, Rob (IND)"	7	4	57.14		3	42.86		7	
		Total	359	1409	57.07		1060	42.93		2469	

	Tweed Heads South										
			1st Prefs	1184	48.84		1240	51.16		2424	
		"NATHAN, Julie (IND)"	43	29	67.44		14	32.56		43	
		"PENHALIGON, John (IND)"	17	9	52.94		8	47.06		17	
		"FAULKNER, Nicolas de Bray (IND)"	6	1	16.67		5	83.33		6	
		"BARHAM, Jan (GRN)"	100	21	21.00		79	79.00		100	
		"PENIAZEV, Alexander (NCP)"	5	3	60.00		2	40.00		5	
		"BALK, Casey (DEM)"	49	21	42.86		28	57.14		49	
		"JEFFERYS, Dean (HMP)"	35	19	54.29		16	45.71		35	
		"ROLFE, Dell (HAN)"	193	129	66.84		64	33.16		193	
		"SIMPSON, Rob (IND)"	9	4	44.44		5	55.56		9	
		Total	457	1420	49.29		1461	50.71		2881	

	Tyalgum										
			1st Prefs	170	57.24		127	42.76		297	
		"NATHAN, Julie (IND)"	0	0	0.00		0	0.00		0	
		"PENHALIGON, John (IND)"	17	14	82.35		3	17.65		17	
		"FAULKNER, Nicolas de Bray (IND)"	2	1	50.00		1	50.00		2	
		"BARHAM, Jan (GRN)"	73	5	6.85		68	93.15		73	
		"PENIAZEV, Alexander (NCP)"	2	2	100.00		0	0.00		2	
		"BALK, Casey (DEM)"	9	2	22.22		7	77.78		9	
		"JEFFERYS, Dean (HMP)"	6	2	33.33		4	66.67		6	
		"ROLFE, Dell (HAN)"	23	13	56.52		10	43.48		23	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	132	209	48.72		220	51.28		429	

	Uki										
			1st Prefs	214	48.64		226	51.36		440	
		"NATHAN, Julie (IND)"	6	3	50.00		3	50.00		6	
		"PENHALIGON, John (IND)"	7	2	28.57		5	71.43		7	
		"FAULKNER, Nicolas de Bray (IND)"	1	1	100.00		0	0.00		1	
		"BARHAM, Jan (GRN)"	141	11	7.80		130	92.20		141	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	46	9	19.57		37	80.43		46	
		"JEFFERYS, Dean (HMP)"	16	3	18.75		13	81.25		16	
		"ROLFE, Dell (HAN)"	27	16	59.26		11	40.74		27	
		"SIMPSON, Rob (IND)"	4	3	75.00		1	25.00		4	
		Total	248	262	38.08		426	61.92		688	

	Wilsons Creek										
			1st Prefs	11	20.75		42	79.25		53	
		"NATHAN, Julie (IND)"	4	4	100.00		0	0.00		4	
		"PENHALIGON, John (IND)"	0	0	0.00		0	0.00		0	
		"FAULKNER, Nicolas de Bray (IND)"	2	1	50.00		1	50.00		2	
		"BARHAM, Jan (GRN)"	82	4	4.88		78	95.12		82	
		"PENIAZEV, Alexander (NCP)"	1	0	0.00		1	100.00		1	
		"BALK, Casey (DEM)"	6	2	33.33		4	66.67		6	
		"JEFFERYS, Dean (HMP)"	12	3	25.00		9	75.00		12	
		"ROLFE, Dell (HAN)"	2	1	50.00		1	50.00		2	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	109	26	16.05		136	83.95		162	

	Wollongbar										
			1st Prefs	868	69.77		376	30.23		1244	
		"NATHAN, Julie (IND)"	19	12	63.16		7	36.84		19	
		"PENHALIGON, John (IND)"	14	11	78.57		3	21.43		14	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	78	11	14.10		67	85.90		78	
		"PENIAZEV, Alexander (NCP)"	2	1	50.00		1	50.00		2	
		"BALK, Casey (DEM)"	42	18	42.86		24	57.14		42	
		"JEFFERYS, Dean (HMP)"	11	3	27.27		8	72.73		11	
		"ROLFE, Dell (HAN)"	41	29	70.73		12	29.27		41	
		"SIMPSON, Rob (IND)"	4	3	75.00		1	25.00		4	
		Total	211	956	65.70		499	34.30		1455	

	Special Hospitals										
			1st Prefs	148	58.04		107	41.96		255	
		"NATHAN, Julie (IND)"	3	3	100.00		0	0.00		3	
		"PENHALIGON, John (IND)"	1	1	100.00		0	0.00		1	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	1	0	0.00		1	100.00		1	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	0	0	0.00		0	0.00		0	
		"JEFFERYS, Dean (HMP)"	0	0	0.00		0	0.00		0	
		"ROLFE, Dell (HAN)"	2	1	50.00		1	50.00		2	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	7	153	58.40		109	41.60		262	

	Total Ordinary										
			1st Prefs	26268	56.21		20461	43.79		46729	
		"NATHAN, Julie (IND)"	734	444	60.49		290	39.51		734	
		"PENHALIGON, John (IND)"	576	391	67.88		185	32.12		576	
		"FAULKNER, Nicolas de Bray (IND)"	130	45	34.62		85	65.38		130	
		"BARHAM, Jan (GRN)"	6217	774	12.45		5443	87.55		6217	
		"PENIAZEV, Alexander (NCP)"	65	28	43.08		37	56.92		65	
		"BALK, Casey (DEM)"	1677	425	25.34		1252	74.66		1677	
		"JEFFERYS, Dean (HMP)"	768	209	27.21		559	72.79		768	
		"ROLFE, Dell (HAN)"	2449	1652	67.46		797	32.54		2449	
		"SIMPSON, Rob (IND)"	181	88	48.62		93	51.38		181	
		Total	12797	30324	50.94		29202	49.06		59526	

	ABSENT										
			1st Prefs	1024	55.62		817	44.38		1841	
		"NATHAN, Julie (IND)"	69	38	55.07		31	44.93		69	
		"PENHALIGON, John (IND)"	13	3	23.08		10	76.92		13	
		"FAULKNER, Nicolas de Bray (IND)"	15	10	66.67		5	33.33		15	
		"BARHAM, Jan (GRN)"	371	77	20.75		294	79.25		371	
		"PENIAZEV, Alexander (NCP)"	8	3	37.50		5	62.50		8	
		"BALK, Casey (DEM)"	137	57	41.61		80	58.39		137	
		"JEFFERYS, Dean (HMP)"	53	18	33.96		35	66.04		53	
		"ROLFE, Dell (HAN)"	98	56	57.14		42	42.86		98	
		"SIMPSON, Rob (IND)"	19	9	47.37		10	52.63		19	
		Total	783	1295	49.35		1329	50.65		2624	

	POSTAL										
			1st Prefs	1817	62.79		1077	37.21		2894	
		"NATHAN, Julie (IND)"	23	12	52.17		11	47.83		23	
		"PENHALIGON, John (IND)"	21	11	52.38		10	47.62		21	
		"FAULKNER, Nicolas de Bray (IND)"	3	1	33.33		2	66.67		3	
		"BARHAM, Jan (GRN)"	144	26	18.06		118	81.94		144	
		"PENIAZEV, Alexander (NCP)"	3	1	33.33		2	66.67		3	
		"BALK, Casey (DEM)"	92	27	29.35		65	70.65		92	
		"JEFFERYS, Dean (HMP)"	17	3	17.65		14	82.35		17	
		"ROLFE, Dell (HAN)"	136	76	55.88		60	44.12		136	
		"SIMPSON, Rob (IND)"	3	2	66.67		1	33.33		3	
		Total	442	1976	59.23		1360	40.77		3336	

	PRE_POLL										
			1st Prefs	3219	59.77		2167	40.23		5386	
		"NATHAN, Julie (IND)"	107	71	66.36		36	33.64		107	
		"PENHALIGON, John (IND)"	57	34	59.65		23	40.35		57	
		"FAULKNER, Nicolas de Bray (IND)"	11	5	45.45		6	54.55		11	
		"BARHAM, Jan (GRN)"	478	110	23.01		368	76.99		478	
		"PENIAZEV, Alexander (NCP)"	7	3	42.86		4	57.14		7	
		"BALK, Casey (DEM)"	167	51	30.54		116	69.46		167	
		"JEFFERYS, Dean (HMP)"	67	22	32.84		45	67.16		67	
		"ROLFE, Dell (HAN)"	317	185	58.36		132	41.64		317	
		"SIMPSON, Rob (IND)"	43	28	65.12		15	34.88		43	
		Total	1254	3728	56.14		2912	43.86		6640	

	PROVISIONAL										
			1st Prefs	188	51.09		180	48.91		368	
		"NATHAN, Julie (IND)"	9	5	55.56		4	44.44		9	
		"PENHALIGON, John (IND)"	1	1	100.00		0	0.00		1	
		"FAULKNER, Nicolas de Bray (IND)"	2	0	0.00		2	100.00		2	
		"BARHAM, Jan (GRN)"	100	10	10.00		90	90.00		100	
		"PENIAZEV, Alexander (NCP)"	2	2	100.00		0	0.00		2	
		"BALK, Casey (DEM)"	12	1	8.33		11	91.67		12	
		"JEFFERYS, Dean (HMP)"	14	5	35.71		9	64.29		14	
		"ROLFE, Dell (HAN)"	16	9	56.25		7	43.75		16	
		"SIMPSON, Rob (IND)"	3	1	33.33		2	66.67		3	
		Total	159	222	42.13		305	57.87		527	

	Division Summary										
			1st Prefs	32516	56.83		24702	43.17		57218	
		"NATHAN, Julie (IND)"	942	570	60.51		372	39.49		942	
		"PENHALIGON, John (IND)"	668	440	65.87		228	34.13		668	
		"FAULKNER, Nicolas de Bray (IND)"	161	61	37.89		100	62.11		161	
		"BARHAM, Jan (GRN)"	7310	997	13.64		6313	86.36		7310	
		"PENIAZEV, Alexander (NCP)"	85	37	43.53		48	56.47		85	
		"BALK, Casey (DEM)"	2085	561	26.91		1524	73.09		2085	
		"JEFFERYS, Dean (HMP)"	919	257	27.97		662	72.03		919	
		"ROLFE, Dell (HAN)"	3016	1978	65.58		1038	34.42		3016	
		"SIMPSON, Rob (IND)"	249	128	51.41		121	48.59		249	
		Total	15435	37545	51.68		35108	48.32		72653	
