House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Richmond (81312)											
		Candidate		"ANTHONY, Larry"		             	"MCALLISTER, Jenny"		          	Total	
				NP		                         	CLR		                        		
				Votes	%	                     	Votes	%	                     		
	Alstonville										
			1st Prefs	536	50.14		533	49.86		1069	
		"NATHAN, Julie (IND)"	22	14	63.64		8	36.36		22	
		"PENHALIGON, John (IND)"	10	8	80.00		2	20.00		10	
		"FAULKNER, Nicolas de Bray (IND)"	7	4	57.14		3	42.86		7	
		"BARHAM, Jan (GRN)"	254	16	6.30		238	93.70		254	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	37	5	13.51		32	86.49		37	
		"JEFFERYS, Dean (HMP)"	25	6	24.00		19	76.00		25	
		"ROLFE, Dell (HAN)"	43	24	55.81		19	44.19		43	
		"SIMPSON, Rob (IND)"	4	2	50.00		2	50.00		4	
		Total	402	615	41.81		856	58.19		1471	

	Burringbar										
			1st Prefs	176	45.13		214	54.87		390	
		"NATHAN, Julie (IND)"	6	5	83.33		1	16.67		6	
		"PENHALIGON, John (IND)"	5	4	80.00		1	20.00		5	
		"FAULKNER, Nicolas de Bray (IND)"	1	0	0.00		1	100.00		1	
		"BARHAM, Jan (GRN)"	91	8	8.79		83	91.21		91	
		"PENIAZEV, Alexander (NCP)"	1	1	100.00		0	0.00		1	
		"BALK, Casey (DEM)"	6	3	50.00		3	50.00		6	
		"JEFFERYS, Dean (HMP)"	14	5	35.71		9	64.29		14	
		"ROLFE, Dell (HAN)"	16	13	81.25		3	18.75		16	
		"SIMPSON, Rob (IND)"	1	0	0.00		1	100.00		1	
		Total	141	215	40.49		316	59.51		531	

	Byron Bay										
			1st Prefs	562	43.00		745	57.00		1307	
		"NATHAN, Julie (IND)"	39	16	41.03		23	58.97		39	
		"PENHALIGON, John (IND)"	8	5	62.50		3	37.50		8	
		"FAULKNER, Nicolas de Bray (IND)"	8	3	37.50		5	62.50		8	
		"BARHAM, Jan (GRN)"	698	65	9.31		633	90.69		698	
		"PENIAZEV, Alexander (NCP)"	3	1	33.33		2	66.67		3	
		"BALK, Casey (DEM)"	109	9	8.26		100	91.74		109	
		"JEFFERYS, Dean (HMP)"	94	20	21.28		74	78.72		94	
		"ROLFE, Dell (HAN)"	31	20	64.52		11	35.48		31	
		"SIMPSON, Rob (IND)"	2	1	50.00		1	50.00		2	
		Total	992	702	30.54		1597	69.46		2299	

	Byron Bay South										
			1st Prefs	615	48.35		657	51.65		1272	
		"NATHAN, Julie (IND)"	24	17	70.83		7	29.17		24	
		"PENHALIGON, John (IND)"	4	3	75.00		1	25.00		4	
		"FAULKNER, Nicolas de Bray (IND)"	8	1	12.50		7	87.50		8	
		"BARHAM, Jan (GRN)"	576	57	9.90		519	90.10		576	
