Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Macquarie (86364)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Hazelbrook		127	5.16		86	3.49		0	0.00		0	0.00		28	1.14		11	0.45		278	11.30		29	1.18		4	0.16		712	28.93		11	0.45		1	0.04		13	0.53		1	0.04		1	0.04		2	0.08		828	33.64		12	0.49		1	0.04		295	11.99		4	0.16		2	0.08		12	0.49		3	0.12		2461	97.47		64	2.53		2525	3.07
Hobartville		82	5.16		26	1.64		0	0.00		1	0.06		39	2.45		1	0.06		77	4.85		9	0.57		4	0.25		401	25.24		8	0.50		0	0.00		15	0.94		1	0.06		6	0.38		3	0.19		833	52.42		10	0.63		4	0.25		54	3.40		0	0.00		0	0.00		14	0.88		1	0.06		1589	96.07		65	3.93		1654	2.01
Katoomba		33	3.90		10	1.18		0	0.00		0	0.00		8	0.95		2	0.24		124	14.66		22	2.60		4	0.47		280	33.10		2	0.24		0	0.00		4	0.47		1	0.12		0	0.00		1	0.12		204	24.11		1	0.12		1	0.12		146	17.26		0	0.00		0	0.00		3	0.35		0	0.00		846	96.36		32	3.64		878	1.07
Katoomba High		21	4.25		10	2.02		0	0.00		0	0.00		7	1.42		0	0.00		41	8.30		6	1.21		0	0.00		172	34.82		2	0.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		166	33.60		3	0.61		0	0.00		63	12.75		1	0.20		0	0.00		1	0.20		1	0.20		494	96.86		16	3.14		510	0.62
Katoomba Hospital		7	4.24		0	0.00		0	0.00		0	0.00		1	0.61		0	0.00		24	14.55		0	0.00		0	0.00		58	35.15		0	0.00		1	0.61		1	0.61		0	0.00		0	0.00		0	0.00		58	35.15		0	0.00		0	0.00		15	9.09		0	0.00		0	0.00		0	0.00		0	0.00		165	97.06		5	2.94		170	0.21
Katoomba North		70	6.00		28	2.40		0	0.00		0	0.00		25	2.14		3	0.26		120	10.29		17	1.46		3	0.26		419	35.93		4	0.34		1	0.09		6	0.51		1	0.09		2	0.17		2	0.17		355	30.45		7	0.60		3	0.26		88	7.55		0	0.00		1	0.09		9	0.77		2	0.17		1166	96.76		39	3.24		1205	1.46
Katoomba Street		54	3.66		20	1.36		4	0.27		0	0.00		14	0.95		5	0.34		177	12.01		28	1.90		6	0.41		485	32.90		3	0.20		1	0.07		4	0.27		2	0.14		3	0.20		2	0.14		360	24.42		7	0.47		2	0.14		288	19.54		3	0.20		0	0.00		5	0.34		1	0.07		1474	96.03		61	3.97		1535	1.86
Kurmond		49	7.02		12	1.72		0	0.00		0	0.00		3	0.43		2	0.29		35	5.01		1	0.14		0	0.00		110	15.76		0	0.00		0	0.00		4	0.57		0	0.00		2	0.29		0	0.00		435	62.32		0	0.00		1	0.14		38	5.44		1	0.14		1	0.14		4	0.57		0	0.00		698	97.08		21	2.92		719	0.87
Kurrajong		86	4.89		63	3.58		1	0.06		0	0.00		5	0.28		2	0.11		149	8.47		17	0.97		2	0.11		279	15.85		9	0.51		1	0.06		9	0.51		1	0.06		3	0.17		4	0.23		982	55.80		3	0.17		3	0.17		135	7.67		0	0.00		1	0.06		4	0.23		1	0.06		1760	97.89		38	2.11		1798	2.18
Kurrajong East		47	7.39		14	2.20		0	0.00		0	0.00		4	0.63		0	0.00		40	6.29		3	0.47		0	0.00		101	15.88		1	0.16		0	0.00		5	0.79		0	0.00		0	0.00		0	0.00		353	55.50		2	0.31		1	0.16		58	9.12		0	0.00		0	0.00		6	0.94		1	0.16		636	97.85		14	2.15		650	0.79
Kurrajong Heights		32	6.58		14	2.88		0	0.00		0	0.00		5	1.03		1	0.21		31	6.38		5	1.03		2	0.41		89	18.31		2	0.41		2	0.41		3	0.62		0	0.00		1	0.21		1	0.21		250	51.44		2	0.41		0	0.00		43	8.85		0	0.00		0	0.00		2	0.41		1	0.21		486	96.62		17	3.38		503	0.61
Lawson		86	5.98		62	4.31		2	0.14		1	0.07		12	0.83		1	0.07		173	12.02		18	1.25		1	0.07		414	28.77		9	0.63		1	0.07		5	0.35		0	0.00		1	0.07		3	0.21		444	30.85		6	0.42		0	0.00		195	13.55		0	0.00		1	0.07		3	0.21		1	0.07		1439	97.10		43	2.90		1482	1.80
Leura		33	4.27		18	2.33		1	0.13		0	0.00		9	1.16		1	0.13		100	12.94		7	0.91		0	0.00		224	28.98		6	0.78		0	0.00		0	0.00		0	0.00		2	0.26		1	0.13		262	33.89		5	0.65		0	0.00		100	12.94		0	0.00		2	0.26		2	0.26		0	0.00		773	98.22		14	1.78		787	0.96
Leura Central		47	3.30		18	1.26		7	0.49		0	0.00		9	0.63		4	0.28		184	12.91		16	1.12		0	0.00		361	25.33		2	0.14		0	0.00		3	0.21		0	0.00		2	0.14		1	0.07		530	37.19		6	0.42		2	0.14		230	16.14		0	0.00		2	0.14		1	0.07		0	0.00		1425	97.74		33	2.26		1458	1.77
McGraths Hill		66	6.48		14	1.37		2	0.20		0	0.00		15	1.47		1	0.10		27	2.65		8	0.79		3	0.29		209	20.51		13	1.28		0	0.00		9	0.88		0	0.00		3	0.29		1	0.10		604	59.27		5	0.49		1	0.10		30	2.94		1	0.10		1	0.10		6	0.59		0	0.00		1019	96.50		37	3.50		1056	1.28
