Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Cunningham (81540)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Figtree		122	3.58		116	3.40		5	0.15		0	0.00		74	2.17		3	0.09		360	10.57		20	0.59		7	0.21		1225	35.96		27	0.79		2	0.06		22	0.65		0	0.00		4	0.12		2	0.06		1214	35.63		25	0.73		7	0.21		143	4.20		3	0.09		6	0.18		18	0.53		2	0.06		3407	96.46		125	3.54		3532	4.54
Figtree Heights		47	3.44		60	4.39		0	0.00		0	0.00		19	1.39		1	0.07		179	13.08		9	0.66		3	0.22		356	26.02		6	0.44		0	0.00		8	0.58		0	0.00		2	0.15		1	0.07		569	41.59		5	0.37		0	0.00		88	6.43		0	0.00		3	0.22		10	0.73		2	0.15		1368	98.28		24	1.72		1392	1.79
Gwynneville		48	3.25		41	2.78		2	0.14		1	0.07		23	1.56		3	0.20		209	14.15		22	1.49		1	0.07		606	41.03		8	0.54		0	0.00		7	0.47		2	0.14		2	0.14		3	0.20		389	26.34		10	0.68		0	0.00		89	6.03		3	0.20		2	0.14		5	0.34		1	0.07		1477	95.54		69	4.46		1546	1.99
Helensburgh		150	6.63		69	3.05		2	0.09		3	0.13		31	1.37		2	0.09		131	5.79		13	0.57		1	0.04		820	36.22		23	1.02		1	0.04		26	1.15		2	0.09		0	0.00		3	0.13		843	37.23		9	0.40		3	0.13		114	5.04		1	0.04		2	0.09		15	0.66		0	0.00		2264	96.96		71	3.04		2335	3.00
Helensburgh North		41	5.08		26	3.22		1	0.12		0	0.00		9	1.12		0	0.00		61	7.56		11	1.36		2	0.25		292	36.18		5	0.62		0	0.00		2	0.25		0	0.00		1	0.12		0	0.00		297	36.80		5	0.62		1	0.12		49	6.07		0	0.00		0	0.00		4	0.50		0	0.00		807	97.23		23	2.77		830	1.07
Keiraville		98	3.67		70	2.62		11	0.41		0	0.00		37	1.39		3	0.11		377	14.13		24	0.90		8	0.30		777	29.11		26	0.97		1	0.04		14	0.52		0	0.00		3	0.11		7	0.26		964	36.12		16	0.60		3	0.11		208	7.79		1	0.04		7	0.26		9	0.34		5	0.19		2669	95.83		116	4.17		2785	3.58
Lindsay Park		119	5.00		79	3.32		6	0.25		0	0.00		50	2.10		4	0.17		268	11.27		20	0.84		2	0.08		786	33.04		10	0.42		2	0.08		13	0.55		1	0.04		1	0.04		3	0.13		890	37.41		9	0.38		0	0.00		103	4.33		0	0.00		3	0.13		8	0.34		2	0.08		2379	97.66		57	2.34		2436	3.13
Mount Keira		26	4.35		21	3.51		0	0.00		0	0.00		8	1.34		3	0.50		63	10.54		4	0.67		1	0.17		173	28.93		6	1.00		0	0.00		3	0.50		0	0.00		1	0.17		0	0.00		229	38.29		2	0.33		1	0.17		48	8.03		0	0.00		2	0.33		5	0.84		2	0.33		598	98.36		10	1.64		608	0.78
Mount Kembla		30	5.17		11	1.90		2	0.34		0	0.00		8	1.38		2	0.34		71	12.24		8	1.38		1	0.17		204	35.17		7	1.21		2	0.34		6	1.03		0	0.00		3	0.52		0	0.00		174	30.00		1	0.17		0	0.00		42	7.24		0	0.00		4	0.69		2	0.34		2	0.34		580	95.55		27	4.45		607	0.78
Mount Ousley		53	2.86		55	2.97		5	0.27		1	0.05		24	1.30		4	0.22		181	9.78		19	1.03		5	0.27		619	33.44		8	0.43		0	0.00		10	0.54		1	0.05		0	0.00		1	0.05		707	38.20		11	0.59		5	0.27		127	6.86		0	0.00		6	0.32		8	0.43		1	0.05		1851	95.76		82	4.24		1933	2.48
Mount Saint Thomas		70	3.81		34	1.85		1	0.05		0	0.00		33	1.80		4	0.22		238	12.97		26	1.42		4	0.22		628	34.22		10	0.54		1	0.05		18	0.98		6	0.33		4	0.22		3	0.16		624	34.01		8	0.44		4	0.22		108	5.89		0	0.00		4	0.22		5	0.27		2	0.11		1835	95.13		94	4.87		1929	2.48
Otford		9	4.79		8	4.26		1	0.53		0	0.00		2	1.06		1	0.53		27	14.36		3	1.60		0	0.00		47	25.00		1	0.53		0	0.00		1	0.53		0	0.00		1	0.53		0	0.00		55	29.26		2	1.06		0	0.00		26	13.83		0	0.00		0	0.00		4	2.13		0	0.00		188	97.92		4	2.08		192	0.25
Reidtown		46	5.12		27	3.01		0	0.00		0	0.00		11	1.22		1	0.11		67	7.46		9	1.00		4	0.45		388	43.21		6	0.67		0	0.00		6	0.67		0	0.00		1	0.11		1	0.11		268	29.84		11	1.22		4	0.45		37	4.12		1	0.11		2	0.22		7	0.78		1	0.11		898	96.35		34	3.65		932	1.20
Russell Vale		77	5.51		23	1.65		0	0.00		0	0.00		24	1.72		2	0.14		101	7.22		17	1.22		3	0.21		665	47.57		14	1.00		2	0.14		16	1.14		0	0.00		1	0.07		1	0.07		387	27.68		8	0.57		4	0.29		48	3.43		0	0.00		2	0.14		2	0.14		1	0.07		1398	97.63		34	2.37		1432	1.84
Scarborough		12	5.48		5	2.28		0	0.00		0	0.00		3	1.37		1	0.46		33	15.07		2	0.91		0	0.00		75	34.25		2	0.91		0	0.00		0	0.00		0	0.00		1	0.46		1	0.46		50	22.83		0	0.00		0	0.00		34	15.53		0	0.00		0	0.00		0	0.00		0	0.00		219	98.65		3	1.35		222	0.29
Smith's Hill		55	2.36		33	1.41		7	0.30		0	0.00		34	1.46		6	0.26		278	11.91		42	1.80		7	0.30		814	34.86		20	0.86		0	0.00		14	0.60		1	0.04		3	0.13		8	0.34		816	34.95		11	0.47		6	0.26		168	7.19		1	0.04		2	0.09		9	0.39		0	0.00		2335	95.93		99	4.07		2434	3.13
Stanwell Park		28	4.02		24	3.44		3	0.43		0	0.00		3	0.43		3	0.43		89	12.77		5	0.72		0	0.00		195	27.98		5	0.72		0	0.00		1	0.14		0	0.00		0	0.00		3	0.43		214	30.70		3	0.43		0	0.00		110	15.78		0	0.00		0	0.00		7	1.00		4	0.57		697	98.87		8	1.13		705	0.91
Sydney (Cunningham)		5	4.81		2	1.92		0	0.00		0	0.00		3	2.88		0	0.00		12	11.54		1	0.96		1	0.96		40	38.46		1	0.96		0	0.00		1	0.96		0	0.00		1	0.96		1	0.96		18	17.31		0	0.00		0	0.00		15	14.42		0	0.00		3	2.88		0	0.00		0	0.00		104	100.00		0	0.00		104	0.13
Tarrawanna		94	5.18		33	1.82		3	0.17		1	0.06		35	1.93		1	0.06		119	6.56		14	0.77		1	0.06		829	45.67		12	0.66		3	0.17		12	0.66		0	0.00		0	0.00		0	0.00		555	30.58		20	1.10		5	0.28		68	3.75		0	0.00		1	0.06		9	0.50		0	0.00		1815	94.73		101	5.27		1916	2.46
Thirroul		99	5.18		26	1.36		1	0.05		0	0.00		20	1.05		1	0.05		253	13.23		18	0.94		5	0.26		711	37.17		11	0.58		1	0.05		21	1.10		0	0.00		1	0.05		2	0.10		546	28.54		7	0.37		4	0.21		178	9.30		0	0.00		1	0.05		7	0.37		0	0.00		1913	97.35		52	2.65		1965	2.52
Thirroul East		60	4.22		20	1.41		3	0.21		0	0.00		15	1.05		2	0.14		154	10.82		13	0.91		5	0.35		493	34.65		3	0.21		0	0.00		14	0.98		0	0.00		6	0.42		9	0.63		376	26.42		5	0.35		5	0.35		228	16.02		0	0.00		4	0.28		2	0.14		6	0.42		1423	96.93		45	3.07		1468	1.89
Towradgi		66	4.48		31	2.11		1	0.07		0	0.00		49	3.33		2	0.14		119	8.08		18	1.22		4	0.27		740	50.27		7	0.48		2	0.14		10	0.68		0	0.00		3	0.20		2	0.14		339	23.03		11	0.75		2	0.14		55	3.74		0	0.00		3	0.20		8	0.54		0	0.00		1472	96.15		59	3.85		1531	1.97
Towradgi East		26	4.98		7	1.34		1	0.19		0	0.00		15	2.87		0	0.00		53	10.15		4	0.77		2	0.38		196	37.55		7	1.34		0	0.00		7	1.34		0	0.00		2	0.38		0	0.00		168	32.18		5	0.96		2	0.38		26	4.98		0	0.00		0	0.00		1	0.19		0	0.00		522	94.57		30	5.43		552	0.71
Unanderra (Cunningham)		10	2.51		15	3.76		0	0.00		0	0.00		9	2.26		0	0.00		34	8.52		6	1.50		0	0.00		175	43.86		5	1.25		1	0.25		4	1.00		0	0.00		1	0.25		2	0.50		121	30.33		2	0.50		0	0.00		13	3.26		0	0.00		0	0.00		1	0.25		0	0.00		399	95.68		18	4.32		417	0.54
Wollongong		104	3.98		52	1.99		3	0.11		2	0.08		62	2.37		4	0.15		280	10.72		39	1.49		6	0.23		982	37.58		15	0.57		3	0.11		12	0.46		7	0.27		3	0.11		1	0.04		755	28.89		16	0.61		9	0.34		230	8.80		3	0.11		12	0.46		12	0.46		1	0.04		2613	93.99		167	6.01		2780	3.57
Wollongong Central		34	3.41		21	2.11		0	0.00		0	0.00		34	3.41		1	0.10		74	7.42		10	1.00		2	0.20		451	45.24		5	0.50		0	0.00		4	0.40		3	0.30		1	0.10		1	0.10		281	28.18		8	0.80		3	0.30		58	5.82		0	0.00		0	0.00		5	0.50		1	0.10		997	89.90		112	10.10		1109	1.42
Wollongong Hospital		15	5.30		1	0.35		0	0.00		0	0.00		10	3.53		2	0.71		18	6.36		9	3.18		0	0.00		124	43.82		1	0.35		0	0.00		5	1.77		0	0.00		0	0.00		0	0.00		65	22.97		2	0.71		0	0.00		31	10.95		0	0.00		0	0.00		0	0.00		0	0.00		283	96.92		9	3.08		292	0.38
Wollongong West		49	3.08		41	2.58		2	0.13		1	0.06		51	3.21		0	0.00		170	10.69		25	1.57		5	0.31		603	37.92		9	0.57		0	0.00		6	0.38		1	0.06		1	0.06		2	0.13		502	31.57		16	1.01		3	0.19		89	5.60		1	0.06		5	0.31		7	0.44		1	0.06		1590	95.55		74	4.45		1664	2.14
Wombarra		13	4.64		2	0.71		2	0.71		0	0.00		3	1.07		0	0.00		34	12.14		1	0.36		0	0.00		111	39.64		1	0.36		0	0.00		5	1.79		1	0.36		0	0.00		0	0.00		60	21.43		1	0.36		1	0.36		40	14.29		1	0.36		0	0.00		4	1.43		0	0.00		280	97.90		6	2.10		286	0.37
Woonona		73	4.94		23	1.56		2	0.14		0	0.00		31	2.10		2	0.14		208	14.06		9	0.61		4	0.27		581	39.28		9	0.61		2	0.14		7	0.47		0	0.00		4	0.27		1	0.07		404	27.32		10	0.68		2	0.14		98	6.63		1	0.07		4	0.27		4	0.27		0	0.00		1479	97.24		42	2.76		1521	1.95
Woonona Central		70	4.90		27	1.89		2	0.14		1	0.07		31	2.17		4	0.28		110	7.70		13	0.91		4	0.28		596	41.71		11	0.77		0	0.00		13	0.91		0	0.00		1	0.07		2	0.14		422	29.53		12	0.84		0	0.00		93	6.51		0	0.00		3	0.21		12	0.84		2	0.14		1429	96.62		50	3.38		1479	1.90
Woonona East		83	4.40		34	1.80		4	0.21		0	0.00		39	2.07		1	0.05		169	8.96		32	1.70		3	0.16		809	42.90		15	0.80		2	0.11		16	0.85		1	0.05		0	0.00		1	0.05		557	29.53		9	0.48		4	0.21		89	4.72		0	0.00		2	0.11		12	0.64		4	0.21		1886	96.37		71	3.63		1957	2.51
Special Hospitals		5	2.76		0	0.00		0	0.00		0	0.00		2	1.10		1	0.55		3	1.66		0	0.00		1	0.55		92	50.83		1	0.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		69	38.12		1	0.55		0	0.00		5	2.76		0	0.00		1	0.55		0	0.00		0	0.00		181	96.28		7	3.72		188	0.24
Total Ordinary		2828	4.41		1434	2.24		89	0.14		17	0.03		1263	1.97		109	0.17		6424	10.02		714	1.11		130	0.20		25159	39.23		448	0.70		42	0.07		471	0.73		53	0.08		75	0.12		86	0.13		19657	30.65		386	0.60		97	0.15		4125	6.43		21	0.03		136	0.21		311	0.48		49	0.08		64124	96.06		2630	3.94		66754	85.76
ABSENT		184	4.40		74	1.77		9	0.22		2	0.05		83	1.98		9	0.22		484	11.57		62	1.48		6	0.14		1431	34.22		46	1.10		2	0.05		32	0.77		2	0.05		8	0.19		11	0.26		1314	31.42		31	0.74		10	0.24		341	8.15		6	0.14		7	0.17		28	0.67		0	0.00		4182	97.99		86	2.01		4268	5.48
POSTAL		173	6.10		55	1.94		5	0.18		1	0.04		25	0.88		10	0.35		221	7.80		12	0.42		7	0.25		1027	36.23		19	0.67		0	0.00		18	0.63		2	0.07		6	0.21		2	0.07		1065	37.57		16	0.56		10	0.35		123	4.34		0	0.00		8	0.28		25	0.88		5	0.18		2835	99.16		24	0.84		2859	3.67
PRE_POLL		140	4.03		72	2.07		4	0.12		1	0.03		60	1.73		9	0.26		371	10.67		28	0.81		11	0.32		1264	36.36		31	0.89		0	0.00		19	0.55		0	0.00		2	0.06		6	0.17		1186	34.12		31	0.89		6	0.17		201	5.78		1	0.03		7	0.20		24	0.69		2	0.06		3476	98.67		47	1.33		3523	4.53
PROVISIONAL		15	3.50		12	2.80		0	0.00		0	0.00		20	4.67		0	0.00		43	10.05		9	2.10		1	0.23		165	38.55		5	1.17		1	0.23		5	1.17		0	0.00		2	0.47		2	0.47		108	25.23		4	0.93		2	0.47		28	6.54		1	0.23		0	0.00		5	1.17		0	0.00		428	98.39		7	1.61		435	0.56
Division Summary		3340	4.45		1647	2.19		107	0.14		21	0.03		1451	1.93		137	0.18		7543	10.05		825	1.1		155	0.21		29046	38.7		549	0.73		45	0.06		545	0.73		57	0.08		93	0.12		107	0.14		23330	31.09		468	0.62		125	0.17		4818	6.42		29	0.04		158	0.21		393	0.52		56	0.07		75045	96.41		2794	3.59		77839	95.46
