Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Throsby (84412)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Lake Heights		76	5.78		11	0.84		1	0.08		2	0.15		50	3.81		1	0.08		56	4.26		8	0.61		8	0.61		744	56.62		9	0.68		1	0.08		8	0.61		0	0.00		5	0.38		1	0.08		276	21.00		15	1.14		1	0.08		27	2.05		0	0.00		6	0.46		8	0.61		0	0.00		1314	94.81		72	5.19		1386	1.72
Lake Illawarra		101	6.59		24	1.57		3	0.20		2	0.13		40	2.61		1	0.07		84	5.48		23	1.50		6	0.39		765	49.93		9	0.59		0	0.00		19	1.24		1	0.07		3	0.20		3	0.20		382	24.93		15	0.98		2	0.13		39	2.55		0	0.00		4	0.26		6	0.39		0	0.00		1532	95.81		67	4.19		1599	1.98
Lakelands		118	6.65		26	1.47		2	0.11		0	0.00		48	2.71		4	0.23		115	6.48		24	1.35		4	0.23		855	48.20		29	1.63		1	0.06		21	1.18		0	0.00		1	0.06		5	0.28		426	24.01		12	0.68		2	0.11		66	3.72		1	0.06		1	0.06		13	0.73		0	0.00		1774	96.10		72	3.90		1846	2.29
Marshall Mount		7	5.22		11	8.21		0	0.00		0	0.00		3	2.24		0	0.00		9	6.72		1	0.75		0	0.00		22	16.42		1	0.75		0	0.00		2	1.49		0	0.00		0	0.00		0	0.00		70	52.24		0	0.00		0	0.00		6	4.48		0	0.00		1	0.75		1	0.75		0	0.00		134	96.40		5	3.60		139	0.17
Mount Brown		131	6.76		61	3.15		2	0.10		1	0.05		31	1.60		3	0.15		119	6.14		15	0.77		6	0.31		895	46.18		13	0.67		0	0.00		23	1.19		1	0.05		3	0.15		2	0.10		550	28.38		18	0.93		1	0.05		38	1.96		0	0.00		7	0.36		17	0.88		1	0.05		1938	96.61		68	3.39		2006	2.49
Mount Terry		81	5.21		50	3.22		0	0.00		0	0.00		25	1.61		1	0.06		132	8.49		10	0.64		6	0.39		665	42.77		17	1.09		0	0.00		26	1.67		0	0.00		4	0.26		1	0.06		483	31.06		9	0.58		2	0.13		33	2.12		2	0.13		2	0.13		6	0.39		0	0.00		1555	97.68		37	2.32		1592	1.97
Mount Warrigal		138	5.84		54	2.29		1	0.04		1	0.04		75	3.18		3	0.13		135	5.72		28	1.19		2	0.08		1196	50.64		22	0.93		4	0.17		40	1.69		3	0.13		1	0.04		1	0.04		527	22.31		19	0.80		1	0.04		82	3.47		1	0.04		9	0.38		19	0.80		0	0.00		2362	97.16		69	2.84		2431	3.01
Oak Flats		259	8.04		85	2.64		2	0.06		1	0.03		59	1.83		3	0.09		200	6.21		39	1.21		13	0.40		1485	46.09		27	0.84		3	0.09		26	0.81		1	0.03		4	0.12		4	0.12		834	25.88		22	0.68		3	0.09		119	3.69		1	0.03		4	0.12		27	0.84		1	0.03		3222	96.55		115	3.45		3337	4.13
Oak Flats East		62	5.62		33	2.99		0	0.00		0	0.00		17	1.54		0	0.00		80	7.25		13	1.18		1	0.09		539	48.87		12	1.09		1	0.09		12	1.09		0	0.00		0	0.00		2	0.18		276	25.02		5	0.45		1	0.09		42	3.81		0	0.00		1	0.09		6	0.54		0	0.00		1103	96.58		39	3.42		1142	1.41
Port Kembla		43	6.21		8	1.16		0	0.00		0	0.00		23	3.32		1	0.14		35	5.06		9	1.30		5	0.72		386	55.78		3	0.43		0	0.00		6	0.87		1	0.14		0	0.00		0	0.00		119	17.20		3	0.43		0	0.00		38	5.49		2	0.29		6	0.87		4	0.58		0	0.00		692	94.66		39	5.34		731	0.91
