Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Bennelong (86896)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Gladesville (Bennelong)		60	3.25		16	0.87		17	0.92		0	0.00		19	1.03		0	0.00		183	9.91		15	0.81		4	0.22		569	30.82		6	0.33		1	0.05		8	0.43		0	0.00		4	0.22		0	0.00		822	44.53		9	0.49		1	0.05		106	5.74		0	0.00		1	0.05		5	0.27		0	0.00		1846	94.86		100	5.14		1946	2.36
Gladesville Central		14	2.09		16	2.39		4	0.60		1	0.15		3	0.45		1	0.15		63	9.42		4	0.60		2	0.30		162	24.22		2	0.30		0	0.00		4	0.60		0	0.00		0	0.00		0	0.00		330	49.33		5	0.75		0	0.00		51	7.62		0	0.00		0	0.00		7	1.05		0	0.00		669	98.24		12	1.76		681	0.83
Gladesville East		9	2.91		2	0.65		3	0.97		0	0.00		1	0.32		0	0.00		29	9.39		4	1.29		0	0.00		77	24.92		2	0.65		0	0.00		1	0.32		0	0.00		1	0.32		0	0.00		151	48.87		0	0.00		0	0.00		28	9.06		0	0.00		0	0.00		1	0.32		0	0.00		309	97.78		7	2.22		316	0.38
Gladesville North		43	2.68		13	0.81		11	0.69		1	0.06		19	1.18		0	0.00		145	9.04		13	0.81		3	0.19		485	30.24		7	0.44		0	0.00		7	0.44		0	0.00		1	0.06		1	0.06		749	46.70		12	0.75		2	0.12		86	5.36		0	0.00		0	0.00		4	0.25		2	0.12		1604	94.74		89	5.26		1693	2.05
Gladesville West		13	3.96		5	1.52		0	0.00		0	0.00		1	0.30		1	0.30		24	7.32		1	0.30		0	0.00		94	28.66		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		174	53.05		0	0.00		0	0.00		13	3.96		0	0.00		0	0.00		1	0.30		0	0.00		328	97.04		10	2.96		338	0.41
Holy Cross Ryde		11	2.91		4	1.06		7	1.85		0	0.00		3	0.79		0	0.00		31	8.20		1	0.26		2	0.53		132	34.92		3	0.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		160	42.33		2	0.53		0	0.00		18	4.76		0	0.00		0	0.00		3	0.79		1	0.26		378	95.45		18	4.55		396	0.48
Kent Road		53	2.36		24	1.07		38	1.69		0	0.00		30	1.34		0	0.00		199	8.87		14	0.62		2	0.09		679	30.26		6	0.27		2	0.09		11	0.49		0	0.00		1	0.04		3	0.13		1058	47.15		8	0.36		6	0.27		89	3.97		1	0.04		0	0.00		18	0.80		2	0.09		2244	94.88		121	5.12		2365	2.87
Kittys Creek		9	2.56		5	1.42		3	0.85		0	0.00		3	0.85		1	0.28		22	6.27		3	0.85		0	0.00		85	24.22		1	0.28		0	0.00		2	0.57		0	0.00		0	0.00		0	0.00		199	56.70		1	0.28		0	0.00		15	4.27		0	0.00		1	0.28		1	0.28		0	0.00		351	96.69		12	3.31		363	0.44
Lyon Park		29	1.97		60	4.08		19	1.29		2	0.14		21	1.43		1	0.07		166	11.30		12	0.82		2	0.14		444	30.22		7	0.48		1	0.07		7	0.48		0	0.00		2	0.14		3	0.20		581	39.55		8	0.54		5	0.34		92	6.26		0	0.00		0	0.00		6	0.41		1	0.07		1469	96.20		58	3.80		1527	1.85
Marsfield		47	2.29		41	2.00		40	1.95		2	0.10		23	1.12		0	0.00		177	8.61		7	0.34		5	0.24		576	28.03		6	0.29		1	0.05		14	0.68		0	0.00		3	0.15		2	0.10		1039	50.56		2	0.10		0	0.00		62	3.02		1	0.05		0	0.00		7	0.34		0	0.00		2055	96.66		71	3.34		2126	2.58
Meadowbank		32	3.42		20	2.14		23	2.46		1	0.11		18	1.92		1	0.11		87	9.29		11	1.18		1	0.11		315	33.65		3	0.32		0	0.00		4	0.43		0	0.00		2	0.21		2	0.21		350	37.39		7	0.75		1	0.11		53	5.66		1	0.11		0	0.00		3	0.32		1	0.11		936	96.20		37	3.80		973	1.18
