Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Paterson (82782)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Fern Bay		48	6.37		3	0.40		1	0.13		0	0.00		13	1.72		0	0.00		19	2.52		5	0.66		1	0.13		420	55.70		2	0.27		0	0.00		6	0.80		1	0.13		1	0.13		0	0.00		200	26.53		4	0.53		2	0.27		28	3.71		0	0.00		0	0.00		0	0.00		0	0.00		754	97.29		21	2.71		775	0.97
Fingal Bay		39	4.69		2	0.24		0	0.00		0	0.00		9	1.08		2	0.24		33	3.97		11	1.32		0	0.00		316	38.03		8	0.96		0	0.00		5	0.60		0	0.00		2	0.24		0	0.00		382	45.97		1	0.12		0	0.00		20	2.41		0	0.00		0	0.00		1	0.12		0	0.00		831	96.74		28	3.26		859	1.07
Forster		81	6.82		8	0.67		0	0.00		0	0.00		20	1.68		2	0.17		34	2.86		27	2.27		0	0.00		433	36.48		7	0.59		0	0.00		14	1.18		0	0.00		0	0.00		1	0.08		522	43.98		7	0.59		0	0.00		25	2.11		0	0.00		1	0.08		3	0.25		2	0.17		1187	96.98		37	3.02		1224	1.53
Forster East		98	6.69		10	0.68		0	0.00		0	0.00		18	1.23		3	0.20		50	3.41		17	1.16		3	0.20		412	28.12		4	0.27		0	0.00		6	0.41		0	0.00		3	0.20		2	0.14		781	53.31		12	0.82		0	0.00		37	2.53		0	0.00		0	0.00		6	0.41		3	0.20		1465	97.41		39	2.59		1504	1.88
Forster Keys		119	7.67		19	1.22		0	0.00		0	0.00		11	0.71		0	0.00		46	2.96		10	0.64		4	0.26		427	27.51		4	0.26		0	0.00		7	0.45		0	0.00		1	0.06		0	0.00		867	55.86		10	0.64		0	0.00		21	1.35		0	0.00		0	0.00		6	0.39		0	0.00		1552	97.49		40	2.51		1592	1.99
Forster South		175	6.83		26	1.01		0	0.00		0	0.00		25	0.98		3	0.12		91	3.55		19	0.74		4	0.16		798	31.12		14	0.55		2	0.08		11	0.43		0	0.00		5	0.20		4	0.16		1303	50.82		13	0.51		1	0.04		54	2.11		0	0.00		1	0.04		14	0.55		1	0.04		2564	96.54		92	3.46		2656	3.31
Glen William		17	13.93		1	0.82		0	0.00		1	0.82		1	0.82		1	0.82		1	0.82		0	0.00		0	0.00		33	27.05		1	0.82		0	0.00		2	1.64		1	0.82		1	0.82		0	0.00		55	45.08		0	0.00		0	0.00		5	4.10		1	0.82		0	0.00		1	0.82		0	0.00		122	98.39		2	1.61		124	0.15
Gloucester		136	8.63		55	3.49		1	0.06		0	0.00		15	0.95		1	0.06		42	2.67		18	1.14		3	0.19		311	19.75		8	0.51		0	0.00		13	0.83		0	0.00		1	0.06		1	0.06		930	59.05		7	0.44		0	0.00		25	1.59		0	0.00		0	0.00		6	0.38		2	0.13		1575	97.70		37	2.30		1612	2.01
Gloucester Hospital		39	8.26		6	1.27		1	0.21		0	0.00		2	0.42		0	0.00		12	2.54		1	0.21		1	0.21		68	14.41		3	0.64		0	0.00		3	0.64		0	0.00		0	0.00		0	0.00		325	68.86		0	0.00		0	0.00		8	1.69		0	0.00		0	0.00		3	0.64		0	0.00		472	96.72		16	3.28		488	0.61
Grahamstown		47	5.53		26	3.06		0	0.00		0	0.00		20	2.35		1	0.12		40	4.71		12	1.41		1	0.12		292	34.35		5	0.59		0	0.00		13	1.53		1	0.12		0	0.00		1	0.12		360	42.35		8	0.94		1	0.12		12	1.41		2	0.24		0	0.00		8	0.94		0	0.00		850	98.27		15	1.73		865	1.08
Green Point Wallis Lake		23	8.71		4	1.52		0	0.00		0	0.00		6	2.27		0	0.00		16	6.06		10	3.79		0	0.00		83	31.44		0	0.00		0	0.00		6	2.27		0	0.00		1	0.38		0	0.00		97	36.74		2	0.76		0	0.00		14	5.30		0	0.00		1	0.38		1	0.38		0	0.00		264	96.70		9	3.30		273	0.34
Gresford		43	8.27		9	1.73		0	0.00		1	0.19		3	0.58		0	0.00		24	4.62		4	0.77		1	0.19		101	19.42		4	0.77		0	0.00		4	0.77		0	0.00		0	0.00		0	0.00		298	57.31		1	0.19		0	0.00		24	4.62		0	0.00		1	0.19		1	0.19		1	0.19		520	95.94		22	4.06		542	0.68
Hawks Nest		29	3.56		6	0.74		0	0.00		5	0.61		11	1.35		2	0.25		22	2.70		7	0.86		2	0.25		281	34.48		4	0.49		0	0.00		22	2.70		0	0.00		3	0.37		0	0.00		401	49.20		1	0.12		0	0.00		17	2.09		0	0.00		0	0.00		2	0.25		0	0.00		815	97.37		22	2.63		837	1.04
Hinton		43	7.19		11	1.84		0	0.00		0	0.00		6	1.00		1	0.17		19	3.18		4	0.67		0	0.00		150	25.08		4	0.67		0	0.00		13	2.17		1	0.17		1	0.17		3	0.50		319	53.34		4	0.67		1	0.17		18	3.01		0	0.00		0	0.00		0	0.00		0	0.00		598	98.19		11	1.81		609	0.76
Karuah		108	12.44		14	1.61		1	0.12		10	1.15		27	3.11		0	0.00		15	1.73		9	1.04		1	0.12		334	38.48		5	0.58		8	0.92		13	1.50		0	0.00		0	0.00		1	0.12		292	33.64		2	0.23		0	0.00		24	2.76		0	0.00		1	0.12		3	0.35		0	0.00		868	96.44		32	3.56		900	1.12
Lemon Tree Passage		79	6.48		11	0.90		1	0.08		0	0.00		18	1.48		0	0.00		78	6.39		13	1.07		3	0.25		474	38.85		5	0.41		1	0.08		9	0.74		0	0.00		1	0.08		2	0.16		478	39.18		3	0.25		1	0.08		35	2.87		0	0.00		2	0.16		6	0.49		0	0.00		1220	97.68		29	2.32		1249	1.56
Mallabula		42	7.27		7	1.21		1	0.17		1	0.17		9	1.56		0	0.00		21	3.63		5	0.87		2	0.35		238	41.18		4	0.69		0	0.00		2	0.35		0	0.00		0	0.00		0	0.00		210	36.33		4	0.69		0	0.00		28	4.84		0	0.00		0	0.00		4	0.69		0	0.00		578	97.47		15	2.53		593	0.74
