House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
by Polling Place											
											
Throsby (84412)											
		Candidate		"AKHURST, Alan"		              	"GEORGE, Jennie"		             	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
		"STORY, Elsa (GRN)"	23	11	47.83		12	52.17		23	
		Total	106	153	29.88		359	70.12		512	

	Division Summary										
			1st Prefs	19280	31.48		41963	68.52		61243	
		"ROBERTS, Madeleine (DEM)"	5743	2771	48.25		2972	51.75		5743	
		"PRSA, Ivan (HAN)"	4969	3060	61.58		1909	38.42		4969	
		"PERROTT, Margaret ()"	1043	558	53.50		485	46.50		1043	
		"STORY, Elsa (GRN)"	3444	1006	29.21		2438	70.79		3444	
		Total	15199	26675	34.90		49767	65.10		76442	
