Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Watson (81961)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Clemton Park		142	3.76		49	1.30		53	1.40		3	0.08		110	2.91		3	0.08		137	3.63		25	0.66		14	0.37		1925	51.01		15	0.40		6	0.16		21	0.56		0	0.00		3	0.08		4	0.11		1118	29.62		26	0.69		6	0.16		100	2.65		0	0.00		3	0.08		6	0.16		5	0.13		3774	91.87		334	8.13		4108	5.36
Earlwood		30	3.33		13	1.44		5	0.55		0	0.00		18	2.00		0	0.00		46	5.10		8	0.89		2	0.22		443	49.11		1	0.11		2	0.22		5	0.55		1	0.11		0	0.00		1	0.11		279	30.93		10	1.11		2	0.22		32	3.55		1	0.11		1	0.11		2	0.22		0	0.00		902	91.85		80	8.15		982	1.28
Earlwood North		53	2.83		24	1.28		13	0.70		0	0.00		45	2.41		3	0.16		78	4.17		11	0.59		2	0.11		809	43.26		8	0.43		1	0.05		9	0.48		0	0.00		0	0.00		2	0.11		689	36.84		16	0.86		1	0.05		98	5.24		0	0.00		2	0.11		3	0.16		3	0.16		1870	91.22		180	8.78		2050	2.67
Earlwood South		59	2.31		38	1.48		14	0.55		2	0.08		68	2.66		5	0.20		128	5.00		20	0.78		8	0.31		1263	49.36		20	0.78		1	0.04		14	0.55		2	0.08		2	0.08		4	0.16		803	31.38		15	0.59		3	0.12		82	3.20		4	0.16		0	0.00		2	0.08		2	0.08		2559	92.62		204	7.38		2763	3.60
Gilchrist Park		47	4.02		17	1.46		21	1.80		0	0.00		25	2.14		0	0.00		37	3.17		4	0.34		4	0.34		525	44.95		1	0.09		1	0.09		6	0.51		1	0.09		0	0.00		0	0.00		446	38.18		2	0.17		2	0.17		28	2.40		0	0.00		0	0.00		1	0.09		0	0.00		1168	92.99		88	7.01		1256	1.64
Harcourt		87	3.08		33	1.17		138	4.89		4	0.14		77	2.73		2	0.07		77	2.73		7	0.25		5	0.18		1602	56.79		14	0.50		2	0.07		7	0.25		0	0.00		3	0.11		2	0.07		663	23.50		27	0.96		2	0.07		58	2.06		1	0.04		0	0.00		9	0.32		1	0.04		2821	93.07		210	6.93		3031	3.95
Harcourt Central		44	2.58		32	1.88		111	6.51		3	0.18		65	3.81		1	0.06		40	2.35		10	0.59		4	0.23		1003	58.83		3	0.18		0	0.00		10	0.59		2	0.12		0	0.00		0	0.00		322	18.89		15	0.88		1	0.06		31	1.82		1	0.06		1	0.06		5	0.29		1	0.06		1705	93.02		128	6.98		1833	2.39
Harcourt North		35	3.42		33	3.23		18	1.76		0	0.00		22	2.15		2	0.20		33	3.23		5	0.49		2	0.20		498	48.73		2	0.20		1	0.10		4	0.39		0	0.00		1	0.10		1	0.10		321	31.41		9	0.88		1	0.10		26	2.54		0	0.00		2	0.20		5	0.49		1	0.10		1022	93.25		74	6.75		1096	1.43
Hurstville		52	2.34		31	1.39		80	3.60		1	0.04		35	1.57		2	0.09		118	5.30		7	0.31		5	0.22		1152	51.78		4	0.18		4	0.18		8	0.36		0	0.00		2	0.09		2	0.09		647	29.08		16	0.72		5	0.22		51	2.29		0	0.00		0	0.00		2	0.09		1	0.04		2225	93.45		156	6.55		2381	3.11
Hurstville East		60	3.56		33	1.96		78	4.62		0	0.00		54	3.20		0	0.00		80	4.74		9	0.53		9	0.53		793	47.01		4	0.24		2	0.12		12	0.71		0	0.00		6	0.36		2	0.12		491	29.10		16	0.95		0	0.00		26	1.54		0	0.00		4	0.24		8	0.47		0	0.00		1687	94.46		99	5.54		1786	2.33
Hurstville North		89	4.25		39	1.86		38	1.81		2	0.10		42	2.00		1	0.05		117	5.58		12	0.57		6	0.29		898	42.84		9	0.43		0	0.00		15	0.72		2	0.10		3	0.14		1	0.05		741	35.35		20	0.95		1	0.05		47	2.24		0	0.00		0	0.00		12	0.57		1	0.05		2096	96.10		85	3.90		2181	2.84
