Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Charlton (83459)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Cardiff South		93	5.87		28	1.77		7	0.44		1	0.06		49	3.09		0	0.00		93	5.87		18	1.14		3	0.19		759	47.92		14	0.88		1	0.06		19	1.20		0	0.00		2	0.13		0	0.00		396	25.00		4	0.25		3	0.19		83	5.24		0	0.00		1	0.06		10	0.63		0	0.00		1584	96.47		58	3.53		1642	2.05
Carey Bay		66	6.59		13	1.30		0	0.00		0	0.00		14	1.40		1	0.10		69	6.89		6	0.60		2	0.20		269	26.87		4	0.40		0	0.00		10	1.00		0	0.00		0	0.00		2	0.20		500	49.95		1	0.10		0	0.00		42	4.20		0	0.00		0	0.00		1	0.10		1	0.10		1001	97.09		30	2.91		1031	1.29
Charlestown South		61	5.64		36	3.33		0	0.00		0	0.00		21	1.94		2	0.19		71	6.57		10	0.93		6	0.56		455	42.09		7	0.65		0	0.00		10	0.93		0	0.00		0	0.00		0	0.00		364	33.67		5	0.46		1	0.09		27	2.50		0	0.00		0	0.00		5	0.46		0	0.00		1081	96.69		37	3.31		1118	1.40
Coal Point		49	5.54		7	0.79		1	0.11		1	0.11		6	0.68		3	0.34		70	7.91		7	0.79		1	0.11		233	26.33		3	0.34		0	0.00		2	0.23		7	0.79		1	0.11		1	0.11		441	49.83		3	0.34		2	0.23		45	5.08		0	0.00		0	0.00		2	0.23		0	0.00		885	97.25		25	2.75		910	1.14
Cooranbong		74	8.41		14	1.59		0	0.00		0	0.00		8	0.91		2	0.23		61	6.93		9	1.02		1	0.11		283	32.16		6	0.68		10	1.14		0	0.00		4	0.45		3	0.34		0	0.00		349	39.66		4	0.45		3	0.34		40	4.55		0	0.00		1	0.11		7	0.80		1	0.11		880	97.56		22	2.44		902	1.13
Dora Creek		148	11.57		6	0.47		0	0.00		0	0.00		26	2.03		1	0.08		63	4.93		10	0.78		0	0.00		435	34.01		12	0.94		0	0.00		12	0.94		0	0.00		2	0.16		4	0.31		489	38.23		13	1.02		0	0.00		54	4.22		0	0.00		1	0.08		3	0.23		0	0.00		1279	97.19		37	2.81		1316	1.64
Edgeworth		327	8.52		74	1.93		2	0.05		2	0.05		108	2.81		3	0.08		158	4.12		57	1.49		13	0.34		1824	47.52		43	1.12		2	0.05		45	1.17		1	0.03		4	0.10		3	0.08		1033	26.92		22	0.57		1	0.03		91	2.37		0	0.00		0	0.00		22	0.57		3	0.08		3838	96.24		150	3.76		3988	4.98
Elermore Vale		110	5.22		29	1.38		0	0.00		4	0.19		43	2.04		0	0.00		164	7.78		21	1.00		2	0.09		893	42.38		19	0.90		3	0.14		19	0.90		1	0.05		3	0.14		4	0.19		688	32.65		6	0.28		4	0.19		79	3.75		0	0.00		1	0.05		13	0.62		1	0.05		2107	96.61		74	3.39		2181	2.72
Fassifern		58	9.70		7	1.17		0	0.00		0	0.00		12	2.01		0	0.00		53	8.86		8	1.34		2	0.33		244	40.80		6	1.00		1	0.17		7	1.17		1	0.17		1	0.17		1	0.17		162	27.09		3	0.50		1	0.17		28	4.68		0	0.00		0	0.00		3	0.50		0	0.00		598	97.55		15	2.45		613	0.77
Fennell Bay		131	10.31		29	2.28		1	0.08		1	0.08		27	2.12		3	0.24		93	7.32		18	1.42		2	0.16		570	44.85		8	0.63		0	0.00		17	1.34		0	0.00		2	0.16		0	0.00		313	24.63		4	0.31		1	0.08		48	3.78		0	0.00		0	0.00		3	0.24		0	0.00		1271	97.92		27	2.08		1298	1.62
Garden Suburb (Charlton)		83	6.47		49	3.82		1	0.08		0	0.00		15	1.17		0	0.00		99	7.72		10	0.78		2	0.16		465	36.27		6	0.47		1	0.08		12	0.94		0	0.00		0	0.00		0	0.00		463	36.12		2	0.16		1	0.08		67	5.23		0	0.00		0	0.00		3	0.23		3	0.23		1282	98.01		26	1.99		1308	1.63
Glendale		48	11.68		4	0.97		0	0.00		0	0.00		12	2.92		0	0.00		23	5.60		11	2.68		0	0.00		224	54.50		2	0.49		1	0.24		4	0.97		0	0.00		0	0.00		0	0.00		72	17.52		1	0.24		0	0.00		8	1.95		0	0.00		1	0.24		0	0.00		0	0.00		411	96.93		13	3.07		424	0.53
Glendale East		114	7.91		28	1.94		1	0.07		1	0.07		31	2.15		2	0.14		64	4.44		23	1.60		2	0.14		683	47.36		14	0.97		0	0.00		17	1.18		0	0.00		3	0.21		2	0.14		389	26.98		6	0.42		1	0.07		47	3.26		0	0.00		1	0.07		13	0.90		0	0.00		1442	97.83		32	2.17		1474	1.84
Hawkins Village		101	7.80		21	1.62		1	0.08		2	0.15		35	2.70		1	0.08		37	2.86		7	0.54		6	0.46		676	52.20		10	0.77		0	0.00		16	1.24		0	0.00		3	0.23		2	0.15		345	26.64		7	0.54		1	0.08		17	1.31		0	0.00		0	0.00		7	0.54		0	0.00		1295	96.35		49	3.65		1344	1.68
Hillsborough		103	6.83		26	1.72		1	0.07		0	0.00		18	1.19		0	0.00		115	7.62		16	1.06		5	0.33		595	39.43		9	0.60		0	0.00		15	0.99		0	0.00		3	0.20		1	0.07		529	35.06		13	0.86		4	0.27		45	2.98		0	0.00		2	0.13		8	0.53		1	0.07		1509	97.67		36	2.33		1545	1.93
Kilaben Bay		61	7.48		4	0.49		2	0.25		0	0.00		8	0.98		1	0.12		62	7.60		6	0.74		0	0.00		241	29.53		4	0.49		0	0.00		5	0.61		0	0.00		1	0.12		0	0.00		356	43.63		0	0.00		1	0.12		58	7.11		0	0.00		0	0.00		5	0.61		1	0.12		816	97.84		18	2.16		834	1.04
