Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Richmond (81312)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Chinderah		121	11.26		10	0.93		1	0.09		1	0.09		18	1.67		2	0.19		47	4.37		9	0.84		4	0.37		468	43.53		10	0.93		0	0.00		11	1.02		1	0.09		1	0.09		1	0.09		314	29.21		6	0.56		2	0.19		43	4.00		0	0.00		2	0.19		3	0.28		0	0.00		1075	96.50		39	3.50		1114	1.45
Condong		84	9.64		20	2.30		0	0.00		3	0.34		9	1.03		1	0.11		45	5.17		15	1.72		2	0.23		251	28.82		3	0.34		0	0.00		9	1.03		0	0.00		1	0.11		0	0.00		374	42.94		4	0.46		2	0.23		46	5.28		0	0.00		0	0.00		2	0.23		0	0.00		871	98.98		9	1.02		880	1.14
Coorabell		9	5.66		0	0.00		0	0.00		0	0.00		0	0.00		1	0.63		19	11.95		4	2.52		1	0.63		38	23.90		0	0.00		0	0.00		1	0.63		0	0.00		0	0.00		1	0.63		55	34.59		0	0.00		0	0.00		30	18.87		0	0.00		0	0.00		0	0.00		0	0.00		159	96.95		5	3.05		164	0.21
Crabbes Creek		11	8.27		4	3.01		0	0.00		0	0.00		3	2.26		0	0.00		7	5.26		3	2.26		0	0.00		36	27.07		1	0.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		45	33.83		0	0.00		0	0.00		23	17.29		0	0.00		0	0.00		0	0.00		0	0.00		133	99.25		1	0.75		134	0.17
Crystal Creek		24	8.25		2	0.69		0	0.00		0	0.00		2	0.69		1	0.34		21	7.22		4	1.37		2	0.69		77	26.46		4	1.37		0	0.00		1	0.34		0	0.00		2	0.69		2	0.69		121	41.58		0	0.00		0	0.00		27	9.28		0	0.00		0	0.00		1	0.34		0	0.00		291	97.00		9	3.00		300	0.39
Cudgen		38	6.45		11	1.87		0	0.00		0	0.00		10	1.70		0	0.00		29	4.92		2	0.34		1	0.17		230	39.05		1	0.17		1	0.17		9	1.53		0	0.00		0	0.00		2	0.34		228	38.71		2	0.34		0	0.00		25	4.24		0	0.00		0	0.00		0	0.00		0	0.00		589	98.33		10	1.67		599	0.78
Dungay		29	9.42		4	1.30		0	0.00		1	0.32		2	0.65		2	0.65		14	4.55		4	1.30		0	0.00		64	20.78		1	0.32		0	0.00		2	0.65		0	0.00		1	0.32		0	0.00		156	50.65		4	1.30		1	0.32		22	7.14		0	0.00		0	0.00		1	0.32		0	0.00		308	99.04		3	0.96		311	0.40
Duranbah		12	9.02		3	2.26		0	0.00		0	0.00		2	1.50		0	0.00		17	12.78		2	1.50		0	0.00		32	24.06		1	0.75		0	0.00		3	2.26		0	0.00		0	0.00		0	0.00		51	38.35		0	0.00		0	0.00		10	7.52		0	0.00		0	0.00		0	0.00		0	0.00		133	100.00		0	0.00		133	0.17
Durrumbul		8	4.76		2	1.19		0	0.00		0	0.00		1	0.60		4	2.38		13	7.74		3	1.79		4	2.38		45	26.79		0	0.00		0	0.00		1	0.60		1	0.60		1	0.60		1	0.60		58	34.52		1	0.60		0	0.00		25	14.88		0	0.00		0	0.00		0	0.00		0	0.00		168	100.00		0	0.00		168	0.22
Eureka		5	2.49		9	4.48		0	0.00		0	0.00		1	0.50		3	1.49		22	10.95		10	4.98		0	0.00		48	23.88		1	0.50		0	0.00		3	1.49		0	0.00		1	0.50		2	1.00		68	33.83		1	0.50		0	0.00		27	13.43		0	0.00		0	0.00		0	0.00		0	0.00		201	98.05		4	1.95		205	0.27
Ewingsdale		20	5.62		3	0.84		0	0.00		0	0.00		5	1.40		5	1.40		28	7.87		3	0.84		2	0.56		70	19.66		4	1.12		0	0.00		2	0.56		0	0.00		0	0.00		0	0.00		147	41.29		1	0.28		0	0.00		64	17.98		0	0.00		1	0.28		0	0.00		1	0.28		356	98.07		7	1.93		363	0.47
