Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group																																																																																	
 By Polling Place																																																																																	

Gwydir (84602)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bugaldie		15	15.63		5	5.21		0	0.00		0	0.00		1	1.04		0	0.00		1	1.04		0	0.00		0	0.00		7	7.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		62	64.58		1	1.04		0	0.00		4	4.17		0	0.00		0	0.00		0	0.00		0	0.00		96	97.96		2	2.04		98	0.12
Bullarah		15	13.39		1	0.89		0	0.00		0	0.00		1	0.89		0	0.00		3	2.68		0	0.00		0	0.00		9	8.04		1	0.89		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		81	72.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		112	99.12		1	0.88		113	0.14
Bunnan		13	7.51		0	0.00		0	0.00		0	0.00		2	1.16		0	0.00		3	1.73		0	0.00		0	0.00		31	17.92		0	0.00		0	0.00		0	0.00		0	0.00		1	0.58		0	0.00		118	68.21		1	0.58		0	0.00		3	1.73		0	0.00		0	0.00		1	0.58		0	0.00		173	97.19		5	2.81		178	0.22
Burren Junction		22	10.38		0	0.00		0	0.00		0	0.00		3	1.42		0	0.00		2	0.94		3	1.42		0	0.00		14	6.60		10	4.72		1	0.47		3	1.42		0	0.00		0	0.00		0	0.00		144	67.92		1	0.47		1	0.47		3	1.42		0	0.00		1	0.47		4	1.89		0	0.00		212	96.80		7	3.20		219	0.27
Bylong		8	12.31		0	0.00		0	0.00		0	0.00		1	1.54		0	0.00		1	1.54		0	0.00		0	0.00		8	12.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		46	70.77		1	1.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		65	100.00		0	0.00		65	0.08
Carinda		15	13.27		1	0.88		0	0.00		1	0.88		1	0.88		0	0.00		3	2.65		2	1.77		0	0.00		20	17.70		0	0.00		0	0.00		2	1.77		0	0.00		1	0.88		0	0.00		66	58.41		0	0.00		0	0.00		1	0.88		0	0.00		0	0.00		0	0.00		0	0.00		113	97.41		3	2.59		116	0.14
Caroona		10	5.15		3	1.55		0	0.00		1	0.52		3	1.55		0	0.00		2	1.03		1	0.52		0	0.00		90	46.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.03		77	39.69		0	0.00		0	0.00		4	2.06		0	0.00		1	0.52		0	0.00		0	0.00		194	100.00		0	0.00		194	0.24
Carroll		34	14.35		1	0.42		0	0.00		0	0.00		0	0.00		1	0.42		9	3.80		0	0.00		1	0.42		52	21.94		3	1.27		0	0.00		2	0.84		0	0.00		1	0.42		0	0.00		129	54.43		1	0.42		0	0.00		3	1.27		0	0.00		0	0.00		0	0.00		0	0.00		237	98.75		3	1.25		240	0.30
Cassilis		24	13.11		4	2.19		0	0.00		0	0.00		4	2.19		0	0.00		3	1.64		0	0.00		0	0.00		41	22.40		0	0.00		0	0.00		1	0.55		0	0.00		0	0.00		0	0.00		104	56.83		0	0.00		0	0.00		2	1.09		0	0.00		0	0.00		0	0.00		0	0.00		183	96.83		6	3.17		189	0.23
Collarenebri		62	17.42		3	0.84		0	0.00		1	0.28		17	4.78		0	0.00		8	2.25		1	0.28		1	0.28		118	33.15		1	0.28		2	0.56		1	0.28		1	0.28		0	0.00		1	0.28		129	36.24		4	1.12		2	0.56		2	0.56		0	0.00		1	0.28		1	0.28		0	0.00		356	96.74		12	3.26		368	0.46
Collie		12	13.48		2	2.25		0	0.00		0	0.00		0	0.00		0	0.00		2	2.25		0	0.00		0	0.00		14	15.73		0	0.00		0	0.00		2	2.25		0	0.00		0	0.00		0	0.00		54	60.67		1	1.12		0	0.00		0	0.00		0	0.00		0	0.00		2	2.25		0	0.00		89	94.68		5	5.32		94	0.12
Coolah		96	12.29		9	1.15		1	0.13		3	0.38		10	1.28		0	0.00		15	1.92		14	1.79		3	0.38		169	21.64		7	0.90		0	0.00		11	1.41		1	0.13		0	0.00		2	0.26		419	53.65		6	0.77		2	0.26		8	1.02		0	0.00		0	0.00		4	0.51		1	0.13		781	97.99		16	2.01		797	0.99
Coolatai		10	15.38		2	3.08		0	0.00		0	0.00		1	1.54		0	0.00		0	0.00		0	0.00		0	0.00		8	12.31		3	4.62		0	0.00		0	0.00		0	0.00		1	1.54		0	0.00		38	58.46		0	0.00		0	0.00		0	0.00		0	0.00		2	3.08		0	0.00		0	0.00		65	98.48		1	1.52		66	0.08
Coonabarabran		293	13.76		41	1.92		2	0.09		20	0.94		30	1.41		3	0.14		72	3.38		19	0.89		2	0.09		569	26.71		26	1.22		2	0.09		14	0.66		0	0.00		7	0.33		3	0.14		924	43.38		21	0.99		3	0.14		67	3.15		1	0.05		4	0.19		6	0.28		1	0.05		2130	97.04		65	2.96		2195	2.72
Coonamble		261	14.89		12	0.68		3	0.17		0	0.00		40	2.28		3	0.17		27	1.54		21	1.20		6	0.34		553	31.55		10	0.57		0	0.00		10	0.57		0	0.00		4	0.23		0	0.00		757	43.18		19	1.08		3	0.17		15	0.86		0	0.00		0	0.00		8	0.46		1	0.06		1753	95.84		76	4.16		1829	2.27
Croppa Creek		24	20.69		1	0.86		0	0.00		0	0.00		1	0.86		0	0.00		1	0.86		0	0.00		0	0.00		12	10.34		0	0.00		0	0.00		4	3.45		0	0.00		0	0.00		0	0.00		72	62.07		1	0.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		116	99.15		1	0.85		117	0.15
Cumborah		44	32.84		1	0.75		0	0.00		0	0.00		3	2.24		0	0.00		1	0.75		2	1.49		0	0.00		16	11.94		1	0.75		0	0.00		1	0.75		0	0.00		0	0.00		0	0.00		63	47.01		0	0.00		0	0.00		1	0.75		0	0.00		0	0.00		1	0.75		0	0.00		134	95.71		6	4.29		140	0.17
Curban		26	23.85		9	8.26		0	0.00		0	0.00		2	1.83		0	0.00		1	0.92		0	0.00		0	0.00		1	0.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		69	63.30		0	0.00		0	0.00		1	0.92		0	0.00		0	0.00		0	0.00		0	0.00		109	99.09		1	0.91		110	0.14
Curlewis		60	15.00		9	2.25		0	0.00		0	0.00		6	1.50		0	0.00		12	3.00		2	0.50		0	0.00		114	28.50		13	3.25		1	0.25		6	1.50		0	0.00		2	0.50		0	0.00		164	41.00		6	1.50		0	0.00		2	0.50		0	0.00		0	0.00		3	0.75		0	0.00		400	98.28		7	1.72		407	0.50
Dangar Village		143	14.93		32	3.34		2	0.21		3	0.31		17	1.77		0	0.00		26	2.71		4	0.42		0	0.00		217	22.65		21	2.19		1	0.10		6	0.63		0	0.00		0	0.00		2	0.21		454	47.39		11	1.15		0	0.00		11	1.15		0	0.00		2	0.21		6	0.63		0	0.00		958	96.67		33	3.33		991	1.23
Dunedoo		96	13.06		11	1.50		0	0.00		2	0.27		16	2.18		0	0.00		15	2.04		0	0.00		0	0.00		198	26.94		6	0.82		0	0.00		2	0.27		0	0.00		1	0.14		0	0.00		368	50.07		4	0.54		0	0.00		12	1.63		0	0.00		0	0.00		4	0.54		0	0.00		735	96.97		23	3.03		758	0.94
Edgeroi		14	10.77		2	1.54		0	0.00		2	1.54		0	0.00		0	0.00		5	3.85		1	0.77		0	0.00		8	6.15		0	0.00		0	0.00		1	0.77		0	0.00		0	0.00		0	0.00		95	73.08		0	0.00		0	0.00		2	1.54		0	0.00		0	0.00		0	0.00		0	0.00		130	100.00		0	0.00		130	0.16
Elong Elong		18	14.40		3	2.40		0	0.00		0	0.00		1	0.80		0	0.00		6	4.80		1	0.80		1	0.80		24	19.20		2	1.60		0	0.00		1	0.80		0	0.00		0	0.00		0	0.00		63	50.40		1	0.80		0	0.00		3	2.40		0	0.00		0	0.00		1	0.80		0	0.00		125	96.90		4	3.10		129	0.16
Enngonia		5	7.35		0	0.00		0	0.00		1	1.47		3	4.41		0	0.00		2	2.94		0	0.00		0	0.00		12	17.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		42	61.76		2	2.94		0	0.00		1	1.47		0	0.00		0	0.00		0	0.00		0	0.00		68	97.14		2	2.86		70	0.09
Euchareena		17	14.05		5	4.13		0	0.00		0	0.00		1	0.83		0	0.00		4	3.31		0	0.00		0	0.00		22	18.18		1	0.83		0	0.00		1	0.83		0	0.00		0	0.00		0	0.00		66	54.55		1	0.83		0	0.00		3	2.48		0	0.00		0	0.00		0	0.00		0	0.00		121	98.37		2	1.63		123	0.15
Fairfax		18	15.65		4	3.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.74		0	0.00		6	5.22		0	0.00		2	1.74		0	0.00		0	0.00		1	0.87		0	0.00		79	68.70		3	2.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		115	99.14		1	0.86		116	0.14
Garah		16	8.89		0	0.00		0	0.00		2	1.11		4	2.22		0	0.00		0	0.00		0	0.00		0	0.00		31	17.22		5	2.78		0	0.00		1	0.56		0	0.00		0	0.00		0	0.00		117	65.00		0	0.00		0	0.00		2	1.11		0	0.00		2	1.11		0	0.00		0	0.00		180	98.36		3	1.64		183	0.23
Geurie		47	9.00		15	2.87		0	0.00		0	0.00		8	1.53		1	0.19		17	3.26		3	0.57		1	0.19		109	20.88		5	0.96		2	0.38		6	1.15		0	0.00		1	0.19		0	0.00		281	53.83		7	1.34		0	0.00		14	2.68		0	0.00		0	0.00		4	0.77		1	0.19		522	99.24		4	0.76		526	0.65
Gilgandra		317	17.02		68	3.65		0	0.00		5	0.27		20	1.07		1	0.05		49	2.63		13	0.70		3	0.16		524	28.14		13	0.70		1	0.05		11	0.59		0	0.00		1	0.05		1	0.05		787	42.27		8	0.43		4	0.21		28	1.50		1	0.05		0	0.00		6	0.32		1	0.05		1862	96.13		75	3.87		1937	2.40
Glen Alice		11	25.58		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	2.33		0	0.00		0	0.00		8	18.60		0	0.00		0	0.00		1	2.33		0	0.00		0	0.00		0	0.00		22	51.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		43	100.00		0	0.00		43	0.05
Gollan		3	3.80		3	3.80		0	0.00		0	0.00		0	0.00		1	1.27		1	1.27		0	0.00		0	0.00		3	3.80		0	0.00		0	0.00		2	2.53		0	0.00		0	0.00		0	0.00		65	82.28		0	0.00		0	0.00		1	1.27		0	0.00		0	0.00		0	0.00		0	0.00		79	98.75		1	1.25		80	0.10
