Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group																																																																																	
By Polling Place																																																																																	

Grayndler (86146)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Leichhardt		45	1.35		13	0.39		18	0.54		2	0.06		35	1.05		5	0.15		443	13.33		28	0.84		13	0.39		1258	37.86		11	0.33		2	0.06		5	0.15		2	0.06		3	0.09		3	0.09		902	27.14		11	0.33		6	0.18		494	14.87		14	0.42		2	0.06		7	0.21		1	0.03		3323	95.96		140	4.04		3463	4.32
Leichhardt East		42	3.20		1	0.08		2	0.15		2	0.15		16	1.22		1	0.08		156	11.87		7	0.53		4	0.30		527	40.11		3	0.23		0	0.00		4	0.30		2	0.15		1	0.08		3	0.23		377	28.69		5	0.38		2	0.15		151	11.49		1	0.08		1	0.08		6	0.46		0	0.00		1314	95.98		55	4.02		1369	1.71
Leichhardt South		23	2.28		5	0.50		2	0.20		0	0.00		12	1.19		2	0.20		108	10.70		16	1.59		5	0.50		413	40.93		3	0.30		1	0.10		2	0.20		0	0.00		0	0.00		0	0.00		271	26.86		9	0.89		0	0.00		133	13.18		1	0.10		1	0.10		2	0.20		0	0.00		1009	96.00		42	4.00		1051	1.31
Lewisham		43	1.91		34	1.51		18	0.80		0	0.00		58	2.58		3	0.13		243	10.80		21	0.93		7	0.31		962	42.76		8	0.36		5	0.22		3	0.13		2	0.09		2	0.09		6	0.27		504	22.40		10	0.44		1	0.04		307	13.64		5	0.22		2	0.09		4	0.18		2	0.09		2250	96.11		91	3.89		2341	2.92
Lilyfield		39	2.38		11	0.67		2	0.12		1	0.06		28	1.71		1	0.06		169	10.32		15	0.92		8	0.49		633	38.67		4	0.24		0	0.00		11	0.67		5	0.31		1	0.06		2	0.12		497	30.36		8	0.49		3	0.18		190	11.61		0	0.00		0	0.00		5	0.31		4	0.24		1637	94.73		91	5.27		1728	2.16
Lilyfield North		23	2.93		6	0.76		0	0.00		0	0.00		4	0.51		3	0.38		95	12.10		7	0.89		1	0.13		251	31.97		2	0.25		0	0.00		3	0.38		1	0.13		0	0.00		0	0.00		260	33.12		0	0.00		1	0.13		124	15.80		0	0.00		0	0.00		4	0.51		0	0.00		785	95.97		33	4.03		818	1.02
Marrickville		57	1.72		34	1.02		67	2.02		2	0.06		135	4.06		5	0.15		176	5.30		18	0.54		8	0.24		1983	59.67		4	0.12		0	0.00		9	0.27		3	0.09		1	0.03		1	0.03		539	16.22		19	0.57		4	0.12		233	7.01		17	0.51		0	0.00		7	0.21		1	0.03		3323	93.26		240	6.74		3563	4.45
Marrickville Central		36	2.76		7	0.54		13	1.00		0	0.00		38	2.92		1	0.08		89	6.83		15	1.15		1	0.08		668	51.27		4	0.31		1	0.08		7	0.54		2	0.15		1	0.08		0	0.00		270	20.72		4	0.31		1	0.08		138	10.59		0	0.00		2	0.15		4	0.31		1	0.08		1303	94.90		70	5.10		1373	1.71
Marrickville South		24	2.74		4	0.46		7	0.80		0	0.00		17	1.94		0	0.00		50	5.71		4	0.46		0	0.00		481	54.91		2	0.23		1	0.11		1	0.11		1	0.11		1	0.11		1	0.11		158	18.04		10	1.14		0	0.00		111	12.67		0	0.00		0	0.00		3	0.34		0	0.00		876	96.05		36	3.95		912	1.14
Newington		10	1.62		7	1.13		1	0.16		0	0.00		22	3.55		0	0.00		76	12.28		5	0.81		0	0.00		278	44.91		2	0.32		0	0.00		1	0.16		1	0.16		0	0.00		0	0.00		114	18.42		1	0.16		2	0.32		93	15.02		1	0.16		2	0.32		1	0.16		2	0.32		619	95.38		30	4.62		649	0.81
